Past 7 days analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Past 7 days
Joy,60516539,Lusaka,Lusaka district,Urban,Male,1,None,AB,Completed high School,Seventh Day Adventists,Self employed,D,"K 1675- K2,499",Yes,19 – 24,"Radio 1,Roots,Komboni,Millennium,Unza,Joy"
Unza,60516539,Lusaka,Lusaka district,Urban,Male,1,None,AB,Completed high School,Seventh Day Adventists,Self employed,D,"K 1675- K2,499",Yes,19 – 24,"Radio 1,Roots,Komboni,Millennium,Unza,Joy"
Komboni,60516539,Lusaka,Lusaka district,Urban,Male,1,None,AB,Completed high School,Seventh Day Adventists,Self employed,D,"K 1675- K2,499",Yes,19 – 24,"Radio 1,Roots,Komboni,Millennium,Unza,Joy"
Radio 1,60519020,Lusaka,Lusaka district,Urban,Male,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,25 – 34,Radio 1
BBC,60519021,Lusaka,Lusaka district,Urban,Female,1,None,AB,University completed,Roman Catholic,Working Part-Time,C2,"K 3,891  -  K 4,627",Yes,25 – 34,BBC
Radio 1,60519024,Lusaka,Lusaka district,Urban,Female,1,One,AB,Some high school,Seventh Day Adventists,Student,C1,"K 5,365  -  K 6,102",Yes,15 – 18,"Radio 1,Komboni,Rock FM"
Rock FM,60519024,Lusaka,Lusaka district,Urban,Female,1,One,AB,Some high school,Seventh Day Adventists,Student,C1,"K 5,365  -  K 6,102",Yes,15 – 18,"Radio 1,Komboni,Rock FM"
Komboni,60519024,Lusaka,Lusaka district,Urban,Female,1,One,AB,Some high school,Seventh Day Adventists,Student,C1,"K 5,365  -  K 6,102",Yes,15 – 18,"Radio 1,Komboni,Rock FM"
Mazabuka,60524230,Southern,Mazabuka,Urban,Male,2,None,AB,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,"Radio 1,Mazabuka,Radio 2"
Radio 1,60524230,Southern,Mazabuka,Urban,Male,2,None,AB,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,"Radio 1,Mazabuka,Radio 2"
Radio 2,60524230,Southern,Mazabuka,Urban,Male,2,None,AB,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,"Radio 1,Mazabuka,Radio 2"
Radio 4,60524231,Southern,Mazabuka,Urban,Male,2,None,AB,Some university,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,45+,Radio 4
Radio Christian Voice,60524419,Lusaka,Lusaka district,Urban,Female,0,None,AB,University completed,Other Christian,Unemployed [SEEKING A JOB],C2,"K 4,628   -  K 5,364",Yes,35 – 44,Radio Christian Voice
Joy,60524422,Lusaka,Lusaka district,Urban,Female,2,One,AB,Some high school,Roman Catholic,Student,C1,Under K 849,Yes,15 – 18,Joy
Power,60525354,Central,Kabwe,Urban,Male,1,One,AB,University completed,Other Christian,Self employed,C1,"K 5,365  -  K 6,102",Yes,25 – 34,"KNC,Power"
KNC,60525354,Central,Kabwe,Urban,Male,1,One,AB,University completed,Other Christian,Self employed,C1,"K 5,365  -  K 6,102",Yes,25 – 34,"KNC,Power"
Baptist Faith,60531169,Copperbelt,Chilililabombwe,Urban,Male,2,One,AB,Completed high School,Others,Self employed,Do not know,Do not know,Yes,45+,"Baptist Faith,Kokoliko"
Kokoliko,60531169,Copperbelt,Chilililabombwe,Urban,Male,2,One,AB,Completed high School,Others,Self employed,Do not know,Do not know,Yes,45+,"Baptist Faith,Kokoliko"
Radio 4,60531744,Copperbelt,Mufulira,Urban,Female,1,Two or More,AB,Some university,Roman Catholic,Student,C2,"K 6,103   -  K 7,892",Yes,19 – 24,"Radio 4,Chimwemwe"
Chimwemwe,60531744,Copperbelt,Mufulira,Urban,Female,1,Two or More,AB,Some university,Roman Catholic,Student,C2,"K 6,103   -  K 7,892",Yes,19 – 24,"Radio 4,Chimwemwe"
Mazabuka,60532056,Southern,Mazabuka,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"Radio 4,Radio 1,Mazabuka,Radio 2,BBC"
Radio 1,60532056,Southern,Mazabuka,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"Radio 4,Radio 1,Mazabuka,Radio 2,BBC"
Radio 2,60532056,Southern,Mazabuka,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"Radio 4,Radio 1,Mazabuka,Radio 2,BBC"
Radio 4,60532056,Southern,Mazabuka,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"Radio 4,Radio 1,Mazabuka,Radio 2,BBC"
BBC,60532056,Southern,Mazabuka,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"Radio 4,Radio 1,Mazabuka,Radio 2,BBC"
Radio 4,60536769,Lusaka,Kafue,Urban,Male,1,None,AB,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,"Radio 4,Radio Christian Voice,Komboni,BBC"
Radio Christian Voice,60536769,Lusaka,Kafue,Urban,Male,1,None,AB,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,"Radio 4,Radio Christian Voice,Komboni,BBC"
BBC,60536769,Lusaka,Kafue,Urban,Male,1,None,AB,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,"Radio 4,Radio Christian Voice,Komboni,BBC"
Komboni,60536769,Lusaka,Kafue,Urban,Male,1,None,AB,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,"Radio 4,Radio Christian Voice,Komboni,BBC"
BBC,60536770,Lusaka,Kafue,Urban,Male,1,None,AB,Some high school,Anglican/Protestant,Student,D,K 850-K 1674,Yes,25 – 34,BBC
Radio 4,60536771,Lusaka,Kafue,Urban,Female,3,One,AB,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,"Radio 4,Komboni"
Komboni,60536771,Lusaka,Kafue,Urban,Female,3,One,AB,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,"Radio 4,Komboni"
Radio Christian Voice,60538019,Lusaka,Kafue,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,25 – 34,"Phoenix,Radio 4,Radio 1,Hot,Radio Christian Voice,Komboni,Q FM,Radio 2"
Radio 1,60538019,Lusaka,Kafue,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,25 – 34,"Phoenix,Radio 4,Radio 1,Hot,Radio Christian Voice,Komboni,Q FM,Radio 2"
Phoenix,60538019,Lusaka,Kafue,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,25 – 34,"Phoenix,Radio 4,Radio 1,Hot,Radio Christian Voice,Komboni,Q FM,Radio 2"
Radio 2,60538019,Lusaka,Kafue,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,25 – 34,"Phoenix,Radio 4,Radio 1,Hot,Radio Christian Voice,Komboni,Q FM,Radio 2"
Radio 4,60538019,Lusaka,Kafue,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,25 – 34,"Phoenix,Radio 4,Radio 1,Hot,Radio Christian Voice,Komboni,Q FM,Radio 2"
Hot,60538019,Lusaka,Kafue,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,25 – 34,"Phoenix,Radio 4,Radio 1,Hot,Radio Christian Voice,Komboni,Q FM,Radio 2"
QFM,60538019,Lusaka,Kafue,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,25 – 34,"Phoenix,Radio 4,Radio 1,Hot,Radio Christian Voice,Komboni,Q FM,Radio 2"
Komboni,60538019,Lusaka,Kafue,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,25 – 34,"Phoenix,Radio 4,Radio 1,Hot,Radio Christian Voice,Komboni,Q FM,Radio 2"
Radio 1,60540118,North-Western,Solwezi,Urban,Female,1,Two or More,AB,University completed,Other Christian,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,45+,"Radio 1,Radio Christian Voice,Parliament"
Radio Christian Voice,60540118,North-Western,Solwezi,Urban,Female,1,Two or More,AB,University completed,Other Christian,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,45+,"Radio 1,Radio Christian Voice,Parliament"
Parliament,60540118,North-Western,Solwezi,Urban,Female,1,Two or More,AB,University completed,Other Christian,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,45+,"Radio 1,Radio Christian Voice,Parliament"
Kabangabanga,60540119,North-Western,Solwezi,Urban,Male,1,None,AB,Completed high School,Others,Unemployed [SEEKING A JOB],C2,"K 3,891  -  K 4,627",Yes,19 – 24,"Kabangabanga,New Generation"
New Generation,60540119,North-Western,Solwezi,Urban,Male,1,None,AB,Completed high School,Others,Unemployed [SEEKING A JOB],C2,"K 3,891  -  K 4,627",Yes,19 – 24,"Kabangabanga,New Generation"
FCC Solwezi,60540120,North-Western,Solwezi,Urban,Female,1,None,AB,University completed,Seventh Day Adventists,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,19 – 24,"New Generation,FCC Solwezi"
New Generation,60540120,North-Western,Solwezi,Urban,Female,1,None,AB,University completed,Seventh Day Adventists,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,19 – 24,"New Generation,FCC Solwezi"
Radio 4,60540121,North-Western,Solwezi,Urban,Female,1,None,AB,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],C1,"K 7,893 -  K 11,261",Yes,25 – 34,"Radio 4,New Generation,FCC Solwezi"
FCC Solwezi,60540121,North-Western,Solwezi,Urban,Female,1,None,AB,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],C1,"K 7,893 -  K 11,261",Yes,25 – 34,"Radio 4,New Generation,FCC Solwezi"
New Generation,60540121,North-Western,Solwezi,Urban,Female,1,None,AB,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],C1,"K 7,893 -  K 11,261",Yes,25 – 34,"Radio 4,New Generation,FCC Solwezi"
FCC Solwezi,60540122,North-Western,Solwezi,Urban,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,45+,"New Generation,FCC Solwezi,Parliament"
Parliament,60540122,North-Western,Solwezi,Urban,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,45+,"New Generation,FCC Solwezi,Parliament"
New Generation,60540122,North-Western,Solwezi,Urban,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,45+,"New Generation,FCC Solwezi,Parliament"
Radio Christian Voice,60540727,Central,Kapiri Mposhi,Urban,Male,1,None,AB,Any other post-high school qualification,Other Christian,Working Full-Time,C2,"K 3,891  -  K 4,627",Yes,35 – 44,"Radio Christian Voice,Radio 2"
Radio 2,60540727,Central,Kapiri Mposhi,Urban,Male,1,None,AB,Any other post-high school qualification,Other Christian,Working Full-Time,C2,"K 3,891  -  K 4,627",Yes,35 – 44,"Radio Christian Voice,Radio 2"
Hot,60541600,Lusaka,Lusaka district,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"Hot,Q FM,BBC"
BBC,60541600,Lusaka,Lusaka district,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"Hot,Q FM,BBC"
QFM,60541600,Lusaka,Lusaka district,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"Hot,Q FM,BBC"
Icengelo,60548541,Copperbelt,Kitwe,Urban,Male,3,One,AB,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,19 – 24,Icengelo
Icengelo,60549183,Copperbelt,Kitwe,Urban,Male,2,One,AB,University completed,Roman Catholic,Working Part-Time,C1,"K 3,155   -  K 3,890",Yes,19 – 24,"Phoenix,Icengelo"
Phoenix,60549183,Copperbelt,Kitwe,Urban,Male,2,One,AB,University completed,Roman Catholic,Working Part-Time,C1,"K 3,155   -  K 3,890",Yes,19 – 24,"Phoenix,Icengelo"
Power,60549710,Central,Kabwe,Urban,Male,2,One,AB,Completed high School,Roman Catholic,Unemployed [NOT SEEKING A JOB],C1,"K 5,365  -  K 6,102",Yes,19 – 24,Power
Hot,60550362,Lusaka,Lusaka district,Urban,Female,0,Two or More,AB,Some university,Roman Catholic,Student,C1,Under K 849,Yes,19 – 24,Hot
Rise FM,60553130,Copperbelt,Chingola,Urban,Male,1,None,AB,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C1,Under K 849,Yes,19 – 24,"Rise FM,Icengelo,Kokoliko"
Icengelo,60553130,Copperbelt,Chingola,Urban,Male,1,None,AB,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C1,Under K 849,Yes,19 – 24,"Rise FM,Icengelo,Kokoliko"
Kokoliko,60553130,Copperbelt,Chingola,Urban,Male,1,None,AB,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C1,Under K 849,Yes,19 – 24,"Rise FM,Icengelo,Kokoliko"
Kokoliko,60553131,Copperbelt,Chingola,Urban,Female,1,One,AB,Completed high School,Others,Unemployed [SEEKING A JOB],C1,Under K 849,Yes,19 – 24,Kokoliko
Radio 2,60553775,Muchinga,Nakonde,Urban,Male,2,Two or More,AB,Completed high School,Seventh Day Adventists,Self employed,C1,"K 2,500   -  K 3,154",Yes,25 – 34,Radio 2
Icengelo,60554675,Copperbelt,Kitwe,Urban,Male,3,One,AB,University completed,Roman Catholic,Unemployed [SEEKING A JOB],C1,"K 1675- K2,499",Yes,25 – 34,Icengelo
Icengelo,60555743,Copperbelt,Kitwe,Urban,Male,3,One,AB,Some university,Anglican/Protestant,Unemployed [SEEKING A JOB],C1,No Income,Yes,19 – 24,Icengelo
Radio Christian Voice,60556109,Copperbelt,Kitwe,Urban,Female,1,None,AB,Completed high School,Others,Working Full-Time,D,"K 1675- K2,499",Yes,45+,"Radio Christian Voice,BBC"
BBC,60556109,Copperbelt,Kitwe,Urban,Female,1,None,AB,Completed high School,Others,Working Full-Time,D,"K 1675- K2,499",Yes,45+,"Radio Christian Voice,BBC"
Radio 1,60558639,Lusaka,Lusaka district,Urban,Male,2,One,AB,Completed high School,Others,Retired - voluntary scholarspensioners,C2,"K 3,891  -  K 4,627",Yes,45+,"Radio 1,Millennium"
Millennium,60558639,Lusaka,Lusaka district,Urban,Male,2,One,AB,Completed high School,Others,Retired - voluntary scholarspensioners,C2,"K 3,891  -  K 4,627",Yes,45+,"Radio 1,Millennium"
Phoenix,60559161,Copperbelt,Ndola,Urban,Female,0,Two or More,AB,Primary school completed,Anglican/Protestant,Working Full-Time,D,"K 1675- K2,499",No,35 – 44,Phoenix
Radio 1,60559165,Copperbelt,Ndola,Urban,Female,2,None,AB,Some high school,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"Radio 1,Radio 2"
Radio 2,60559165,Copperbelt,Ndola,Urban,Female,2,None,AB,Some high school,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"Radio 1,Radio 2"
Chimwemwe,60560263,Copperbelt,Luanshya,Urban,Female,1,One,AB,Some high school,Anglican/Protestant,Student,C1,"K 3,891  -  K 4,627",Yes,19 – 24,Chimwemwe
Radio 1,60560267,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some high school,Anglican/Protestant,Self employed,C1,"K 3,891  -  K 4,627",Yes,35 – 44,Radio 1
Radio 2,60561650,Copperbelt,Mufulira,Urban,Female,0,None,AB,Some university,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,25 – 34,Radio 2
BBC,60562094,Lusaka,Kafue,Urban,Female,0,None,AB,Some high school,Others,Refused/ don’t know (DON’T READ),No Income,No Income,Yes,19 – 24,BBC
Komboni,60562100,Lusaka,Kafue,Urban,Male,0,None,AB,Completed high School,Other Christian,Refused/ don’t know (DON’T READ),No Income,No Income,Yes,19 – 24,Komboni
Unza,60563529,Lusaka,Lusaka district,Urban,Male,1,None,AB,Completed high School,Others,Self employed,D,K 850-K 1674,Yes,19 – 24,"Komboni,Unza"
Komboni,60563529,Lusaka,Lusaka district,Urban,Male,1,None,AB,Completed high School,Others,Self employed,D,K 850-K 1674,Yes,19 – 24,"Komboni,Unza"
Radio Christian Voice,60564875,North-Western,Solwezi,Urban,Male,1,Two or More,AB,Completed high School,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 6,103   -  K 7,892",Yes,45+,"Radio Christian Voice,Radio 2,FCC Solwezi,Parliament"
FCC Solwezi,60564875,North-Western,Solwezi,Urban,Male,1,Two or More,AB,Completed high School,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 6,103   -  K 7,892",Yes,45+,"Radio Christian Voice,Radio 2,FCC Solwezi,Parliament"
Parliament,60564875,North-Western,Solwezi,Urban,Male,1,Two or More,AB,Completed high School,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 6,103   -  K 7,892",Yes,45+,"Radio Christian Voice,Radio 2,FCC Solwezi,Parliament"
Radio 2,60564875,North-Western,Solwezi,Urban,Male,1,Two or More,AB,Completed high School,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 6,103   -  K 7,892",Yes,45+,"Radio Christian Voice,Radio 2,FCC Solwezi,Parliament"
