Radio Listeners (P7D - Past 7 Days) analysis,SbjNum,TOM - Radio Spontaneous Awareness,Other Mentions - Radio Spontaneous Awareness,Radio Prompted Awareness,Total Awareness,Ever Listened to Radio,Radio Listeners (Yesterday),Radio Listeners (P7D - Past 7 Days),Radio Listeners (P4W) - Past 4 Weeks,Radio Listeners (P12M) - Past 12 Months
Radio 2,60748710,,,"Mazabuka,Radio 1,Radio 2,Radio 4,SKY,Komboni Radio,BBC,Byta,Chikuni,Mosi-0-Tunya,Parliament,Q FM,Zambezi,","Mazabuka,Radio 1,Radio 2,Radio 4,SKY,Komboni Radio,BBC,Byta,Chikuni,Mosi-0-Tunya,Parliament,Q FM,Zambezi,","BBC,Mazabuka,Q FM,Radio 1,Radio 2,Radio 4,SKY,Zambezi,",Mazabuka,"Mazabuka,Radio 1,Radio 2,Radio 4,","Mazabuka,Radio 1,Radio 2,Radio 4,","BBC,Mazabuka,Q FM,Radio 1,Radio 2,Radio 4,SKY,Zambezi,"
Mazabuka,60748710,,,"Mazabuka,Radio 1,Radio 2,Radio 4,SKY,Komboni Radio,BBC,Byta,Chikuni,Mosi-0-Tunya,Parliament,Q FM,Zambezi,","Mazabuka,Radio 1,Radio 2,Radio 4,SKY,Komboni Radio,BBC,Byta,Chikuni,Mosi-0-Tunya,Parliament,Q FM,Zambezi,","BBC,Mazabuka,Q FM,Radio 1,Radio 2,Radio 4,SKY,Zambezi,",Mazabuka,"Mazabuka,Radio 1,Radio 2,Radio 4,","Mazabuka,Radio 1,Radio 2,Radio 4,","BBC,Mazabuka,Q FM,Radio 1,Radio 2,Radio 4,SKY,Zambezi,"
Radio 1,60748710,,,"Mazabuka,Radio 1,Radio 2,Radio 4,SKY,Komboni Radio,BBC,Byta,Chikuni,Mosi-0-Tunya,Parliament,Q FM,Zambezi,","Mazabuka,Radio 1,Radio 2,Radio 4,SKY,Komboni Radio,BBC,Byta,Chikuni,Mosi-0-Tunya,Parliament,Q FM,Zambezi,","BBC,Mazabuka,Q FM,Radio 1,Radio 2,Radio 4,SKY,Zambezi,",Mazabuka,"Mazabuka,Radio 1,Radio 2,Radio 4,","Mazabuka,Radio 1,Radio 2,Radio 4,","BBC,Mazabuka,Q FM,Radio 1,Radio 2,Radio 4,SKY,Zambezi,"
Mazabuka,60748712,,,"Mazabuka,Radio 1, Byta,Chikuni,Mosi-0-Tunya,Radio 4,","Mazabuka,Radio 1, Byta,Chikuni,Mosi-0-Tunya,Radio 4,","Mazabuka,Mosi-0-Tunya,Radio 1,Radio 4,",Radio 1,"Mazabuka,Radio 1","Mazabuka,Radio 1","Mazabuka,Mosi-0-Tunya,Radio 1,Radio 4"
Radio 1,60748712,,,"Mazabuka,Radio 1, Byta,Chikuni,Mosi-0-Tunya,Radio 4,","Mazabuka,Radio 1, Byta,Chikuni,Mosi-0-Tunya,Radio 4,","Mazabuka,Mosi-0-Tunya,Radio 1,Radio 4,",Radio 1,"Mazabuka,Radio 1","Mazabuka,Radio 1","Mazabuka,Mosi-0-Tunya,Radio 1,Radio 4"
Icengelo,60748992,,,"Icengelo,Kokoliko, BBC,Flava FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio 1,Radio 2,","Icengelo,Kokoliko, BBC,Flava FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio 1,Radio 2,","Icengelo,Kokoliko,Radio 2,Radio 4,",Icengelo,"Icengelo,Kokoliko","Icengelo,Kokoliko","Icengelo,Kokoliko"
Kokoliko,60748992,,,"Icengelo,Kokoliko, BBC,Flava FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio 1,Radio 2,","Icengelo,Kokoliko, BBC,Flava FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio 1,Radio 2,","Icengelo,Kokoliko,Radio 2,Radio 4,",Icengelo,"Icengelo,Kokoliko","Icengelo,Kokoliko","Icengelo,Kokoliko"
Icengelo,60749180,,,"Radio 1,Radio 2,Radio 4, BBC,Chimwemwe,Icengelo,Kokoliko,Phoenix,Radio Christian Voice,Rise FM,Radio 1,Radio 2,Radio 4,Radio 1,","Radio 1,Radio 2,Radio 4, BBC,Chimwemwe,Icengelo,Kokoliko,Phoenix,Radio Christian Voice,Rise FM,Radio 1,Radio 2,Radio 4,Radio 1,","Icengelo,Radio 1,Radio 2,Radio 4,Radio 1",Radio 1,"Icengelo,Radio 1 ","Icengelo,Radio 2,Radio 1","Icengelo,Radio 1,Radio 2,Radio 4,Radio 1"
Radio 1,60749180,,,"Radio 1,Radio 2,Radio 4, BBC,Chimwemwe,Icengelo,Kokoliko,Phoenix,Radio Christian Voice,Rise FM,Radio 1,Radio 2,Radio 4,Radio 1,","Radio 1,Radio 2,Radio 4, BBC,Chimwemwe,Icengelo,Kokoliko,Phoenix,Radio Christian Voice,Rise FM,Radio 1,Radio 2,Radio 4,Radio 1,","Icengelo,Radio 1,Radio 2,Radio 4,Radio 1",Radio 1,"Icengelo,Radio 1 ","Icengelo,Radio 2,Radio 1","Icengelo,Radio 1,Radio 2,Radio 4,Radio 1"
Yar,60749457,,,"Icengelo,Yar, ","Icengelo,Yar, ","Icengelo,Yar,",Yar,"Icengelo,Yar","Icengelo,Yar","Icengelo,Yar"
Icengelo,60749457,,,"Icengelo,Yar, ","Icengelo,Yar, ","Icengelo,Yar,",Yar,"Icengelo,Yar","Icengelo,Yar","Icengelo,Yar"
Phoenix,60749750,,,"Icengelo,Kokoliko,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Sun FMFM, ","Icengelo,Kokoliko,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Sun FMFM, ","Icengelo,Phoenix,Sun FM",Sat,"Icengelo,Phoenix,Sun FM","Icengelo,Phoenix,Sun FM","Icengelo,Phoenix,Sun FM"
Sun FM,60749750,,,"Icengelo,Kokoliko,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Sun FMFM, ","Icengelo,Kokoliko,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Sun FMFM, ","Icengelo,Phoenix,Sun FM",Sat,"Icengelo,Phoenix,Sun FM","Icengelo,Phoenix,Sun FM","Icengelo,Phoenix,Sun FM"
Icengelo,60749750,,,"Icengelo,Kokoliko,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Sun FMFM, ","Icengelo,Kokoliko,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Sun FMFM, ","Icengelo,Phoenix,Sun FM",Sat,"Icengelo,Phoenix,Sun FM","Icengelo,Phoenix,Sun FM","Icengelo,Phoenix,Sun FM"
Chimwemwe,60750328,,,"Chimwemwe,Icengelo,Jive,Sun FMFM, BBC,Phoenix,Radio 1,Radio Christian Voice,","Chimwemwe,Icengelo,Jive,Sun FMFM, BBC,Phoenix,Radio 1,Radio Christian Voice,","Chimwemwe,Jive,Radio 1,Radio Christian Voice,Sun FM","Jive,Sun FM","Chimwemwe,Jive,Radio Christian Voice,Sun FM","Chimwemwe,Jive,Radio 1,Radio Christian Voice,Sun FM","Chimwemwe,Jive,Radio 1,Radio Christian Voice,Sun FM"
Sun FM,60750328,,,"Chimwemwe,Icengelo,Jive,Sun FMFM, BBC,Phoenix,Radio 1,Radio Christian Voice,","Chimwemwe,Icengelo,Jive,Sun FMFM, BBC,Phoenix,Radio 1,Radio Christian Voice,","Chimwemwe,Jive,Radio 1,Radio Christian Voice,Sun FM","Jive,Sun FM","Chimwemwe,Jive,Radio Christian Voice,Sun FM","Chimwemwe,Jive,Radio 1,Radio Christian Voice,Sun FM","Chimwemwe,Jive,Radio 1,Radio Christian Voice,Sun FM"
Radio Christian Voice,60750328,,,"Chimwemwe,Icengelo,Jive,Sun FMFM, BBC,Phoenix,Radio 1,Radio Christian Voice,","Chimwemwe,Icengelo,Jive,Sun FMFM, BBC,Phoenix,Radio 1,Radio Christian Voice,","Chimwemwe,Jive,Radio 1,Radio Christian Voice,Sun FM","Jive,Sun FM","Chimwemwe,Jive,Radio Christian Voice,Sun FM","Chimwemwe,Jive,Radio 1,Radio Christian Voice,Sun FM","Chimwemwe,Jive,Radio 1,Radio Christian Voice,Sun FM"
Jive,60750328,,,"Chimwemwe,Icengelo,Jive,Sun FMFM, BBC,Phoenix,Radio 1,Radio Christian Voice,","Chimwemwe,Icengelo,Jive,Sun FMFM, BBC,Phoenix,Radio 1,Radio Christian Voice,","Chimwemwe,Jive,Radio 1,Radio Christian Voice,Sun FM","Jive,Sun FM","Chimwemwe,Jive,Radio Christian Voice,Sun FM","Chimwemwe,Jive,Radio 1,Radio Christian Voice,Sun FM","Chimwemwe,Jive,Radio 1,Radio Christian Voice,Sun FM"
Radio 4,60750561,,,"Icengelo,Sun FMFM,Ngoma fm,BBC,Chimwemwe,Flava FM,Jive,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Yar,","Icengelo,Sun FMFM,Ngoma fm,BBC,Chimwemwe,Flava FM,Jive,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Yar,","Chimwemwe,Icengelo,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Sun FM,Yar,",,"Radio 4,","Radio 1,Radio 2,Radio 4,","Chimwemwe,Icengelo,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Sun FM,Yar,"
Radio 2,60750569,,,"Icengelo,Radio 1,Radio 2,Sun FMFM,Ngoma fm,BBC,Chimwemwe,Parliament,Phoenix,Q FM,Radio 4,Radio Christian Voice,","Icengelo,Radio 1,Radio 2,Sun FMFM,Ngoma fm,BBC,Chimwemwe,Parliament,Phoenix,Q FM,Radio 4,Radio Christian Voice,","Chimwemwe,Icengelo,Radio 1,Radio 2,Sun FM,,",Icengelo,"Icengelo,Radio 1,Radio 2,","Chimwemwe,Icengelo,Radio 1,Radio 2,Sun FM,","Chimwemwe,Icengelo,Radio 1,Radio 2,Sun FM,"
Icengelo,60750569,,,"Icengelo,Radio 1,Radio 2,Sun FMFM,Ngoma fm,BBC,Chimwemwe,Parliament,Phoenix,Q FM,Radio 4,Radio Christian Voice,","Icengelo,Radio 1,Radio 2,Sun FMFM,Ngoma fm,BBC,Chimwemwe,Parliament,Phoenix,Q FM,Radio 4,Radio Christian Voice,","Chimwemwe,Icengelo,Radio 1,Radio 2,Sun FM,,",Icengelo,"Icengelo,Radio 1,Radio 2,","Chimwemwe,Icengelo,Radio 1,Radio 2,Sun FM,","Chimwemwe,Icengelo,Radio 1,Radio 2,Sun FM,"
Radio 1,60750569,,,"Icengelo,Radio 1,Radio 2,Sun FMFM,Ngoma fm,BBC,Chimwemwe,Parliament,Phoenix,Q FM,Radio 4,Radio Christian Voice,","Icengelo,Radio 1,Radio 2,Sun FMFM,Ngoma fm,BBC,Chimwemwe,Parliament,Phoenix,Q FM,Radio 4,Radio Christian Voice,","Chimwemwe,Icengelo,Radio 1,Radio 2,Sun FM,,",Icengelo,"Icengelo,Radio 1,Radio 2,","Chimwemwe,Icengelo,Radio 1,Radio 2,Sun FM,","Chimwemwe,Icengelo,Radio 1,Radio 2,Sun FM,"
Kokoliko,60751041,,,"Flava FM,Icengelo,Kokoliko,Radio 1,Radio 2,Radio 4,Rise FM, BBC,Iwave,Parliament,Phoenix,Q FM,Radio Christian Voice,Radio 1,Radio 2,Radio 4,","Flava FM,Icengelo,Kokoliko,Radio 1,Radio 2,Radio 4,Rise FM, BBC,Iwave,Parliament,Phoenix,Q FM,Radio Christian Voice,Radio 1,Radio 2,Radio 4,","Flava FM,Icengelo,Iwave,Kokoliko,Radio 1,Radio 2,Radio 4",Kokoliko,Kokoliko,Kokoliko,"Kokoliko,Radio 4"
Radio 1,60751304,,,"PASME,Petauke Explorers,Radio 1, Breeze,Maria,Mphangwe,Parliament,Parliament,Radio 2,Radio 4,Radio Christian Voice,Valley,","PASME,Petauke Explorers,Radio 1, Breeze,Maria,Mphangwe,Parliament,Parliament,Radio 2,Radio 4,Radio Christian Voice,Valley,","Breeze,Maria,Parliament,PASME,Petauke Explorers,Radio 1,","Petauke Explorers,Radio 1","Maria,Petauke Explorers,Radio 1","Breeze,Maria,Petauke Explorers,Radio 1","Breeze,Maria,Parliament,PASME,Petauke Explorers,Radio 1"
Maria,60751304,,,"PASME,Petauke Explorers,Radio 1, Breeze,Maria,Mphangwe,Parliament,Parliament,Radio 2,Radio 4,Radio Christian Voice,Valley,","PASME,Petauke Explorers,Radio 1, Breeze,Maria,Mphangwe,Parliament,Parliament,Radio 2,Radio 4,Radio Christian Voice,Valley,","Breeze,Maria,Parliament,PASME,Petauke Explorers,Radio 1,","Petauke Explorers,Radio 1","Maria,Petauke Explorers,Radio 1","Breeze,Maria,Petauke Explorers,Radio 1","Breeze,Maria,Parliament,PASME,Petauke Explorers,Radio 1"
Petauke Explorers,60751304,,,"PASME,Petauke Explorers,Radio 1, Breeze,Maria,Mphangwe,Parliament,Parliament,Radio 2,Radio 4,Radio Christian Voice,Valley,","PASME,Petauke Explorers,Radio 1, Breeze,Maria,Mphangwe,Parliament,Parliament,Radio 2,Radio 4,Radio Christian Voice,Valley,","Breeze,Maria,Parliament,PASME,Petauke Explorers,Radio 1,","Petauke Explorers,Radio 1","Maria,Petauke Explorers,Radio 1","Breeze,Maria,Petauke Explorers,Radio 1","Breeze,Maria,Parliament,PASME,Petauke Explorers,Radio 1"
Komboni,60752637,,,"Radio Christian Voice,Komboni Radio,Radio 1,Radio 2,Radio 4, BBC,Comet 10,Joy,Kafue,Millennium,One Love,Parliament,Phoenix,","Radio Christian Voice,Komboni Radio,Radio 1,Radio 2,Radio 4, BBC,Comet 10,Joy,Kafue,Millennium,One Love,Parliament,Phoenix,","Radio Christian Voice,Komboni Radio,Radio 1,Radio 2,Radio 4",Komboni Radio,"Radio Christian Voice,Komboni Radio","Radio Christian Voice,Komboni Radio,Radio 1","Radio Christian Voice,Komboni Radio,Radio 1,Radio 2"
Radio Christian Voice,60752637,,,"Radio Christian Voice,Komboni Radio,Radio 1,Radio 2,Radio 4, BBC,Comet 10,Joy,Kafue,Millennium,One Love,Parliament,Phoenix,","Radio Christian Voice,Komboni Radio,Radio 1,Radio 2,Radio 4, BBC,Comet 10,Joy,Kafue,Millennium,One Love,Parliament,Phoenix,","Radio Christian Voice,Komboni Radio,Radio 1,Radio 2,Radio 4",Komboni Radio,"Radio Christian Voice,Komboni Radio","Radio Christian Voice,Komboni Radio,Radio 1","Radio Christian Voice,Komboni Radio,Radio 1,Radio 2"
Millennium,60752638,,,"Millennium,Q FM,Radio 4, Phoenix,Radio 1,Radio 2,","Millennium,Q FM,Radio 4, Phoenix,Radio 1,Radio 2,",Millennium,Millennium,Millennium,Millennium,Millennium
Radio 1,60752639,,,"Radio 1,Radio 2,Radio 4, 5FM,Komboni Radio,Millennium,Phoenix,","Radio 1,Radio 2,Radio 4, 5FM,Komboni Radio,Millennium,Phoenix,",Radio 1,Radio 1,Radio 1,Radio 1,Radio 1
Q FM,60752640,,,"Hot,Q FM,Radio 1,Radio 4, Komboni Radio,Phoenix,","Hot,Q FM,Radio 1,Radio 4, Komboni Radio,Phoenix,",Q FM,Q FM,Q FM,Q FM,Q FM
BBC,60752641,,,"Komboni Radio,Phoenix,Radio 1,Radio 2,Radio 4, BBC,Yatsani, Yangeni FM,","Komboni Radio,Phoenix,Radio 1,Radio 2,Radio 4, BBC,Yatsani, Yangeni FM,",BBC,BBC,BBC,BBC,BBC
Radio Christian Voice,60752642,,,"Q FM,Radio 1,Radio 2,Radio 4, Radio Christian Voice,Komboni Radio,Millennium,","Q FM,Radio 1,Radio 2,Radio 4, Radio Christian Voice,Komboni Radio,Millennium,",Radio Christian Voice,Radio Christian Voice,Radio Christian Voice,Radio Christian Voice,Radio Christian Voice
Komboni,60752643,,,"Yatsani, Yangeni FM,Radio 1, Komboni Radio,Phoenix,","Yatsani, Yangeni FM,Radio 1, Komboni Radio,Phoenix,","Komboni Radio,Yatsani, Yangeni FM,","Komboni Radio,Yatsani, Yangeni FM","Komboni Radio,Yatsani,Yangeni FM","Komboni Radio,Yatsani, Yangeni FM","Komboni Radio,Yatsani, Yangeni FM"
Yatsani,60752643,,,"Yatsani, Yangeni FM,Radio 1, Komboni Radio,Phoenix,","Yatsani, Yangeni FM,Radio 1, Komboni Radio,Phoenix,","Komboni Radio,Yatsani, Yangeni FM,","Komboni Radio,Yatsani, Yangeni FM","Komboni Radio,Yatsani,Yangeni FM","Komboni Radio,Yatsani, Yangeni FM","Komboni Radio,Yatsani, Yangeni FM"
Yangeni FM,60752643,,,"Yatsani, Yangeni FM,Radio 1, Komboni Radio,Phoenix,","Yatsani, Yangeni FM,Radio 1, Komboni Radio,Phoenix,","Komboni Radio,Yatsani, Yangeni FM,","Komboni Radio,Yatsani, Yangeni FM","Komboni Radio,Yatsani,Yangeni FM","Komboni Radio,Yatsani, Yangeni FM","Komboni Radio,Yatsani, Yangeni FM"
Komboni,60752644,,,"Komboni Radio,Millennium, Radio 1,","Komboni Radio,Millennium, Radio 1,",Komboni Radio,Komboni Radio,Komboni Radio,Komboni Radio,Komboni Radio
Komboni,60752645,,,"Radio Christian Voice,Komboni Radio,Q FM,Radio 2, Phoenix,","Radio Christian Voice,Komboni Radio,Q FM,Radio 2, Phoenix,",Komboni Radio,Komboni Radio,Komboni Radio,Komboni Radio,Komboni Radio
Icengelo,60753398,,,"Icengelo,Iwave,Kokoliko, ","Icengelo,Iwave,Kokoliko, ","Icengelo,Iwave,Kokoliko",Kokoliko,"Icengelo,Kokoliko","Icengelo,Iwave,Kokoliko","Icengelo,Iwave,Kokoliko"
Kokoliko,60753398,,,"Icengelo,Iwave,Kokoliko, ","Icengelo,Iwave,Kokoliko, ","Icengelo,Iwave,Kokoliko",Kokoliko,"Icengelo,Kokoliko","Icengelo,Iwave,Kokoliko","Icengelo,Iwave,Kokoliko"
Rise FM,60753399,,,"Icengelo,Kokoliko,Radio 1,Rise FM, Chimwemwe,Iwave,Radio 2,Radio Christian Voice,","Icengelo,Kokoliko,Radio 1,Rise FM, Chimwemwe,Iwave,Radio 2,Radio Christian Voice,","Chimwemwe,Icengelo,Iwave,Kokoliko,Radio 1,Radio 2,Rise FM",Rise FM,Rise FM,"Chimwemwe,Iwave,Kokoliko,Radio 1,Rise FM","Chimwemwe,Icengelo,Iwave,Kokoliko,Radio 1,Radio 2,Rise FM"
Iwave,60753402,,,"Icengelo,Iwave,Kokoliko,Phoenix,Radio 1,Radio 2, Radio 4,Radio Christian Voice,Rise FM,Sun FMFM,","Icengelo,Iwave,Kokoliko,Phoenix,Radio 1,Radio 2, Radio 4,Radio Christian Voice,Rise FM,Sun FMFM,","Icengelo,Iwave,Kokoliko,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rise FM,Sun FM,",Iwave,"Icengelo,Iwave,Kokoliko","Icengelo,Iwave,Kokoliko,Phoenix,Radio Christian Voice","Icengelo,Iwave,Kokoliko,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rise FM,Sun FM"
Icengelo,60753402,,,"Icengelo,Iwave,Kokoliko,Phoenix,Radio 1,Radio 2, Radio 4,Radio Christian Voice,Rise FM,Sun FMFM,","Icengelo,Iwave,Kokoliko,Phoenix,Radio 1,Radio 2, Radio 4,Radio Christian Voice,Rise FM,Sun FMFM,","Icengelo,Iwave,Kokoliko,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rise FM,Sun FM,",Iwave,"Icengelo,Iwave,Kokoliko","Icengelo,Iwave,Kokoliko,Phoenix,Radio Christian Voice","Icengelo,Iwave,Kokoliko,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rise FM,Sun FM"
Kokoliko,60753402,,,"Icengelo,Iwave,Kokoliko,Phoenix,Radio 1,Radio 2, Radio 4,Radio Christian Voice,Rise FM,Sun FMFM,","Icengelo,Iwave,Kokoliko,Phoenix,Radio 1,Radio 2, Radio 4,Radio Christian Voice,Rise FM,Sun FMFM,","Icengelo,Iwave,Kokoliko,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rise FM,Sun FM,",Iwave,"Icengelo,Iwave,Kokoliko","Icengelo,Iwave,Kokoliko,Phoenix,Radio Christian Voice","Icengelo,Iwave,Kokoliko,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rise FM,Sun FM"
Rise FM,60753404,,,"Icengelo,Iwave,Kokoliko,Rise FM, Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Sun FMFM,","Icengelo,Iwave,Kokoliko,Rise FM, Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Sun FMFM,","Icengelo,Iwave,Kokoliko,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rise FM,Sun FM,",Rise FM,Rise FM,"Iwave,Kokoliko,Rise FM","Icengelo,Iwave,Kokoliko,Phoenix,Radio 1,Radio 2,Radio 4,Rise FM"
Rise FM,60753405,,,"BBC,Chimwemwe,Icengelo,Kokoliko,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rise FM,Sun FMFM, ","BBC,Chimwemwe,Icengelo,Kokoliko,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rise FM,Sun FMFM, ","BBC,Chimwemwe,Icengelo,Kokoliko,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rise FM,",Rise FM,Rise FM,"Icengelo,Kokoliko,Rise FM","Icengelo,Kokoliko,Rise FM"
Iwave,60753407,,,"Icengelo,Iwave,Kokoliko, BBC,Flava FM,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio Mpongwe,Rise FM,Sun FMFM,Yar,","Icengelo,Iwave,Kokoliko, BBC,Flava FM,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio Mpongwe,Rise FM,Sun FMFM,Yar,","BBC,Flava FM,Icengelo,Iwave,Kokoliko,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rise FM,Sun FM,","Icengelo,Iwave","Icengelo,Iwave","Icengelo,Iwave,Kokoliko,Phoenix","BBC,Flava FM,Icengelo,Iwave,Kokoliko,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rise FM,Sun FM"
Icengelo,60753407,,,"Icengelo,Iwave,Kokoliko, BBC,Flava FM,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio Mpongwe,Rise FM,Sun FMFM,Yar,","Icengelo,Iwave,Kokoliko, BBC,Flava FM,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio Mpongwe,Rise FM,Sun FMFM,Yar,","BBC,Flava FM,Icengelo,Iwave,Kokoliko,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rise FM,Sun FM,","Icengelo,Iwave","Icengelo,Iwave","Icengelo,Iwave,Kokoliko,Phoenix","BBC,Flava FM,Icengelo,Iwave,Kokoliko,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rise FM,Sun FM"
Isoka,60753952,,,"Isoka,Radio 1,Radio 2, Radio 4,","Isoka,Radio 1,Radio 2, Radio 4,","Isoka,Radio 1,Radio 2,Radio 4,",,"Isoka,Radio 1","Isoka,Radio 1,Radio 1","Isoka,Radio 1,Radio 2,Radio 4,"
Radio 1,60753952,,,"Isoka,Radio 1,Radio 2, Radio 4,","Isoka,Radio 1,Radio 2, Radio 4,","Isoka,Radio 1,Radio 2,Radio 4,",,"Isoka,Radio 1","Isoka,Radio 1,Radio 1","Isoka,Radio 1,Radio 2,Radio 4,"
Radio 1,60753953,,,"Radio 1, Isoka,Muchinga,Radio 2,","Radio 1, Isoka,Muchinga,Radio 2,","Isoka,Radio 1,Radio 2",,Radio 1,Radio 1,Radio 1
Isoka,60753954,,,"Isoka,Radio 1,Radio 2,Bomba Fm,BBC,Radio Christian Voice,","Isoka,Radio 1,Radio 2,Bomba Fm,BBC,Radio Christian Voice,","BBC,Isoka,Radio 1,Radio 2,Radio Christian Voice,,",,"Isoka,Radio 1,","Isoka,Radio 1,","BBC,Isoka,Radio 1,Radio 2,Radio Christian Voice,"
Radio 1,60753954,,,"Isoka,Radio 1,Radio 2,Bomba Fm,BBC,Radio Christian Voice,","Isoka,Radio 1,Radio 2,Bomba Fm,BBC,Radio Christian Voice,","BBC,Isoka,Radio 1,Radio 2,Radio Christian Voice,,",,"Isoka,Radio 1,","Isoka,Radio 1,","BBC,Isoka,Radio 1,Radio 2,Radio Christian Voice,"
Radio 1,60753955,,,"Isoka,Radio 1,Radio 2, BBC,Radio 4,Radio Christian Voice,","Isoka,Radio 1,Radio 2, BBC,Radio 4,Radio Christian Voice,","BBC,Isoka,Radio 1,Radio 2,Radio 4,Radio Christian Voice,",,"Radio 1,Radio 1","Radio 1,Radio 1","BBC,Isoka,Radio 1,Radio 2,Radio 4"
Radio 1,60753956,,,"Isoka,Radio 1, BBC,Radio 2,","Isoka,Radio 1, BBC,Radio 2,","BBC,Isoka,Radio 1,Radio 2,",,Radio 1,"Isoka,Radio 1","BBC,Isoka,Radio 1,Radio 2"
Radio 2,60753957,,,"Isoka,Radio 1,Radio 2, BBC,Radio 4,","Isoka,Radio 1,Radio 2, BBC,Radio 4,","BBC,Isoka,Radio 1,Radio 2,",,"Radio 1,Radio 2","Radio 1,Radio 2","BBC,Isoka,Radio 1,Radio 2"
Radio 1,60753957,,,"Isoka,Radio 1,Radio 2, BBC,Radio 4,","Isoka,Radio 1,Radio 2, BBC,Radio 4,","BBC,Isoka,Radio 1,Radio 2,",,"Radio 1,Radio 2","Radio 1,Radio 2","BBC,Isoka,Radio 1,Radio 2"
Radio 2,60753958,,,"Radio 1,Radio 2, BBC,Isoka,Radio 4,Radio Christian Voice,","Radio 1,Radio 2, BBC,Isoka,Radio 4,Radio Christian Voice,","BBC,Isoka,Radio 1,Radio 2,Radio 4,Radio Christian Voice,",Radio 1,"Radio 1,Radio 2","Radio 1,Radio 2","Isoka,Radio 1,Radio 2,Radio 4"
Radio 1,60753958,,,"Radio 1,Radio 2, BBC,Isoka,Radio 4,Radio Christian Voice,","Radio 1,Radio 2, BBC,Isoka,Radio 4,Radio Christian Voice,","BBC,Isoka,Radio 1,Radio 2,Radio 4,Radio Christian Voice,",Radio 1,"Radio 1,Radio 2","Radio 1,Radio 2","Isoka,Radio 1,Radio 2,Radio 4"
Mosi-O-Tunya,60754077,,,"Falls,Mosi-0-Tunya, ","Falls,Mosi-0-Tunya, ","Falls,Mosi-0-Tunya,","Falls,Mosi-0-Tunya","Falls,Mosi--Tunya","Falls,Mosi-0-Tunya","Falls,Mosi-0-Tunya"
Falls,60754077,,,"Falls,Mosi-0-Tunya, ","Falls,Mosi-0-Tunya, ","Falls,Mosi-0-Tunya,","Falls,Mosi-0-Tunya","Falls,Mosi--Tunya","Falls,Mosi-0-Tunya","Falls,Mosi-0-Tunya"
Mosi-O-Tunya,60754078,,,"Mosi-0-Tunya,Zambezi, ","Mosi-0-Tunya,Zambezi, ","Mosi-0-Tunya,Zambezi,","Mosi-0-Tunya,Zambezi","Mosi--Tunya,Zambezi","Mosi-0-Tunya,Zambezi","Mosi-0-Tunya,Zambezi"
Zambezi,60754078,,,"Mosi-0-Tunya,Zambezi, ","Mosi-0-Tunya,Zambezi, ","Mosi-0-Tunya,Zambezi,","Mosi-0-Tunya,Zambezi","Mosi--Tunya,Zambezi","Mosi-0-Tunya,Zambezi","Mosi-0-Tunya,Zambezi"
