Radio 4  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Radio 4  Yesterday
7:45  -  7:59,60531744,Copperbelt,Mufulira,Urban,Female,1,Two or More,AB,Some university,Roman Catholic,Student,C2,"K 6,103   -  K 7,892",Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
8:30  -  8:44,60531744,Copperbelt,Mufulira,Urban,Female,1,Two or More,AB,Some university,Roman Catholic,Student,C2,"K 6,103   -  K 7,892",Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
7:30  -  7:44,60531744,Copperbelt,Mufulira,Urban,Female,1,Two or More,AB,Some university,Roman Catholic,Student,C2,"K 6,103   -  K 7,892",Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
14:00  -  14:14,60540117,North-Western,Solwezi,Rural,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Housewife,D,K 850-K 1674,Yes,25 – 34,"14:00  -  14:14,16:00  -  16:14"
16:00  -  16:14,60540117,North-Western,Solwezi,Rural,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Housewife,D,K 850-K 1674,Yes,25 – 34,"14:00  -  14:14,16:00  -  16:14"
12:00  -  12:14,60540121,North-Western,Solwezi,Urban,Female,1,None,AB,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],C1,"K 7,893 -  K 11,261",Yes,25 – 34,"10:00  -  10:14,12:00  -  12:14"
10:00  -  10:14,60540121,North-Western,Solwezi,Urban,Female,1,None,AB,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],C1,"K 7,893 -  K 11,261",Yes,25 – 34,"10:00  -  10:14,12:00  -  12:14"
9:15  -  9:29,60541874,Central,Chibombo,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
9:45  -  9:59,60541874,Central,Chibombo,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
10:00  -  10:14,60541874,Central,Chibombo,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
9:30  -  9:44,60541874,Central,Chibombo,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
9:00  -  9:14,60541874,Central,Chibombo,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
6:30  -  6:44,60560778,Copperbelt,Ndola,Urban,Female,2,None,C1,Some primary school,Other Christian,Self employed,D,Under K 849,No,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
6:00  -  6:14,60560778,Copperbelt,Ndola,Urban,Female,2,None,C1,Some primary school,Other Christian,Self employed,D,Under K 849,No,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
6:15  -  6:29,60560778,Copperbelt,Ndola,Urban,Female,2,None,C1,Some primary school,Other Christian,Self employed,D,Under K 849,No,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
6:45  -  6:59,60560778,Copperbelt,Ndola,Urban,Female,2,None,C1,Some primary school,Other Christian,Self employed,D,Under K 849,No,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
18:30  -  18:44,60567584,Lusaka,Lusaka,Urban,Female,1,None,C1,Some primary school,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,"18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
20:15  -  20:29,60567584,Lusaka,Lusaka,Urban,Female,1,None,C1,Some primary school,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,"18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
20:00  -  20:14,60567584,Lusaka,Lusaka,Urban,Female,1,None,C1,Some primary school,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,"18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
19:45  -  19:59,60567584,Lusaka,Lusaka,Urban,Female,1,None,C1,Some primary school,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,"18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
19:30  -  19:44,60567584,Lusaka,Lusaka,Urban,Female,1,None,C1,Some primary school,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,"18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
18:45  -  18:59,60567584,Lusaka,Lusaka,Urban,Female,1,None,C1,Some primary school,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,"18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
19:15  -  19:29,60567584,Lusaka,Lusaka,Urban,Female,1,None,C1,Some primary school,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,"18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
20:30  -  20:44,60567584,Lusaka,Lusaka,Urban,Female,1,None,C1,Some primary school,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,"18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
19:00  -  19:14,60567584,Lusaka,Lusaka,Urban,Female,1,None,C1,Some primary school,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,"18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
23:45  -  23:59,60574952,Copperbelt,Kitwe,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"17:30  -  17:44,23:45  -  23:59"
17:30  -  17:44,60574952,Copperbelt,Kitwe,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"17:30  -  17:44,23:45  -  23:59"
5:30  -  5:44,60583048,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Seventh Day Adventists,Working Full-Time,C2,"K 5,365  -  K 6,102",Yes,25 – 34,"5:30  -  5:44,6:45  -  6:59"
6:45  -  6:59,60583048,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Seventh Day Adventists,Working Full-Time,C2,"K 5,365  -  K 6,102",Yes,25 – 34,"5:30  -  5:44,6:45  -  6:59"
15:45  -  15:59,60611358,Central,Kabwe,Rural,Male,1,None,C2,Some primary school,Roman Catholic,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,35 – 44,"13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
15:00  -  15:14,60611358,Central,Kabwe,Rural,Male,1,None,C2,Some primary school,Roman Catholic,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,35 – 44,"13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
15:30  -  15:44,60611358,Central,Kabwe,Rural,Male,1,None,C2,Some primary school,Roman Catholic,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,35 – 44,"13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
17:00  -  17:14,60611358,Central,Kabwe,Rural,Male,1,None,C2,Some primary school,Roman Catholic,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,35 – 44,"13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
13:45  -  13:59,60611358,Central,Kabwe,Rural,Male,1,None,C2,Some primary school,Roman Catholic,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,35 – 44,"13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
13:30  -  13:44,60611358,Central,Kabwe,Rural,Male,1,None,C2,Some primary school,Roman Catholic,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,35 – 44,"13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
14:00  -  14:14,60611358,Central,Kabwe,Rural,Male,1,None,C2,Some primary school,Roman Catholic,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,35 – 44,"13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
15:15  -  15:29,60611358,Central,Kabwe,Rural,Male,1,None,C2,Some primary school,Roman Catholic,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,35 – 44,"13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
17:30  -  17:44,60611358,Central,Kabwe,Rural,Male,1,None,C2,Some primary school,Roman Catholic,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,35 – 44,"13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
17:45  -  17:59,60611358,Central,Kabwe,Rural,Male,1,None,C2,Some primary school,Roman Catholic,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,35 – 44,"13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
16:45  -  16:59,60611358,Central,Kabwe,Rural,Male,1,None,C2,Some primary school,Roman Catholic,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,35 – 44,"13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
17:15  -  17:29,60611358,Central,Kabwe,Rural,Male,1,None,C2,Some primary school,Roman Catholic,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,35 – 44,"13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
16:00  -  16:14,60611358,Central,Kabwe,Rural,Male,1,None,C2,Some primary school,Roman Catholic,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,35 – 44,"13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
14:30  -  14:44,60611358,Central,Kabwe,Rural,Male,1,None,C2,Some primary school,Roman Catholic,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,35 – 44,"13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
16:30  -  16:44,60611358,Central,Kabwe,Rural,Male,1,None,C2,Some primary school,Roman Catholic,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,35 – 44,"13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
16:15  -  16:29,60611358,Central,Kabwe,Rural,Male,1,None,C2,Some primary school,Roman Catholic,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,35 – 44,"13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
14:15  -  14:29,60611358,Central,Kabwe,Rural,Male,1,None,C2,Some primary school,Roman Catholic,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,35 – 44,"13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
14:45  -  14:59,60611358,Central,Kabwe,Rural,Male,1,None,C2,Some primary school,Roman Catholic,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,35 – 44,"13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
20:15  -  20:29,60612540,Central,Chibombo,Rural,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29"
20:00  -  20:14,60612540,Central,Chibombo,Rural,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29"
8:00  -  8:14,60668592,Copperbelt,Mufulira,Rural,Female,0,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,35 – 44,"8:00  -  8:14,8:15  -  8:29"
8:15  -  8:29,60668592,Copperbelt,Mufulira,Rural,Female,0,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,35 – 44,"8:00  -  8:14,8:15  -  8:29"
19:30  -  19:44,60671415,Copperbelt,Kalulushi,Urban,Male,2,None,C2,Some university,Anglican/Protestant,Working Full-Time,D,"K 2,500   -  K 3,154",Yes,25 – 34,"18:15  -  18:29,19:30  -  19:44"
18:15  -  18:29,60671415,Copperbelt,Kalulushi,Urban,Male,2,None,C2,Some university,Anglican/Protestant,Working Full-Time,D,"K 2,500   -  K 3,154",Yes,25 – 34,"18:15  -  18:29,19:30  -  19:44"
7:00  -  7:14,60755603,Central,Kabwe,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29"
6:30  -  6:44,60755603,Central,Kabwe,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29"
6:00  -  6:14,60755603,Central,Kabwe,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29"
6:45  -  6:59,60755603,Central,Kabwe,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29"
7:15  -  7:29,60755603,Central,Kabwe,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29"
6:15  -  6:29,60755603,Central,Kabwe,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29"
8:00  -  8:14,60775373,Copperbelt,Mufulira,Urban,Female,1,Two or More,AB,Completed high School,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,8:00  -  8:14
5:00  -  5:14,60777629,Copperbelt,Mufulira,Urban,Female,2,One,C1,Don’t know (DON’T READ),Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"5:00  -  5:14,5:15  -  5:29"
5:15  -  5:29,60777629,Copperbelt,Mufulira,Urban,Female,2,One,C1,Don’t know (DON’T READ),Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"5:00  -  5:14,5:15  -  5:29"
9:15  -  9:29,60779738,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Muslim,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
10:15  -  10:29,60779738,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Muslim,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
9:45  -  9:59,60779738,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Muslim,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
10:00  -  10:14,60779738,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Muslim,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
9:30  -  9:44,60779738,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Muslim,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
10:30  -  10:44,60779738,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Muslim,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
7:45  -  7:59,60782773,Copperbelt,Mufulira,Rural,Female,0,None,C1,Some high school,Other Christian,Student,Do not know,No Income,Yes,15 – 18,"7:30  -  7:44,7:45  -  7:59"
7:30  -  7:44,60782773,Copperbelt,Mufulira,Rural,Female,0,None,C1,Some high school,Other Christian,Student,Do not know,No Income,Yes,15 – 18,"7:30  -  7:44,7:45  -  7:59"
7:00  -  7:14,60825711,Copperbelt,Mufulira,Urban,Male,2,None,C1,Primary school completed,Roman Catholic,Working Full-Time,No Income,No Income,Yes,25 – 34,"6:00  -  6:14,7:00  -  7:14"
6:00  -  6:14,60825711,Copperbelt,Mufulira,Urban,Male,2,None,C1,Primary school completed,Roman Catholic,Working Full-Time,No Income,No Income,Yes,25 – 34,"6:00  -  6:14,7:00  -  7:14"
7:00  -  7:14,82024076,Southern,Livingstone,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C1,"K 3,891  -  K 4,627",Yes,25 – 34,"6:00  -  6:14,7:00  -  7:14"
6:00  -  6:14,82024076,Southern,Livingstone,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C1,"K 3,891  -  K 4,627",Yes,25 – 34,"6:00  -  6:14,7:00  -  7:14"
