Rock FM  Monday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Rock FM  Monday
21:45  -  21:59,60516537,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Do not know,Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
23:45  -  23:59,60516537,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Do not know,Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
15:15  -  15:29,60519024,Lusaka,Lusaka,Urban,Female,1,One,AB,Some high school,Seventh Day Adventists,Student,C1,"K 5,365  -  K 6,102",Yes,15 – 18,"15:15  -  15:29,15:30  -  15:44"
15:30  -  15:44,60519024,Lusaka,Lusaka,Urban,Female,1,One,AB,Some high school,Seventh Day Adventists,Student,C1,"K 5,365  -  K 6,102",Yes,15 – 18,"15:15  -  15:29,15:30  -  15:44"
9:15  -  9:29,60649637,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,Do not know,Do not know,Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
9:45  -  9:59,60649637,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,Do not know,Do not know,Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
10:15  -  10:29,60649637,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,Do not know,Do not know,Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
10:00  -  10:14,60649637,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,Do not know,Do not know,Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
9:30  -  9:44,60649637,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,Do not know,Do not know,Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
9:00  -  9:14,60649637,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,Do not know,Do not know,Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
10:30  -  10:44,60649637,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,Do not know,Do not know,Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
