Radio Mano analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Radio Mano
11:30  -  11:44,60562229,Northern,Kasama,Urban,Male,1,One,C1,Any other post-high school qualification,Other Christian,Working Full-Time,C2,"K 3,891  -  K 4,627",Yes,35 – 44,",,,,,,,11:15  -  11:29,11:30  -  11:44,"
8:45  -  8:59,60562232,Northern,Kasama,Rural,Female,1,None,C2,Primary school completed,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,",,,8:45  -  8:59,9:00  -  9:14,9:45  -  9:59,10:00  -  10:14,7:30  -  7:44,7:45  -  7:59,,12:15  -  12:29,12:30  -  12:44,"
9:45  -  9:59,60562232,Northern,Kasama,Rural,Female,1,None,C2,Primary school completed,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,",,,8:45  -  8:59,9:00  -  9:14,9:45  -  9:59,10:00  -  10:14,7:30  -  7:44,7:45  -  7:59,,12:15  -  12:29,12:30  -  12:44,"
7:45  -  7:59,60562232,Northern,Kasama,Rural,Female,1,None,C2,Primary school completed,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,",,,8:45  -  8:59,9:00  -  9:14,9:45  -  9:59,10:00  -  10:14,7:30  -  7:44,7:45  -  7:59,,12:15  -  12:29,12:30  -  12:44,"
7:30  -  7:44,60562232,Northern,Kasama,Rural,Female,1,None,C2,Primary school completed,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,",,,8:45  -  8:59,9:00  -  9:14,9:45  -  9:59,10:00  -  10:14,7:30  -  7:44,7:45  -  7:59,,12:15  -  12:29,12:30  -  12:44,"
10:00  -  10:14,60562232,Northern,Kasama,Rural,Female,1,None,C2,Primary school completed,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,",,,8:45  -  8:59,9:00  -  9:14,9:45  -  9:59,10:00  -  10:14,7:30  -  7:44,7:45  -  7:59,,12:15  -  12:29,12:30  -  12:44,"
12:15  -  12:29,60562232,Northern,Kasama,Rural,Female,1,None,C2,Primary school completed,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,",,,8:45  -  8:59,9:00  -  9:14,9:45  -  9:59,10:00  -  10:14,7:30  -  7:44,7:45  -  7:59,,12:15  -  12:29,12:30  -  12:44,"
12:30  -  12:44,60562232,Northern,Kasama,Rural,Female,1,None,C2,Primary school completed,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,",,,8:45  -  8:59,9:00  -  9:14,9:45  -  9:59,10:00  -  10:14,7:30  -  7:44,7:45  -  7:59,,12:15  -  12:29,12:30  -  12:44,"
9:00  -  9:14,60562232,Northern,Kasama,Rural,Female,1,None,C2,Primary school completed,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,",,,8:45  -  8:59,9:00  -  9:14,9:45  -  9:59,10:00  -  10:14,7:30  -  7:44,7:45  -  7:59,,12:15  -  12:29,12:30  -  12:44,"
9:15  -  9:29,60583198,Northern,Kasama,Urban,Female,1,One,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,",,,9:00  -  9:14,9:15  -  9:29,,,,"
9:00  -  9:14,60583198,Northern,Kasama,Urban,Female,1,One,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,",,,9:00  -  9:14,9:15  -  9:29,,,,"
14:15  -  14:29,60583199,Northern,Kasama,Urban,Female,0,None,C2,Some university,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"8:00  -  8:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,19:00  -  19:14,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:45  -  12:59,13:00  -  13:14"
9:30  -  9:44,60583199,Northern,Kasama,Urban,Female,0,None,C2,Some university,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"8:00  -  8:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,19:00  -  19:14,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:45  -  12:59,13:00  -  13:14"
14:30  -  14:44,60583199,Northern,Kasama,Urban,Female,0,None,C2,Some university,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"8:00  -  8:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,19:00  -  19:14,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:45  -  12:59,13:00  -  13:14"
8:45  -  8:59,60583199,Northern,Kasama,Urban,Female,0,None,C2,Some university,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"8:00  -  8:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,19:00  -  19:14,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:45  -  12:59,13:00  -  13:14"
9:45  -  9:59,60583199,Northern,Kasama,Urban,Female,0,None,C2,Some university,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"8:00  -  8:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,19:00  -  19:14,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:45  -  12:59,13:00  -  13:14"
12:00  -  12:14,60583199,Northern,Kasama,Urban,Female,0,None,C2,Some university,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"8:00  -  8:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,19:00  -  19:14,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:45  -  12:59,13:00  -  13:14"
8:15  -  8:29,60583199,Northern,Kasama,Urban,Female,0,None,C2,Some university,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"8:00  -  8:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,19:00  -  19:14,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:45  -  12:59,13:00  -  13:14"
13:00  -  13:14,60583199,Northern,Kasama,Urban,Female,0,None,C2,Some university,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"8:00  -  8:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,19:00  -  19:14,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:45  -  12:59,13:00  -  13:14"
10:00  -  10:14,60583199,Northern,Kasama,Urban,Female,0,None,C2,Some university,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"8:00  -  8:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,19:00  -  19:14,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:45  -  12:59,13:00  -  13:14"
14:45  -  14:59,60583199,Northern,Kasama,Urban,Female,0,None,C2,Some university,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"8:00  -  8:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,19:00  -  19:14,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:45  -  12:59,13:00  -  13:14"
11:30  -  11:44,60583199,Northern,Kasama,Urban,Female,0,None,C2,Some university,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"8:00  -  8:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,19:00  -  19:14,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:45  -  12:59,13:00  -  13:14"
9:15  -  9:29,60583199,Northern,Kasama,Urban,Female,0,None,C2,Some university,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"8:00  -  8:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,19:00  -  19:14,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:45  -  12:59,13:00  -  13:14"
19:00  -  19:14,60583199,Northern,Kasama,Urban,Female,0,None,C2,Some university,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"8:00  -  8:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,19:00  -  19:14,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:45  -  12:59,13:00  -  13:14"
8:00  -  8:14,60583199,Northern,Kasama,Urban,Female,0,None,C2,Some university,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"8:00  -  8:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,19:00  -  19:14,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:45  -  12:59,13:00  -  13:14"
12:45  -  12:59,60583199,Northern,Kasama,Urban,Female,0,None,C2,Some university,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"8:00  -  8:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,19:00  -  19:14,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:45  -  12:59,13:00  -  13:14"
11:45  -  11:59,60583199,Northern,Kasama,Urban,Female,0,None,C2,Some university,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"8:00  -  8:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,19:00  -  19:14,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:45  -  12:59,13:00  -  13:14"
9:00  -  9:14,60583199,Northern,Kasama,Urban,Female,0,None,C2,Some university,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"8:00  -  8:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,19:00  -  19:14,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:45  -  12:59,13:00  -  13:14"
8:30  -  8:44,60583199,Northern,Kasama,Urban,Female,0,None,C2,Some university,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"8:00  -  8:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,19:00  -  19:14,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,12:45  -  12:59,13:00  -  13:14"
11:00  -  11:14,60583200,Northern,Kasama,Urban,Male,1,None,C1,Any other post-high school qualification,Roman Catholic,Working Full-Time,Do not know,"K 3,891  -  K 4,627",Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,9:15  -  9:29,9:30  -  9:44,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
9:30  -  9:44,60583200,Northern,Kasama,Urban,Male,1,None,C1,Any other post-high school qualification,Roman Catholic,Working Full-Time,Do not know,"K 3,891  -  K 4,627",Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,9:15  -  9:29,9:30  -  9:44,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
8:45  -  8:59,60583200,Northern,Kasama,Urban,Male,1,None,C1,Any other post-high school qualification,Roman Catholic,Working Full-Time,Do not know,"K 3,891  -  K 4,627",Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,9:15  -  9:29,9:30  -  9:44,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
9:45  -  9:59,60583200,Northern,Kasama,Urban,Male,1,None,C1,Any other post-high school qualification,Roman Catholic,Working Full-Time,Do not know,"K 3,891  -  K 4,627",Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,9:15  -  9:29,9:30  -  9:44,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
8:15  -  8:29,60583200,Northern,Kasama,Urban,Male,1,None,C1,Any other post-high school qualification,Roman Catholic,Working Full-Time,Do not know,"K 3,891  -  K 4,627",Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,9:15  -  9:29,9:30  -  9:44,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
10:00  -  10:14,60583200,Northern,Kasama,Urban,Male,1,None,C1,Any other post-high school qualification,Roman Catholic,Working Full-Time,Do not know,"K 3,891  -  K 4,627",Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,9:15  -  9:29,9:30  -  9:44,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
11:30  -  11:44,60583200,Northern,Kasama,Urban,Male,1,None,C1,Any other post-high school qualification,Roman Catholic,Working Full-Time,Do not know,"K 3,891  -  K 4,627",Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,9:15  -  9:29,9:30  -  9:44,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
