Rise FM  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Rise FM  Yesterday
18:30  -  18:44,60671016,Copperbelt,Chingola,Urban,Male,0,None,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
18:45  -  18:59,60671016,Copperbelt,Chingola,Urban,Male,0,None,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
19:45  -  19:59,60712973,Copperbelt,Chingola,Urban,Male,1,Two or More,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,Under K 849,Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
19:00  -  19:14,60712973,Copperbelt,Chingola,Urban,Male,1,Two or More,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,Under K 849,Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
19:15  -  19:29,60712973,Copperbelt,Chingola,Urban,Male,1,Two or More,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,Under K 849,Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
20:00  -  20:14,60712973,Copperbelt,Chingola,Urban,Male,1,Two or More,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,Under K 849,Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
19:30  -  19:44,60712973,Copperbelt,Chingola,Urban,Male,1,Two or More,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,Under K 849,Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
5:30  -  5:44,60715045,Copperbelt,Chingola,Urban,Male,1,None,C1,Some primary school,Refused (DON’T READ),Student,D,Under K 849,No,15 – 18,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14"
5:45  -  5:59,60715045,Copperbelt,Chingola,Urban,Male,1,None,C1,Some primary school,Refused (DON’T READ),Student,D,Under K 849,No,15 – 18,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14"
5:00  -  5:14,60715045,Copperbelt,Chingola,Urban,Male,1,None,C1,Some primary school,Refused (DON’T READ),Student,D,Under K 849,No,15 – 18,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14"
5:15  -  5:29,60715045,Copperbelt,Chingola,Urban,Male,1,None,C1,Some primary school,Refused (DON’T READ),Student,D,Under K 849,No,15 – 18,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14"
6:00  -  6:14,60715045,Copperbelt,Chingola,Urban,Male,1,None,C1,Some primary school,Refused (DON’T READ),Student,D,Under K 849,No,15 – 18,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14"
13:00  -  13:14,60753404,Copperbelt,Chingola,Rural,Male,1,None,D,Primary school completed,Roman Catholic,Student,Do not know,Under K 849,No,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
13:30  -  13:44,60753404,Copperbelt,Chingola,Rural,Male,1,None,D,Primary school completed,Roman Catholic,Student,Do not know,Under K 849,No,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
14:00  -  14:14,60753404,Copperbelt,Chingola,Rural,Male,1,None,D,Primary school completed,Roman Catholic,Student,Do not know,Under K 849,No,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
13:15  -  13:29,60753404,Copperbelt,Chingola,Rural,Male,1,None,D,Primary school completed,Roman Catholic,Student,Do not know,Under K 849,No,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
13:45  -  13:59,60753404,Copperbelt,Chingola,Rural,Male,1,None,D,Primary school completed,Roman Catholic,Student,Do not know,Under K 849,No,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
19:00  -  19:14,60753405,Copperbelt,Chingola,Rural,Female,2,None,C2,Some primary school,Roman Catholic,Housewife,Do not know,Do not know,No,45+,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
19:45  -  19:59,60753405,Copperbelt,Chingola,Rural,Female,2,None,C2,Some primary school,Roman Catholic,Housewife,Do not know,Do not know,No,45+,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
18:00  -  18:14,60753405,Copperbelt,Chingola,Rural,Female,2,None,C2,Some primary school,Roman Catholic,Housewife,Do not know,Do not know,No,45+,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
19:30  -  19:44,60753405,Copperbelt,Chingola,Rural,Female,2,None,C2,Some primary school,Roman Catholic,Housewife,Do not know,Do not know,No,45+,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
18:15  -  18:29,60753405,Copperbelt,Chingola,Rural,Female,2,None,C2,Some primary school,Roman Catholic,Housewife,Do not know,Do not know,No,45+,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
18:30  -  18:44,60753405,Copperbelt,Chingola,Rural,Female,2,None,C2,Some primary school,Roman Catholic,Housewife,Do not know,Do not know,No,45+,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
19:15  -  19:29,60753405,Copperbelt,Chingola,Rural,Female,2,None,C2,Some primary school,Roman Catholic,Housewife,Do not know,Do not know,No,45+,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
18:45  -  18:59,60753405,Copperbelt,Chingola,Rural,Female,2,None,C2,Some primary school,Roman Catholic,Housewife,Do not know,Do not know,No,45+,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
20:45  -  20:59,60785657,Copperbelt,Chingola,Urban,Female,0,None,AB,Some university,Other Christian,Unemployed [SEEKING A JOB],Do not know,Do not know,Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:00  -  20:14,60785657,Copperbelt,Chingola,Urban,Female,0,None,AB,Some university,Other Christian,Unemployed [SEEKING A JOB],Do not know,Do not know,Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:30  -  20:44,60785657,Copperbelt,Chingola,Urban,Female,0,None,AB,Some university,Other Christian,Unemployed [SEEKING A JOB],Do not know,Do not know,Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:15  -  20:29,60785657,Copperbelt,Chingola,Urban,Female,0,None,AB,Some university,Other Christian,Unemployed [SEEKING A JOB],Do not know,Do not know,Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
