Maranatha  Sunday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Maranatha  Sunday
7:30  -  7:44,60515656,Central,Chibombo,Urban,Male,3,None,C2,Some primary school,Seventh Day Adventists,Self employed,D,Under K 849,Yes,45+,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
7:00  -  7:14,60515656,Central,Chibombo,Urban,Male,3,None,C2,Some primary school,Seventh Day Adventists,Self employed,D,Under K 849,Yes,45+,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
5:45  -  5:59,60515656,Central,Chibombo,Urban,Male,3,None,C2,Some primary school,Seventh Day Adventists,Self employed,D,Under K 849,Yes,45+,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
6:45  -  6:59,60515656,Central,Chibombo,Urban,Male,3,None,C2,Some primary school,Seventh Day Adventists,Self employed,D,Under K 849,Yes,45+,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
9:15  -  9:29,60515656,Central,Chibombo,Urban,Male,3,None,C2,Some primary school,Seventh Day Adventists,Self employed,D,Under K 849,Yes,45+,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
7:45  -  7:59,60515656,Central,Chibombo,Urban,Male,3,None,C2,Some primary school,Seventh Day Adventists,Self employed,D,Under K 849,Yes,45+,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
5:15  -  5:29,60515656,Central,Chibombo,Urban,Male,3,None,C2,Some primary school,Seventh Day Adventists,Self employed,D,Under K 849,Yes,45+,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
5:00  -  5:14,60515656,Central,Chibombo,Urban,Male,3,None,C2,Some primary school,Seventh Day Adventists,Self employed,D,Under K 849,Yes,45+,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
8:45  -  8:59,60515656,Central,Chibombo,Urban,Male,3,None,C2,Some primary school,Seventh Day Adventists,Self employed,D,Under K 849,Yes,45+,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
8:30  -  8:44,60515656,Central,Chibombo,Urban,Male,3,None,C2,Some primary school,Seventh Day Adventists,Self employed,D,Under K 849,Yes,45+,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
6:30  -  6:44,60515656,Central,Chibombo,Urban,Male,3,None,C2,Some primary school,Seventh Day Adventists,Self employed,D,Under K 849,Yes,45+,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
3:15  -  3:29,60525355,Central,Kabwe,Rural,Female,1,None,D,No formal education,Others,Self employed,D,Under K 849,No,45+,"3:00  -  3:14,3:15  -  3:29"
3:00  -  3:14,60525355,Central,Kabwe,Rural,Female,1,None,D,No formal education,Others,Self employed,D,Under K 849,No,45+,"3:00  -  3:14,3:15  -  3:29"
20:00  -  20:14,60588794,Central,Chibombo,Rural,Male,0,None,D,Some high school,Roman Catholic,Student,D,Under K 849,No,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
20:45  -  20:59,60588794,Central,Chibombo,Rural,Male,0,None,D,Some high school,Roman Catholic,Student,D,Under K 849,No,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
21:15  -  21:29,60588794,Central,Chibombo,Rural,Male,0,None,D,Some high school,Roman Catholic,Student,D,Under K 849,No,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
20:30  -  20:44,60588794,Central,Chibombo,Rural,Male,0,None,D,Some high school,Roman Catholic,Student,D,Under K 849,No,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
21:00  -  21:14,60588794,Central,Chibombo,Rural,Male,0,None,D,Some high school,Roman Catholic,Student,D,Under K 849,No,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
20:15  -  20:29,60588794,Central,Chibombo,Rural,Male,0,None,D,Some high school,Roman Catholic,Student,D,Under K 849,No,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
21:30  -  21:44,60588794,Central,Chibombo,Rural,Male,0,None,D,Some high school,Roman Catholic,Student,D,Under K 849,No,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
21:45  -  21:59,60588794,Central,Chibombo,Rural,Male,0,None,D,Some high school,Roman Catholic,Student,D,Under K 849,No,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
7:30  -  7:44,60611001,Central,Kapiri Mposhi,Rural,Female,1,None,C2,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
7:15  -  7:29,60611001,Central,Kapiri Mposhi,Rural,Female,1,None,C2,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
7:00  -  7:14,60611001,Central,Kapiri Mposhi,Rural,Female,1,None,C2,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
6:45  -  6:59,60611001,Central,Kapiri Mposhi,Rural,Female,1,None,C2,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
6:30  -  6:44,60611001,Central,Kapiri Mposhi,Rural,Female,1,None,C2,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
7:45  -  7:59,60611001,Central,Kapiri Mposhi,Rural,Female,1,None,C2,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
6:15  -  6:29,60611001,Central,Kapiri Mposhi,Rural,Female,1,None,C2,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
6:00  -  6:14,60611001,Central,Kapiri Mposhi,Rural,Female,1,None,C2,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
19:30  -  19:44,60683884,Central,Kabwe,Urban,Male,1,One,AB,University completed,Other Christian,Working Part-Time,Do not know,"K 3,891  -  K 4,627",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
19:00  -  19:14,60683884,Central,Kabwe,Urban,Male,1,One,AB,University completed,Other Christian,Working Part-Time,Do not know,"K 3,891  -  K 4,627",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
19:45  -  19:59,60683884,Central,Kabwe,Urban,Male,1,One,AB,University completed,Other Christian,Working Part-Time,Do not know,"K 3,891  -  K 4,627",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
19:15  -  19:29,60683884,Central,Kabwe,Urban,Male,1,One,AB,University completed,Other Christian,Working Part-Time,Do not know,"K 3,891  -  K 4,627",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
19:30  -  19:44,60845434,Central,Kabwe,Rural,Male,0,None,C2,Completed high School,Roman Catholic,Working Full-Time,Do not know,Under K 849,No,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
20:45  -  20:59,60845434,Central,Kabwe,Rural,Male,0,None,C2,Completed high School,Roman Catholic,Working Full-Time,Do not know,Under K 849,No,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
7:15  -  7:29,60845434,Central,Kabwe,Rural,Male,0,None,C2,Completed high School,Roman Catholic,Working Full-Time,Do not know,Under K 849,No,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
18:00  -  18:14,60845434,Central,Kabwe,Rural,Male,0,None,C2,Completed high School,Roman Catholic,Working Full-Time,Do not know,Under K 849,No,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
21:00  -  21:14,60845434,Central,Kabwe,Rural,Male,0,None,C2,Completed high School,Roman Catholic,Working Full-Time,Do not know,Under K 849,No,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
18:30  -  18:44,60845434,Central,Kabwe,Rural,Male,0,None,C2,Completed high School,Roman Catholic,Working Full-Time,Do not know,Under K 849,No,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
21:30  -  21:44,60845434,Central,Kabwe,Rural,Male,0,None,C2,Completed high School,Roman Catholic,Working Full-Time,Do not know,Under K 849,No,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
6:15  -  6:29,60845434,Central,Kabwe,Rural,Male,0,None,C2,Completed high School,Roman Catholic,Working Full-Time,Do not know,Under K 849,No,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
6:00  -  6:14,60845434,Central,Kabwe,Rural,Male,0,None,C2,Completed high School,Roman Catholic,Working Full-Time,Do not know,Under K 849,No,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
20:00  -  20:14,60845434,Central,Kabwe,Rural,Male,0,None,C2,Completed high School,Roman Catholic,Working Full-Time,Do not know,Under K 849,No,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
18:15  -  18:29,60845434,Central,Kabwe,Rural,Male,0,None,C2,Completed high School,Roman Catholic,Working Full-Time,Do not know,Under K 849,No,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
20:30  -  20:44,60845434,Central,Kabwe,Rural,Male,0,None,C2,Completed high School,Roman Catholic,Working Full-Time,Do not know,Under K 849,No,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
20:15  -  20:29,60845434,Central,Kabwe,Rural,Male,0,None,C2,Completed high School,Roman Catholic,Working Full-Time,Do not know,Under K 849,No,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
7:00  -  7:14,60845434,Central,Kabwe,Rural,Male,0,None,C2,Completed high School,Roman Catholic,Working Full-Time,Do not know,Under K 849,No,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
6:45  -  6:59,60845434,Central,Kabwe,Rural,Male,0,None,C2,Completed high School,Roman Catholic,Working Full-Time,Do not know,Under K 849,No,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
