Hot  Thursday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Hot  Thursday
20:30  -  20:44,60543023,Lusaka,Lusaka,Urban,Female,1,One,C1,Completed high School,Other Christian,Self employed,Do not know,Do not know,Yes,19 – 24,"19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
21:00  -  21:14,60724803,Lusaka,Lusaka,Urban,Male,1,Two or More,AB,Some university,Other Christian,Student,Do not know,Do not know,Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
22:15  -  22:29,60724803,Lusaka,Lusaka,Urban,Male,1,Two or More,AB,Some university,Other Christian,Student,Do not know,Do not know,Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
22:00  -  22:14,60724803,Lusaka,Lusaka,Urban,Male,1,Two or More,AB,Some university,Other Christian,Student,Do not know,Do not know,Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
21:15  -  21:29,60724803,Lusaka,Lusaka,Urban,Male,1,Two or More,AB,Some university,Other Christian,Student,Do not know,Do not know,Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
21:30  -  21:44,60724803,Lusaka,Lusaka,Urban,Male,1,Two or More,AB,Some university,Other Christian,Student,Do not know,Do not know,Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
21:45  -  21:59,60724803,Lusaka,Lusaka,Urban,Male,1,Two or More,AB,Some university,Other Christian,Student,Do not know,Do not know,Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
21:00  -  21:14,60724804,Lusaka,Lusaka,Urban,Male,1,One,C1,Some university,Seventh Day Adventists,Student,No Income,Do not know,Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
22:00  -  22:14,60724804,Lusaka,Lusaka,Urban,Male,1,One,C1,Some university,Seventh Day Adventists,Student,No Income,Do not know,Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
21:15  -  21:29,60724804,Lusaka,Lusaka,Urban,Male,1,One,C1,Some university,Seventh Day Adventists,Student,No Income,Do not know,Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
21:30  -  21:44,60724804,Lusaka,Lusaka,Urban,Male,1,One,C1,Some university,Seventh Day Adventists,Student,No Income,Do not know,Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
21:45  -  21:59,60724804,Lusaka,Lusaka,Urban,Male,1,One,C1,Some university,Seventh Day Adventists,Student,No Income,Do not know,Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
21:00  -  21:14,60724805,Lusaka,Lusaka,Urban,Male,1,None,C1,Some university,Other Christian,Student,Do not know,K 850-K 1674,Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
22:15  -  22:29,60724805,Lusaka,Lusaka,Urban,Male,1,None,C1,Some university,Other Christian,Student,Do not know,K 850-K 1674,Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
22:45  -  22:59,60724805,Lusaka,Lusaka,Urban,Male,1,None,C1,Some university,Other Christian,Student,Do not know,K 850-K 1674,Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
22:30  -  22:44,60724805,Lusaka,Lusaka,Urban,Male,1,None,C1,Some university,Other Christian,Student,Do not know,K 850-K 1674,Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
22:00  -  22:14,60724805,Lusaka,Lusaka,Urban,Male,1,None,C1,Some university,Other Christian,Student,Do not know,K 850-K 1674,Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
21:15  -  21:29,60724805,Lusaka,Lusaka,Urban,Male,1,None,C1,Some university,Other Christian,Student,Do not know,K 850-K 1674,Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
21:30  -  21:44,60724805,Lusaka,Lusaka,Urban,Male,1,None,C1,Some university,Other Christian,Student,Do not know,K 850-K 1674,Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
21:45  -  21:59,60724805,Lusaka,Lusaka,Urban,Male,1,None,C1,Some university,Other Christian,Student,Do not know,K 850-K 1674,Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
8:00  -  8:14,135122213,Central,Kabwe,Urban,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
7:00  -  7:14,135122213,Central,Kabwe,Urban,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
6:30  -  6:44,135122213,Central,Kabwe,Urban,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
6:00  -  6:14,135122213,Central,Kabwe,Urban,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
6:45  -  6:59,135122213,Central,Kabwe,Urban,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
7:15  -  7:29,135122213,Central,Kabwe,Urban,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
7:30  -  7:44,135122213,Central,Kabwe,Urban,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
7:45  -  7:59,135122213,Central,Kabwe,Urban,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
6:15  -  6:29,135122213,Central,Kabwe,Urban,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
