Radio Mano  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Radio Mano  Yesterday
7:00  -  7:14,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44"
6:15  -  6:29,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44"
7:15  -  7:29,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44"
7:30  -  7:44,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44"
6:45  -  6:59,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44"
6:30  -  6:44,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44"
6:00  -  6:14,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44"
16:15  -  16:29,60755120,Northern,Kasama,Rural,Female,1,None,C2,Some university,Other Christian,Unemployed [NOT SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:45  -  17:59,18:00  -  18:14"
18:00  -  18:14,60755120,Northern,Kasama,Rural,Female,1,None,C2,Some university,Other Christian,Unemployed [NOT SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:45  -  17:59,18:00  -  18:14"
6:15  -  6:29,60755120,Northern,Kasama,Rural,Female,1,None,C2,Some university,Other Christian,Unemployed [NOT SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:45  -  17:59,18:00  -  18:14"
16:45  -  16:59,60755120,Northern,Kasama,Rural,Female,1,None,C2,Some university,Other Christian,Unemployed [NOT SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:45  -  17:59,18:00  -  18:14"
10:45  -  10:59,60755120,Northern,Kasama,Rural,Female,1,None,C2,Some university,Other Christian,Unemployed [NOT SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:45  -  17:59,18:00  -  18:14"
6:45  -  6:59,60755120,Northern,Kasama,Rural,Female,1,None,C2,Some university,Other Christian,Unemployed [NOT SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:45  -  17:59,18:00  -  18:14"
11:15  -  11:29,60755120,Northern,Kasama,Rural,Female,1,None,C2,Some university,Other Christian,Unemployed [NOT SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:45  -  17:59,18:00  -  18:14"
17:45  -  17:59,60755120,Northern,Kasama,Rural,Female,1,None,C2,Some university,Other Christian,Unemployed [NOT SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:45  -  17:59,18:00  -  18:14"
6:30  -  6:44,60755120,Northern,Kasama,Rural,Female,1,None,C2,Some university,Other Christian,Unemployed [NOT SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:45  -  17:59,18:00  -  18:14"
16:30  -  16:44,60755120,Northern,Kasama,Rural,Female,1,None,C2,Some university,Other Christian,Unemployed [NOT SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:45  -  17:59,18:00  -  18:14"
11:00  -  11:14,60755120,Northern,Kasama,Rural,Female,1,None,C2,Some university,Other Christian,Unemployed [NOT SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:45  -  17:59,18:00  -  18:14"
6:00  -  6:14,60755120,Northern,Kasama,Rural,Female,1,None,C2,Some university,Other Christian,Unemployed [NOT SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:45  -  17:59,18:00  -  18:14"
