PASME  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,PASME  Yesterday
12:15  -  12:29,60736738,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,D,K 850-K 1674,Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
12:30  -  12:44,60736738,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,D,K 850-K 1674,Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
12:00  -  12:14,60736738,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,D,K 850-K 1674,Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
12:45  -  12:59,60736738,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,D,K 850-K 1674,Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
9:15  -  9:29,60760177,Eastern,Petauke,Rural,Male,1,None,C2,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
9:30  -  9:44,60760177,Eastern,Petauke,Rural,Male,1,None,C2,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
9:00  -  9:14,60760177,Eastern,Petauke,Rural,Male,1,None,C2,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
9:45  -  9:59,60760177,Eastern,Petauke,Rural,Male,1,None,C2,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
14:15  -  14:29,60772562,Eastern,Petauke,Rural,Female,1,None,C1,Completed high School,Other Christian,Self employed,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29"
14:00  -  14:14,60772562,Eastern,Petauke,Rural,Female,1,None,C1,Completed high School,Other Christian,Self employed,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29"
20:45  -  20:59,60832103,Eastern,Petauke,Rural,Female,1,None,D,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,15 – 18,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
17:30  -  17:44,60832103,Eastern,Petauke,Rural,Female,1,None,D,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,15 – 18,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:30  -  20:44,60832103,Eastern,Petauke,Rural,Female,1,None,D,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,15 – 18,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
17:00  -  17:14,60832103,Eastern,Petauke,Rural,Female,1,None,D,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,15 – 18,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
17:15  -  17:29,60832103,Eastern,Petauke,Rural,Female,1,None,D,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,15 – 18,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
17:45  -  17:59,60832103,Eastern,Petauke,Rural,Female,1,None,D,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,15 – 18,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:15  -  20:29,60832103,Eastern,Petauke,Rural,Female,1,None,D,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,15 – 18,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
12:45  -  12:59,60832109,Eastern,Petauke,Rural,Female,1,None,D,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
14:30  -  14:44,60832109,Eastern,Petauke,Rural,Female,1,None,D,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
14:00  -  14:14,60832109,Eastern,Petauke,Rural,Female,1,None,D,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
12:15  -  12:29,60832109,Eastern,Petauke,Rural,Female,1,None,D,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
14:15  -  14:29,60832109,Eastern,Petauke,Rural,Female,1,None,D,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
12:30  -  12:44,60832109,Eastern,Petauke,Rural,Female,1,None,D,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
12:00  -  12:14,60832109,Eastern,Petauke,Rural,Female,1,None,D,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
10:00  -  10:14,60832110,Eastern,Petauke,Rural,Male,1,None,C2,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
10:15  -  10:29,60832110,Eastern,Petauke,Rural,Male,1,None,C2,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
10:30  -  10:44,60832110,Eastern,Petauke,Rural,Male,1,None,C2,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
10:45  -  10:59,60832110,Eastern,Petauke,Rural,Male,1,None,C2,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
10:15  -  10:29,60886275,Eastern,Petauke,Rural,Female,1,None,C2,Some high school,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,13:00  -  13:14,13:15  -  13:29,13:45  -  13:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59"
10:30  -  10:44,60886275,Eastern,Petauke,Rural,Female,1,None,C2,Some high school,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,13:00  -  13:14,13:15  -  13:29,13:45  -  13:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59"
16:00  -  16:14,60886275,Eastern,Petauke,Rural,Female,1,None,C2,Some high school,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,13:00  -  13:14,13:15  -  13:29,13:45  -  13:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59"
16:30  -  16:44,60886275,Eastern,Petauke,Rural,Female,1,None,C2,Some high school,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,13:00  -  13:14,13:15  -  13:29,13:45  -  13:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59"
10:00  -  10:14,60886275,Eastern,Petauke,Rural,Female,1,None,C2,Some high school,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,13:00  -  13:14,13:15  -  13:29,13:45  -  13:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59"
10:45  -  10:59,60886275,Eastern,Petauke,Rural,Female,1,None,C2,Some high school,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,13:00  -  13:14,13:15  -  13:29,13:45  -  13:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59"
13:45  -  13:59,60886275,Eastern,Petauke,Rural,Female,1,None,C2,Some high school,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,13:00  -  13:14,13:15  -  13:29,13:45  -  13:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59"
13:00  -  13:14,60886275,Eastern,Petauke,Rural,Female,1,None,C2,Some high school,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,13:00  -  13:14,13:15  -  13:29,13:45  -  13:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59"
16:15  -  16:29,60886275,Eastern,Petauke,Rural,Female,1,None,C2,Some high school,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,13:00  -  13:14,13:15  -  13:29,13:45  -  13:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59"
16:45  -  16:59,60886275,Eastern,Petauke,Rural,Female,1,None,C2,Some high school,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,13:00  -  13:14,13:15  -  13:29,13:45  -  13:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59"
13:15  -  13:29,60886275,Eastern,Petauke,Rural,Female,1,None,C2,Some high school,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,13:00  -  13:14,13:15  -  13:29,13:45  -  13:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59"
