Maria analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Maria
16:00  -  16:14,60625343,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,Do not know,Under K 849,Yes,15 – 18,"5:00  -  5:14,6:00  -  6:14,7:15  -  7:29,7:45  -  7:59,5:00  -  5:14,5:00  -  5:14,6:00  -  6:14,5:00  -  5:14,18:00  -  18:14,5:00  -  5:14,6:00  -  6:14,,5:00  -  5:14,16:00  -  16:14,5:00  -  5:14,6:00  -  6:14"
7:45  -  7:59,60625343,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,Do not know,Under K 849,Yes,15 – 18,"5:00  -  5:14,6:00  -  6:14,7:15  -  7:29,7:45  -  7:59,5:00  -  5:14,5:00  -  5:14,6:00  -  6:14,5:00  -  5:14,18:00  -  18:14,5:00  -  5:14,6:00  -  6:14,,5:00  -  5:14,16:00  -  16:14,5:00  -  5:14,6:00  -  6:14"
5:00  -  5:14,60625343,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,Do not know,Under K 849,Yes,15 – 18,"5:00  -  5:14,6:00  -  6:14,7:15  -  7:29,7:45  -  7:59,5:00  -  5:14,5:00  -  5:14,6:00  -  6:14,5:00  -  5:14,18:00  -  18:14,5:00  -  5:14,6:00  -  6:14,,5:00  -  5:14,16:00  -  16:14,5:00  -  5:14,6:00  -  6:14"
6:00  -  6:14,60625343,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,Do not know,Under K 849,Yes,15 – 18,"5:00  -  5:14,6:00  -  6:14,7:15  -  7:29,7:45  -  7:59,5:00  -  5:14,5:00  -  5:14,6:00  -  6:14,5:00  -  5:14,18:00  -  18:14,5:00  -  5:14,6:00  -  6:14,,5:00  -  5:14,16:00  -  16:14,5:00  -  5:14,6:00  -  6:14"
6:00  -  6:14,60626413,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Housewife,C2,"K 5,365  -  K 6,102",Yes,19 – 24,",6:00  -  6:14,20:00  -  20:14,,,,,,5:00  -  5:14,6:00  -  6:14"
20:00  -  20:14,60626413,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Housewife,C2,"K 5,365  -  K 6,102",Yes,19 – 24,",6:00  -  6:14,20:00  -  20:14,,,,,,5:00  -  5:14,6:00  -  6:14"
5:00  -  5:14,60626413,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Housewife,C2,"K 5,365  -  K 6,102",Yes,19 – 24,",6:00  -  6:14,20:00  -  20:14,,,,,,5:00  -  5:14,6:00  -  6:14"
12:00  -  12:14,60628615,Eastern,Petauke,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,",12:00  -  12:14,14:45  -  14:59,,,,,,7:00  -  7:14,7:45  -  7:59,"
7:45  -  7:59,60628615,Eastern,Petauke,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,",12:00  -  12:14,14:45  -  14:59,,,,,,7:00  -  7:14,7:45  -  7:59,"
14:45  -  14:59,60628615,Eastern,Petauke,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,",12:00  -  12:14,14:45  -  14:59,,,,,,7:00  -  7:14,7:45  -  7:59,"
7:00  -  7:14,60628615,Eastern,Petauke,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,",12:00  -  12:14,14:45  -  14:59,,,,,,7:00  -  7:14,7:45  -  7:59,"
14:45  -  14:59,60628617,Eastern,Petauke,Urban,Female,1,None,C1,University completed,Roman Catholic,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"13:00  -  13:14,14:45  -  14:59,10:00  -  10:14,11:45  -  11:59,13:00  -  13:14,14:45  -  14:59,,,,,,"
11:45  -  11:59,60628617,Eastern,Petauke,Urban,Female,1,None,C1,University completed,Roman Catholic,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"13:00  -  13:14,14:45  -  14:59,10:00  -  10:14,11:45  -  11:59,13:00  -  13:14,14:45  -  14:59,,,,,,"
13:00  -  13:14,60628617,Eastern,Petauke,Urban,Female,1,None,C1,University completed,Roman Catholic,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"13:00  -  13:14,14:45  -  14:59,10:00  -  10:14,11:45  -  11:59,13:00  -  13:14,14:45  -  14:59,,,,,,"
10:00  -  10:14,60628617,Eastern,Petauke,Urban,Female,1,None,C1,University completed,Roman Catholic,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"13:00  -  13:14,14:45  -  14:59,10:00  -  10:14,11:45  -  11:59,13:00  -  13:14,14:45  -  14:59,,,,,,"
12:00  -  12:14,60628618,Eastern,Petauke,Urban,Female,1,None,C2,Completed high School,Others,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,",12:00  -  12:14,12:45  -  12:59,,,,,,6:00  -  6:14,6:15  -  6:29,6:45  -  6:59"
6:45  -  6:59,60628618,Eastern,Petauke,Urban,Female,1,None,C2,Completed high School,Others,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,",12:00  -  12:14,12:45  -  12:59,,,,,,6:00  -  6:14,6:15  -  6:29,6:45  -  6:59"
6:15  -  6:29,60628618,Eastern,Petauke,Urban,Female,1,None,C2,Completed high School,Others,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,",12:00  -  12:14,12:45  -  12:59,,,,,,6:00  -  6:14,6:15  -  6:29,6:45  -  6:59"
6:00  -  6:14,60628618,Eastern,Petauke,Urban,Female,1,None,C2,Completed high School,Others,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,",12:00  -  12:14,12:45  -  12:59,,,,,,6:00  -  6:14,6:15  -  6:29,6:45  -  6:59"
12:45  -  12:59,60628618,Eastern,Petauke,Urban,Female,1,None,C2,Completed high School,Others,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,",12:00  -  12:14,12:45  -  12:59,,,,,,6:00  -  6:14,6:15  -  6:29,6:45  -  6:59"
6:00  -  6:14,60628705,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Housewife,C2,"K 4,628   -  K 5,364",Yes,19 – 24,",5:00  -  5:14,6:00  -  6:14,,,,,,"
5:00  -  5:14,60628705,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Housewife,C2,"K 4,628   -  K 5,364",Yes,19 – 24,",5:00  -  5:14,6:00  -  6:14,,,,,,"
6:00  -  6:14,60628706,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Student,Do not know,No Income,Yes,19 – 24,",5:00  -  5:14,6:00  -  6:14,22:00  -  22:14,,,,,,5:00  -  5:14,6:00  -  6:14"
22:00  -  22:14,60628706,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Student,Do not know,No Income,Yes,19 – 24,",5:00  -  5:14,6:00  -  6:14,22:00  -  22:14,,,,,,5:00  -  5:14,6:00  -  6:14"
5:00  -  5:14,60628706,Eastern,Chipata,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Student,Do not know,No Income,Yes,19 – 24,",5:00  -  5:14,6:00  -  6:14,22:00  -  22:14,,,,,,5:00  -  5:14,6:00  -  6:14"
13:00  -  13:14,60628708,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,45+,"5:00  -  5:14,6:00  -  6:14,5:00  -  5:14,6:00  -  6:14,13:00  -  13:14,5:00  -  5:14,6:00  -  6:14,15:00  -  15:14,5:00  -  5:14,6:00  -  6:14,5:00  -  5:14,5:00  -  5:14,6:00  -  6:14,20:30  -  20:44,,6:00  -  6:14,5:00  -  5:14"
5:00  -  5:14,60628708,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,45+,"5:00  -  5:14,6:00  -  6:14,5:00  -  5:14,6:00  -  6:14,13:00  -  13:14,5:00  -  5:14,6:00  -  6:14,15:00  -  15:14,5:00  -  5:14,6:00  -  6:14,5:00  -  5:14,5:00  -  5:14,6:00  -  6:14,20:30  -  20:44,,6:00  -  6:14,5:00  -  5:14"
20:30  -  20:44,60628708,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,45+,"5:00  -  5:14,6:00  -  6:14,5:00  -  5:14,6:00  -  6:14,13:00  -  13:14,5:00  -  5:14,6:00  -  6:14,15:00  -  15:14,5:00  -  5:14,6:00  -  6:14,5:00  -  5:14,5:00  -  5:14,6:00  -  6:14,20:30  -  20:44,,6:00  -  6:14,5:00  -  5:14"
15:00  -  15:14,60628708,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,45+,"5:00  -  5:14,6:00  -  6:14,5:00  -  5:14,6:00  -  6:14,13:00  -  13:14,5:00  -  5:14,6:00  -  6:14,15:00  -  15:14,5:00  -  5:14,6:00  -  6:14,5:00  -  5:14,5:00  -  5:14,6:00  -  6:14,20:30  -  20:44,,6:00  -  6:14,5:00  -  5:14"
6:00  -  6:14,60628708,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,45+,"5:00  -  5:14,6:00  -  6:14,5:00  -  5:14,6:00  -  6:14,13:00  -  13:14,5:00  -  5:14,6:00  -  6:14,15:00  -  15:14,5:00  -  5:14,6:00  -  6:14,5:00  -  5:14,5:00  -  5:14,6:00  -  6:14,20:30  -  20:44,,6:00  -  6:14,5:00  -  5:14"
7:15  -  7:29,60630476,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Roman Catholic,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,25 – 34,"5:00  -  5:14,7:15  -  7:29,13:00  -  13:14,13:00  -  13:14,13:30  -  13:44,5:00  -  5:14,5:00  -  5:14,5:00  -  5:14,7:15  -  7:29,5:00  -  5:14,6:00  -  6:14,,5:00  -  5:14,7:15  -  7:29,13:00  -  13:14,5:00  -  5:14"
13:30  -  13:44,60630476,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Roman Catholic,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,25 – 34,"5:00  -  5:14,7:15  -  7:29,13:00  -  13:14,13:00  -  13:14,13:30  -  13:44,5:00  -  5:14,5:00  -  5:14,5:00  -  5:14,7:15  -  7:29,5:00  -  5:14,6:00  -  6:14,,5:00  -  5:14,7:15  -  7:29,13:00  -  13:14,5:00  -  5:14"
13:00  -  13:14,60630476,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Roman Catholic,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,25 – 34,"5:00  -  5:14,7:15  -  7:29,13:00  -  13:14,13:00  -  13:14,13:30  -  13:44,5:00  -  5:14,5:00  -  5:14,5:00  -  5:14,7:15  -  7:29,5:00  -  5:14,6:00  -  6:14,,5:00  -  5:14,7:15  -  7:29,13:00  -  13:14,5:00  -  5:14"
5:00  -  5:14,60630476,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Roman Catholic,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,25 – 34,"5:00  -  5:14,7:15  -  7:29,13:00  -  13:14,13:00  -  13:14,13:30  -  13:44,5:00  -  5:14,5:00  -  5:14,5:00  -  5:14,7:15  -  7:29,5:00  -  5:14,6:00  -  6:14,,5:00  -  5:14,7:15  -  7:29,13:00  -  13:14,5:00  -  5:14"
6:00  -  6:14,60630476,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Roman Catholic,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,25 – 34,"5:00  -  5:14,7:15  -  7:29,13:00  -  13:14,13:00  -  13:14,13:30  -  13:44,5:00  -  5:14,5:00  -  5:14,5:00  -  5:14,7:15  -  7:29,5:00  -  5:14,6:00  -  6:14,,5:00  -  5:14,7:15  -  7:29,13:00  -  13:14,5:00  -  5:14"
13:15  -  13:29,60636154,Eastern,Chipata,Urban,Female,1,None,C2,Some high school,Roman Catholic,Housewife,D,"K 2,500   -  K 3,154",Yes,25 – 34,"5:00  -  5:14,7:00  -  7:14,5:00  -  5:14,5:00  -  5:14,6:00  -  6:14,15:15  -  15:29,5:00  -  5:14,13:15  -  13:29,5:00  -  5:14,8:00  -  8:14,5:00  -  5:14,6:00  -  6:14,8:00  -  8:14,,5:00  -  5:14,6:00  -  6:14,8:00  -  8:14,16:00  -  16:14,5:00  -  5:14"
16:00  -  16:14,60636154,Eastern,Chipata,Urban,Female,1,None,C2,Some high school,Roman Catholic,Housewife,D,"K 2,500   -  K 3,154",Yes,25 – 34,"5:00  -  5:14,7:00  -  7:14,5:00  -  5:14,5:00  -  5:14,6:00  -  6:14,15:15  -  15:29,5:00  -  5:14,13:15  -  13:29,5:00  -  5:14,8:00  -  8:14,5:00  -  5:14,6:00  -  6:14,8:00  -  8:14,,5:00  -  5:14,6:00  -  6:14,8:00  -  8:14,16:00  -  16:14,5:00  -  5:14"
5:00  -  5:14,60636154,Eastern,Chipata,Urban,Female,1,None,C2,Some high school,Roman Catholic,Housewife,D,"K 2,500   -  K 3,154",Yes,25 – 34,"5:00  -  5:14,7:00  -  7:14,5:00  -  5:14,5:00  -  5:14,6:00  -  6:14,15:15  -  15:29,5:00  -  5:14,13:15  -  13:29,5:00  -  5:14,8:00  -  8:14,5:00  -  5:14,6:00  -  6:14,8:00  -  8:14,,5:00  -  5:14,6:00  -  6:14,8:00  -  8:14,16:00  -  16:14,5:00  -  5:14"
7:00  -  7:14,60636154,Eastern,Chipata,Urban,Female,1,None,C2,Some high school,Roman Catholic,Housewife,D,"K 2,500   -  K 3,154",Yes,25 – 34,"5:00  -  5:14,7:00  -  7:14,5:00  -  5:14,5:00  -  5:14,6:00  -  6:14,15:15  -  15:29,5:00  -  5:14,13:15  -  13:29,5:00  -  5:14,8:00  -  8:14,5:00  -  5:14,6:00  -  6:14,8:00  -  8:14,,5:00  -  5:14,6:00  -  6:14,8:00  -  8:14,16:00  -  16:14,5:00  -  5:14"
8:00  -  8:14,60636154,Eastern,Chipata,Urban,Female,1,None,C2,Some high school,Roman Catholic,Housewife,D,"K 2,500   -  K 3,154",Yes,25 – 34,"5:00  -  5:14,7:00  -  7:14,5:00  -  5:14,5:00  -  5:14,6:00  -  6:14,15:15  -  15:29,5:00  -  5:14,13:15  -  13:29,5:00  -  5:14,8:00  -  8:14,5:00  -  5:14,6:00  -  6:14,8:00  -  8:14,,5:00  -  5:14,6:00  -  6:14,8:00  -  8:14,16:00  -  16:14,5:00  -  5:14"
6:00  -  6:14,60636154,Eastern,Chipata,Urban,Female,1,None,C2,Some high school,Roman Catholic,Housewife,D,"K 2,500   -  K 3,154",Yes,25 – 34,"5:00  -  5:14,7:00  -  7:14,5:00  -  5:14,5:00  -  5:14,6:00  -  6:14,15:15  -  15:29,5:00  -  5:14,13:15  -  13:29,5:00  -  5:14,8:00  -  8:14,5:00  -  5:14,6:00  -  6:14,8:00  -  8:14,,5:00  -  5:14,6:00  -  6:14,8:00  -  8:14,16:00  -  16:14,5:00  -  5:14"
15:15  -  15:29,60636154,Eastern,Chipata,Urban,Female,1,None,C2,Some high school,Roman Catholic,Housewife,D,"K 2,500   -  K 3,154",Yes,25 – 34,"5:00  -  5:14,7:00  -  7:14,5:00  -  5:14,5:00  -  5:14,6:00  -  6:14,15:15  -  15:29,5:00  -  5:14,13:15  -  13:29,5:00  -  5:14,8:00  -  8:14,5:00  -  5:14,6:00  -  6:14,8:00  -  8:14,,5:00  -  5:14,6:00  -  6:14,8:00  -  8:14,16:00  -  16:14,5:00  -  5:14"
