PASME  Monday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,PASME  Monday
14:00  -  14:14,60651316,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Student,C1,Under K 849,No,19 – 24,"14:00  -  14:14,15:45  -  15:59"
15:45  -  15:59,60651316,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Student,C1,Under K 849,No,19 – 24,"14:00  -  14:14,15:45  -  15:59"
10:15  -  10:29,60688037,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,No Income,No,25 – 34,"9:00  -  9:14,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
10:30  -  10:44,60688037,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,No Income,No,25 – 34,"9:00  -  9:14,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
9:00  -  9:14,60688037,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,No Income,No,25 – 34,"9:00  -  9:14,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
10:00  -  10:14,60688037,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,No Income,No,25 – 34,"9:00  -  9:14,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
9:45  -  9:59,60688037,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,No Income,No,25 – 34,"9:00  -  9:14,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
9:00  -  9:14,60708515,Eastern,Petauke,Urban,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],D,"K 2,500   -  K 3,154",No,45+,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
7:00  -  7:14,60708515,Eastern,Petauke,Urban,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],D,"K 2,500   -  K 3,154",No,45+,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
7:15  -  7:29,60708515,Eastern,Petauke,Urban,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],D,"K 2,500   -  K 3,154",No,45+,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
7:30  -  7:44,60708515,Eastern,Petauke,Urban,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],D,"K 2,500   -  K 3,154",No,45+,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
9:15  -  9:29,60708515,Eastern,Petauke,Urban,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],D,"K 2,500   -  K 3,154",No,45+,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
7:45  -  7:59,60708515,Eastern,Petauke,Urban,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],D,"K 2,500   -  K 3,154",No,45+,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
9:45  -  9:59,60708515,Eastern,Petauke,Urban,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],D,"K 2,500   -  K 3,154",No,45+,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
9:30  -  9:44,60708515,Eastern,Petauke,Urban,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],D,"K 2,500   -  K 3,154",No,45+,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
18:00  -  18:14,60736739,Eastern,Petauke,Urban,Male,1,None,C1,Some high school,Other Christian,Student,C2,Under K 849,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
18:45  -  18:59,60736739,Eastern,Petauke,Urban,Male,1,None,C1,Some high school,Other Christian,Student,C2,Under K 849,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
18:30  -  18:44,60736739,Eastern,Petauke,Urban,Male,1,None,C1,Some high school,Other Christian,Student,C2,Under K 849,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
18:15  -  18:29,60736739,Eastern,Petauke,Urban,Male,1,None,C1,Some high school,Other Christian,Student,C2,Under K 849,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
19:15  -  19:29,60772562,Eastern,Petauke,Rural,Female,1,None,C1,Completed high School,Other Christian,Self employed,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
19:00  -  19:14,60772562,Eastern,Petauke,Rural,Female,1,None,C1,Completed high School,Other Christian,Self employed,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
19:45  -  19:59,60772562,Eastern,Petauke,Rural,Female,1,None,C1,Completed high School,Other Christian,Self employed,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
19:30  -  19:44,60772562,Eastern,Petauke,Rural,Female,1,None,C1,Completed high School,Other Christian,Self employed,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
10:00  -  10:14,60832109,Eastern,Petauke,Rural,Female,1,None,D,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
10:15  -  10:29,60832109,Eastern,Petauke,Rural,Female,1,None,D,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
10:30  -  10:44,60832109,Eastern,Petauke,Rural,Female,1,None,D,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
10:45  -  10:59,60832109,Eastern,Petauke,Rural,Female,1,None,D,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
