QFM  Saturday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,QFM  Saturday
21:00  -  21:14,60611355,Central,Kabwe,Urban,Female,2,One,AB,Completed high School,Anglican/Protestant,Working Full-Time,C1,"K 1675- K2,499",Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14"
22:45  -  22:59,60611355,Central,Kabwe,Urban,Female,2,One,AB,Completed high School,Anglican/Protestant,Working Full-Time,C1,"K 1675- K2,499",Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14"
9:45  -  9:59,60683880,Central,Kabwe,Rural,Female,1,None,C1,Completed high School,Other Christian,Housewife,Do not know,Do not know,Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
10:00  -  10:14,60683880,Central,Kabwe,Rural,Female,1,None,C1,Completed high School,Other Christian,Housewife,Do not know,Do not know,Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
9:00  -  9:14,60683880,Central,Kabwe,Rural,Female,1,None,C1,Completed high School,Other Christian,Housewife,Do not know,Do not know,Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
9:15  -  9:29,60683880,Central,Kabwe,Rural,Female,1,None,C1,Completed high School,Other Christian,Housewife,Do not know,Do not know,Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
9:30  -  9:44,60683880,Central,Kabwe,Rural,Female,1,None,C1,Completed high School,Other Christian,Housewife,Do not know,Do not know,Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
10:15  -  10:29,60683880,Central,Kabwe,Rural,Female,1,None,C1,Completed high School,Other Christian,Housewife,Do not know,Do not know,Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
6:45  -  6:59,60755601,Central,Kabwe,Rural,Male,0,None,D,Primary school completed,Anglican/Protestant,Working Full-Time,Do not know,K 850-K 1674,No,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
6:30  -  6:44,60755601,Central,Kabwe,Rural,Male,0,None,D,Primary school completed,Anglican/Protestant,Working Full-Time,Do not know,K 850-K 1674,No,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
6:00  -  6:14,60755601,Central,Kabwe,Rural,Male,0,None,D,Primary school completed,Anglican/Protestant,Working Full-Time,Do not know,K 850-K 1674,No,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
6:15  -  6:29,60755601,Central,Kabwe,Rural,Male,0,None,D,Primary school completed,Anglican/Protestant,Working Full-Time,Do not know,K 850-K 1674,No,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
7:00  -  7:14,60755601,Central,Kabwe,Rural,Male,0,None,D,Primary school completed,Anglican/Protestant,Working Full-Time,Do not know,K 850-K 1674,No,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
15:00  -  15:14,60772790,Eastern,Chipata,Rural,Male,1,None,C1,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,15 – 18,"8:00  -  8:14,13:00  -  13:14,15:00  -  15:14"
13:00  -  13:14,60772790,Eastern,Chipata,Rural,Male,1,None,C1,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,15 – 18,"8:00  -  8:14,13:00  -  13:14,15:00  -  15:14"
8:00  -  8:14,60772790,Eastern,Chipata,Rural,Male,1,None,C1,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,15 – 18,"8:00  -  8:14,13:00  -  13:14,15:00  -  15:14"
16:15  -  16:29,60826403,Central,Kapiri Mposhi,Rural,Male,1,None,D,Some primary school,Seventh Day Adventists,Self employed,D,Under K 849,Yes,45+,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
16:45  -  16:59,60826403,Central,Kapiri Mposhi,Rural,Male,1,None,D,Some primary school,Seventh Day Adventists,Self employed,D,Under K 849,Yes,45+,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
18:00  -  18:14,60826403,Central,Kapiri Mposhi,Rural,Male,1,None,D,Some primary school,Seventh Day Adventists,Self employed,D,Under K 849,Yes,45+,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
17:45  -  17:59,60826403,Central,Kapiri Mposhi,Rural,Male,1,None,D,Some primary school,Seventh Day Adventists,Self employed,D,Under K 849,Yes,45+,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
17:00  -  17:14,60826403,Central,Kapiri Mposhi,Rural,Male,1,None,D,Some primary school,Seventh Day Adventists,Self employed,D,Under K 849,Yes,45+,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
16:00  -  16:14,60826403,Central,Kapiri Mposhi,Rural,Male,1,None,D,Some primary school,Seventh Day Adventists,Self employed,D,Under K 849,Yes,45+,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
17:30  -  17:44,60826403,Central,Kapiri Mposhi,Rural,Male,1,None,D,Some primary school,Seventh Day Adventists,Self employed,D,Under K 849,Yes,45+,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
18:15  -  18:29,60826403,Central,Kapiri Mposhi,Rural,Male,1,None,D,Some primary school,Seventh Day Adventists,Self employed,D,Under K 849,Yes,45+,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
18:30  -  18:44,60826403,Central,Kapiri Mposhi,Rural,Male,1,None,D,Some primary school,Seventh Day Adventists,Self employed,D,Under K 849,Yes,45+,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
17:15  -  17:29,60826403,Central,Kapiri Mposhi,Rural,Male,1,None,D,Some primary school,Seventh Day Adventists,Self employed,D,Under K 849,Yes,45+,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
16:30  -  16:44,60826403,Central,Kapiri Mposhi,Rural,Male,1,None,D,Some primary school,Seventh Day Adventists,Self employed,D,Under K 849,Yes,45+,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
16:15  -  16:29,134922156,Western,Mongu,Rural,Male,2,,D,Secondary,Christian,Employed for cash,D,Under K 849,,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
16:45  -  16:59,134922156,Western,Mongu,Rural,Male,2,,D,Secondary,Christian,Employed for cash,D,Under K 849,,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
17:00  -  17:14,134922156,Western,Mongu,Rural,Male,2,,D,Secondary,Christian,Employed for cash,D,Under K 849,,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
16:00  -  16:14,134922156,Western,Mongu,Rural,Male,2,,D,Secondary,Christian,Employed for cash,D,Under K 849,,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
16:30  -  16:44,134922156,Western,Mongu,Rural,Male,2,,D,Secondary,Christian,Employed for cash,D,Under K 849,,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
3:00  -  3:14,134578167,Central,Serenje,Urban,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,45+,"3:00  -  3:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
18:00  -  18:14,135046399,Central,Kapiri Mposhi,Rural,Male,2,,D,Secondary,Christian,Employed for cash,D,K 850-K 1674,,25 – 34,"8:30  -  8:44,9:15  -  9:29,10:15  -  10:29,11:00  -  11:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,19:00  -  19:14,19:45  -  19:59,20:45  -  20:59,21:00  -  21:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
17:45  -  17:59,135046399,Central,Kapiri Mposhi,Rural,Male,2,,D,Secondary,Christian,Employed for cash,D,K 850-K 1674,,25 – 34,"8:30  -  8:44,9:15  -  9:29,10:15  -  10:29,11:00  -  11:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,19:00  -  19:14,19:45  -  19:59,20:45  -  20:59,21:00  -  21:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
9:15  -  9:29,135046399,Central,Kapiri Mposhi,Rural,Male,2,,D,Secondary,Christian,Employed for cash,D,K 850-K 1674,,25 – 34,"8:30  -  8:44,9:15  -  9:29,10:15  -  10:29,11:00  -  11:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,19:00  -  19:14,19:45  -  19:59,20:45  -  20:59,21:00  -  21:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
17:30  -  17:44,135046399,Central,Kapiri Mposhi,Rural,Male,2,,D,Secondary,Christian,Employed for cash,D,K 850-K 1674,,25 – 34,"8:30  -  8:44,9:15  -  9:29,10:15  -  10:29,11:00  -  11:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,19:00  -  19:14,19:45  -  19:59,20:45  -  20:59,21:00  -  21:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
20:45  -  20:59,135046399,Central,Kapiri Mposhi,Rural,Male,2,,D,Secondary,Christian,Employed for cash,D,K 850-K 1674,,25 – 34,"8:30  -  8:44,9:15  -  9:29,10:15  -  10:29,11:00  -  11:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,19:00  -  19:14,19:45  -  19:59,20:45  -  20:59,21:00  -  21:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
8:30  -  8:44,135046399,Central,Kapiri Mposhi,Rural,Male,2,,D,Secondary,Christian,Employed for cash,D,K 850-K 1674,,25 – 34,"8:30  -  8:44,9:15  -  9:29,10:15  -  10:29,11:00  -  11:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,19:00  -  19:14,19:45  -  19:59,20:45  -  20:59,21:00  -  21:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
19:45  -  19:59,135046399,Central,Kapiri Mposhi,Rural,Male,2,,D,Secondary,Christian,Employed for cash,D,K 850-K 1674,,25 – 34,"8:30  -  8:44,9:15  -  9:29,10:15  -  10:29,11:00  -  11:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,19:00  -  19:14,19:45  -  19:59,20:45  -  20:59,21:00  -  21:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
21:00  -  21:14,135046399,Central,Kapiri Mposhi,Rural,Male,2,,D,Secondary,Christian,Employed for cash,D,K 850-K 1674,,25 – 34,"8:30  -  8:44,9:15  -  9:29,10:15  -  10:29,11:00  -  11:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,19:00  -  19:14,19:45  -  19:59,20:45  -  20:59,21:00  -  21:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
17:15  -  17:29,135046399,Central,Kapiri Mposhi,Rural,Male,2,,D,Secondary,Christian,Employed for cash,D,K 850-K 1674,,25 – 34,"8:30  -  8:44,9:15  -  9:29,10:15  -  10:29,11:00  -  11:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,19:00  -  19:14,19:45  -  19:59,20:45  -  20:59,21:00  -  21:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
19:00  -  19:14,135046399,Central,Kapiri Mposhi,Rural,Male,2,,D,Secondary,Christian,Employed for cash,D,K 850-K 1674,,25 – 34,"8:30  -  8:44,9:15  -  9:29,10:15  -  10:29,11:00  -  11:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,19:00  -  19:14,19:45  -  19:59,20:45  -  20:59,21:00  -  21:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
11:00  -  11:14,135046399,Central,Kapiri Mposhi,Rural,Male,2,,D,Secondary,Christian,Employed for cash,D,K 850-K 1674,,25 – 34,"8:30  -  8:44,9:15  -  9:29,10:15  -  10:29,11:00  -  11:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,19:00  -  19:14,19:45  -  19:59,20:45  -  20:59,21:00  -  21:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
10:15  -  10:29,135046399,Central,Kapiri Mposhi,Rural,Male,2,,D,Secondary,Christian,Employed for cash,D,K 850-K 1674,,25 – 34,"8:30  -  8:44,9:15  -  9:29,10:15  -  10:29,11:00  -  11:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,19:00  -  19:14,19:45  -  19:59,20:45  -  20:59,21:00  -  21:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
3:00  -  3:14,134658244,Western,Kaoma,Urban,Male,1,,D,Secondary,Christian,Employed for cash,D,"K 1675- K2,499",,35 – 44,"3:00  -  3:14,4:30  -  4:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
4:30  -  4:44,134658244,Western,Kaoma,Urban,Male,1,,D,Secondary,Christian,Employed for cash,D,"K 1675- K2,499",,35 – 44,"3:00  -  3:14,4:30  -  4:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
10:00  -  10:14,135119162,Central,Kabwe,Urban,Female,1,,C2,Secondary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
10:45  -  10:59,135119162,Central,Kabwe,Urban,Female,1,,C2,Secondary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
11:30  -  11:44,135119162,Central,Kabwe,Urban,Female,1,,C2,Secondary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
11:15  -  11:29,135119162,Central,Kabwe,Urban,Female,1,,C2,Secondary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
11:45  -  11:59,135119162,Central,Kabwe,Urban,Female,1,,C2,Secondary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
10:30  -  10:44,135119162,Central,Kabwe,Urban,Female,1,,C2,Secondary,Christian,Not employed,C2,"K 2,500   -  K 3,154",,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
