Radio 1  Saturday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Radio 1  Saturday
9:15  -  9:29,60530085,Southern,Mazabuka,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29"
8:00  -  8:14,60530085,Southern,Mazabuka,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29"
7:00  -  7:14,60530085,Southern,Mazabuka,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29"
6:30  -  6:44,60530085,Southern,Mazabuka,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29"
6:00  -  6:14,60530085,Southern,Mazabuka,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29"
6:45  -  6:59,60530085,Southern,Mazabuka,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29"
7:15  -  7:29,60530085,Southern,Mazabuka,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29"
7:30  -  7:44,60530085,Southern,Mazabuka,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29"
7:45  -  7:59,60530085,Southern,Mazabuka,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29"
8:15  -  8:29,60530085,Southern,Mazabuka,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29"
8:30  -  8:44,60530085,Southern,Mazabuka,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29"
8:45  -  8:59,60530085,Southern,Mazabuka,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29"
9:00  -  9:14,60530085,Southern,Mazabuka,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29"
6:15  -  6:29,60530085,Southern,Mazabuka,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29"
8:00  -  8:14,60534385,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some high school,Seventh Day Adventists,Self employed,D,"K 1675- K2,499",Yes,35 – 44,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
8:45  -  8:59,60534385,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some high school,Seventh Day Adventists,Self employed,D,"K 1675- K2,499",Yes,35 – 44,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
8:15  -  8:29,60534385,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some high school,Seventh Day Adventists,Self employed,D,"K 1675- K2,499",Yes,35 – 44,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
8:30  -  8:44,60534385,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some high school,Seventh Day Adventists,Self employed,D,"K 1675- K2,499",Yes,35 – 44,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
9:00  -  9:14,60534385,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some high school,Seventh Day Adventists,Self employed,D,"K 1675- K2,499",Yes,35 – 44,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
22:00  -  22:14,60540118,North-Western,Solwezi,Urban,Female,1,Two or More,AB,University completed,Other Christian,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,45+,"20:00  -  20:14,22:00  -  22:14"
20:00  -  20:14,60540118,North-Western,Solwezi,Urban,Female,1,Two or More,AB,University completed,Other Christian,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,45+,"20:00  -  20:14,22:00  -  22:14"
8:00  -  8:14,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
11:15  -  11:29,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
6:45  -  6:59,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
7:45  -  7:59,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
12:45  -  12:59,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
10:45  -  10:59,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
6:15  -  6:29,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
10:30  -  10:44,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
9:15  -  9:29,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
12:30  -  12:44,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
11:30  -  11:44,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
8:45  -  8:59,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
10:00  -  10:14,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
13:00  -  13:14,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
9:00  -  9:14,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
7:30  -  7:44,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
12:00  -  12:14,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
10:15  -  10:29,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
6:30  -  6:44,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
6:00  -  6:14,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
7:15  -  7:29,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
