Mazabuka  Wednesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Mazabuka  Wednesday
10:15  -  10:29,60633198,Southern,Mazabuka,Urban,Male,2,None,C2,Completed high School,Seventh Day Adventists,Working Full-Time,D,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
10:30  -  10:44,60633198,Southern,Mazabuka,Urban,Male,2,None,C2,Completed high School,Seventh Day Adventists,Working Full-Time,D,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
9:00  -  9:14,60665279,Southern,Mazabuka,Urban,Male,0,None,C2,Some high school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
7:15  -  7:29,60665279,Southern,Mazabuka,Urban,Male,0,None,C2,Some high school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
8:15  -  8:29,60665279,Southern,Mazabuka,Urban,Male,0,None,C2,Some high school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
8:00  -  8:14,60665279,Southern,Mazabuka,Urban,Male,0,None,C2,Some high school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
8:30  -  8:44,60665279,Southern,Mazabuka,Urban,Male,0,None,C2,Some high school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
7:30  -  7:44,60665279,Southern,Mazabuka,Urban,Male,0,None,C2,Some high school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
9:15  -  9:29,60665279,Southern,Mazabuka,Urban,Male,0,None,C2,Some high school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
8:45  -  8:59,60665279,Southern,Mazabuka,Urban,Male,0,None,C2,Some high school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
7:45  -  7:59,60665279,Southern,Mazabuka,Urban,Male,0,None,C2,Some high school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
9:45  -  9:59,60665279,Southern,Mazabuka,Urban,Male,0,None,C2,Some high school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
9:30  -  9:44,60665279,Southern,Mazabuka,Urban,Male,0,None,C2,Some high school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
14:45  -  14:59,60748706,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Refused (DON’T READ),Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,45+,"14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
14:15  -  14:29,60748706,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Refused (DON’T READ),Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,45+,"14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
14:30  -  14:44,60748706,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Refused (DON’T READ),Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,45+,"14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
6:30  -  6:44,60779738,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Muslim,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
6:00  -  6:14,60779738,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Muslim,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
6:45  -  6:59,60779738,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Muslim,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
6:15  -  6:29,60779738,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Muslim,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
