Petauke Explorers  Thursday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Petauke Explorers  Thursday
17:00  -  17:14,60886274,Eastern,Petauke,Rural,Female,1,None,C2,Primary school completed,Roman Catholic,Self employed,D,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,17:00  -  17:14,17:15  -  17:29,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
8:30  -  8:44,60886274,Eastern,Petauke,Rural,Female,1,None,C2,Primary school completed,Roman Catholic,Self employed,D,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,17:00  -  17:14,17:15  -  17:29,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
19:45  -  19:59,60886274,Eastern,Petauke,Rural,Female,1,None,C2,Primary school completed,Roman Catholic,Self employed,D,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,17:00  -  17:14,17:15  -  17:29,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
8:45  -  8:59,60886274,Eastern,Petauke,Rural,Female,1,None,C2,Primary school completed,Roman Catholic,Self employed,D,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,17:00  -  17:14,17:15  -  17:29,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
8:00  -  8:14,60886274,Eastern,Petauke,Rural,Female,1,None,C2,Primary school completed,Roman Catholic,Self employed,D,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,17:00  -  17:14,17:15  -  17:29,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
17:15  -  17:29,60886274,Eastern,Petauke,Rural,Female,1,None,C2,Primary school completed,Roman Catholic,Self employed,D,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,17:00  -  17:14,17:15  -  17:29,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
8:15  -  8:29,60886274,Eastern,Petauke,Rural,Female,1,None,C2,Primary school completed,Roman Catholic,Self employed,D,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,17:00  -  17:14,17:15  -  17:29,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
19:30  -  19:44,60886274,Eastern,Petauke,Rural,Female,1,None,C2,Primary school completed,Roman Catholic,Self employed,D,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,17:00  -  17:14,17:15  -  17:29,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
19:00  -  19:14,60886274,Eastern,Petauke,Rural,Female,1,None,C2,Primary school completed,Roman Catholic,Self employed,D,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,17:00  -  17:14,17:15  -  17:29,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
7:15  -  7:29,60886275,Eastern,Petauke,Rural,Female,1,None,C2,Some high school,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:15  -  8:29,8:45  -  8:59"
8:45  -  8:59,60886275,Eastern,Petauke,Rural,Female,1,None,C2,Some high school,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:15  -  8:29,8:45  -  8:59"
8:15  -  8:29,60886275,Eastern,Petauke,Rural,Female,1,None,C2,Some high school,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:15  -  8:29,8:45  -  8:59"
7:30  -  7:44,60886275,Eastern,Petauke,Rural,Female,1,None,C2,Some high school,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:15  -  8:29,8:45  -  8:59"
7:45  -  7:59,60886275,Eastern,Petauke,Rural,Female,1,None,C2,Some high school,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:15  -  8:29,8:45  -  8:59"
7:00  -  7:14,60886275,Eastern,Petauke,Rural,Female,1,None,C2,Some high school,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:15  -  8:29,8:45  -  8:59"
