Money FM analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Money FM
9:00  -  9:14,60515248,Central,Mkushi,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,",,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,,,,"
18:15  -  18:29,60567070,Central,Mkushi,Urban,Female,0,One,AB,Some university,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,19 – 24,",,,,,,,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,"
18:30  -  18:44,60567070,Central,Mkushi,Urban,Female,0,One,AB,Some university,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,19 – 24,",,,,,,,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,"
15:00  -  15:14,60567070,Central,Mkushi,Urban,Female,0,One,AB,Some university,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,19 – 24,",,,,,,,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,"
18:00  -  18:14,60567070,Central,Mkushi,Urban,Female,0,One,AB,Some university,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,19 – 24,",,,,,,,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,"
15:15  -  15:29,60567070,Central,Mkushi,Urban,Female,0,One,AB,Some university,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,19 – 24,",,,,,,,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,"
15:30  -  15:44,60567070,Central,Mkushi,Urban,Female,0,One,AB,Some university,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,19 – 24,",,,,,,,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,"
6:30  -  6:44,60567071,Central,Mkushi,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,"K 3,155   -  K 3,890",Yes,19 – 24,",,,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,,,"
6:45  -  6:59,60567071,Central,Mkushi,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,"K 3,155   -  K 3,890",Yes,19 – 24,",,,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,,,"
7:00  -  7:14,60567071,Central,Mkushi,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,"K 3,155   -  K 3,890",Yes,19 – 24,",,,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,,,"
6:15  -  6:29,60567071,Central,Mkushi,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,"K 3,155   -  K 3,890",Yes,19 – 24,",,,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,,,"
6:00  -  6:14,60567071,Central,Mkushi,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,"K 3,155   -  K 3,890",Yes,19 – 24,",,,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,,,"
7:15  -  7:29,60567072,Central,Mkushi,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,",,,,,,,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,"
7:30  -  7:44,60567072,Central,Mkushi,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,",,,,,,,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,"
7:00  -  7:14,60567072,Central,Mkushi,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,",,,,,,,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,"
6:00  -  6:14,60567075,Central,Mkushi,Urban,Male,1,None,AB,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,",,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,,,,"
6:30  -  6:44,60567075,Central,Mkushi,Urban,Male,1,None,AB,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,",,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,,,,"
6:15  -  6:29,60567075,Central,Mkushi,Urban,Male,1,None,AB,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,",,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,,,,"
17:00  -  17:14,60567076,Central,Mkushi,Urban,Male,0,None,C1,Some high school,Other Christian,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,",,,,,,,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
17:30  -  17:44,60567076,Central,Mkushi,Urban,Male,0,None,C1,Some high school,Other Christian,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,",,,,,,,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
17:15  -  17:29,60567076,Central,Mkushi,Urban,Male,0,None,C1,Some high school,Other Christian,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,",,,,,,,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
11:00  -  11:14,60567077,Central,Mkushi,Urban,Female,1,None,C2,Some high school,Roman Catholic,Self employed,D,Under K 849,Yes,19 – 24,",,,,,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,,"
12:00  -  12:14,60567077,Central,Mkushi,Urban,Female,1,None,C2,Some high school,Roman Catholic,Self employed,D,Under K 849,Yes,19 – 24,",,,,,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,,"
10:00  -  10:14,60567077,Central,Mkushi,Urban,Female,1,None,C2,Some high school,Roman Catholic,Self employed,D,Under K 849,Yes,19 – 24,",,,,,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,,"
11:30  -  11:44,60567077,Central,Mkushi,Urban,Female,1,None,C2,Some high school,Roman Catholic,Self employed,D,Under K 849,Yes,19 – 24,",,,,,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,,"
10:15  -  10:29,60567077,Central,Mkushi,Urban,Female,1,None,C2,Some high school,Roman Catholic,Self employed,D,Under K 849,Yes,19 – 24,",,,,,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,,"
10:45  -  10:59,60567077,Central,Mkushi,Urban,Female,1,None,C2,Some high school,Roman Catholic,Self employed,D,Under K 849,Yes,19 – 24,",,,,,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,,"
10:30  -  10:44,60567077,Central,Mkushi,Urban,Female,1,None,C2,Some high school,Roman Catholic,Self employed,D,Under K 849,Yes,19 – 24,",,,,,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,,"
11:15  -  11:29,60567077,Central,Mkushi,Urban,Female,1,None,C2,Some high school,Roman Catholic,Self employed,D,Under K 849,Yes,19 – 24,",,,,,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,,"
11:45  -  11:59,60567077,Central,Mkushi,Urban,Female,1,None,C2,Some high school,Roman Catholic,Self employed,D,Under K 849,Yes,19 – 24,",,,,,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,,"
21:00  -  21:14,60567079,Central,Mkushi,Urban,Female,0,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,19 – 24,",21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,,,,,,"
22:00  -  22:14,60567079,Central,Mkushi,Urban,Female,0,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,19 – 24,",21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,,,,,,"
21:45  -  21:59,60567079,Central,Mkushi,Urban,Female,0,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,19 – 24,",21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,,,,,,"
21:30  -  21:44,60567079,Central,Mkushi,Urban,Female,0,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,19 – 24,",21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,,,,,,"
21:15  -  21:29,60567079,Central,Mkushi,Urban,Female,0,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,19 – 24,",21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,,,,,,"
20:30  -  20:44,60567080,Central,Mkushi,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Self employed,C1,"K 2,500   -  K 3,154",Yes,19 – 24,",,,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,,,"
20:00  -  20:14,60567080,Central,Mkushi,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Self employed,C1,"K 2,500   -  K 3,154",Yes,19 – 24,",,,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,,,"
20:15  -  20:29,60567080,Central,Mkushi,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Self employed,C1,"K 2,500   -  K 3,154",Yes,19 – 24,",,,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,,,"
19:15  -  19:29,60567100,Central,Mkushi,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Retired - voluntary scholarspensioners,C2,"K 1675- K2,499",Yes,45+,",,,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,,,,"
19:00  -  19:14,60567100,Central,Mkushi,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Retired - voluntary scholarspensioners,C2,"K 1675- K2,499",Yes,45+,",,,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,,,,"
19:30  -  19:44,60567100,Central,Mkushi,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Retired - voluntary scholarspensioners,C2,"K 1675- K2,499",Yes,45+,",,,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,,,,"
20:30  -  20:44,60567102,Central,Mkushi,Urban,Male,1,None,AB,Completed high School,Roman Catholic,Retired - voluntary scholarspensioners,C2,No Income,Yes,45+,",,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,,,,"
20:00  -  20:14,60567102,Central,Mkushi,Urban,Male,1,None,AB,Completed high School,Roman Catholic,Retired - voluntary scholarspensioners,C2,No Income,Yes,45+,",,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,,,,"
20:15  -  20:29,60567102,Central,Mkushi,Urban,Male,1,None,AB,Completed high School,Roman Catholic,Retired - voluntary scholarspensioners,C2,No Income,Yes,45+,",,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,,,,"
6:00  -  6:14,60567103,Central,Mkushi,Urban,Female,1,None,AB,Completed high School,Other Christian,Self employed,C2,"K 1675- K2,499",No,25 – 34,",,,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,,,"
6:30  -  6:44,60567103,Central,Mkushi,Urban,Female,1,None,AB,Completed high School,Other Christian,Self employed,C2,"K 1675- K2,499",No,25 – 34,",,,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,,,"
6:15  -  6:29,60567103,Central,Mkushi,Urban,Female,1,None,AB,Completed high School,Other Christian,Self employed,C2,"K 1675- K2,499",No,25 – 34,",,,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,,,"
14:15  -  14:29,60567105,Central,Mkushi,Urban,Female,1,None,C1,Some university,Roman Catholic,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,",,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,,,"
14:00  -  14:14,60567105,Central,Mkushi,Urban,Female,1,None,C1,Some university,Roman Catholic,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,",,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,,,"
14:30  -  14:44,60567105,Central,Mkushi,Urban,Female,1,None,C1,Some university,Roman Catholic,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,",,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,,,"
20:30  -  20:44,60567107,Central,Mkushi,Urban,Male,1,None,C1,Some high school,Roman Catholic,Self employed,C1,"K 3,891  -  K 4,627",Yes,25 – 34,",,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,,,,,"
20:00  -  20:14,60567107,Central,Mkushi,Urban,Male,1,None,C1,Some high school,Roman Catholic,Self employed,C1,"K 3,891  -  K 4,627",Yes,25 – 34,",,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,,,,,"
20:15  -  20:29,60567107,Central,Mkushi,Urban,Male,1,None,C1,Some high school,Roman Catholic,Self employed,C1,"K 3,891  -  K 4,627",Yes,25 – 34,",,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,,,,,"
16:00  -  16:14,60567108,Central,Mkushi,Urban,Male,1,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,25 – 34,",,,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,,,,"
16:15  -  16:29,60567108,Central,Mkushi,Urban,Male,1,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,25 – 34,",,,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,,,,"
16:30  -  16:44,60567108,Central,Mkushi,Urban,Male,1,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,25 – 34,",,,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,,,,"
6:00  -  6:14,60617258,Central,Mkushi,Urban,Male,1,None,C1,Some high school,Other Christian,Self employed,D,K 850-K 1674,Yes,35 – 44,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,,,,,,"
6:30  -  6:44,60617258,Central,Mkushi,Urban,Male,1,None,C1,Some high school,Other Christian,Self employed,D,K 850-K 1674,Yes,35 – 44,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,,,,,,"
6:15  -  6:29,60617258,Central,Mkushi,Urban,Male,1,None,C1,Some high school,Other Christian,Self employed,D,K 850-K 1674,Yes,35 – 44,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,,,,,,"
7:15  -  7:29,60617259,Central,Mkushi,Urban,Male,1,One,AB,Some university,Roman Catholic,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,25 – 34,",,,,,,,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,"
7:30  -  7:44,60617259,Central,Mkushi,Urban,Male,1,One,AB,Some university,Roman Catholic,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,25 – 34,",,,,,,,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,"
7:00  -  7:14,60617259,Central,Mkushi,Urban,Male,1,One,AB,Some university,Roman Catholic,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,25 – 34,",,,,,,,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,"
20:30  -  20:44,60617260,Central,Mkushi,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],No Income,Do not know,Yes,19 – 24,",,,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,,,"
20:00  -  20:14,60617260,Central,Mkushi,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],No Income,Do not know,Yes,19 – 24,",,,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,,,"
20:15  -  20:29,60617260,Central,Mkushi,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],No Income,Do not know,Yes,19 – 24,",,,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,,,"
20:30  -  20:44,60617261,Central,Mkushi,Rural,Male,1,None,C2,Some high school,Roman Catholic,Self employed,D,K 850-K 1674,No,25 – 34,",,,,,,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
20:00  -  20:14,60617261,Central,Mkushi,Rural,Male,1,None,C2,Some high school,Roman Catholic,Self employed,D,K 850-K 1674,No,25 – 34,",,,,,,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
20:15  -  20:29,60617261,Central,Mkushi,Rural,Male,1,None,C2,Some high school,Roman Catholic,Self employed,D,K 850-K 1674,No,25 – 34,",,,,,,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
7:15  -  7:29,60617267,Central,Mkushi,Rural,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,"K 2,500   -  K 3,154",Yes,19 – 24,",,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,,,,,"
7:30  -  7:44,60617267,Central,Mkushi,Rural,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,"K 2,500   -  K 3,154",Yes,19 – 24,",,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,,,,,"
7:00  -  7:14,60617267,Central,Mkushi,Rural,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,"K 2,500   -  K 3,154",Yes,19 – 24,",,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,,,,,"
8:15  -  8:29,60658199,Central,Mkushi,Rural,Male,1,None,C1,Some university,Roman Catholic,Self employed,D,K 850-K 1674,No,25 – 34,",,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,,,,,"
8:30  -  8:44,60658199,Central,Mkushi,Rural,Male,1,None,C1,Some university,Roman Catholic,Self employed,D,K 850-K 1674,No,25 – 34,",,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,,,,,"
8:00  -  8:14,60658199,Central,Mkushi,Rural,Male,1,None,C1,Some university,Roman Catholic,Self employed,D,K 850-K 1674,No,25 – 34,",,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,,,,,"
