Radio Mano  Monday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Radio Mano  Monday
6:45  -  6:59,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
18:45  -  18:59,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
17:30  -  17:44,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
6:15  -  6:29,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
16:45  -  16:59,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
19:00  -  19:14,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
16:30  -  16:44,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
16:00  -  16:14,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
17:00  -  17:14,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
6:00  -  6:14,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
7:00  -  7:14,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
16:15  -  16:29,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
18:00  -  18:14,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
17:15  -  17:29,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
19:30  -  19:44,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
20:00  -  20:14,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
19:15  -  19:29,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
19:45  -  19:59,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
17:45  -  17:59,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
6:30  -  6:44,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
14:30  -  14:44,60774041,Northern,Kasama,Rural,Female,0,None,C2,Some primary school,Other Christian,Housewife,Do not know,No Income,Yes,25 – 34,"14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
14:45  -  14:59,60774041,Northern,Kasama,Rural,Female,0,None,C2,Some primary school,Other Christian,Housewife,Do not know,No Income,Yes,25 – 34,"14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
15:00  -  15:14,60774041,Northern,Kasama,Rural,Female,0,None,C2,Some primary school,Other Christian,Housewife,Do not know,No Income,Yes,25 – 34,"14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
10:00  -  10:14,60774044,Northern,Kasama,Urban,Female,1,One,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
14:45  -  14:59,60774044,Northern,Kasama,Urban,Female,1,One,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:30  -  17:44,60774044,Northern,Kasama,Urban,Female,1,One,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
18:00  -  18:14,60774044,Northern,Kasama,Urban,Female,1,One,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
10:15  -  10:29,60774044,Northern,Kasama,Urban,Female,1,One,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
15:00  -  15:14,60774044,Northern,Kasama,Urban,Female,1,One,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:45  -  17:59,60774044,Northern,Kasama,Urban,Female,1,One,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
14:30  -  14:44,60774044,Northern,Kasama,Urban,Female,1,One,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
