,Radio Listeners (P7D - Past 7 Days) analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Radio Listenership,Radio Listenership - Mobile Phone,Radio Listeners (P7D - Past 7 Days)
77,KNCRADIO,60515248,Central,Mkushi,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,Yesterday,Yesterday,"KNCRADIO,Mkushi FM,Money FM,Radio 1,Radio 1"
78,Mkushi FM,60515248,Central,Mkushi,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,Yesterday,Yesterday,"KNCRADIO,Mkushi FM,Money FM,Radio 1,Radio 1"
79,Money FM,60515248,Central,Mkushi,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,Yesterday,Yesterday,"KNCRADIO,Mkushi FM,Money FM,Radio 1,Radio 1"
80,Radio 1,60515248,Central,Mkushi,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,Yesterday,Yesterday,"KNCRADIO,Mkushi FM,Money FM,Radio 1,Radio 1"
81,Hot FM,60515348,Lusaka,Lusaka,Urban,Female,1,None,C1,Some university,Seventh Day Adventists,Student,C2,Under K 849,Yes,19 – 24,Past 12 Months,Past 12 Months,Hot FM
82,Komboni Radio,60515349,Lusaka,Lusaka,Urban,Male,2,None,C1,Some high school,Other Christian,Unemployed [SEEKING A JOB],Do not know,Under K 849,Yes,25 – 34,Yesterday,Past 12 Months,Komboni Radio
83,Phoenix FM,60515652,Central,Chibombo,Urban,Male,1,None,C2,Primary school completed,Anglican/Protestant,Student,D,No Income,Yes,15 – 18,Yesterday,Never,"Phoenix FM,Radio 1"
84,Radio 1,60515652,Central,Chibombo,Urban,Male,1,None,C2,Primary school completed,Anglican/Protestant,Student,D,No Income,Yes,15 – 18,Yesterday,Never,"Phoenix FM,Radio 1"
85,Phoenix FM,60515653,Central,Chibombo,Urban,Female,1,None,D,Primary school completed,Anglican/Protestant,Housewife,D,Under K 849,Yes,25 – 34,Yesterday,Yesterday,"Phoenix FM,Radio 1,Radio 2"
86,Radio 2,60515653,Central,Chibombo,Urban,Female,1,None,D,Primary school completed,Anglican/Protestant,Housewife,D,Under K 849,Yes,25 – 34,Yesterday,Yesterday,"Phoenix FM,Radio 1,Radio 2"
87,Radio 1,60515653,Central,Chibombo,Urban,Female,1,None,D,Primary school completed,Anglican/Protestant,Housewife,D,Under K 849,Yes,25 – 34,Yesterday,Yesterday,"Phoenix FM,Radio 1,Radio 2"
88,Radio Christian Voice,60515654,Central,Chibombo,Urban,Male,1,None,AB,Any other post-high school qualification,Seventh Day Adventists,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,Yesterday,Yesterday,Radio Christian Voice
89,Radio 1,60515655,Central,Chibombo,Urban,Female,1,None,C2,Primary school completed,Others,Housewife,D,Under K 849,Yes,19 – 24,Past 7 Days,Never,Radio 1
90,Radio 1,60515656,Central,Chibombo,Urban,Male,3,None,C2,Some primary school,Seventh Day Adventists,Self employed,D,Under K 849,Yes,45+,Yesterday,Past 4 Weeks,"Maranatha,Radio 1"
91,Maranatha,60515656,Central,Chibombo,Urban,Male,3,None,C2,Some primary school,Seventh Day Adventists,Self employed,D,Under K 849,Yes,45+,Yesterday,Past 4 Weeks,"Maranatha,Radio 1"
92,BBC,60515728,Central,Chibombo,Urban,Male,1,None,C1,Some high school,Anglican/Protestant,Student,D,"K 1675- K2,499",Yes,19 – 24,Yesterday,Yesterday,BBC
93,BBC,60516534,Lusaka,Lusaka,Urban,Male,1,None,AB,University completed,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,Yesterday,Past 7 Days,"BBC,Radio Christian Voice,Hone FM,Hot FM,Komboni Radio,Parliament,Phoenix FM,Radio Christian Voice,Roots,Unza Radio"
94,Roots,60516534,Lusaka,Lusaka,Urban,Male,1,None,AB,University completed,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,Yesterday,Past 7 Days,"BBC,Radio Christian Voice,Hone FM,Hot FM,Komboni Radio,Parliament,Phoenix FM,Radio Christian Voice,Roots,Unza Radio"
95,Unza Radio,60516534,Lusaka,Lusaka,Urban,Male,1,None,AB,University completed,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,Yesterday,Past 7 Days,"BBC,Radio Christian Voice,Hone FM,Hot FM,Komboni Radio,Parliament,Phoenix FM,Radio Christian Voice,Roots,Unza Radio"
96,Parliament,60516534,Lusaka,Lusaka,Urban,Male,1,None,AB,University completed,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,Yesterday,Past 7 Days,"BBC,Radio Christian Voice,Hone FM,Hot FM,Komboni Radio,Parliament,Phoenix FM,Radio Christian Voice,Roots,Unza Radio"
97,Radio Christian Voice,60516534,Lusaka,Lusaka,Urban,Male,1,None,AB,University completed,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,Yesterday,Past 7 Days,"BBC,Radio Christian Voice,Hone FM,Hot FM,Komboni Radio,Parliament,Phoenix FM,Radio Christian Voice,Roots,Unza Radio"
98,Komboni Radio,60516534,Lusaka,Lusaka,Urban,Male,1,None,AB,University completed,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,Yesterday,Past 7 Days,"BBC,Radio Christian Voice,Hone FM,Hot FM,Komboni Radio,Parliament,Phoenix FM,Radio Christian Voice,Roots,Unza Radio"
99,Phoenix FM,60516534,Lusaka,Lusaka,Urban,Male,1,None,AB,University completed,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,Yesterday,Past 7 Days,"BBC,Radio Christian Voice,Hone FM,Hot FM,Komboni Radio,Parliament,Phoenix FM,Radio Christian Voice,Roots,Unza Radio"
100,Hone FM,60516534,Lusaka,Lusaka,Urban,Male,1,None,AB,University completed,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,Yesterday,Past 7 Days,"BBC,Radio Christian Voice,Hone FM,Hot FM,Komboni Radio,Parliament,Phoenix FM,Radio Christian Voice,Roots,Unza Radio"
101,Hot FM,60516534,Lusaka,Lusaka,Urban,Male,1,None,AB,University completed,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,Yesterday,Past 7 Days,"BBC,Radio Christian Voice,Hone FM,Hot FM,Komboni Radio,Parliament,Phoenix FM,Radio Christian Voice,Roots,Unza Radio"
102,Radio Christian Voice,60516535,Lusaka,Lusaka,Urban,Male,1,None,C2,No formal education,Roman Catholic,Unemployed [NOT SEEKING A JOB],D,Under K 849,No,45+,Yesterday,Never,"Komboni Radio,Radio Christian Voice"
103,Komboni Radio,60516535,Lusaka,Lusaka,Urban,Male,1,None,C2,No formal education,Roman Catholic,Unemployed [NOT SEEKING A JOB],D,Under K 849,No,45+,Yesterday,Never,"Komboni Radio,Radio Christian Voice"
104,QFM,60516536,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,Yesterday,Past 7 Days,"Komboni Radio,Phoenix FM,QFM,Radio 1,Radio 1"
105,Radio 1,60516536,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,Yesterday,Past 7 Days,"Komboni Radio,Phoenix FM,QFM,Radio 1,Radio 1"
106,Phoenix FM,60516536,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,Yesterday,Past 7 Days,"Komboni Radio,Phoenix FM,QFM,Radio 1,Radio 1"
107,Komboni Radio,60516536,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,Yesterday,Past 7 Days,"Komboni Radio,Phoenix FM,QFM,Radio 1,Radio 1"
108,Rock FM,60516537,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Do not know,Yes,19 – 24,Yesterday,Yesterday,"Hot FM,Komboni Radio,Rock FM"
109,Hot FM,60516537,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Do not know,Yes,19 – 24,Yesterday,Yesterday,"Hot FM,Komboni Radio,Rock FM"
