Petauke Explorers analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Petauke Explorers
19:00  -  19:14,60543324,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Self employed,D,Under K 849,Yes,35 – 44,",,19:00  -  19:14,20:45  -  20:59,6:00  -  6:14,7:45  -  7:59,,,,"
7:45  -  7:59,60543325,Eastern,Petauke,Urban,Female,1,None,C1,Completed high School,Others,Self employed,C1,K 850-K 1674,No,25 – 34,"19:00  -  19:14,22:15  -  22:29,,7:00  -  7:14,7:45  -  7:59,,,,,"
7:00  -  7:14,60543325,Eastern,Petauke,Urban,Female,1,None,C1,Completed high School,Others,Self employed,C1,K 850-K 1674,No,25 – 34,"19:00  -  19:14,22:15  -  22:29,,7:00  -  7:14,7:45  -  7:59,,,,,"
19:00  -  19:14,60543325,Eastern,Petauke,Urban,Female,1,None,C1,Completed high School,Others,Self employed,C1,K 850-K 1674,No,25 – 34,"19:00  -  19:14,22:15  -  22:29,,7:00  -  7:14,7:45  -  7:59,,,,,"
22:15  -  22:29,60543325,Eastern,Petauke,Urban,Female,1,None,C1,Completed high School,Others,Self employed,C1,K 850-K 1674,No,25 – 34,"19:00  -  19:14,22:15  -  22:29,,7:00  -  7:14,7:45  -  7:59,,,,,"
7:00  -  7:14,60543326,Eastern,Petauke,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,No Income,No,25 – 34,"7:00  -  7:14,8:45  -  8:59,,,,,,,"
8:45  -  8:59,60543326,Eastern,Petauke,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,No Income,No,25 – 34,"7:00  -  7:14,8:45  -  8:59,,,,,,,"
9:45  -  9:59,60543327,Eastern,Petauke,Urban,Female,0,None,C2,Some high school,Other Christian,Student,Do not know,No Income,No,15 – 18,"8:00  -  8:14,9:45  -  9:59,,,,,,,6:00  -  6:14,8:45  -  8:59,"
8:45  -  8:59,60543327,Eastern,Petauke,Urban,Female,0,None,C2,Some high school,Other Christian,Student,Do not know,No Income,No,15 – 18,"8:00  -  8:14,9:45  -  9:59,,,,,,,6:00  -  6:14,8:45  -  8:59,"
6:00  -  6:14,60543327,Eastern,Petauke,Urban,Female,0,None,C2,Some high school,Other Christian,Student,Do not know,No Income,No,15 – 18,"8:00  -  8:14,9:45  -  9:59,,,,,,,6:00  -  6:14,8:45  -  8:59,"
8:00  -  8:14,60543327,Eastern,Petauke,Urban,Female,0,None,C2,Some high school,Other Christian,Student,Do not know,No Income,No,15 – 18,"8:00  -  8:14,9:45  -  9:59,,,,,,,6:00  -  6:14,8:45  -  8:59,"
16:00  -  16:14,60543328,Eastern,Petauke,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,"12:00  -  12:14,14:45  -  14:59,16:00  -  16:14,16:45  -  16:59,,,,,,,"
12:00  -  12:14,60543328,Eastern,Petauke,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,"12:00  -  12:14,14:45  -  14:59,16:00  -  16:14,16:45  -  16:59,,,,,,,"
14:45  -  14:59,60543328,Eastern,Petauke,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,"12:00  -  12:14,14:45  -  14:59,16:00  -  16:14,16:45  -  16:59,,,,,,,"
16:45  -  16:59,60543328,Eastern,Petauke,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,"12:00  -  12:14,14:45  -  14:59,16:00  -  16:14,16:45  -  16:59,,,,,,,"
16:00  -  16:14,60584014,Eastern,Petauke,Urban,Female,1,None,C1,University completed,Other Christian,Working Full-Time,AB,"K 21,371   -  K 26,319",Yes,25 – 34,"16:00  -  16:14,16:45  -  16:59,20:00  -  20:14,20:15  -  20:29,,,,,,,"
16:45  -  16:59,60584014,Eastern,Petauke,Urban,Female,1,None,C1,University completed,Other Christian,Working Full-Time,AB,"K 21,371   -  K 26,319",Yes,25 – 34,"16:00  -  16:14,16:45  -  16:59,20:00  -  20:14,20:15  -  20:29,,,,,,,"
20:00  -  20:14,60584014,Eastern,Petauke,Urban,Female,1,None,C1,University completed,Other Christian,Working Full-Time,AB,"K 21,371   -  K 26,319",Yes,25 – 34,"16:00  -  16:14,16:45  -  16:59,20:00  -  20:14,20:15  -  20:29,,,,,,,"
20:15  -  20:29,60584014,Eastern,Petauke,Urban,Female,1,None,C1,University completed,Other Christian,Working Full-Time,AB,"K 21,371   -  K 26,319",Yes,25 – 34,"16:00  -  16:14,16:45  -  16:59,20:00  -  20:14,20:15  -  20:29,,,,,,,"
12:00  -  12:14,60584015,Eastern,Petauke,Urban,Female,1,None,D,No formal education,Others,Housewife,D,K 850-K 1674,No,19 – 24,",,8:00  -  8:14,10:45  -  10:59,12:00  -  12:14,12:45  -  12:59,20:00  -  20:14,22:45  -  22:59,,,,,19:00  -  19:14,23:45  -  23:59,"
20:00  -  20:14,60584015,Eastern,Petauke,Urban,Female,1,None,D,No formal education,Others,Housewife,D,K 850-K 1674,No,19 – 24,",,8:00  -  8:14,10:45  -  10:59,12:00  -  12:14,12:45  -  12:59,20:00  -  20:14,22:45  -  22:59,,,,,19:00  -  19:14,23:45  -  23:59,"
23:45  -  23:59,60584015,Eastern,Petauke,Urban,Female,1,None,D,No formal education,Others,Housewife,D,K 850-K 1674,No,19 – 24,",,8:00  -  8:14,10:45  -  10:59,12:00  -  12:14,12:45  -  12:59,20:00  -  20:14,22:45  -  22:59,,,,,19:00  -  19:14,23:45  -  23:59,"
22:45  -  22:59,60584015,Eastern,Petauke,Urban,Female,1,None,D,No formal education,Others,Housewife,D,K 850-K 1674,No,19 – 24,",,8:00  -  8:14,10:45  -  10:59,12:00  -  12:14,12:45  -  12:59,20:00  -  20:14,22:45  -  22:59,,,,,19:00  -  19:14,23:45  -  23:59,"
10:45  -  10:59,60584015,Eastern,Petauke,Urban,Female,1,None,D,No formal education,Others,Housewife,D,K 850-K 1674,No,19 – 24,",,8:00  -  8:14,10:45  -  10:59,12:00  -  12:14,12:45  -  12:59,20:00  -  20:14,22:45  -  22:59,,,,,19:00  -  19:14,23:45  -  23:59,"
8:00  -  8:14,60584015,Eastern,Petauke,Urban,Female,1,None,D,No formal education,Others,Housewife,D,K 850-K 1674,No,19 – 24,",,8:00  -  8:14,10:45  -  10:59,12:00  -  12:14,12:45  -  12:59,20:00  -  20:14,22:45  -  22:59,,,,,19:00  -  19:14,23:45  -  23:59,"
19:00  -  19:14,60584015,Eastern,Petauke,Urban,Female,1,None,D,No formal education,Others,Housewife,D,K 850-K 1674,No,19 – 24,",,8:00  -  8:14,10:45  -  10:59,12:00  -  12:14,12:45  -  12:59,20:00  -  20:14,22:45  -  22:59,,,,,19:00  -  19:14,23:45  -  23:59,"
12:45  -  12:59,60584015,Eastern,Petauke,Urban,Female,1,None,D,No formal education,Others,Housewife,D,K 850-K 1674,No,19 – 24,",,8:00  -  8:14,10:45  -  10:59,12:00  -  12:14,12:45  -  12:59,20:00  -  20:14,22:45  -  22:59,,,,,19:00  -  19:14,23:45  -  23:59,"
9:45  -  9:59,60628614,Eastern,Petauke,Urban,Female,1,None,C2,Some university,Anglican/Protestant,Self employed,D,K 850-K 1674,No,25 – 34,"6:00  -  6:14,9:45  -  9:59,15:00  -  15:14,15:45  -  15:59,,,,,,,19:00  -  19:14,20:45  -  20:59,"
15:45  -  15:59,60628614,Eastern,Petauke,Urban,Female,1,None,C2,Some university,Anglican/Protestant,Self employed,D,K 850-K 1674,No,25 – 34,"6:00  -  6:14,9:45  -  9:59,15:00  -  15:14,15:45  -  15:59,,,,,,,19:00  -  19:14,20:45  -  20:59,"
20:45  -  20:59,60628614,Eastern,Petauke,Urban,Female,1,None,C2,Some university,Anglican/Protestant,Self employed,D,K 850-K 1674,No,25 – 34,"6:00  -  6:14,9:45  -  9:59,15:00  -  15:14,15:45  -  15:59,,,,,,,19:00  -  19:14,20:45  -  20:59,"
19:00  -  19:14,60628614,Eastern,Petauke,Urban,Female,1,None,C2,Some university,Anglican/Protestant,Self employed,D,K 850-K 1674,No,25 – 34,"6:00  -  6:14,9:45  -  9:59,15:00  -  15:14,15:45  -  15:59,,,,,,,19:00  -  19:14,20:45  -  20:59,"
15:00  -  15:14,60628614,Eastern,Petauke,Urban,Female,1,None,C2,Some university,Anglican/Protestant,Self employed,D,K 850-K 1674,No,25 – 34,"6:00  -  6:14,9:45  -  9:59,15:00  -  15:14,15:45  -  15:59,,,,,,,19:00  -  19:14,20:45  -  20:59,"
6:00  -  6:14,60628614,Eastern,Petauke,Urban,Female,1,None,C2,Some university,Anglican/Protestant,Self employed,D,K 850-K 1674,No,25 – 34,"6:00  -  6:14,9:45  -  9:59,15:00  -  15:14,15:45  -  15:59,,,,,,,19:00  -  19:14,20:45  -  20:59,"
7:45  -  7:59,60628615,Eastern,Petauke,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,",,,,,,,7:00  -  7:14,7:45  -  7:59,10:00  -  10:14,10:45  -  10:59,"
7:00  -  7:14,60628615,Eastern,Petauke,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,",,,,,,,7:00  -  7:14,7:45  -  7:59,10:00  -  10:14,10:45  -  10:59,"
10:45  -  10:59,60628615,Eastern,Petauke,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,",,,,,,,7:00  -  7:14,7:45  -  7:59,10:00  -  10:14,10:45  -  10:59,"
10:00  -  10:14,60628615,Eastern,Petauke,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,",,,,,,,7:00  -  7:14,7:45  -  7:59,10:00  -  10:14,10:45  -  10:59,"
12:00  -  12:14,60628616,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C2,K 850-K 1674,Yes,19 – 24,",,,,,,,12:00  -  12:14,15:00  -  15:14,"
15:00  -  15:14,60628616,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C2,K 850-K 1674,Yes,19 – 24,",,,,,,,12:00  -  12:14,15:00  -  15:14,"
18:00  -  18:14,60628617,Eastern,Petauke,Urban,Female,1,None,C1,University completed,Roman Catholic,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"18:00  -  18:14,20:45  -  20:59,,,,,,,"
20:45  -  20:59,60628617,Eastern,Petauke,Urban,Female,1,None,C1,University completed,Roman Catholic,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"18:00  -  18:14,20:45  -  20:59,,,,,,,"
17:00  -  17:14,60628618,Eastern,Petauke,Urban,Female,1,None,C2,Completed high School,Others,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,",,,,,,,17:00  -  17:14,19:45  -  19:59,"
19:45  -  19:59,60628618,Eastern,Petauke,Urban,Female,1,None,C2,Completed high School,Others,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,",,,,,,,17:00  -  17:14,19:45  -  19:59,"
8:45  -  8:59,60651315,Eastern,Petauke,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,No,19 – 24,"10:00  -  10:14,11:45  -  11:59,,,,18:00  -  18:14,19:45  -  19:59,,,8:00  -  8:14,8:45  -  8:59,17:15  -  17:29,17:45  -  17:59,"
10:00  -  10:14,60651315,Eastern,Petauke,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,No,19 – 24,"10:00  -  10:14,11:45  -  11:59,,,,18:00  -  18:14,19:45  -  19:59,,,8:00  -  8:14,8:45  -  8:59,17:15  -  17:29,17:45  -  17:59,"
19:45  -  19:59,60651315,Eastern,Petauke,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,No,19 – 24,"10:00  -  10:14,11:45  -  11:59,,,,18:00  -  18:14,19:45  -  19:59,,,8:00  -  8:14,8:45  -  8:59,17:15  -  17:29,17:45  -  17:59,"
8:00  -  8:14,60651315,Eastern,Petauke,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,No,19 – 24,"10:00  -  10:14,11:45  -  11:59,,,,18:00  -  18:14,19:45  -  19:59,,,8:00  -  8:14,8:45  -  8:59,17:15  -  17:29,17:45  -  17:59,"
18:00  -  18:14,60651315,Eastern,Petauke,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,No,19 – 24,"10:00  -  10:14,11:45  -  11:59,,,,18:00  -  18:14,19:45  -  19:59,,,8:00  -  8:14,8:45  -  8:59,17:15  -  17:29,17:45  -  17:59,"
17:45  -  17:59,60651315,Eastern,Petauke,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,No,19 – 24,"10:00  -  10:14,11:45  -  11:59,,,,18:00  -  18:14,19:45  -  19:59,,,8:00  -  8:14,8:45  -  8:59,17:15  -  17:29,17:45  -  17:59,"
11:45  -  11:59,60651315,Eastern,Petauke,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,No,19 – 24,"10:00  -  10:14,11:45  -  11:59,,,,18:00  -  18:14,19:45  -  19:59,,,8:00  -  8:14,8:45  -  8:59,17:15  -  17:29,17:45  -  17:59,"
17:15  -  17:29,60651315,Eastern,Petauke,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,No,19 – 24,"10:00  -  10:14,11:45  -  11:59,,,,18:00  -  18:14,19:45  -  19:59,,,8:00  -  8:14,8:45  -  8:59,17:15  -  17:29,17:45  -  17:59,"
21:00  -  21:14,60651316,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Student,C1,Under K 849,No,19 – 24,"7:00  -  7:14,7:45  -  7:59,19:00  -  19:14,19:45  -  19:59,,21:00  -  21:14,21:30  -  21:44,,,23:00  -  23:14,23:45  -  23:59,,"
