Petauke Explorers  Monday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Petauke Explorers  Monday
12:00  -  12:14,60584015,Eastern,Petauke,Urban,Female,1,None,D,No formal education,Others,Housewife,D,K 850-K 1674,No,19 – 24,"8:00  -  8:14,10:45  -  10:59,12:00  -  12:14,12:45  -  12:59,20:00  -  20:14,22:45  -  22:59"
10:45  -  10:59,60584015,Eastern,Petauke,Urban,Female,1,None,D,No formal education,Others,Housewife,D,K 850-K 1674,No,19 – 24,"8:00  -  8:14,10:45  -  10:59,12:00  -  12:14,12:45  -  12:59,20:00  -  20:14,22:45  -  22:59"
12:45  -  12:59,60584015,Eastern,Petauke,Urban,Female,1,None,D,No formal education,Others,Housewife,D,K 850-K 1674,No,19 – 24,"8:00  -  8:14,10:45  -  10:59,12:00  -  12:14,12:45  -  12:59,20:00  -  20:14,22:45  -  22:59"
20:00  -  20:14,60584015,Eastern,Petauke,Urban,Female,1,None,D,No formal education,Others,Housewife,D,K 850-K 1674,No,19 – 24,"8:00  -  8:14,10:45  -  10:59,12:00  -  12:14,12:45  -  12:59,20:00  -  20:14,22:45  -  22:59"
22:45  -  22:59,60584015,Eastern,Petauke,Urban,Female,1,None,D,No formal education,Others,Housewife,D,K 850-K 1674,No,19 – 24,"8:00  -  8:14,10:45  -  10:59,12:00  -  12:14,12:45  -  12:59,20:00  -  20:14,22:45  -  22:59"
8:00  -  8:14,60584015,Eastern,Petauke,Urban,Female,1,None,D,No formal education,Others,Housewife,D,K 850-K 1674,No,19 – 24,"8:00  -  8:14,10:45  -  10:59,12:00  -  12:14,12:45  -  12:59,20:00  -  20:14,22:45  -  22:59"
21:30  -  21:44,60651316,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Student,C1,Under K 849,No,19 – 24,"21:00  -  21:14,21:30  -  21:44"
21:00  -  21:14,60651316,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Student,C1,Under K 849,No,19 – 24,"21:00  -  21:14,21:30  -  21:44"
14:00  -  14:14,60651317,Eastern,Petauke,Urban,Female,0,None,C2,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,45+,"12:00  -  12:14,12:45  -  12:59,14:00  -  14:14,14:45  -  14:59"
12:00  -  12:14,60651317,Eastern,Petauke,Urban,Female,0,None,C2,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,45+,"12:00  -  12:14,12:45  -  12:59,14:00  -  14:14,14:45  -  14:59"
12:45  -  12:59,60651317,Eastern,Petauke,Urban,Female,0,None,C2,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,45+,"12:00  -  12:14,12:45  -  12:59,14:00  -  14:14,14:45  -  14:59"
14:45  -  14:59,60651317,Eastern,Petauke,Urban,Female,0,None,C2,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,45+,"12:00  -  12:14,12:45  -  12:59,14:00  -  14:14,14:45  -  14:59"
7:00  -  7:14,60688035,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,D,"K 1675- K2,499",No,25 – 34,"7:00  -  7:14,8:45  -  8:59"
8:45  -  8:59,60688035,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,D,"K 1675- K2,499",No,25 – 34,"7:00  -  7:14,8:45  -  8:59"
19:15  -  19:29,60688038,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
19:30  -  19:44,60688038,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
19:00  -  19:14,60688038,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
19:45  -  19:59,60688038,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
17:00  -  17:14,60708516,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,Under K 849,No,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,19:00  -  19:14,19:45  -  19:59"
17:30  -  17:44,60708516,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,Under K 849,No,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,19:00  -  19:14,19:45  -  19:59"
19:45  -  19:59,60708516,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,Under K 849,No,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,19:00  -  19:14,19:45  -  19:59"
17:15  -  17:29,60708516,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,Under K 849,No,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,19:00  -  19:14,19:45  -  19:59"
19:00  -  19:14,60708516,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,Under K 849,No,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,19:00  -  19:14,19:45  -  19:59"
9:45  -  9:59,60710946,Eastern,Petauke,Urban,Female,1,None,C2,Completed high School,Seventh Day Adventists,Working Full-Time,C2,Under K 849,Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:45  -  9:59"
8:30  -  8:44,60710946,Eastern,Petauke,Urban,Female,1,None,C2,Completed high School,Seventh Day Adventists,Working Full-Time,C2,Under K 849,Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:45  -  9:59"
8:45  -  8:59,60710946,Eastern,Petauke,Urban,Female,1,None,C2,Completed high School,Seventh Day Adventists,Working Full-Time,C2,Under K 849,Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:45  -  9:59"
8:00  -  8:14,60710946,Eastern,Petauke,Urban,Female,1,None,C2,Completed high School,Seventh Day Adventists,Working Full-Time,C2,Under K 849,Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:45  -  9:59"
8:15  -  8:29,60710946,Eastern,Petauke,Urban,Female,1,None,C2,Completed high School,Seventh Day Adventists,Working Full-Time,C2,Under K 849,Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:45  -  9:59"
19:15  -  19:29,60713934,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",No,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
19:30  -  19:44,60713934,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",No,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
19:00  -  19:14,60713934,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",No,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
19:45  -  19:59,60713934,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",No,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
23:30  -  23:44,60736738,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,D,K 850-K 1674,Yes,19 – 24,"23:30  -  23:44,23:45  -  23:59"
23:45  -  23:59,60736738,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,D,K 850-K 1674,Yes,19 – 24,"23:30  -  23:44,23:45  -  23:59"
10:00  -  10:14,60744986,Eastern,Petauke,Rural,Female,1,None,D,Primary school completed,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,10:00  -  10:14
20:30  -  20:44,60760177,Eastern,Petauke,Rural,Male,1,None,C2,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:45  -  20:59,60760177,Eastern,Petauke,Rural,Male,1,None,C2,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
7:15  -  7:29,60760177,Eastern,Petauke,Rural,Male,1,None,C2,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:15  -  20:29,60760177,Eastern,Petauke,Rural,Male,1,None,C2,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
7:00  -  7:14,60760177,Eastern,Petauke,Rural,Male,1,None,C2,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
10:00  -  10:14,60832105,Eastern,Petauke,Rural,Female,1,None,C2,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
10:45  -  10:59,60832105,Eastern,Petauke,Rural,Female,1,None,C2,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
10:30  -  10:44,60832105,Eastern,Petauke,Rural,Female,1,None,C2,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
10:15  -  10:29,60832105,Eastern,Petauke,Rural,Female,1,None,C2,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
