Beats analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Beats
22:00  -  22:14,82111077,North-Western,Solwezi,Urban,Female,1,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
22:30  -  22:44,82111077,North-Western,Solwezi,Urban,Female,1,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
23:00  -  23:14,82111077,North-Western,Solwezi,Urban,Female,1,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
22:45  -  22:59,82111077,North-Western,Solwezi,Urban,Female,1,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
22:15  -  22:29,82111077,North-Western,Solwezi,Urban,Female,1,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
8:15  -  8:29,82111079,North-Western,Solwezi,Urban,Female,1,One,AB,Completed high School,Other Christian,A housewife/househusband,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,10:00  -  10:14,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,10:00  -  10:14"
10:00  -  10:14,82111079,North-Western,Solwezi,Urban,Female,1,One,AB,Completed high School,Other Christian,A housewife/househusband,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,10:00  -  10:14,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,10:00  -  10:14"
8:30  -  8:44,82111079,North-Western,Solwezi,Urban,Female,1,One,AB,Completed high School,Other Christian,A housewife/househusband,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,10:00  -  10:14,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,10:00  -  10:14"
8:00  -  8:14,82111079,North-Western,Solwezi,Urban,Female,1,One,AB,Completed high School,Other Christian,A housewife/househusband,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,10:00  -  10:14,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,10:00  -  10:14,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,10:00  -  10:14"
21:00  -  21:14,82191079,North-Western,Solwezi,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,21:00  -  21:14,21:15  -  21:29,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,21:00  -  21:14,21:15  -  21:29,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,21:00  -  21:14,21:15  -  21:29,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,21:00  -  21:14,21:15  -  21:29,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,21:00  -  21:14,21:15  -  21:29,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,21:00  -  21:14,21:15  -  21:29,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,21:00  -  21:14,21:15  -  21:29,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,21:00  -  21:14,21:15  -  21:29"
6:30  -  6:44,82191079,North-Western,Solwezi,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,21:00  -  21:14,21:15  -  21:29,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,21:00  -  21:14,21:15  -  21:29,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,21:00  -  21:14,21:15  -  21:29,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,21:00  -  21:14,21:15  -  21:29,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,21:00  -  21:14,21:15  -  21:29,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,21:00  -  21:14,21:15  -  21:29,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,21:00  -  21:14,21:15  -  21:29,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,21:00  -  21:14,21:15  -  21:29"
6:45  -  6:59,82191079,North-Western,Solwezi,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,21:00  -  21:14,21:15  -  21:29,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,21:00  -  21:14,21:15  -  21:29,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,21:00  -  21:14,21:15  -  21:29,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,21:00  -  21:14,21:15  -  21:29,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,21:00  -  21:14,21:15  -  21:29,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,21:00  -  21:14,21:15  -  21:29,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,21:00  -  21:14,21:15  -  21:29,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,21:00  -  21:14,21:15  -  21:29"
6:15  -  6:29,82191079,North-Western,Solwezi,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,21:00  -  21:14,21:15  -  21:29,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,21:00  -  21:14,21:15  -  21:29,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,21:00  -  21:14,21:15  -  21:29,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,21:00  -  21:14,21:15  -  21:29,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,21:00  -  21:14,21:15  -  21:29,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,21:00  -  21:14,21:15  -  21:29,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,21:00  -  21:14,21:15  -  21:29,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,21:00  -  21:14,21:15  -  21:29"
6:00  -  6:14,82191079,North-Western,Solwezi,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,21:00  -  21:14,21:15  -  21:29,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,21:00  -  21:14,21:15  -  21:29,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,21:00  -  21:14,21:15  -  21:29,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,21:00  -  21:14,21:15  -  21:29,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,21:00  -  21:14,21:15  -  21:29,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,21:00  -  21:14,21:15  -  21:29,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,21:00  -  21:14,21:15  -  21:29,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,21:00  -  21:14,21:15  -  21:29"
21:15  -  21:29,82191079,North-Western,Solwezi,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,C1,K 850-K 1674,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,21:00  -  21:14,21:15  -  21:29,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,21:00  -  21:14,21:15  -  21:29,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,21:00  -  21:14,21:15  -  21:29,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,21:00  -  21:14,21:15  -  21:29,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,21:00  -  21:14,21:15  -  21:29,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,21:00  -  21:14,21:15  -  21:29,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,21:00  -  21:14,21:15  -  21:29,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,21:00  -  21:14,21:15  -  21:29"
