Radio 2  Saturday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Radio 2  Saturday
10:00  -  10:14,60536494,Muchinga,Nakonde,Urban,Male,1,None,C2,Some high school,Seventh Day Adventists,Student,Do not know,No Income,Yes,15 – 18,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
11:45  -  11:59,60536494,Muchinga,Nakonde,Urban,Male,1,None,C2,Some high school,Seventh Day Adventists,Student,Do not know,No Income,Yes,15 – 18,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
11:00  -  11:14,60536494,Muchinga,Nakonde,Urban,Male,1,None,C2,Some high school,Seventh Day Adventists,Student,Do not know,No Income,Yes,15 – 18,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
10:45  -  10:59,60536494,Muchinga,Nakonde,Urban,Male,1,None,C2,Some high school,Seventh Day Adventists,Student,Do not know,No Income,Yes,15 – 18,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
10:30  -  10:44,60536494,Muchinga,Nakonde,Urban,Male,1,None,C2,Some high school,Seventh Day Adventists,Student,Do not know,No Income,Yes,15 – 18,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
20:15  -  20:29,60536495,Muchinga,Nakonde,Urban,Male,0,None,C2,Primary school completed,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,20:00  -  20:14,20:15  -  20:29"
7:00  -  7:14,60536495,Muchinga,Nakonde,Urban,Male,0,None,C2,Primary school completed,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,20:00  -  20:14,20:15  -  20:29"
7:15  -  7:29,60536495,Muchinga,Nakonde,Urban,Male,0,None,C2,Primary school completed,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,20:00  -  20:14,20:15  -  20:29"
20:00  -  20:14,60536495,Muchinga,Nakonde,Urban,Male,0,None,C2,Primary school completed,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,20:00  -  20:14,20:15  -  20:29"
20:00  -  20:14,60541875,Central,Chibombo,Urban,Male,1,None,C2,Completed high School,Other Christian,Self employed,D,K 850-K 1674,Yes,45+,20:00  -  20:14
14:30  -  14:44,60541876,Central,Chibombo,Urban,Female,1,None,C1,University completed,Other Christian,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
14:00  -  14:14,60541876,Central,Chibombo,Urban,Female,1,None,C1,University completed,Other Christian,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
14:15  -  14:29,60541876,Central,Chibombo,Urban,Female,1,None,C1,University completed,Other Christian,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
9:15  -  9:29,60558637,Lusaka,Lusaka,Urban,Male,1,None,C2,Some high school,Seventh Day Adventists,Working Part-Time,D,K 850-K 1674,Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
9:45  -  9:59,60558637,Lusaka,Lusaka,Urban,Male,1,None,C2,Some high school,Seventh Day Adventists,Working Part-Time,D,K 850-K 1674,Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
10:15  -  10:29,60558637,Lusaka,Lusaka,Urban,Male,1,None,C2,Some high school,Seventh Day Adventists,Working Part-Time,D,K 850-K 1674,Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
10:00  -  10:14,60558637,Lusaka,Lusaka,Urban,Male,1,None,C2,Some high school,Seventh Day Adventists,Working Part-Time,D,K 850-K 1674,Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
9:30  -  9:44,60558637,Lusaka,Lusaka,Urban,Male,1,None,C2,Some high school,Seventh Day Adventists,Working Part-Time,D,K 850-K 1674,Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
9:00  -  9:14,60558637,Lusaka,Lusaka,Urban,Male,1,None,C2,Some high school,Seventh Day Adventists,Working Part-Time,D,K 850-K 1674,Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
10:30  -  10:44,60558637,Lusaka,Lusaka,Urban,Male,1,None,C2,Some high school,Seventh Day Adventists,Working Part-Time,D,K 850-K 1674,Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
21:45  -  21:59,60558985,Copperbelt,Kitwe,Urban,Male,1,None,C2,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"20:00  -  20:14,21:45  -  21:59"
20:00  -  20:14,60558985,Copperbelt,Kitwe,Urban,Male,1,None,C2,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"20:00  -  20:14,21:45  -  21:59"
6:30  -  6:44,60559165,Copperbelt,Ndola,Urban,Female,2,None,AB,Some high school,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
6:15  -  6:29,60559165,Copperbelt,Ndola,Urban,Female,2,None,AB,Some high school,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
6:45  -  6:59,60559165,Copperbelt,Ndola,Urban,Female,2,None,AB,Some high school,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
20:15  -  20:29,60559884,Muchinga,Nakonde,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Working Full-Time,Do not know,Do not know,Yes,45+,"13:15  -  13:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:45  -  20:59,60559884,Muchinga,Nakonde,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Working Full-Time,Do not know,Do not know,Yes,45+,"13:15  -  13:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:00  -  20:14,60559884,Muchinga,Nakonde,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Working Full-Time,Do not know,Do not know,Yes,45+,"13:15  -  13:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
13:15  -  13:29,60559884,Muchinga,Nakonde,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Working Full-Time,Do not know,Do not know,Yes,45+,"13:15  -  13:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:30  -  20:44,60559884,Muchinga,Nakonde,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Working Full-Time,Do not know,Do not know,Yes,45+,"13:15  -  13:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:00  -  20:14,60566079,Lusaka,Lusaka,Urban,Female,1,None,D,Some primary school,Other Christian,Working Part-Time,Do not know,No Income,No,45+,"6:00  -  6:14,6:15  -  6:29,20:00  -  20:14,20:15  -  20:29"
6:00  -  6:14,60566079,Lusaka,Lusaka,Urban,Female,1,None,D,Some primary school,Other Christian,Working Part-Time,Do not know,No Income,No,45+,"6:00  -  6:14,6:15  -  6:29,20:00  -  20:14,20:15  -  20:29"
6:15  -  6:29,60566079,Lusaka,Lusaka,Urban,Female,1,None,D,Some primary school,Other Christian,Working Part-Time,Do not know,No Income,No,45+,"6:00  -  6:14,6:15  -  6:29,20:00  -  20:14,20:15  -  20:29"
20:15  -  20:29,60566079,Lusaka,Lusaka,Urban,Female,1,None,D,Some primary school,Other Christian,Working Part-Time,Do not know,No Income,No,45+,"6:00  -  6:14,6:15  -  6:29,20:00  -  20:14,20:15  -  20:29"
7:00  -  7:14,60578058,Copperbelt,Kalulushi,Urban,Female,2,None,C1,Some university,Roman Catholic,Housewife,C2,"K 2,500   -  K 3,154",Yes,25 – 34,7:00  -  7:14
1:00  -  1:14,60578378,Muchinga,Nakonde,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Unemployed [NOT SEEKING A JOB],Do not know,Under K 849,Yes,19 – 24,"0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14,1:15  -  1:29,1:45  -  1:59,2:00  -  2:14"
0:45  -  0:59,60578378,Muchinga,Nakonde,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Unemployed [NOT SEEKING A JOB],Do not know,Under K 849,Yes,19 – 24,"0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14,1:15  -  1:29,1:45  -  1:59,2:00  -  2:14"
1:45  -  1:59,60578378,Muchinga,Nakonde,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Unemployed [NOT SEEKING A JOB],Do not know,Under K 849,Yes,19 – 24,"0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14,1:15  -  1:29,1:45  -  1:59,2:00  -  2:14"
0:00  -  0:14,60578378,Muchinga,Nakonde,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Unemployed [NOT SEEKING A JOB],Do not know,Under K 849,Yes,19 – 24,"0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14,1:15  -  1:29,1:45  -  1:59,2:00  -  2:14"
1:15  -  1:29,60578378,Muchinga,Nakonde,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Unemployed [NOT SEEKING A JOB],Do not know,Under K 849,Yes,19 – 24,"0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14,1:15  -  1:29,1:45  -  1:59,2:00  -  2:14"
2:00  -  2:14,60578378,Muchinga,Nakonde,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Unemployed [NOT SEEKING A JOB],Do not know,Under K 849,Yes,19 – 24,"0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14,1:15  -  1:29,1:45  -  1:59,2:00  -  2:14"
0:30  -  0:44,60578378,Muchinga,Nakonde,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Unemployed [NOT SEEKING A JOB],Do not know,Under K 849,Yes,19 – 24,"0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14,1:15  -  1:29,1:45  -  1:59,2:00  -  2:14"
0:15  -  0:29,60578378,Muchinga,Nakonde,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Unemployed [NOT SEEKING A JOB],Do not know,Under K 849,Yes,19 – 24,"0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14,1:15  -  1:29,1:45  -  1:59,2:00  -  2:14"
18:30  -  18:44,60658201,Central,Mkushi,Rural,Female,1,None,C2,Completed high School,Other Christian,Unemployed [NOT SEEKING A JOB],No Income,No Income,No,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
18:00  -  18:14,60658201,Central,Mkushi,Rural,Female,1,None,C2,Completed high School,Other Christian,Unemployed [NOT SEEKING A JOB],No Income,No Income,No,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
18:15  -  18:29,60658201,Central,Mkushi,Rural,Female,1,None,C2,Completed high School,Other Christian,Unemployed [NOT SEEKING A JOB],No Income,No Income,No,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
8:00  -  8:14,60668563,Muchinga,Nakonde,Urban,Male,1,None,C1,Primary school completed,Anglican/Protestant,Self employed,Do not know,Do not know,No,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
13:45  -  13:59,60668563,Muchinga,Nakonde,Urban,Male,1,None,C1,Primary school completed,Anglican/Protestant,Self employed,Do not know,Do not know,No,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
13:30  -  13:44,60668563,Muchinga,Nakonde,Urban,Male,1,None,C1,Primary school completed,Anglican/Protestant,Self employed,Do not know,Do not know,No,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
7:00  -  7:14,60668563,Muchinga,Nakonde,Urban,Male,1,None,C1,Primary school completed,Anglican/Protestant,Self employed,Do not know,Do not know,No,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
6:30  -  6:44,60668563,Muchinga,Nakonde,Urban,Male,1,None,C1,Primary school completed,Anglican/Protestant,Self employed,Do not know,Do not know,No,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
6:00  -  6:14,60668563,Muchinga,Nakonde,Urban,Male,1,None,C1,Primary school completed,Anglican/Protestant,Self employed,Do not know,Do not know,No,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
6:45  -  6:59,60668563,Muchinga,Nakonde,Urban,Male,1,None,C1,Primary school completed,Anglican/Protestant,Self employed,Do not know,Do not know,No,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
7:15  -  7:29,60668563,Muchinga,Nakonde,Urban,Male,1,None,C1,Primary school completed,Anglican/Protestant,Self employed,Do not know,Do not know,No,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
7:30  -  7:44,60668563,Muchinga,Nakonde,Urban,Male,1,None,C1,Primary school completed,Anglican/Protestant,Self employed,Do not know,Do not know,No,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
7:45  -  7:59,60668563,Muchinga,Nakonde,Urban,Male,1,None,C1,Primary school completed,Anglican/Protestant,Self employed,Do not know,Do not know,No,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
8:15  -  8:29,60668563,Muchinga,Nakonde,Urban,Male,1,None,C1,Primary school completed,Anglican/Protestant,Self employed,Do not know,Do not know,No,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
13:15  -  13:29,60668563,Muchinga,Nakonde,Urban,Male,1,None,C1,Primary school completed,Anglican/Protestant,Self employed,Do not know,Do not know,No,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
13:00  -  13:14,60668563,Muchinga,Nakonde,Urban,Male,1,None,C1,Primary school completed,Anglican/Protestant,Self employed,Do not know,Do not know,No,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
6:15  -  6:29,60668563,Muchinga,Nakonde,Urban,Male,1,None,C1,Primary school completed,Anglican/Protestant,Self employed,Do not know,Do not know,No,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
13:15  -  13:29,60668564,Muchinga,Nakonde,Urban,Female,2,Two or More,AB,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
13:30  -  13:44,60668564,Muchinga,Nakonde,Urban,Female,2,Two or More,AB,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
13:45  -  13:59,60668564,Muchinga,Nakonde,Urban,Female,2,Two or More,AB,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
10:15  -  10:29,60670617,Muchinga,Nakonde,Urban,Male,0,None,C1,Completed high School,Anglican/Protestant,Student,D,Under K 849,Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
11:30  -  11:44,60670617,Muchinga,Nakonde,Urban,Male,0,None,C1,Completed high School,Anglican/Protestant,Student,D,Under K 849,Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
11:15  -  11:29,60670617,Muchinga,Nakonde,Urban,Male,0,None,C1,Completed high School,Anglican/Protestant,Student,D,Under K 849,Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
10:00  -  10:14,60670617,Muchinga,Nakonde,Urban,Male,0,None,C1,Completed high School,Anglican/Protestant,Student,D,Under K 849,Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
11:45  -  11:59,60670617,Muchinga,Nakonde,Urban,Male,0,None,C1,Completed high School,Anglican/Protestant,Student,D,Under K 849,Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
11:00  -  11:14,60670617,Muchinga,Nakonde,Urban,Male,0,None,C1,Completed high School,Anglican/Protestant,Student,D,Under K 849,Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
10:45  -  10:59,60670617,Muchinga,Nakonde,Urban,Male,0,None,C1,Completed high School,Anglican/Protestant,Student,D,Under K 849,Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
10:30  -  10:44,60670617,Muchinga,Nakonde,Urban,Male,0,None,C1,Completed high School,Anglican/Protestant,Student,D,Under K 849,Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59"
20:15  -  20:29,60719856,Muchinga,Nakonde,Rural,Male,1,None,D,Some primary school,Roman Catholic,Self employed,D,Under K 849,No,45+,"20:00  -  20:14,20:15  -  20:29"
20:00  -  20:14,60719856,Muchinga,Nakonde,Rural,Male,1,None,D,Some primary school,Roman Catholic,Self employed,D,Under K 849,No,45+,"20:00  -  20:14,20:15  -  20:29"
18:30  -  18:44,60719857,Muchinga,Nakonde,Rural,Male,1,None,D,Primary school completed,Anglican/Protestant,Self employed,D,Under K 849,Yes,25 – 34,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
5:15  -  5:29,60719857,Muchinga,Nakonde,Rural,Male,1,None,D,Primary school completed,Anglican/Protestant,Self employed,D,Under K 849,Yes,25 – 34,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
14:00  -  14:14,60719857,Muchinga,Nakonde,Rural,Male,1,None,D,Primary school completed,Anglican/Protestant,Self employed,D,Under K 849,Yes,25 – 34,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
5:30  -  5:44,60719857,Muchinga,Nakonde,Rural,Male,1,None,D,Primary school completed,Anglican/Protestant,Self employed,D,Under K 849,Yes,25 – 34,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
18:15  -  18:29,60719857,Muchinga,Nakonde,Rural,Male,1,None,D,Primary school completed,Anglican/Protestant,Self employed,D,Under K 849,Yes,25 – 34,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
