Chimwemwe analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Chimwemwe
9:00  -  9:14,60531744,Copperbelt,Mufulira,Urban,Female,1,Two or More,AB,Some university,Roman Catholic,Student,C2,"K 6,103   -  K 7,892",Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,,,,,,"
8:30  -  8:44,60531744,Copperbelt,Mufulira,Urban,Female,1,Two or More,AB,Some university,Roman Catholic,Student,C2,"K 6,103   -  K 7,892",Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,,,,,,,"
12:00  -  12:14,60537556,Copperbelt,Kalulushi,Urban,Female,3,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"12:00  -  12:14,,,,,,,"
10:00  -  10:14,60555769,Copperbelt,Kitwe,Urban,Female,3,None,C2,No formal education,Seventh Day Adventists,Working Part-Time,D,Under K 849,Yes,25 – 34,",,,,,,,10:00  -  10:14,"
7:15  -  7:29,60559162,Copperbelt,Ndola,Urban,Female,1,None,C1,Some high school,Others,Self employed,D,Under K 849,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,,,,,,,"
7:30  -  7:44,60559162,Copperbelt,Ndola,Urban,Female,1,None,C1,Some high school,Others,Self employed,D,Under K 849,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,,,,,,,"
7:00  -  7:14,60559162,Copperbelt,Ndola,Urban,Female,1,None,C1,Some high school,Others,Self employed,D,Under K 849,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,,,,,,,"
18:30  -  18:44,60560263,Copperbelt,Luanshya,Urban,Female,1,One,AB,Some high school,Anglican/Protestant,Student,C1,"K 3,891  -  K 4,627",Yes,19 – 24,",,,,,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,,"
18:15  -  18:29,60560263,Copperbelt,Luanshya,Urban,Female,1,One,AB,Some high school,Anglican/Protestant,Student,C1,"K 3,891  -  K 4,627",Yes,19 – 24,",,,,,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,,"
18:45  -  18:59,60560263,Copperbelt,Luanshya,Urban,Female,1,One,AB,Some high school,Anglican/Protestant,Student,C1,"K 3,891  -  K 4,627",Yes,19 – 24,",,,,,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,,"
19:00  -  19:14,60560263,Copperbelt,Luanshya,Urban,Female,1,One,AB,Some high school,Anglican/Protestant,Student,C1,"K 3,891  -  K 4,627",Yes,19 – 24,",,,,,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,,"
18:00  -  18:14,60560263,Copperbelt,Luanshya,Urban,Female,1,One,AB,Some high school,Anglican/Protestant,Student,C1,"K 3,891  -  K 4,627",Yes,19 – 24,",,,,,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,,"
8:45  -  8:59,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,",,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
8:15  -  8:29,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,",,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
8:00  -  8:14,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,",,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
9:00  -  9:14,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,",,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
8:30  -  8:44,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,",,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
9:30  -  9:44,60580918,Copperbelt,Luanshya,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,25 – 34,",,,,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,,,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44"
8:45  -  8:59,60580918,Copperbelt,Luanshya,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,25 – 34,",,,,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,,,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44"
20:00  -  20:14,60580918,Copperbelt,Luanshya,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,25 – 34,",,,,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,,,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44"
19:45  -  19:59,60580918,Copperbelt,Luanshya,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,25 – 34,",,,,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,,,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44"
9:15  -  9:29,60580918,Copperbelt,Luanshya,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,25 – 34,",,,,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,,,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44"
19:30  -  19:44,60580918,Copperbelt,Luanshya,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,25 – 34,",,,,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,,,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44"
9:00  -  9:14,60580918,Copperbelt,Luanshya,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,25 – 34,",,,,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,,,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44"
8:30  -  8:44,60580918,Copperbelt,Luanshya,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,25 – 34,",,,,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,,,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44"
21:00  -  21:14,60600600,Copperbelt,Ndola,Urban,Female,1,None,C2,Primary school completed,Other Christian,Self employed,D,Under K 849,No,25 – 34,",,,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,"
20:15  -  20:29,60600600,Copperbelt,Ndola,Urban,Female,1,None,C2,Primary school completed,Other Christian,Self employed,D,Under K 849,No,25 – 34,",,,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,"
19:30  -  19:44,60600600,Copperbelt,Ndola,Urban,Female,1,None,C2,Primary school completed,Other Christian,Self employed,D,Under K 849,No,25 – 34,",,,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,"
21:45  -  21:59,60600600,Copperbelt,Ndola,Urban,Female,1,None,C2,Primary school completed,Other Christian,Self employed,D,Under K 849,No,25 – 34,",,,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,"
20:00  -  20:14,60600600,Copperbelt,Ndola,Urban,Female,1,None,C2,Primary school completed,Other Christian,Self employed,D,Under K 849,No,25 – 34,",,,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,"
20:45  -  20:59,60600600,Copperbelt,Ndola,Urban,Female,1,None,C2,Primary school completed,Other Christian,Self employed,D,Under K 849,No,25 – 34,",,,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,"
19:45  -  19:59,60600600,Copperbelt,Ndola,Urban,Female,1,None,C2,Primary school completed,Other Christian,Self employed,D,Under K 849,No,25 – 34,",,,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,"
20:30  -  20:44,60600600,Copperbelt,Ndola,Urban,Female,1,None,C2,Primary school completed,Other Christian,Self employed,D,Under K 849,No,25 – 34,",,,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,"
19:00  -  19:14,60600600,Copperbelt,Ndola,Urban,Female,1,None,C2,Primary school completed,Other Christian,Self employed,D,Under K 849,No,25 – 34,",,,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,"
21:30  -  21:44,60600600,Copperbelt,Ndola,Urban,Female,1,None,C2,Primary school completed,Other Christian,Self employed,D,Under K 849,No,25 – 34,",,,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,"
21:15  -  21:29,60600600,Copperbelt,Ndola,Urban,Female,1,None,C2,Primary school completed,Other Christian,Self employed,D,Under K 849,No,25 – 34,",,,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,"
19:15  -  19:29,60600600,Copperbelt,Ndola,Urban,Female,1,None,C2,Primary school completed,Other Christian,Self employed,D,Under K 849,No,25 – 34,",,,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,"
6:00  -  6:14,60602111,Copperbelt,Kalulushi,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Student,D,"K 1675- K2,499",Yes,25 – 34,"6:00  -  6:14,,,,,,,"
18:00  -  18:14,60602799,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Orthodox,Working Full-Time,D,"K 4,628   -  K 5,364",Yes,25 – 34,",,18:00  -  18:14,18:30  -  18:44,,,,,"
18:30  -  18:44,60602799,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Orthodox,Working Full-Time,D,"K 4,628   -  K 5,364",Yes,25 – 34,",,18:00  -  18:14,18:30  -  18:44,,,,,"
18:00  -  18:14,60605947,Copperbelt,Ndola,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Student,D,"K 1675- K2,499",Yes,15 – 18,"6:00  -  6:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,,,,,,"
20:15  -  20:29,60605947,Copperbelt,Ndola,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Student,D,"K 1675- K2,499",Yes,15 – 18,"6:00  -  6:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,,,,,,"
19:30  -  19:44,60605947,Copperbelt,Ndola,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Student,D,"K 1675- K2,499",Yes,15 – 18,"6:00  -  6:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,,,,,,"
20:00  -  20:14,60605947,Copperbelt,Ndola,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Student,D,"K 1675- K2,499",Yes,15 – 18,"6:00  -  6:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,,,,,,"
18:30  -  18:44,60605947,Copperbelt,Ndola,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Student,D,"K 1675- K2,499",Yes,15 – 18,"6:00  -  6:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,,,,,,"
18:15  -  18:29,60605947,Copperbelt,Ndola,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Student,D,"K 1675- K2,499",Yes,15 – 18,"6:00  -  6:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,,,,,,"
20:45  -  20:59,60605947,Copperbelt,Ndola,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Student,D,"K 1675- K2,499",Yes,15 – 18,"6:00  -  6:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,,,,,,"
18:45  -  18:59,60605947,Copperbelt,Ndola,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Student,D,"K 1675- K2,499",Yes,15 – 18,"6:00  -  6:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,,,,,,"
19:45  -  19:59,60605947,Copperbelt,Ndola,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Student,D,"K 1675- K2,499",Yes,15 – 18,"6:00  -  6:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,,,,,,"
20:30  -  20:44,60605947,Copperbelt,Ndola,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Student,D,"K 1675- K2,499",Yes,15 – 18,"6:00  -  6:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,,,,,,"
19:00  -  19:14,60605947,Copperbelt,Ndola,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Student,D,"K 1675- K2,499",Yes,15 – 18,"6:00  -  6:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,,,,,,"
6:00  -  6:14,60605947,Copperbelt,Ndola,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Student,D,"K 1675- K2,499",Yes,15 – 18,"6:00  -  6:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,,,,,,"
19:15  -  19:29,60605947,Copperbelt,Ndola,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Student,D,"K 1675- K2,499",Yes,15 – 18,"6:00  -  6:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,,,,,,"
7:15  -  7:29,60607296,Copperbelt,Luanshya,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Student,C2,"K 3,155   -  K 3,890",Yes,19 – 24,",,,,,,,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29"
7:00  -  7:14,60607296,Copperbelt,Luanshya,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Student,C2,"K 3,155   -  K 3,890",Yes,19 – 24,",,,,,,,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29"
6:30  -  6:44,60607296,Copperbelt,Luanshya,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Student,C2,"K 3,155   -  K 3,890",Yes,19 – 24,",,,,,,,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29"
6:45  -  6:59,60607296,Copperbelt,Luanshya,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Student,C2,"K 3,155   -  K 3,890",Yes,19 – 24,",,,,,,,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29"
7:15  -  7:29,60608396,Copperbelt,Ndola,Urban,Male,1,None,C2,Completed high School,Seventh Day Adventists,Self employed,D,Under K 849,Yes,25 – 34,",,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,,,,,"
7:30  -  7:44,60608396,Copperbelt,Ndola,Urban,Male,1,None,C2,Completed high School,Seventh Day Adventists,Self employed,D,Under K 849,Yes,25 – 34,",,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,,,,,"
7:00  -  7:14,60608396,Copperbelt,Ndola,Urban,Male,1,None,C2,Completed high School,Seventh Day Adventists,Self employed,D,Under K 849,Yes,25 – 34,",,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,,,,,"
14:15  -  14:29,60638604,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,19 – 24,",,,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,,"
14:00  -  14:14,60638604,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,19 – 24,",,,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,,"
14:45  -  14:59,60638604,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,19 – 24,",,,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,,"
14:30  -  14:44,60638604,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,19 – 24,",,,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,,"
0:45  -  0:59,60640304,Copperbelt,Kitwe,Rural,Female,1,None,D,Some high school,Others,Unemployed [NOT SEEKING A JOB],D,Under K 849,Yes,45+,"5:00  -  5:14,0:45  -  0:59,,,,,,,"
5:00  -  5:14,60640304,Copperbelt,Kitwe,Rural,Female,1,None,D,Some high school,Others,Unemployed [NOT SEEKING A JOB],D,Under K 849,Yes,45+,"5:00  -  5:14,0:45  -  0:59,,,,,,,"
8:00  -  8:14,60641532,Copperbelt,Luanshya,Urban,Male,1,None,C1,Some high school,Seventh Day Adventists,Self employed,D,"K 1675- K2,499",Yes,35 – 44,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,,,,,,"
6:30  -  6:44,60641532,Copperbelt,Luanshya,Urban,Male,1,None,C1,Some high school,Seventh Day Adventists,Self employed,D,"K 1675- K2,499",Yes,35 – 44,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,,,,,,"
