Power  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Power  Yesterday
6:00  -  6:14,60549714,Central,Kabwe,Urban,Male,1,None,C1,University completed,Muslim,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29"
8:15  -  8:29,60595930,Central,Kabwe,Urban,Male,1,Two or More,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44"
8:30  -  8:44,60595930,Central,Kabwe,Urban,Male,1,Two or More,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44"
8:00  -  8:14,60595930,Central,Kabwe,Urban,Male,1,Two or More,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44"
6:45  -  6:59,60611357,Central,Kabwe,Urban,Male,0,Two or More,AB,Some university,Anglican/Protestant,Self employed,C1,"K 5,365  -  K 6,102",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
6:30  -  6:44,60611357,Central,Kabwe,Urban,Male,0,Two or More,AB,Some university,Anglican/Protestant,Self employed,C1,"K 5,365  -  K 6,102",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
6:15  -  6:29,60611357,Central,Kabwe,Urban,Male,0,Two or More,AB,Some university,Anglican/Protestant,Self employed,C1,"K 5,365  -  K 6,102",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
6:00  -  6:14,60611357,Central,Kabwe,Urban,Male,0,Two or More,AB,Some university,Anglican/Protestant,Self employed,C1,"K 5,365  -  K 6,102",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
19:30  -  19:44,60664456,Central,Kabwe,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:00  -  20:14,60664456,Central,Kabwe,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
19:15  -  19:29,60664456,Central,Kabwe,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
19:45  -  19:59,60664456,Central,Kabwe,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
19:00  -  19:14,60664456,Central,Kabwe,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:30  -  20:44,60664456,Central,Kabwe,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:15  -  20:29,60664456,Central,Kabwe,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:45  -  20:59,60664456,Central,Kabwe,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
6:45  -  6:59,60683881,Central,Kabwe,Rural,Female,2,One,C2,Some primary school,Anglican/Protestant,Self employed,D,Do not know,No,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
6:30  -  6:44,60683881,Central,Kabwe,Rural,Female,2,One,C2,Some primary school,Anglican/Protestant,Self employed,D,Do not know,No,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
6:15  -  6:29,60683881,Central,Kabwe,Rural,Female,2,One,C2,Some primary school,Anglican/Protestant,Self employed,D,Do not know,No,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
6:00  -  6:14,60683881,Central,Kabwe,Rural,Female,2,One,C2,Some primary school,Anglican/Protestant,Self employed,D,Do not know,No,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
7:00  -  7:14,60755602,Central,Kabwe,Urban,Male,1,None,AB,Completed high School,Roman Catholic,Self employed,C2,"K 4,628   -  K 5,364",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
6:15  -  6:29,60755602,Central,Kabwe,Urban,Male,1,None,AB,Completed high School,Roman Catholic,Self employed,C2,"K 4,628   -  K 5,364",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
7:45  -  7:59,60755602,Central,Kabwe,Urban,Male,1,None,AB,Completed high School,Roman Catholic,Self employed,C2,"K 4,628   -  K 5,364",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
7:15  -  7:29,60755602,Central,Kabwe,Urban,Male,1,None,AB,Completed high School,Roman Catholic,Self employed,C2,"K 4,628   -  K 5,364",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
7:30  -  7:44,60755602,Central,Kabwe,Urban,Male,1,None,AB,Completed high School,Roman Catholic,Self employed,C2,"K 4,628   -  K 5,364",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
6:45  -  6:59,60755602,Central,Kabwe,Urban,Male,1,None,AB,Completed high School,Roman Catholic,Self employed,C2,"K 4,628   -  K 5,364",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
6:30  -  6:44,60755602,Central,Kabwe,Urban,Male,1,None,AB,Completed high School,Roman Catholic,Self employed,C2,"K 4,628   -  K 5,364",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
6:00  -  6:14,60755602,Central,Kabwe,Urban,Male,1,None,AB,Completed high School,Roman Catholic,Self employed,C2,"K 4,628   -  K 5,364",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
7:00  -  7:14,60755603,Central,Kabwe,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
6:15  -  6:29,60755603,Central,Kabwe,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
7:45  -  7:59,60755603,Central,Kabwe,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
21:15  -  21:29,60755603,Central,Kabwe,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
23:00  -  23:14,60755603,Central,Kabwe,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
21:30  -  21:44,60755603,Central,Kabwe,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
7:15  -  7:29,60755603,Central,Kabwe,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
7:30  -  7:44,60755603,Central,Kabwe,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
21:45  -  21:59,60755603,Central,Kabwe,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
22:30  -  22:44,60755603,Central,Kabwe,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
6:45  -  6:59,60755603,Central,Kabwe,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
23:30  -  23:44,60755603,Central,Kabwe,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
22:45  -  22:59,60755603,Central,Kabwe,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
23:15  -  23:29,60755603,Central,Kabwe,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
23:45  -  23:59,60755603,Central,Kabwe,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
6:30  -  6:44,60755603,Central,Kabwe,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
22:15  -  22:29,60755603,Central,Kabwe,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
22:00  -  22:14,60755603,Central,Kabwe,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
21:00  -  21:14,60755603,Central,Kabwe,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
6:00  -  6:14,60755603,Central,Kabwe,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
23:00  -  23:14,60845425,Central,Kabwe,Urban,Male,0,One,AB,Some university,Other Christian,Working Full-Time,Do not know,"K 4,628   -  K 5,364",Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14"
21:15  -  21:29,60845425,Central,Kabwe,Urban,Male,0,One,AB,Some university,Other Christian,Working Full-Time,Do not know,"K 4,628   -  K 5,364",Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14"
21:30  -  21:44,60845425,Central,Kabwe,Urban,Male,0,One,AB,Some university,Other Christian,Working Full-Time,Do not know,"K 4,628   -  K 5,364",Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14"
20:00  -  20:14,60845425,Central,Kabwe,Urban,Male,0,One,AB,Some university,Other Christian,Working Full-Time,Do not know,"K 4,628   -  K 5,364",Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14"
22:30  -  22:44,60845425,Central,Kabwe,Urban,Male,0,One,AB,Some university,Other Christian,Working Full-Time,Do not know,"K 4,628   -  K 5,364",Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14"
21:45  -  21:59,60845425,Central,Kabwe,Urban,Male,0,One,AB,Some university,Other Christian,Working Full-Time,Do not know,"K 4,628   -  K 5,364",Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14"
23:30  -  23:44,60845425,Central,Kabwe,Urban,Male,0,One,AB,Some university,Other Christian,Working Full-Time,Do not know,"K 4,628   -  K 5,364",Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14"
22:45  -  22:59,60845425,Central,Kabwe,Urban,Male,0,One,AB,Some university,Other Christian,Working Full-Time,Do not know,"K 4,628   -  K 5,364",Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14"
