Radio Mano  Wednesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Radio Mano  Wednesday
6:00  -  6:14,60601393,Northern,Kasama,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
17:30  -  17:44,60601399,Northern,Kasama,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
17:15  -  17:29,60601399,Northern,Kasama,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
17:00  -  17:14,60601399,Northern,Kasama,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
6:15  -  6:29,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:15  -  7:29"
7:15  -  7:29,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:15  -  7:29"
6:45  -  6:59,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:15  -  7:29"
6:30  -  6:44,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:15  -  7:29"
6:00  -  6:14,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:15  -  7:29"
9:00  -  9:14,60779672,Northern,Kasama,Urban,Male,1,None,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
10:00  -  10:14,60779672,Northern,Kasama,Urban,Male,1,None,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
18:00  -  18:14,60779672,Northern,Kasama,Urban,Male,1,None,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
18:15  -  18:29,60779672,Northern,Kasama,Urban,Male,1,None,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
18:30  -  18:44,60779672,Northern,Kasama,Urban,Male,1,None,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
9:30  -  9:44,60779672,Northern,Kasama,Urban,Male,1,None,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
9:45  -  9:59,60779672,Northern,Kasama,Urban,Male,1,None,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
9:15  -  9:29,60779672,Northern,Kasama,Urban,Male,1,None,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
12:15  -  12:29,60861541,Northern,Kasama,Urban,Female,1,One,C1,Any other post-high school qualification,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"12:00  -  12:14,12:15  -  12:29"
12:00  -  12:14,60861541,Northern,Kasama,Urban,Female,1,One,C1,Any other post-high school qualification,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"12:00  -  12:14,12:15  -  12:29"
7:00  -  7:14,60863462,Northern,Kasama,Urban,Female,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Self employed,Do not know,No Income,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,14:00  -  14:14,14:15  -  14:29,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
18:15  -  18:29,60863462,Northern,Kasama,Urban,Female,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Self employed,Do not know,No Income,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,14:00  -  14:14,14:15  -  14:29,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
18:00  -  18:14,60863462,Northern,Kasama,Urban,Female,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Self employed,Do not know,No Income,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,14:00  -  14:14,14:15  -  14:29,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
7:15  -  7:29,60863462,Northern,Kasama,Urban,Female,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Self employed,Do not know,No Income,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,14:00  -  14:14,14:15  -  14:29,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
7:30  -  7:44,60863462,Northern,Kasama,Urban,Female,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Self employed,Do not know,No Income,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,14:00  -  14:14,14:15  -  14:29,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
18:30  -  18:44,60863462,Northern,Kasama,Urban,Female,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Self employed,Do not know,No Income,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,14:00  -  14:14,14:15  -  14:29,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
14:00  -  14:14,60863462,Northern,Kasama,Urban,Female,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Self employed,Do not know,No Income,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,14:00  -  14:14,14:15  -  14:29,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
14:15  -  14:29,60863462,Northern,Kasama,Urban,Female,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Self employed,Do not know,No Income,Yes,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,14:00  -  14:14,14:15  -  14:29,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
