BBC analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,BBC
5:30  -  5:44,60492143,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,"4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,,,,,,,"
5:00  -  5:14,60492143,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,"4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,,,,,,,"
4:00  -  4:14,60492143,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,"4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,,,,,,,"
4:15  -  4:29,60492143,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,"4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,,,,,,,"
4:45  -  4:59,60492143,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,"4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,,,,,,,"
4:30  -  4:44,60492143,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,"4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,,,,,,,"
19:15  -  19:29,60515728,Central,Chibombo,Urban,Male,1,None,C1,Some high school,Anglican/Protestant,Student,D,"K 1675- K2,499",Yes,19 – 24,",,,19:00  -  19:14,19:15  -  19:29,,,,"
19:00  -  19:14,60515728,Central,Chibombo,Urban,Male,1,None,C1,Some high school,Anglican/Protestant,Student,D,"K 1675- K2,499",Yes,19 – 24,",,,19:00  -  19:14,19:15  -  19:29,,,,"
12:00  -  12:14,60516534,Lusaka,Lusaka,Urban,Male,1,None,AB,University completed,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,",,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,,,,,"
12:15  -  12:29,60516534,Lusaka,Lusaka,Urban,Male,1,None,AB,University completed,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,",,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,,,,,"
12:30  -  12:44,60516534,Lusaka,Lusaka,Urban,Male,1,None,AB,University completed,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,",,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,,,,,"
12:45  -  12:59,60516534,Lusaka,Lusaka,Urban,Male,1,None,AB,University completed,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,",,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,,,,,"
8:00  -  8:14,60519021,Lusaka,Lusaka,Urban,Female,1,None,AB,University completed,Roman Catholic,Working Part-Time,C2,"K 3,891  -  K 4,627",Yes,25 – 34,"6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,8:00  -  8:14,8:15  -  8:29,8:45  -  8:59,,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,6:15  -  6:29,6:30  -  6:44"
8:45  -  8:59,60519021,Lusaka,Lusaka,Urban,Female,1,None,AB,University completed,Roman Catholic,Working Part-Time,C2,"K 3,891  -  K 4,627",Yes,25 – 34,"6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,8:00  -  8:14,8:15  -  8:29,8:45  -  8:59,,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,6:15  -  6:29,6:30  -  6:44"
6:30  -  6:44,60519021,Lusaka,Lusaka,Urban,Female,1,None,AB,University completed,Roman Catholic,Working Part-Time,C2,"K 3,891  -  K 4,627",Yes,25 – 34,"6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,8:00  -  8:14,8:15  -  8:29,8:45  -  8:59,,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,6:15  -  6:29,6:30  -  6:44"
7:15  -  7:29,60519021,Lusaka,Lusaka,Urban,Female,1,None,AB,University completed,Roman Catholic,Working Part-Time,C2,"K 3,891  -  K 4,627",Yes,25 – 34,"6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,8:00  -  8:14,8:15  -  8:29,8:45  -  8:59,,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,6:15  -  6:29,6:30  -  6:44"
7:45  -  7:59,60519021,Lusaka,Lusaka,Urban,Female,1,None,AB,University completed,Roman Catholic,Working Part-Time,C2,"K 3,891  -  K 4,627",Yes,25 – 34,"6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,8:00  -  8:14,8:15  -  8:29,8:45  -  8:59,,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,6:15  -  6:29,6:30  -  6:44"
8:15  -  8:29,60519021,Lusaka,Lusaka,Urban,Female,1,None,AB,University completed,Roman Catholic,Working Part-Time,C2,"K 3,891  -  K 4,627",Yes,25 – 34,"6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,8:00  -  8:14,8:15  -  8:29,8:45  -  8:59,,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,6:15  -  6:29,6:30  -  6:44"
7:30  -  7:44,60519021,Lusaka,Lusaka,Urban,Female,1,None,AB,University completed,Roman Catholic,Working Part-Time,C2,"K 3,891  -  K 4,627",Yes,25 – 34,"6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,8:00  -  8:14,8:15  -  8:29,8:45  -  8:59,,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,6:15  -  6:29,6:30  -  6:44"
6:45  -  6:59,60519021,Lusaka,Lusaka,Urban,Female,1,None,AB,University completed,Roman Catholic,Working Part-Time,C2,"K 3,891  -  K 4,627",Yes,25 – 34,"6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,8:00  -  8:14,8:15  -  8:29,8:45  -  8:59,,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,6:15  -  6:29,6:30  -  6:44"
7:00  -  7:14,60519021,Lusaka,Lusaka,Urban,Female,1,None,AB,University completed,Roman Catholic,Working Part-Time,C2,"K 3,891  -  K 4,627",Yes,25 – 34,"6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,8:00  -  8:14,8:15  -  8:29,8:45  -  8:59,,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,6:15  -  6:29,6:30  -  6:44"
6:15  -  6:29,60519021,Lusaka,Lusaka,Urban,Female,1,None,AB,University completed,Roman Catholic,Working Part-Time,C2,"K 3,891  -  K 4,627",Yes,25 – 34,"6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,8:00  -  8:14,8:15  -  8:29,8:45  -  8:59,,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,6:15  -  6:29,6:30  -  6:44"
6:00  -  6:14,60519021,Lusaka,Lusaka,Urban,Female,1,None,AB,University completed,Roman Catholic,Working Part-Time,C2,"K 3,891  -  K 4,627",Yes,25 – 34,"6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,8:00  -  8:14,8:15  -  8:29,8:45  -  8:59,,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,6:15  -  6:29,6:30  -  6:44"
8:15  -  8:29,60532056,Southern,Mazabuka,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,",,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,,,,,"
8:30  -  8:44,60532056,Southern,Mazabuka,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,",,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,,,,,"
8:00  -  8:14,60532056,Southern,Mazabuka,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,",,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,,,,,"
7:00  -  7:14,60536769,Lusaka,Kafue,Urban,Male,1,None,AB,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,",7:00  -  7:14,10:30  -  10:44,,,,,,7:00  -  7:14,10:30  -  10:44"
10:30  -  10:44,60536769,Lusaka,Kafue,Urban,Male,1,None,AB,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,",7:00  -  7:14,10:30  -  10:44,,,,,,7:00  -  7:14,10:30  -  10:44"
23:15  -  23:29,60536770,Lusaka,Kafue,Urban,Male,1,None,AB,Some high school,Anglican/Protestant,Student,D,K 850-K 1674,Yes,25 – 34,",,,,14:00  -  14:14,17:30  -  17:44,23:15  -  23:29,0:00  -  0:14,,,"
14:00  -  14:14,60536770,Lusaka,Kafue,Urban,Male,1,None,AB,Some high school,Anglican/Protestant,Student,D,K 850-K 1674,Yes,25 – 34,",,,,14:00  -  14:14,17:30  -  17:44,23:15  -  23:29,0:00  -  0:14,,,"
0:00  -  0:14,60536770,Lusaka,Kafue,Urban,Male,1,None,AB,Some high school,Anglican/Protestant,Student,D,K 850-K 1674,Yes,25 – 34,",,,,14:00  -  14:14,17:30  -  17:44,23:15  -  23:29,0:00  -  0:14,,,"
17:30  -  17:44,60536770,Lusaka,Kafue,Urban,Male,1,None,AB,Some high school,Anglican/Protestant,Student,D,K 850-K 1674,Yes,25 – 34,",,,,14:00  -  14:14,17:30  -  17:44,23:15  -  23:29,0:00  -  0:14,,,"
23:15  -  23:29,60541600,Lusaka,Lusaka,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,",,,,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,,,"
22:00  -  22:14,60541600,Lusaka,Lusaka,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,",,,,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,,,"
22:30  -  22:44,60541600,Lusaka,Lusaka,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,",,,,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,,,"
23:00  -  23:14,60541600,Lusaka,Lusaka,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,",,,,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,,,"
23:30  -  23:44,60541600,Lusaka,Lusaka,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,",,,,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,,,"
22:45  -  22:59,60541600,Lusaka,Lusaka,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,",,,,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,,,"
22:15  -  22:29,60541600,Lusaka,Lusaka,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,",,,,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,,,"
23:45  -  23:59,60541600,Lusaka,Lusaka,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,",,,,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,,,"
13:15  -  13:29,60541879,Central,Chibombo,Urban,Male,0,One,C1,Completed high School,Other Christian,Student,C1,Under K 849,Yes,19 – 24,",,,,,13:00  -  13:14,13:15  -  13:29,,"
13:00  -  13:14,60541879,Central,Chibombo,Urban,Male,0,One,C1,Completed high School,Other Christian,Student,C1,Under K 849,Yes,19 – 24,",,,,,13:00  -  13:14,13:15  -  13:29,,"
17:00  -  17:14,60550361,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,,,,,,,"
18:00  -  18:14,60550361,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,,,,,,,"
17:30  -  17:44,60550361,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,,,,,,,"
17:45  -  17:59,60550361,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,,,,,,,"
17:15  -  17:29,60550361,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,,,,,,,"
9:45  -  9:59,60556109,Copperbelt,Kitwe,Urban,Female,1,None,AB,Completed high School,Others,Working Full-Time,D,"K 1675- K2,499",Yes,45+,",,,,,,,9:00  -  9:14,9:45  -  9:59,"
9:00  -  9:14,60556109,Copperbelt,Kitwe,Urban,Female,1,None,AB,Completed high School,Others,Working Full-Time,D,"K 1675- K2,499",Yes,45+,",,,,,,,9:00  -  9:14,9:45  -  9:59,"
17:00  -  17:14,60559884,Muchinga,Nakonde,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Working Full-Time,Do not know,Do not know,Yes,45+,"17:00  -  17:14,17:15  -  17:29,17:00  -  17:14,17:15  -  17:29,17:00  -  17:14,17:15  -  17:29,17:00  -  17:14,17:15  -  17:29,17:00  -  17:14,17:15  -  17:29,17:00  -  17:14,17:15  -  17:29,,17:00  -  17:14,17:15  -  17:29,17:00  -  17:14,17:15  -  17:29"
17:15  -  17:29,60559884,Muchinga,Nakonde,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Working Full-Time,Do not know,Do not know,Yes,45+,"17:00  -  17:14,17:15  -  17:29,17:00  -  17:14,17:15  -  17:29,17:00  -  17:14,17:15  -  17:29,17:00  -  17:14,17:15  -  17:29,17:00  -  17:14,17:15  -  17:29,17:00  -  17:14,17:15  -  17:29,,17:00  -  17:14,17:15  -  17:29,17:00  -  17:14,17:15  -  17:29"
12:00  -  12:14,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
13:00  -  13:14,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
