Mazabuka  Thursday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Mazabuka  Thursday
20:30  -  20:44,60582409,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,D,Under K 849,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
21:00  -  21:14,60582409,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,D,Under K 849,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
21:15  -  21:29,60582409,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,D,Under K 849,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
20:15  -  20:29,60582409,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Full-Time,D,Under K 849,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
10:00  -  10:14,60599271,Southern,Mazabuka,Urban,Male,1,None,C1,Some high school,Refused (DON’T READ),Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
10:15  -  10:29,60599271,Southern,Mazabuka,Urban,Male,1,None,C1,Some high school,Refused (DON’T READ),Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
10:30  -  10:44,60599271,Southern,Mazabuka,Urban,Male,1,None,C1,Some high school,Refused (DON’T READ),Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
10:45  -  10:59,60599271,Southern,Mazabuka,Urban,Male,1,None,C1,Some high school,Refused (DON’T READ),Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
8:00  -  8:14,60641441,Southern,Mazabuka,Urban,Female,1,None,C1,Some university,Roman Catholic,Working Part-Time,C2,Under K 849,Yes,19 – 24,"7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
8:30  -  8:44,60641441,Southern,Mazabuka,Urban,Female,1,None,C1,Some university,Roman Catholic,Working Part-Time,C2,Under K 849,Yes,19 – 24,"7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
8:15  -  8:29,60641441,Southern,Mazabuka,Urban,Female,1,None,C1,Some university,Roman Catholic,Working Part-Time,C2,Under K 849,Yes,19 – 24,"7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
8:45  -  8:59,60641441,Southern,Mazabuka,Urban,Female,1,None,C1,Some university,Roman Catholic,Working Part-Time,C2,Under K 849,Yes,19 – 24,"7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
7:45  -  7:59,60641441,Southern,Mazabuka,Urban,Female,1,None,C1,Some university,Roman Catholic,Working Part-Time,C2,Under K 849,Yes,19 – 24,"7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
10:30  -  10:44,60748710,Southern,Mazabuka,Rural,Male,0,None,C2,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
11:15  -  11:29,60748710,Southern,Mazabuka,Rural,Male,0,None,C2,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
11:00  -  11:14,60748710,Southern,Mazabuka,Rural,Male,0,None,C2,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
11:30  -  11:44,60748710,Southern,Mazabuka,Rural,Male,0,None,C2,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
10:45  -  10:59,60748710,Southern,Mazabuka,Rural,Male,0,None,C2,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,"10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
