Radio Mano  Saturday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Radio Mano  Saturday
19:45  -  19:59,60583203,Northern,Kasama,Rural,Male,1,None,D,Primary school completed,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Under K 849,Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
19:00  -  19:14,60583203,Northern,Kasama,Rural,Male,1,None,D,Primary school completed,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Under K 849,Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
20:15  -  20:29,60583203,Northern,Kasama,Rural,Male,1,None,D,Primary school completed,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Under K 849,Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
7:00  -  7:14,60601393,Northern,Kasama,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:15  -  18:29"
18:15  -  18:29,60601393,Northern,Kasama,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:15  -  18:29"
17:30  -  17:44,60601393,Northern,Kasama,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:15  -  18:29"
6:15  -  6:29,60601393,Northern,Kasama,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:15  -  18:29"
17:15  -  17:29,60601393,Northern,Kasama,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:15  -  18:29"
7:15  -  7:29,60601393,Northern,Kasama,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:15  -  18:29"
7:30  -  7:44,60601393,Northern,Kasama,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:15  -  18:29"
17:00  -  17:14,60601393,Northern,Kasama,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:15  -  18:29"
6:45  -  6:59,60601393,Northern,Kasama,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:15  -  18:29"
17:45  -  17:59,60601393,Northern,Kasama,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:15  -  18:29"
6:30  -  6:44,60601393,Northern,Kasama,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:15  -  18:29"
6:00  -  6:14,60601393,Northern,Kasama,Rural,Male,1,None,C1,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:15  -  18:29"
7:00  -  7:14,60601396,Northern,Kasama,Urban,Male,1,None,C1,Any other post-high school qualification,Other Christian,Working Part-Time,D,"K 1675- K2,499",Yes,25 – 34,"5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29"
6:15  -  6:29,60601396,Northern,Kasama,Urban,Male,1,None,C1,Any other post-high school qualification,Other Christian,Working Part-Time,D,"K 1675- K2,499",Yes,25 – 34,"5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29"
7:15  -  7:29,60601396,Northern,Kasama,Urban,Male,1,None,C1,Any other post-high school qualification,Other Christian,Working Part-Time,D,"K 1675- K2,499",Yes,25 – 34,"5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29"
6:45  -  6:59,60601396,Northern,Kasama,Urban,Male,1,None,C1,Any other post-high school qualification,Other Christian,Working Part-Time,D,"K 1675- K2,499",Yes,25 – 34,"5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29"
6:30  -  6:44,60601396,Northern,Kasama,Urban,Male,1,None,C1,Any other post-high school qualification,Other Christian,Working Part-Time,D,"K 1675- K2,499",Yes,25 – 34,"5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29"
5:45  -  5:59,60601396,Northern,Kasama,Urban,Male,1,None,C1,Any other post-high school qualification,Other Christian,Working Part-Time,D,"K 1675- K2,499",Yes,25 – 34,"5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29"
6:00  -  6:14,60601396,Northern,Kasama,Urban,Male,1,None,C1,Any other post-high school qualification,Other Christian,Working Part-Time,D,"K 1675- K2,499",Yes,25 – 34,"5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29"
7:00  -  7:14,60642680,Northern,Kasama,Rural,Male,0,None,C2,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,Do not know,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
6:15  -  6:29,60642680,Northern,Kasama,Rural,Male,0,None,C2,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,Do not know,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
6:45  -  6:59,60642680,Northern,Kasama,Rural,Male,0,None,C2,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,Do not know,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
6:30  -  6:44,60642680,Northern,Kasama,Rural,Male,0,None,C2,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,Do not know,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
6:00  -  6:14,60642680,Northern,Kasama,Rural,Male,0,None,C2,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],Do not know,Do not know,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
7:00  -  7:14,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
16:15  -  16:29,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
17:30  -  17:44,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
6:15  -  6:29,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
7:45  -  7:59,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
16:45  -  16:59,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
8:30  -  8:44,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
17:15  -  17:29,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
8:45  -  8:59,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
7:15  -  7:29,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
7:30  -  7:44,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
17:00  -  17:14,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
6:45  -  6:59,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
8:15  -  8:29,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
8:00  -  8:14,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
17:45  -  17:59,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
6:30  -  6:44,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
16:30  -  16:44,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
6:00  -  6:14,60755118,Northern,Kasama,Rural,Male,0,None,D,Some high school,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
