Yangeni FM  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Yangeni FM  Yesterday
6:15  -  6:29,60492140,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
8:45  -  8:59,60492140,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
6:30  -  6:44,60492140,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
9:00  -  9:14,60550364,Lusaka,Lusaka,Urban,Female,0,One,C1,University completed,Roman Catholic,Housewife,C1,K 850-K 1674,Yes,25 – 34,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
7:00  -  7:14,60550364,Lusaka,Lusaka,Urban,Female,0,One,C1,University completed,Roman Catholic,Housewife,C1,K 850-K 1674,Yes,25 – 34,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
7:15  -  7:29,60550364,Lusaka,Lusaka,Urban,Female,0,One,C1,University completed,Roman Catholic,Housewife,C1,K 850-K 1674,Yes,25 – 34,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
8:00  -  8:14,60550364,Lusaka,Lusaka,Urban,Female,0,One,C1,University completed,Roman Catholic,Housewife,C1,K 850-K 1674,Yes,25 – 34,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
8:15  -  8:29,60550364,Lusaka,Lusaka,Urban,Female,0,One,C1,University completed,Roman Catholic,Housewife,C1,K 850-K 1674,Yes,25 – 34,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
6:00  -  6:14,60550364,Lusaka,Lusaka,Urban,Female,0,One,C1,University completed,Roman Catholic,Housewife,C1,K 850-K 1674,Yes,25 – 34,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
6:45  -  6:59,60550364,Lusaka,Lusaka,Urban,Female,0,One,C1,University completed,Roman Catholic,Housewife,C1,K 850-K 1674,Yes,25 – 34,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
5:30  -  5:44,60550364,Lusaka,Lusaka,Urban,Female,0,One,C1,University completed,Roman Catholic,Housewife,C1,K 850-K 1674,Yes,25 – 34,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
8:30  -  8:44,60550364,Lusaka,Lusaka,Urban,Female,0,One,C1,University completed,Roman Catholic,Housewife,C1,K 850-K 1674,Yes,25 – 34,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
5:15  -  5:29,60550364,Lusaka,Lusaka,Urban,Female,0,One,C1,University completed,Roman Catholic,Housewife,C1,K 850-K 1674,Yes,25 – 34,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
7:45  -  7:59,60550364,Lusaka,Lusaka,Urban,Female,0,One,C1,University completed,Roman Catholic,Housewife,C1,K 850-K 1674,Yes,25 – 34,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
5:00  -  5:14,60550364,Lusaka,Lusaka,Urban,Female,0,One,C1,University completed,Roman Catholic,Housewife,C1,K 850-K 1674,Yes,25 – 34,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
7:30  -  7:44,60550364,Lusaka,Lusaka,Urban,Female,0,One,C1,University completed,Roman Catholic,Housewife,C1,K 850-K 1674,Yes,25 – 34,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
6:15  -  6:29,60550364,Lusaka,Lusaka,Urban,Female,0,One,C1,University completed,Roman Catholic,Housewife,C1,K 850-K 1674,Yes,25 – 34,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
8:45  -  8:59,60550364,Lusaka,Lusaka,Urban,Female,0,One,C1,University completed,Roman Catholic,Housewife,C1,K 850-K 1674,Yes,25 – 34,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
6:30  -  6:44,60550364,Lusaka,Lusaka,Urban,Female,0,One,C1,University completed,Roman Catholic,Housewife,C1,K 850-K 1674,Yes,25 – 34,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
5:45  -  5:59,60550364,Lusaka,Lusaka,Urban,Female,0,One,C1,University completed,Roman Catholic,Housewife,C1,K 850-K 1674,Yes,25 – 34,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
7:00  -  7:14,60667632,Lusaka,Lusaka,Urban,Female,1,None,C1,University completed,Roman Catholic,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
7:15  -  7:29,60667632,Lusaka,Lusaka,Urban,Female,1,None,C1,University completed,Roman Catholic,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
8:00  -  8:14,60667632,Lusaka,Lusaka,Urban,Female,1,None,C1,University completed,Roman Catholic,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
7:30  -  7:44,60667632,Lusaka,Lusaka,Urban,Female,1,None,C1,University completed,Roman Catholic,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
7:45  -  7:59,60667632,Lusaka,Lusaka,Urban,Female,1,None,C1,University completed,Roman Catholic,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
14:45  -  14:59,60688914,Lusaka,Lusaka,Urban,Female,1,One,C1,University completed,Other Christian,Housewife,C1,K 850-K 1674,Yes,35 – 44,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
14:30  -  14:44,60688914,Lusaka,Lusaka,Urban,Female,1,One,C1,University completed,Other Christian,Housewife,C1,K 850-K 1674,Yes,35 – 44,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
14:00  -  14:14,60688914,Lusaka,Lusaka,Urban,Female,1,One,C1,University completed,Other Christian,Housewife,C1,K 850-K 1674,Yes,35 – 44,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
15:00  -  15:14,60688914,Lusaka,Lusaka,Urban,Female,1,One,C1,University completed,Other Christian,Housewife,C1,K 850-K 1674,Yes,35 – 44,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
14:15  -  14:29,60688914,Lusaka,Lusaka,Urban,Female,1,One,C1,University completed,Other Christian,Housewife,C1,K 850-K 1674,Yes,35 – 44,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
