Kwithu FM  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Kwithu FM  Yesterday
16:00  -  16:14,60562228,Northern,Kasama,Urban,Male,1,None,C2,Any other post-high school qualification,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
15:45  -  15:59,60562228,Northern,Kasama,Urban,Male,1,None,C2,Any other post-high school qualification,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
13:15  -  13:29,60562228,Northern,Kasama,Urban,Male,1,None,C2,Any other post-high school qualification,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
17:00  -  17:14,60562228,Northern,Kasama,Urban,Male,1,None,C2,Any other post-high school qualification,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
13:00  -  13:14,60562228,Northern,Kasama,Urban,Male,1,None,C2,Any other post-high school qualification,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
15:00  -  15:14,60562228,Northern,Kasama,Urban,Male,1,None,C2,Any other post-high school qualification,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
12:45  -  12:59,60562228,Northern,Kasama,Urban,Male,1,None,C2,Any other post-high school qualification,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
15:30  -  15:44,60562228,Northern,Kasama,Urban,Male,1,None,C2,Any other post-high school qualification,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
13:30  -  13:44,60562228,Northern,Kasama,Urban,Male,1,None,C2,Any other post-high school qualification,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
16:30  -  16:44,60562228,Northern,Kasama,Urban,Male,1,None,C2,Any other post-high school qualification,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
14:30  -  14:44,60562228,Northern,Kasama,Urban,Male,1,None,C2,Any other post-high school qualification,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
14:00  -  14:14,60562228,Northern,Kasama,Urban,Male,1,None,C2,Any other post-high school qualification,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
14:15  -  14:29,60562228,Northern,Kasama,Urban,Male,1,None,C2,Any other post-high school qualification,Roman Catholic,Retired - voluntary scholarspensioners,No Income,No Income,Yes,45+,"12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
17:30  -  17:44,60601399,Northern,Kasama,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
6:15  -  6:29,60601399,Northern,Kasama,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
18:00  -  18:14,60601399,Northern,Kasama,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:15  -  17:29,60601399,Northern,Kasama,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:00  -  17:14,60601399,Northern,Kasama,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:45  -  17:59,60601399,Northern,Kasama,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
6:30  -  6:44,60601399,Northern,Kasama,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
6:00  -  6:14,60601399,Northern,Kasama,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
7:00  -  7:14,60607751,Northern,Kasama,Urban,Female,1,One,C1,Some university,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
6:15  -  6:29,60607751,Northern,Kasama,Urban,Female,1,One,C1,Some university,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
6:45  -  6:59,60607751,Northern,Kasama,Urban,Female,1,One,C1,Some university,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
6:30  -  6:44,60607751,Northern,Kasama,Urban,Female,1,One,C1,Some university,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
6:00  -  6:14,60607751,Northern,Kasama,Urban,Female,1,One,C1,Some university,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
16:30  -  16:44,60774044,Northern,Kasama,Urban,Female,1,One,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,"15:45  -  15:59,16:00  -  16:14,16:30  -  16:44,16:45  -  16:59"
15:45  -  15:59,60774044,Northern,Kasama,Urban,Female,1,One,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,"15:45  -  15:59,16:00  -  16:14,16:30  -  16:44,16:45  -  16:59"
16:45  -  16:59,60774044,Northern,Kasama,Urban,Female,1,One,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,"15:45  -  15:59,16:00  -  16:14,16:30  -  16:44,16:45  -  16:59"
16:00  -  16:14,60774044,Northern,Kasama,Urban,Female,1,One,C1,Some high school,Anglican/Protestant,Student,Do not know,No Income,Yes,19 – 24,"15:45  -  15:59,16:00  -  16:14,16:30  -  16:44,16:45  -  16:59"
