Millennium analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Millennium
8:15  -  8:29,60524421,Lusaka,Lusaka,Urban,Female,2,None,C1,Some university,Other Christian,Unemployed [SEEKING A JOB],C2,K 850-K 1674,No,19 – 24,",,,,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,,,"
7:30  -  7:44,60524421,Lusaka,Lusaka,Urban,Female,2,None,C1,Some university,Other Christian,Unemployed [SEEKING A JOB],C2,K 850-K 1674,No,19 – 24,",,,,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,,,"
10:00  -  10:14,60524421,Lusaka,Lusaka,Urban,Female,2,None,C1,Some university,Other Christian,Unemployed [SEEKING A JOB],C2,K 850-K 1674,No,19 – 24,",,,,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,,,"
7:00  -  7:14,60524421,Lusaka,Lusaka,Urban,Female,2,None,C1,Some university,Other Christian,Unemployed [SEEKING A JOB],C2,K 850-K 1674,No,19 – 24,",,,,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,,,"
9:15  -  9:29,60524421,Lusaka,Lusaka,Urban,Female,2,None,C1,Some university,Other Christian,Unemployed [SEEKING A JOB],C2,K 850-K 1674,No,19 – 24,",,,,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,,,"
8:00  -  8:14,60524421,Lusaka,Lusaka,Urban,Female,2,None,C1,Some university,Other Christian,Unemployed [SEEKING A JOB],C2,K 850-K 1674,No,19 – 24,",,,,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,,,"
9:00  -  9:14,60524421,Lusaka,Lusaka,Urban,Female,2,None,C1,Some university,Other Christian,Unemployed [SEEKING A JOB],C2,K 850-K 1674,No,19 – 24,",,,,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,,,"
8:30  -  8:44,60524421,Lusaka,Lusaka,Urban,Female,2,None,C1,Some university,Other Christian,Unemployed [SEEKING A JOB],C2,K 850-K 1674,No,19 – 24,",,,,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,,,"
14:15  -  14:29,60558637,Lusaka,Lusaka,Urban,Male,1,None,C2,Some high school,Seventh Day Adventists,Working Part-Time,D,K 850-K 1674,Yes,25 – 34,",,,,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,,,"
14:30  -  14:44,60558637,Lusaka,Lusaka,Urban,Male,1,None,C2,Some high school,Seventh Day Adventists,Working Part-Time,D,K 850-K 1674,Yes,25 – 34,",,,,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,,,"
13:15  -  13:29,60558637,Lusaka,Lusaka,Urban,Male,1,None,C2,Some high school,Seventh Day Adventists,Working Part-Time,D,K 850-K 1674,Yes,25 – 34,",,,,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,,,"
13:30  -  13:44,60558637,Lusaka,Lusaka,Urban,Male,1,None,C2,Some high school,Seventh Day Adventists,Working Part-Time,D,K 850-K 1674,Yes,25 – 34,",,,,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,,,"
14:00  -  14:14,60558637,Lusaka,Lusaka,Urban,Male,1,None,C2,Some high school,Seventh Day Adventists,Working Part-Time,D,K 850-K 1674,Yes,25 – 34,",,,,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,,,"
13:45  -  13:59,60558637,Lusaka,Lusaka,Urban,Male,1,None,C2,Some high school,Seventh Day Adventists,Working Part-Time,D,K 850-K 1674,Yes,25 – 34,",,,,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,,,"
19:30  -  19:44,60558638,Lusaka,Lusaka,Urban,Male,1,None,C2,Some high school,Others,Working Full-Time,D,K 850-K 1674,No,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,,,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,,,,"
16:00  -  16:14,60558638,Lusaka,Lusaka,Urban,Male,1,None,C2,Some high school,Others,Working Full-Time,D,K 850-K 1674,No,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,,,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,,,,"
16:15  -  16:29,60558638,Lusaka,Lusaka,Urban,Male,1,None,C2,Some high school,Others,Working Full-Time,D,K 850-K 1674,No,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,,,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,,,,"
17:00  -  17:14,60558638,Lusaka,Lusaka,Urban,Male,1,None,C2,Some high school,Others,Working Full-Time,D,K 850-K 1674,No,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,,,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,,,,"
18:15  -  18:29,60558638,Lusaka,Lusaka,Urban,Male,1,None,C2,Some high school,Others,Working Full-Time,D,K 850-K 1674,No,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,,,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,,,,"
18:30  -  18:44,60558638,Lusaka,Lusaka,Urban,Male,1,None,C2,Some high school,Others,Working Full-Time,D,K 850-K 1674,No,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,,,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,,,,"
16:45  -  16:59,60558638,Lusaka,Lusaka,Urban,Male,1,None,C2,Some high school,Others,Working Full-Time,D,K 850-K 1674,No,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,,,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,,,,"
18:45  -  18:59,60558638,Lusaka,Lusaka,Urban,Male,1,None,C2,Some high school,Others,Working Full-Time,D,K 850-K 1674,No,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,,,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,,,,"
19:00  -  19:14,60558638,Lusaka,Lusaka,Urban,Male,1,None,C2,Some high school,Others,Working Full-Time,D,K 850-K 1674,No,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,,,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,,,,"
18:00  -  18:14,60558638,Lusaka,Lusaka,Urban,Male,1,None,C2,Some high school,Others,Working Full-Time,D,K 850-K 1674,No,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,,,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,,,,"
19:15  -  19:29,60558638,Lusaka,Lusaka,Urban,Male,1,None,C2,Some high school,Others,Working Full-Time,D,K 850-K 1674,No,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,,,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,,,,"
17:15  -  17:29,60558638,Lusaka,Lusaka,Urban,Male,1,None,C2,Some high school,Others,Working Full-Time,D,K 850-K 1674,No,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,,,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,,,,"
16:30  -  16:44,60558638,Lusaka,Lusaka,Urban,Male,1,None,C2,Some high school,Others,Working Full-Time,D,K 850-K 1674,No,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,,,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,,,,"
14:15  -  14:29,60558639,Lusaka,Lusaka,Urban,Male,2,One,AB,Completed high School,Others,Retired - voluntary scholarspensioners,C2,"K 3,891  -  K 4,627",Yes,45+,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,"
11:00  -  11:14,60558639,Lusaka,Lusaka,Urban,Male,2,One,AB,Completed high School,Others,Retired - voluntary scholarspensioners,C2,"K 3,891  -  K 4,627",Yes,45+,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,"
14:30  -  14:44,60558639,Lusaka,Lusaka,Urban,Male,2,One,AB,Completed high School,Others,Retired - voluntary scholarspensioners,C2,"K 3,891  -  K 4,627",Yes,45+,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,"
10:00  -  10:14,60558639,Lusaka,Lusaka,Urban,Male,2,One,AB,Completed high School,Others,Retired - voluntary scholarspensioners,C2,"K 3,891  -  K 4,627",Yes,45+,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,"
14:00  -  14:14,60558639,Lusaka,Lusaka,Urban,Male,2,One,AB,Completed high School,Others,Retired - voluntary scholarspensioners,C2,"K 3,891  -  K 4,627",Yes,45+,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,"
14:45  -  14:59,60558639,Lusaka,Lusaka,Urban,Male,2,One,AB,Completed high School,Others,Retired - voluntary scholarspensioners,C2,"K 3,891  -  K 4,627",Yes,45+,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,"
11:30  -  11:44,60558639,Lusaka,Lusaka,Urban,Male,2,One,AB,Completed high School,Others,Retired - voluntary scholarspensioners,C2,"K 3,891  -  K 4,627",Yes,45+,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,"
10:15  -  10:29,60558639,Lusaka,Lusaka,Urban,Male,2,One,AB,Completed high School,Others,Retired - voluntary scholarspensioners,C2,"K 3,891  -  K 4,627",Yes,45+,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,"
10:45  -  10:59,60558639,Lusaka,Lusaka,Urban,Male,2,One,AB,Completed high School,Others,Retired - voluntary scholarspensioners,C2,"K 3,891  -  K 4,627",Yes,45+,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,"
10:30  -  10:44,60558639,Lusaka,Lusaka,Urban,Male,2,One,AB,Completed high School,Others,Retired - voluntary scholarspensioners,C2,"K 3,891  -  K 4,627",Yes,45+,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,"
11:15  -  11:29,60558639,Lusaka,Lusaka,Urban,Male,2,One,AB,Completed high School,Others,Retired - voluntary scholarspensioners,C2,"K 3,891  -  K 4,627",Yes,45+,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,"
11:45  -  11:59,60558639,Lusaka,Lusaka,Urban,Male,2,One,AB,Completed high School,Others,Retired - voluntary scholarspensioners,C2,"K 3,891  -  K 4,627",Yes,45+,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,"
11:00  -  11:14,60567584,Lusaka,Lusaka,Urban,Female,1,None,C1,Some primary school,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,,,,,,,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,"
9:30  -  9:44,60567584,Lusaka,Lusaka,Urban,Female,1,None,C1,Some primary school,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,,,,,,,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,"
14:30  -  14:44,60567584,Lusaka,Lusaka,Urban,Female,1,None,C1,Some primary school,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,,,,,,,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,"
12:30  -  12:44,60567584,Lusaka,Lusaka,Urban,Female,1,None,C1,Some primary school,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,,,,,,,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,"
10:30  -  10:44,60567584,Lusaka,Lusaka,Urban,Female,1,None,C1,Some primary school,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,,,,,,,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,"
11:15  -  11:29,60567584,Lusaka,Lusaka,Urban,Female,1,None,C1,Some primary school,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,,,,,,,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,"
13:00  -  13:14,60567584,Lusaka,Lusaka,Urban,Female,1,None,C1,Some primary school,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,,,,,,,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,"
10:00  -  10:14,60567584,Lusaka,Lusaka,Urban,Female,1,None,C1,Some primary school,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,,,,,,,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,"
