Nakonde  Saturday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Nakonde  Saturday
4:15  -  4:29,134703442,Muchinga,Isoka,Rural,Male,1,,D,Secondary,Christian,Not employed,D,Under K 849,,25 – 34,"3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
5:00  -  5:14,134703442,Muchinga,Isoka,Rural,Male,1,,D,Secondary,Christian,Not employed,D,Under K 849,,25 – 34,"3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
16:30  -  16:44,134636632,Muchinga,Isoka,Rural,Female,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
16:15  -  16:29,134636632,Muchinga,Isoka,Rural,Female,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
8:15  -  8:29,134636632,Muchinga,Isoka,Rural,Female,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
8:00  -  8:14,134636632,Muchinga,Isoka,Rural,Female,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
8:30  -  8:44,134636632,Muchinga,Isoka,Rural,Female,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
16:00  -  16:14,134636632,Muchinga,Isoka,Rural,Female,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
8:45  -  8:59,134636632,Muchinga,Isoka,Rural,Female,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
16:45  -  16:59,134636632,Muchinga,Isoka,Rural,Female,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
4:00  -  4:14,134703439,Muchinga,Isoka,Rural,Female,1,,D,Secondary,Christian,Not employed,D,K 850-K 1674,,15 – 18,"3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
3:15  -  3:29,134703439,Muchinga,Isoka,Rural,Female,1,,D,Secondary,Christian,Not employed,D,K 850-K 1674,,15 – 18,"3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
3:45  -  3:59,134703439,Muchinga,Isoka,Rural,Female,1,,D,Secondary,Christian,Not employed,D,K 850-K 1674,,15 – 18,"3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
3:30  -  3:44,134703439,Muchinga,Isoka,Rural,Female,1,,D,Secondary,Christian,Not employed,D,K 850-K 1674,,15 – 18,"3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
4:30  -  4:44,134703439,Muchinga,Isoka,Rural,Female,1,,D,Secondary,Christian,Not employed,D,K 850-K 1674,,15 – 18,"3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
4:15  -  4:29,134703439,Muchinga,Isoka,Rural,Female,1,,D,Secondary,Christian,Not employed,D,K 850-K 1674,,15 – 18,"3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
7:30  -  7:44,134703443,Muchinga,Isoka,Rural,Female,1,,C2,Secondary,Christian,Not employed,C2,"K 4,628   -  K 5,364",,15 – 18,"7:30  -  7:44,7:45  -  7:59,10:00  -  10:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
10:00  -  10:14,134703443,Muchinga,Isoka,Rural,Female,1,,C2,Secondary,Christian,Not employed,C2,"K 4,628   -  K 5,364",,15 – 18,"7:30  -  7:44,7:45  -  7:59,10:00  -  10:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
7:45  -  7:59,134703443,Muchinga,Isoka,Rural,Female,1,,C2,Secondary,Christian,Not employed,C2,"K 4,628   -  K 5,364",,15 – 18,"7:30  -  7:44,7:45  -  7:59,10:00  -  10:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
9:30  -  9:44,134580901,Muchinga,Isoka,Rural,Male,1,,,Secondary,Christian,Not employed,,No Income,,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
9:15  -  9:29,134580901,Muchinga,Isoka,Rural,Male,1,,,Secondary,Christian,Not employed,,No Income,,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
9:00  -  9:14,134580901,Muchinga,Isoka,Rural,Male,1,,,Secondary,Christian,Not employed,,No Income,,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
8:15  -  8:29,134582831,Muchinga,Isoka,Rural,Male,1,,,Primary,Christian,Employed for cash,,No Income,,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
8:00  -  8:14,134582831,Muchinga,Isoka,Rural,Male,1,,,Primary,Christian,Employed for cash,,No Income,,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
9:00  -  9:14,134582831,Muchinga,Isoka,Rural,Male,1,,,Primary,Christian,Employed for cash,,No Income,,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
8:30  -  8:44,134582831,Muchinga,Isoka,Rural,Male,1,,,Primary,Christian,Employed for cash,,No Income,,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
8:45  -  8:59,134582831,Muchinga,Isoka,Rural,Male,1,,,Primary,Christian,Employed for cash,,No Income,,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
9:15  -  9:29,134582831,Muchinga,Isoka,Rural,Male,1,,,Primary,Christian,Employed for cash,,No Income,,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
9:30  -  9:44,134582831,Muchinga,Isoka,Rural,Male,1,,,Primary,Christian,Employed for cash,,No Income,,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
9:45  -  9:59,134582831,Muchinga,Isoka,Rural,Male,1,,,Primary,Christian,Employed for cash,,No Income,,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
14:45  -  14:59,134586978,Muchinga,Isoka,Rural,Female,1,,,Secondary,Christian,Not employed,,No Income,,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
14:00  -  14:14,134586978,Muchinga,Isoka,Rural,Female,1,,,Secondary,Christian,Not employed,,No Income,,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
14:30  -  14:44,134586978,Muchinga,Isoka,Rural,Female,1,,,Secondary,Christian,Not employed,,No Income,,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
14:15  -  14:29,134586978,Muchinga,Isoka,Rural,Female,1,,,Secondary,Christian,Not employed,,No Income,,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
18:00  -  18:14,134629117,Muchinga,Isoka,Rural,Female,1,,,Primary,Christian,Not employed,,No Income,,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
18:45  -  18:59,134629117,Muchinga,Isoka,Rural,Female,1,,,Primary,Christian,Not employed,,No Income,,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
17:45  -  17:59,134629117,Muchinga,Isoka,Rural,Female,1,,,Primary,Christian,Not employed,,No Income,,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
19:00  -  19:14,134629117,Muchinga,Isoka,Rural,Female,1,,,Primary,Christian,Not employed,,No Income,,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
19:15  -  19:29,134629117,Muchinga,Isoka,Rural,Female,1,,,Primary,Christian,Not employed,,No Income,,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
17:30  -  17:44,134629117,Muchinga,Isoka,Rural,Female,1,,,Primary,Christian,Not employed,,No Income,,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
17:15  -  17:29,134629117,Muchinga,Isoka,Rural,Female,1,,,Primary,Christian,Not employed,,No Income,,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
19:45  -  19:59,134629117,Muchinga,Isoka,Rural,Female,1,,,Primary,Christian,Not employed,,No Income,,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
