Radio Christian Voice  Friday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Radio Christian Voice  Friday
9:45  -  9:59,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,",9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
14:00  -  14:14,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,",9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
10:00  -  10:14,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,",9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
18:15  -  18:29,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,",9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
9:30  -  9:44,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,",9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
18:45  -  18:59,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,",9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
14:30  -  14:44,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,",9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
18:00  -  18:14,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,",9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
9:00  -  9:14,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,",9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
14:15  -  14:29,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,",9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
14:45  -  14:59,60560265,Copperbelt,Luanshya,Urban,Male,1,One,C1,University completed,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 11,262  -  K 14,631",Yes,45+,",9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
23:15  -  23:29,60563623,Central,Kapiri Mposhi,Urban,Female,1,None,C2,Any other post-high school qualification,Other Christian,Housewife,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
21:00  -  21:14,60563623,Central,Kapiri Mposhi,Urban,Female,1,None,C2,Any other post-high school qualification,Other Christian,Housewife,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
23:00  -  23:14,60563623,Central,Kapiri Mposhi,Urban,Female,1,None,C2,Any other post-high school qualification,Other Christian,Housewife,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
22:15  -  22:29,60563623,Central,Kapiri Mposhi,Urban,Female,1,None,C2,Any other post-high school qualification,Other Christian,Housewife,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
22:45  -  22:59,60563623,Central,Kapiri Mposhi,Urban,Female,1,None,C2,Any other post-high school qualification,Other Christian,Housewife,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
22:30  -  22:44,60563623,Central,Kapiri Mposhi,Urban,Female,1,None,C2,Any other post-high school qualification,Other Christian,Housewife,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
22:00  -  22:14,60563623,Central,Kapiri Mposhi,Urban,Female,1,None,C2,Any other post-high school qualification,Other Christian,Housewife,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
21:15  -  21:29,60563623,Central,Kapiri Mposhi,Urban,Female,1,None,C2,Any other post-high school qualification,Other Christian,Housewife,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
21:30  -  21:44,60563623,Central,Kapiri Mposhi,Urban,Female,1,None,C2,Any other post-high school qualification,Other Christian,Housewife,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
23:30  -  23:44,60563623,Central,Kapiri Mposhi,Urban,Female,1,None,C2,Any other post-high school qualification,Other Christian,Housewife,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
21:45  -  21:59,60563623,Central,Kapiri Mposhi,Urban,Female,1,None,C2,Any other post-high school qualification,Other Christian,Housewife,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
23:45  -  23:59,60563623,Central,Kapiri Mposhi,Urban,Female,1,None,C2,Any other post-high school qualification,Other Christian,Housewife,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
8:00  -  8:14,60563626,Central,Kapiri Mposhi,Urban,Male,1,None,C1,Some university,Other Christian,Self employed,C2,"K 4,628   -  K 5,364",Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29"
7:00  -  7:14,60563626,Central,Kapiri Mposhi,Urban,Male,1,None,C1,Some university,Other Christian,Self employed,C2,"K 4,628   -  K 5,364",Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29"
7:15  -  7:29,60563626,Central,Kapiri Mposhi,Urban,Male,1,None,C1,Some university,Other Christian,Self employed,C2,"K 4,628   -  K 5,364",Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29"
8:15  -  8:29,60563626,Central,Kapiri Mposhi,Urban,Male,1,None,C1,Some university,Other Christian,Self employed,C2,"K 4,628   -  K 5,364",Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29"
7:45  -  7:59,60563626,Central,Kapiri Mposhi,Urban,Male,1,None,C1,Some university,Other Christian,Self employed,C2,"K 4,628   -  K 5,364",Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29"
7:30  -  7:44,60563626,Central,Kapiri Mposhi,Urban,Male,1,None,C1,Some university,Other Christian,Self employed,C2,"K 4,628   -  K 5,364",Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29"
9:15  -  9:29,60583348,Lusaka,Kafue,Urban,Female,0,None,AB,Some university,Other Christian,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,",5:30  -  5:44,9:15  -  9:29"
5:30  -  5:44,60583348,Lusaka,Kafue,Urban,Female,0,None,AB,Some university,Other Christian,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,",5:30  -  5:44,9:15  -  9:29"
20:00  -  20:14,60585281,North-Western,Solwezi,Urban,Male,0,None,C2,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,35 – 44,",20:00  -  20:14,21:30  -  21:44"
21:30  -  21:44,60585281,North-Western,Solwezi,Urban,Male,0,None,C2,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,35 – 44,",20:00  -  20:14,21:30  -  21:44"
23:15  -  23:29,60612962,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,Do not know,Do not know,Yes,45+,",5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29"
5:45  -  5:59,60612962,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,Do not know,Do not know,Yes,45+,",5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29"
23:00  -  23:14,60612962,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,Do not know,Do not know,Yes,45+,",5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29"
22:15  -  22:29,60612962,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,Do not know,Do not know,Yes,45+,",5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29"
6:30  -  6:44,60612962,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,Do not know,Do not know,Yes,45+,",5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29"
6:00  -  6:14,60612962,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,Do not know,Do not know,Yes,45+,",5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29"
22:45  -  22:59,60612962,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,Do not know,Do not know,Yes,45+,",5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29"
22:30  -  22:44,60612962,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,Do not know,Do not know,Yes,45+,",5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29"
6:15  -  6:29,60612962,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,Do not know,Do not know,Yes,45+,",5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29"
5:30  -  5:44,60612962,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,Do not know,Do not know,Yes,45+,",5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29"
7:00  -  7:14,60618448,Southern,Livingstone,Urban,Female,1,One,AB,Some university,Other Christian,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,",6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
6:30  -  6:44,60618448,Southern,Livingstone,Urban,Female,1,One,AB,Some university,Other Christian,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,",6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
6:45  -  6:59,60618448,Southern,Livingstone,Urban,Female,1,One,AB,Some university,Other Christian,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,",6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
17:00  -  17:14,60634401,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Others,Student,C1,"K 14,632 -  K 17,499",Yes,15 – 18,",16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
16:00  -  16:14,60634401,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Others,Student,C1,"K 14,632 -  K 17,499",Yes,15 – 18,",16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
16:30  -  16:44,60634401,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Others,Student,C1,"K 14,632 -  K 17,499",Yes,15 – 18,",16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
16:15  -  16:29,60634401,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Others,Student,C1,"K 14,632 -  K 17,499",Yes,15 – 18,",16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
16:45  -  16:59,60634401,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Others,Student,C1,"K 14,632 -  K 17,499",Yes,15 – 18,",16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
8:00  -  8:14,60634402,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Others,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
7:00  -  7:14,60634402,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Others,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
6:30  -  6:44,60634402,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Others,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
6:00  -  6:14,60634402,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Others,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
6:45  -  6:59,60634402,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Others,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
7:15  -  7:29,60634402,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Others,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
7:30  -  7:44,60634402,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Others,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
7:45  -  7:59,60634402,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Others,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
6:15  -  6:29,60634402,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Others,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,",6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
0:45  -  0:59,60634404,Lusaka,Lusaka,Urban,Male,1,None,C1,Some primary school,Others,Unemployed [SEEKING A JOB],C2,"K 4,628   -  K 5,364",Yes,25 – 34,",20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14"
20:45  -  20:59,60634404,Lusaka,Lusaka,Urban,Male,1,None,C1,Some primary school,Others,Unemployed [SEEKING A JOB],C2,"K 4,628   -  K 5,364",Yes,25 – 34,",20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59,0:00  -  0:14,0:15  -  0:29,0:30  -  0:44,0:45  -  0:59,1:00  -  1:14"
