Evelyn  Tuesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Evelyn  Tuesday
10:30  -  10:44,60730749,Lusaka,Lusaka,Urban,Female,1,None,AB,Completed high School,Others,Self employed,C2,K 850-K 1674,Yes,25 – 34,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
9:15  -  9:29,60730749,Lusaka,Lusaka,Urban,Female,1,None,AB,Completed high School,Others,Self employed,C2,K 850-K 1674,Yes,25 – 34,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
8:45  -  8:59,60730749,Lusaka,Lusaka,Urban,Female,1,None,AB,Completed high School,Others,Self employed,C2,K 850-K 1674,Yes,25 – 34,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
10:00  -  10:14,60730749,Lusaka,Lusaka,Urban,Female,1,None,AB,Completed high School,Others,Self employed,C2,K 850-K 1674,Yes,25 – 34,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
14:30  -  14:44,60730749,Lusaka,Lusaka,Urban,Female,1,None,AB,Completed high School,Others,Self employed,C2,K 850-K 1674,Yes,25 – 34,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
9:00  -  9:14,60730749,Lusaka,Lusaka,Urban,Female,1,None,AB,Completed high School,Others,Self employed,C2,K 850-K 1674,Yes,25 – 34,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
7:30  -  7:44,60730749,Lusaka,Lusaka,Urban,Female,1,None,AB,Completed high School,Others,Self employed,C2,K 850-K 1674,Yes,25 – 34,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
14:15  -  14:29,60730749,Lusaka,Lusaka,Urban,Female,1,None,AB,Completed high School,Others,Self employed,C2,K 850-K 1674,Yes,25 – 34,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
10:15  -  10:29,60730749,Lusaka,Lusaka,Urban,Female,1,None,AB,Completed high School,Others,Self employed,C2,K 850-K 1674,Yes,25 – 34,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
6:30  -  6:44,60730749,Lusaka,Lusaka,Urban,Female,1,None,AB,Completed high School,Others,Self employed,C2,K 850-K 1674,Yes,25 – 34,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
7:15  -  7:29,60730749,Lusaka,Lusaka,Urban,Female,1,None,AB,Completed high School,Others,Self employed,C2,K 850-K 1674,Yes,25 – 34,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
9:30  -  9:44,60730749,Lusaka,Lusaka,Urban,Female,1,None,AB,Completed high School,Others,Self employed,C2,K 850-K 1674,Yes,25 – 34,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
8:30  -  8:44,60730749,Lusaka,Lusaka,Urban,Female,1,None,AB,Completed high School,Others,Self employed,C2,K 850-K 1674,Yes,25 – 34,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
9:45  -  9:59,60730749,Lusaka,Lusaka,Urban,Female,1,None,AB,Completed high School,Others,Self employed,C2,K 850-K 1674,Yes,25 – 34,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
14:00  -  14:14,60730749,Lusaka,Lusaka,Urban,Female,1,None,AB,Completed high School,Others,Self employed,C2,K 850-K 1674,Yes,25 – 34,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
7:00  -  7:14,60730749,Lusaka,Lusaka,Urban,Female,1,None,AB,Completed high School,Others,Self employed,C2,K 850-K 1674,Yes,25 – 34,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
8:15  -  8:29,60730749,Lusaka,Lusaka,Urban,Female,1,None,AB,Completed high School,Others,Self employed,C2,K 850-K 1674,Yes,25 – 34,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
