FCC Solwezi analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,FCC Solwezi
18:00  -  18:14,60540117,North-Western,Solwezi,Rural,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Housewife,D,K 850-K 1674,Yes,25 – 34,",,,,,18:00  -  18:14,22:45  -  22:59,,"
22:45  -  22:59,60540117,North-Western,Solwezi,Rural,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Housewife,D,K 850-K 1674,Yes,25 – 34,",,,,,18:00  -  18:14,22:45  -  22:59,,"
18:00  -  18:14,60540120,North-Western,Solwezi,Urban,Female,1,None,AB,University completed,Seventh Day Adventists,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,19 – 24,",,,,18:00  -  18:14,19:00  -  19:14,,,"
19:00  -  19:14,60540120,North-Western,Solwezi,Urban,Female,1,None,AB,University completed,Seventh Day Adventists,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,19 – 24,",,,,18:00  -  18:14,19:00  -  19:14,,,"
12:00  -  12:14,60540121,North-Western,Solwezi,Urban,Female,1,None,AB,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],C1,"K 7,893 -  K 11,261",Yes,25 – 34,"12:00  -  12:14,13:00  -  13:14,,,,,,,"
13:00  -  13:14,60540121,North-Western,Solwezi,Urban,Female,1,None,AB,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],C1,"K 7,893 -  K 11,261",Yes,25 – 34,"12:00  -  12:14,13:00  -  13:14,,,,,,,"
7:00  -  7:14,60540122,North-Western,Solwezi,Urban,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,45+,"7:00  -  7:14,8:00  -  8:14,,,,,,,"
8:00  -  8:14,60540122,North-Western,Solwezi,Urban,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,45+,"7:00  -  7:14,8:00  -  8:14,,,,,,,"
9:00  -  9:14,60540123,North-Western,Solwezi,Rural,Male,1,None,C1,Some high school,Other Christian,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"5:00  -  5:14,9:00  -  9:14,,,,,,,"
5:00  -  5:14,60540123,North-Western,Solwezi,Rural,Male,1,None,C1,Some high school,Other Christian,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"5:00  -  5:14,9:00  -  9:14,,,,,,,"
7:00  -  7:14,60564875,North-Western,Solwezi,Urban,Male,1,Two or More,AB,Completed high School,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 6,103   -  K 7,892",Yes,45+,"7:00  -  7:14,9:00  -  9:14,,,,,,,"
9:00  -  9:14,60564875,North-Western,Solwezi,Urban,Male,1,Two or More,AB,Completed high School,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 6,103   -  K 7,892",Yes,45+,"7:00  -  7:14,9:00  -  9:14,,,,,,,"
9:00  -  9:14,60564876,North-Western,Solwezi,Urban,Male,1,None,C1,Any other post-high school qualification,Roman Catholic,Retired - voluntary scholarspensioners,C2,"K 3,891  -  K 4,627",Yes,45+,",,9:00  -  9:14,10:00  -  10:14,,,,,"
10:00  -  10:14,60564876,North-Western,Solwezi,Urban,Male,1,None,C1,Any other post-high school qualification,Roman Catholic,Retired - voluntary scholarspensioners,C2,"K 3,891  -  K 4,627",Yes,45+,",,9:00  -  9:14,10:00  -  10:14,,,,,"
17:00  -  17:14,60564877,North-Western,Solwezi,Urban,Female,1,Two or More,AB,Any other post-high school qualification,Seventh Day Adventists,Retired - voluntary scholarspensioners,C2,"K 4,628   -  K 5,364",Yes,45+,",,,,,17:00  -  17:14,19:00  -  19:14,,"
19:00  -  19:14,60564877,North-Western,Solwezi,Urban,Female,1,Two or More,AB,Any other post-high school qualification,Seventh Day Adventists,Retired - voluntary scholarspensioners,C2,"K 4,628   -  K 5,364",Yes,45+,",,,,,17:00  -  17:14,19:00  -  19:14,,"
6:00  -  6:14,60564879,North-Western,Solwezi,Urban,Male,1,None,AB,University completed,Roman Catholic,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"6:00  -  6:14,7:00  -  7:14,,,,,,,"
7:00  -  7:14,60564879,North-Western,Solwezi,Urban,Male,1,None,AB,University completed,Roman Catholic,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"6:00  -  6:14,7:00  -  7:14,,,,,,,"
20:00  -  20:14,60585281,North-Western,Solwezi,Urban,Male,0,None,C2,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,35 – 44,",,,,,,,20:00  -  20:14,23:00  -  23:14,"
23:00  -  23:14,60585281,North-Western,Solwezi,Urban,Male,0,None,C2,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,35 – 44,",,,,,,,20:00  -  20:14,23:00  -  23:14,"
7:30  -  7:44,60585282,North-Western,Solwezi,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,25 – 34,"7:00  -  7:14,7:30  -  7:44,,,,,,,"
7:00  -  7:14,60585282,North-Western,Solwezi,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,25 – 34,"7:00  -  7:14,7:30  -  7:44,,,,,,,"
21:00  -  21:14,60585284,North-Western,Solwezi,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,"20:00  -  20:14,21:00  -  21:14,,,,,,,"
20:00  -  20:14,60585284,North-Western,Solwezi,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,"20:00  -  20:14,21:00  -  21:14,,,,,,,"
10:00  -  10:14,60585285,North-Western,Solwezi,Urban,Male,1,None,C2,Some high school,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,",,,,,,,10:00  -  10:14,"
18:00  -  18:14,60585286,North-Western,Solwezi,Urban,Male,1,None,AB,Any other post-high school qualification,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,"17:00  -  17:14,18:00  -  18:14,,,,,,,"
17:00  -  17:14,60585286,North-Western,Solwezi,Urban,Male,1,None,AB,Any other post-high school qualification,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,"17:00  -  17:14,18:00  -  18:14,,,,,,,"
18:00  -  18:14,60613041,North-Western,Solwezi,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,19 – 24,"15:00  -  15:14,18:00  -  18:14,,,,,,,"
15:00  -  15:14,60613041,North-Western,Solwezi,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,19 – 24,"15:00  -  15:14,18:00  -  18:14,,,,,,,"
6:00  -  6:14,60613042,North-Western,Solwezi,Urban,Male,1,None,C1,Any other post-high school qualification,Other Christian,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,45+,",,,,,,,6:00  -  6:14,7:00  -  7:14"
7:00  -  7:14,60613042,North-Western,Solwezi,Urban,Male,1,None,C1,Any other post-high school qualification,Other Christian,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,45+,",,,,,,,6:00  -  6:14,7:00  -  7:14"
7:00  -  7:14,60613043,North-Western,Solwezi,Urban,Male,1,One,AB,Any other post-high school qualification,Other Christian,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,",,,,,,,7:00  -  7:14"
16:00  -  16:14,60613045,North-Western,Solwezi,Urban,Male,1,Two or More,AB,University completed,Other Christian,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,",,,,,,,16:00  -  16:14,18:00  -  18:14,"
18:00  -  18:14,60613045,North-Western,Solwezi,Urban,Male,1,Two or More,AB,University completed,Other Christian,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,",,,,,,,16:00  -  16:14,18:00  -  18:14,"
11:00  -  11:14,60613046,North-Western,Solwezi,Rural,Male,1,None,D,Some high school,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,",,,,,,,9:00  -  9:14,11:00  -  11:14"
9:00  -  9:14,60613046,North-Western,Solwezi,Rural,Male,1,None,D,Some high school,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,",,,,,,,9:00  -  9:14,11:00  -  11:14"
16:00  -  16:14,60650483,North-Western,Solwezi,Rural,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,"16:00  -  16:14,17:00  -  17:14,,,,,,,"
17:00  -  17:14,60650483,North-Western,Solwezi,Rural,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,"16:00  -  16:14,17:00  -  17:14,,,,,,,"
17:00  -  17:14,60650484,North-Western,Solwezi,Urban,Male,1,None,AB,Completed high School,Seventh Day Adventists,Working Full-Time,C2,"K 3,891  -  K 4,627",Yes,25 – 34,",17:00  -  17:14,,,,,,"
12:00  -  12:14,60720614,North-Western,Solwezi,Rural,Male,1,None,C2,Some high school,Other Christian,Student,C2,"K 1675- K2,499",No,19 – 24,",10:00  -  10:14,12:00  -  12:14,,,,,,"
10:00  -  10:14,60720614,North-Western,Solwezi,Rural,Male,1,None,C2,Some high school,Other Christian,Student,C2,"K 1675- K2,499",No,19 – 24,",10:00  -  10:14,12:00  -  12:14,,,,,,"
21:00  -  21:14,60720615,North-Western,Solwezi,Rural,Male,1,None,C2,Primary school completed,Anglican/Protestant,Retired - voluntary scholarspensioners,C2,"K 2,500   -  K 3,154",No,45+,"21:00  -  21:14,23:00  -  23:14,,,,,,,"
23:00  -  23:14,60720615,North-Western,Solwezi,Rural,Male,1,None,C2,Primary school completed,Anglican/Protestant,Retired - voluntary scholarspensioners,C2,"K 2,500   -  K 3,154",No,45+,"21:00  -  21:14,23:00  -  23:14,,,,,,,"
17:00  -  17:14,60720618,North-Western,Solwezi,Rural,Male,1,None,C2,Completed high School,Other Christian,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"17:00  -  17:14,19:00  -  19:14,,,,,,,"
19:00  -  19:14,60720618,North-Western,Solwezi,Rural,Male,1,None,C2,Completed high School,Other Christian,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"17:00  -  17:14,19:00  -  19:14,,,,,,,"
20:00  -  20:14,60720619,North-Western,Solwezi,Rural,Female,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,"20:00  -  20:14,22:00  -  22:14,,,,,,,"
22:00  -  22:14,60720619,North-Western,Solwezi,Rural,Female,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,"20:00  -  20:14,22:00  -  22:14,,,,,,,"
17:00  -  17:14,60720620,North-Western,Solwezi,Rural,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,891  -  K 4,627",No,25 – 34,"17:00  -  17:14,19:00  -  19:14,,,,,,,"
19:00  -  19:14,60720620,North-Western,Solwezi,Rural,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,891  -  K 4,627",No,25 – 34,"17:00  -  17:14,19:00  -  19:14,,,,,,,"
17:00  -  17:14,60720621,North-Western,Solwezi,Rural,Male,1,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,K 850-K 1674,No,19 – 24,"17:00  -  17:14,19:00  -  19:14,,,,,,,"
19:00  -  19:14,60720621,North-Western,Solwezi,Rural,Male,1,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,K 850-K 1674,No,19 – 24,"17:00  -  17:14,19:00  -  19:14,,,,,,,"
7:00  -  7:14,60757631,North-Western,Solwezi,Rural,Male,0,None,C2,Primary school completed,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,No,25 – 34,"7:00  -  7:14,9:00  -  9:14,,,,,,,"
9:00  -  9:14,60757631,North-Western,Solwezi,Rural,Male,0,None,C2,Primary school completed,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,No,25 – 34,"7:00  -  7:14,9:00  -  9:14,,,,,,,"
17:00  -  17:14,60757635,North-Western,Solwezi,Rural,Male,1,None,C2,Some high school,Other Christian,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,",,,17:00  -  17:14,18:30  -  18:44,,,,"
18:30  -  18:44,60757635,North-Western,Solwezi,Rural,Male,1,None,C2,Some high school,Other Christian,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,",,,17:00  -  17:14,18:30  -  18:44,,,,"
9:00  -  9:14,60845875,North-Western,Solwezi,Urban,Male,1,None,C1,University completed,Other Christian,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,25 – 34,"9:00  -  9:14,10:00  -  10:14,,,,,,,"
10:00  -  10:14,60845875,North-Western,Solwezi,Urban,Male,1,None,C1,University completed,Other Christian,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,25 – 34,"9:00  -  9:14,10:00  -  10:14,,,,,,,"
12:00  -  12:14,60845876,North-Western,Solwezi,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,"10:00  -  10:14,12:00  -  12:14,,,,,,,"
10:00  -  10:14,60845876,North-Western,Solwezi,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,"10:00  -  10:14,12:00  -  12:14,,,,,,,"
7:00  -  7:14,60845877,North-Western,Solwezi,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 3,891  -  K 4,627",Yes,25 – 34,",,,,,7:00  -  7:14,8:30  -  8:44,,"
8:30  -  8:44,60845877,North-Western,Solwezi,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 3,891  -  K 4,627",Yes,25 – 34,",,,,,7:00  -  7:14,8:30  -  8:44,,"
6:00  -  6:14,60845879,North-Western,Solwezi,Urban,Female,1,One,AB,University completed,Seventh Day Adventists,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,25 – 34,"6:00  -  6:14,7:00  -  7:14,,,,,,,"
7:00  -  7:14,60845879,North-Western,Solwezi,Urban,Female,1,One,AB,University completed,Seventh Day Adventists,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,25 – 34,"6:00  -  6:14,7:00  -  7:14,,,,,,,"
6:00  -  6:14,60845880,North-Western,Solwezi,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 3,891  -  K 4,627",Yes,25 – 34,"6:00  -  6:14,8:00  -  8:14,,,,,,,"
8:00  -  8:14,60845880,North-Western,Solwezi,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,C2,"K 3,891  -  K 4,627",Yes,25 – 34,"6:00  -  6:14,8:00  -  8:14,,,,,,,"
18:00  -  18:14,60845883,North-Western,Solwezi,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C1,Under K 849,Yes,25 – 34,",,,17:00  -  17:14,18:00  -  18:14,,,,"
17:00  -  17:14,60845883,North-Western,Solwezi,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C1,Under K 849,Yes,25 – 34,",,,17:00  -  17:14,18:00  -  18:14,,,,"
7:45  -  7:59,82091970,North-Western,Solwezi,Urban,Male,1,None,C1,Some high school,Other Christian,Self employed,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"7:00  -  7:14,7:45  -  7:59,9:00  -  9:14,10:00  -  10:14,7:00  -  7:14,7:45  -  7:59,9:00  -  9:14,10:00  -  10:14,7:00  -  7:14,7:45  -  7:59,9:00  -  9:14,10:00  -  10:14,7:00  -  7:14,7:45  -  7:59,9:00  -  9:14,10:00  -  10:14,7:00  -  7:14,7:45  -  7:59,9:00  -  9:14,10:00  -  10:14,7:00  -  7:14,7:45  -  7:59,9:00  -  9:14,10:00  -  10:14,,7:00  -  7:14,7:45  -  7:59,9:00  -  9:14,10:00  -  10:14,7:00  -  7:14,7:45  -  7:59,9:00  -  9:14,10:00  -  10:14"
7:00  -  7:14,82091970,North-Western,Solwezi,Urban,Male,1,None,C1,Some high school,Other Christian,Self employed,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"7:00  -  7:14,7:45  -  7:59,9:00  -  9:14,10:00  -  10:14,7:00  -  7:14,7:45  -  7:59,9:00  -  9:14,10:00  -  10:14,7:00  -  7:14,7:45  -  7:59,9:00  -  9:14,10:00  -  10:14,7:00  -  7:14,7:45  -  7:59,9:00  -  9:14,10:00  -  10:14,7:00  -  7:14,7:45  -  7:59,9:00  -  9:14,10:00  -  10:14,7:00  -  7:14,7:45  -  7:59,9:00  -  9:14,10:00  -  10:14,,7:00  -  7:14,7:45  -  7:59,9:00  -  9:14,10:00  -  10:14,7:00  -  7:14,7:45  -  7:59,9:00  -  9:14,10:00  -  10:14"
9:00  -  9:14,82091970,North-Western,Solwezi,Urban,Male,1,None,C1,Some high school,Other Christian,Self employed,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"7:00  -  7:14,7:45  -  7:59,9:00  -  9:14,10:00  -  10:14,7:00  -  7:14,7:45  -  7:59,9:00  -  9:14,10:00  -  10:14,7:00  -  7:14,7:45  -  7:59,9:00  -  9:14,10:00  -  10:14,7:00  -  7:14,7:45  -  7:59,9:00  -  9:14,10:00  -  10:14,7:00  -  7:14,7:45  -  7:59,9:00  -  9:14,10:00  -  10:14,7:00  -  7:14,7:45  -  7:59,9:00  -  9:14,10:00  -  10:14,,7:00  -  7:14,7:45  -  7:59,9:00  -  9:14,10:00  -  10:14,7:00  -  7:14,7:45  -  7:59,9:00  -  9:14,10:00  -  10:14"
10:00  -  10:14,82091970,North-Western,Solwezi,Urban,Male,1,None,C1,Some high school,Other Christian,Self employed,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"7:00  -  7:14,7:45  -  7:59,9:00  -  9:14,10:00  -  10:14,7:00  -  7:14,7:45  -  7:59,9:00  -  9:14,10:00  -  10:14,7:00  -  7:14,7:45  -  7:59,9:00  -  9:14,10:00  -  10:14,7:00  -  7:14,7:45  -  7:59,9:00  -  9:14,10:00  -  10:14,7:00  -  7:14,7:45  -  7:59,9:00  -  9:14,10:00  -  10:14,7:00  -  7:14,7:45  -  7:59,9:00  -  9:14,10:00  -  10:14,,7:00  -  7:14,7:45  -  7:59,9:00  -  9:14,10:00  -  10:14,7:00  -  7:14,7:45  -  7:59,9:00  -  9:14,10:00  -  10:14"
20:30  -  20:44,82108125,North-Western,Solwezi,Urban,Female,0,None,D,Some primary school,Other Christian,Do odd jobs or piece work,D,Under K 849,Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:45  -  20:59,82108125,North-Western,Solwezi,Urban,Female,0,None,D,Some primary school,Other Christian,Do odd jobs or piece work,D,Under K 849,Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:00  -  20:14,82108125,North-Western,Solwezi,Urban,Female,0,None,D,Some primary school,Other Christian,Do odd jobs or piece work,D,Under K 849,Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:15  -  20:29,82108125,North-Western,Solwezi,Urban,Female,0,None,D,Some primary school,Other Christian,Do odd jobs or piece work,D,Under K 849,Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
7:15  -  7:29,82111073,North-Western,Solwezi,Urban,Female,1,None,C1,Some high school,Other Christian,A housewife/househusband,C1,"K 2,500   -  K 3,154",Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29"
7:45  -  7:59,82111073,North-Western,Solwezi,Urban,Female,1,None,C1,Some high school,Other Christian,A housewife/househusband,C1,"K 2,500   -  K 3,154",Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,10:00  -  10:14,10:15  -  10:29"
