Hot  Tuesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Hot  Tuesday
6:45  -  6:59,60585748,Lusaka,Lusaka,Urban,Male,1,One,AB,Completed high School,Roman Catholic,Self employed,D,"K 1675- K2,499",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
7:15  -  7:29,60585748,Lusaka,Lusaka,Urban,Male,1,One,AB,Completed high School,Roman Catholic,Self employed,D,"K 1675- K2,499",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
7:30  -  7:44,60585748,Lusaka,Lusaka,Urban,Male,1,One,AB,Completed high School,Roman Catholic,Self employed,D,"K 1675- K2,499",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
7:45  -  7:59,60585748,Lusaka,Lusaka,Urban,Male,1,One,AB,Completed high School,Roman Catholic,Self employed,D,"K 1675- K2,499",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
8:15  -  8:29,60585748,Lusaka,Lusaka,Urban,Male,1,One,AB,Completed high School,Roman Catholic,Self employed,D,"K 1675- K2,499",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
8:30  -  8:44,60585748,Lusaka,Lusaka,Urban,Male,1,One,AB,Completed high School,Roman Catholic,Self employed,D,"K 1675- K2,499",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
8:45  -  8:59,60585748,Lusaka,Lusaka,Urban,Male,1,One,AB,Completed high School,Roman Catholic,Self employed,D,"K 1675- K2,499",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
9:30  -  9:44,60585748,Lusaka,Lusaka,Urban,Male,1,One,AB,Completed high School,Roman Catholic,Self employed,D,"K 1675- K2,499",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
9:00  -  9:14,60585748,Lusaka,Lusaka,Urban,Male,1,One,AB,Completed high School,Roman Catholic,Self employed,D,"K 1675- K2,499",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
6:15  -  6:29,60585748,Lusaka,Lusaka,Urban,Male,1,One,AB,Completed high School,Roman Catholic,Self employed,D,"K 1675- K2,499",Yes,35 – 44,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
8:00  -  8:14,60595425,Lusaka,Lusaka,Urban,Male,1,None,AB,Some university,Roman Catholic,Unemployed [NOT SEEKING A JOB],C2,"K 1675- K2,499",Yes,25 – 34,"6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
7:00  -  7:14,60595425,Lusaka,Lusaka,Urban,Male,1,None,AB,Some university,Roman Catholic,Unemployed [NOT SEEKING A JOB],C2,"K 1675- K2,499",Yes,25 – 34,"6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
7:15  -  7:29,60595425,Lusaka,Lusaka,Urban,Male,1,None,AB,Some university,Roman Catholic,Unemployed [NOT SEEKING A JOB],C2,"K 1675- K2,499",Yes,25 – 34,"6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
6:45  -  6:59,60595425,Lusaka,Lusaka,Urban,Male,1,None,AB,Some university,Roman Catholic,Unemployed [NOT SEEKING A JOB],C2,"K 1675- K2,499",Yes,25 – 34,"6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
7:45  -  7:59,60595425,Lusaka,Lusaka,Urban,Male,1,None,AB,Some university,Roman Catholic,Unemployed [NOT SEEKING A JOB],C2,"K 1675- K2,499",Yes,25 – 34,"6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
7:30  -  7:44,60595425,Lusaka,Lusaka,Urban,Male,1,None,AB,Some university,Roman Catholic,Unemployed [NOT SEEKING A JOB],C2,"K 1675- K2,499",Yes,25 – 34,"6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14"
8:30  -  8:44,60689747,Lusaka,Lusaka,Urban,Female,1,None,AB,University completed,Other Christian,Unemployed [SEEKING A JOB],C1,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
8:00  -  8:14,60689747,Lusaka,Lusaka,Urban,Female,1,None,AB,University completed,Other Christian,Unemployed [SEEKING A JOB],C1,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
8:45  -  8:59,60689747,Lusaka,Lusaka,Urban,Female,1,None,AB,University completed,Other Christian,Unemployed [SEEKING A JOB],C1,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
8:15  -  8:29,60689747,Lusaka,Lusaka,Urban,Female,1,None,AB,University completed,Other Christian,Unemployed [SEEKING A JOB],C1,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
15:45  -  15:59,60689992,Lusaka,Lusaka,Urban,Female,1,None,AB,University completed,Other Christian,Unemployed [SEEKING A JOB],C1,"K 2,500   -  K 3,154",Yes,25 – 34,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
15:00  -  15:14,60689992,Lusaka,Lusaka,Urban,Female,1,None,AB,University completed,Other Christian,Unemployed [SEEKING A JOB],C1,"K 2,500   -  K 3,154",Yes,25 – 34,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
15:30  -  15:44,60689992,Lusaka,Lusaka,Urban,Female,1,None,AB,University completed,Other Christian,Unemployed [SEEKING A JOB],C1,"K 2,500   -  K 3,154",Yes,25 – 34,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
15:15  -  15:29,60689992,Lusaka,Lusaka,Urban,Female,1,None,AB,University completed,Other Christian,Unemployed [SEEKING A JOB],C1,"K 2,500   -  K 3,154",Yes,25 – 34,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
16:00  -  16:14,60689992,Lusaka,Lusaka,Urban,Female,1,None,AB,University completed,Other Christian,Unemployed [SEEKING A JOB],C1,"K 2,500   -  K 3,154",Yes,25 – 34,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
12:00  -  12:14,60730748,Lusaka,Lusaka,Urban,Male,3,Two or More,AB,Some university,Others,Student,C1,K 850-K 1674,Yes,19 – 24,"11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29"
11:30  -  11:44,60730748,Lusaka,Lusaka,Urban,Male,3,Two or More,AB,Some university,Others,Student,C1,K 850-K 1674,Yes,19 – 24,"11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29"
11:15  -  11:29,60730748,Lusaka,Lusaka,Urban,Male,3,Two or More,AB,Some university,Others,Student,C1,K 850-K 1674,Yes,19 – 24,"11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29"
12:15  -  12:29,60730748,Lusaka,Lusaka,Urban,Male,3,Two or More,AB,Some university,Others,Student,C1,K 850-K 1674,Yes,19 – 24,"11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29"
11:45  -  11:59,60730748,Lusaka,Lusaka,Urban,Male,3,Two or More,AB,Some university,Others,Student,C1,K 850-K 1674,Yes,19 – 24,"11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29"
8:00  -  8:14,135122213,Central,Kabwe,Urban,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
7:00  -  7:14,135122213,Central,Kabwe,Urban,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
6:30  -  6:44,135122213,Central,Kabwe,Urban,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
6:00  -  6:14,135122213,Central,Kabwe,Urban,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
6:45  -  6:59,135122213,Central,Kabwe,Urban,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
7:15  -  7:29,135122213,Central,Kabwe,Urban,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
7:30  -  7:44,135122213,Central,Kabwe,Urban,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
7:45  -  7:59,135122213,Central,Kabwe,Urban,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
6:15  -  6:29,135122213,Central,Kabwe,Urban,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
