Icengelo  Wednesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Icengelo  Wednesday
19:30  -  19:44,60554971,Copperbelt,Chingola,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C1,"K 6,103   -  K 7,892",Yes,45+,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
6:00  -  6:14,60555743,Copperbelt,Kitwe,Urban,Male,3,One,AB,Some university,Anglican/Protestant,Unemployed [SEEKING A JOB],C1,No Income,Yes,19 – 24,"6:00  -  6:14,22:00  -  22:14"
22:00  -  22:14,60555743,Copperbelt,Kitwe,Urban,Male,3,One,AB,Some university,Anglican/Protestant,Unemployed [SEEKING A JOB],C1,No Income,Yes,19 – 24,"6:00  -  6:14,22:00  -  22:14"
21:30  -  21:44,60558612,Copperbelt,Kitwe,Urban,Female,2,One,C1,Completed high School,Roman Catholic,Working Part-Time,C1,"K 2,500   -  K 3,154",Yes,45+,"21:30  -  21:44,21:45  -  21:59"
21:45  -  21:59,60558612,Copperbelt,Kitwe,Urban,Female,2,One,C1,Completed high School,Roman Catholic,Working Part-Time,C1,"K 2,500   -  K 3,154",Yes,45+,"21:30  -  21:44,21:45  -  21:59"
20:45  -  20:59,60559081,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,Yes,19 – 24,"20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
21:00  -  21:14,60559081,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,Yes,19 – 24,"20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
20:30  -  20:44,60559081,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,Yes,19 – 24,"20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
21:15  -  21:29,60559081,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,Yes,19 – 24,"20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
17:00  -  17:14,60578498,Copperbelt,Chingola,Rural,Female,1,None,C2,Some high school,Anglican/Protestant,Working Full-Time,Do not know,Under K 849,No,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
19:00  -  19:14,60578498,Copperbelt,Chingola,Rural,Female,1,None,C2,Some high school,Anglican/Protestant,Working Full-Time,Do not know,Under K 849,No,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
19:45  -  19:59,60578498,Copperbelt,Chingola,Rural,Female,1,None,C2,Some high school,Anglican/Protestant,Working Full-Time,Do not know,Under K 849,No,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
17:45  -  17:59,60578498,Copperbelt,Chingola,Rural,Female,1,None,C2,Some high school,Anglican/Protestant,Working Full-Time,Do not know,Under K 849,No,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
17:30  -  17:44,60578498,Copperbelt,Chingola,Rural,Female,1,None,C2,Some high school,Anglican/Protestant,Working Full-Time,Do not know,Under K 849,No,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
18:00  -  18:14,60578498,Copperbelt,Chingola,Rural,Female,1,None,C2,Some high school,Anglican/Protestant,Working Full-Time,Do not know,Under K 849,No,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
19:30  -  19:44,60578498,Copperbelt,Chingola,Rural,Female,1,None,C2,Some high school,Anglican/Protestant,Working Full-Time,Do not know,Under K 849,No,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
18:15  -  18:29,60578498,Copperbelt,Chingola,Rural,Female,1,None,C2,Some high school,Anglican/Protestant,Working Full-Time,Do not know,Under K 849,No,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
18:30  -  18:44,60578498,Copperbelt,Chingola,Rural,Female,1,None,C2,Some high school,Anglican/Protestant,Working Full-Time,Do not know,Under K 849,No,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
19:15  -  19:29,60578498,Copperbelt,Chingola,Rural,Female,1,None,C2,Some high school,Anglican/Protestant,Working Full-Time,Do not know,Under K 849,No,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
20:00  -  20:14,60578498,Copperbelt,Chingola,Rural,Female,1,None,C2,Some high school,Anglican/Protestant,Working Full-Time,Do not know,Under K 849,No,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
17:15  -  17:29,60578498,Copperbelt,Chingola,Rural,Female,1,None,C2,Some high school,Anglican/Protestant,Working Full-Time,Do not know,Under K 849,No,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
18:45  -  18:59,60578498,Copperbelt,Chingola,Rural,Female,1,None,C2,Some high school,Anglican/Protestant,Working Full-Time,Do not know,Under K 849,No,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
13:45  -  13:59,60583047,Copperbelt,Kitwe,Urban,Male,3,None,AB,Completed high School,Roman Catholic,Working Full-Time,C2,"K 35,000    -  K 36,428",Yes,25 – 34,"13:00  -  13:14,13:45  -  13:59"
13:00  -  13:14,60583047,Copperbelt,Kitwe,Urban,Male,3,None,AB,Completed high School,Roman Catholic,Working Full-Time,C2,"K 35,000    -  K 36,428",Yes,25 – 34,"13:00  -  13:14,13:45  -  13:59"
21:00  -  21:14,60587930,Copperbelt,Kitwe,Urban,Female,2,One,AB,Completed high School,Roman Catholic,Self employed,C1,"K 3,155   -  K 3,890",Yes,35 – 44,21:00  -  21:14
20:45  -  20:59,60600992,Copperbelt,Kitwe,Urban,Female,1,None,C2,Primary school completed,Roman Catholic,Student,D,Under K 849,Yes,19 – 24,"20:30  -  20:44,20:45  -  20:59"
20:30  -  20:44,60600992,Copperbelt,Kitwe,Urban,Female,1,None,C2,Primary school completed,Roman Catholic,Student,D,Under K 849,Yes,19 – 24,"20:30  -  20:44,20:45  -  20:59"
20:30  -  20:44,60602800,Copperbelt,Kitwe,Urban,Female,2,One,C1,Some high school,Roman Catholic,Working Full-Time,C2,"K 5,365  -  K 6,102",Yes,35 – 44,20:30  -  20:44
21:45  -  21:59,60605691,Copperbelt,Chingola,Rural,Male,0,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,K 850-K 1674,Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
21:00  -  21:14,60605691,Copperbelt,Chingola,Rural,Male,0,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,K 850-K 1674,Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
21:30  -  21:44,60605691,Copperbelt,Chingola,Rural,Male,0,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,K 850-K 1674,Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
21:15  -  21:29,60605691,Copperbelt,Chingola,Rural,Male,0,None,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,K 850-K 1674,Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
21:00  -  21:14,60607297,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
20:30  -  20:44,60607297,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
21:30  -  21:44,60607297,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
21:45  -  21:59,60607297,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
20:45  -  20:59,60607297,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
20:15  -  20:29,60607297,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
20:00  -  20:14,60607297,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
22:00  -  22:14,60607297,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
21:15  -  21:29,60607297,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
21:00  -  21:14,60608390,Copperbelt,Ndola,Urban,Female,0,None,C1,Completed high School,Roman Catholic,Self employed,C1,"K 5,365  -  K 6,102",Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
20:30  -  20:44,60608390,Copperbelt,Ndola,Urban,Female,0,None,C1,Completed high School,Roman Catholic,Self employed,C1,"K 5,365  -  K 6,102",Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
21:30  -  21:44,60608390,Copperbelt,Ndola,Urban,Female,0,None,C1,Completed high School,Roman Catholic,Self employed,C1,"K 5,365  -  K 6,102",Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
22:45  -  22:59,60608390,Copperbelt,Ndola,Urban,Female,0,None,C1,Completed high School,Roman Catholic,Self employed,C1,"K 5,365  -  K 6,102",Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
21:45  -  21:59,60608390,Copperbelt,Ndola,Urban,Female,0,None,C1,Completed high School,Roman Catholic,Self employed,C1,"K 5,365  -  K 6,102",Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
20:45  -  20:59,60608390,Copperbelt,Ndola,Urban,Female,0,None,C1,Completed high School,Roman Catholic,Self employed,C1,"K 5,365  -  K 6,102",Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
22:15  -  22:29,60608390,Copperbelt,Ndola,Urban,Female,0,None,C1,Completed high School,Roman Catholic,Self employed,C1,"K 5,365  -  K 6,102",Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
23:00  -  23:14,60608390,Copperbelt,Ndola,Urban,Female,0,None,C1,Completed high School,Roman Catholic,Self employed,C1,"K 5,365  -  K 6,102",Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
20:15  -  20:29,60608390,Copperbelt,Ndola,Urban,Female,0,None,C1,Completed high School,Roman Catholic,Self employed,C1,"K 5,365  -  K 6,102",Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
20:00  -  20:14,60608390,Copperbelt,Ndola,Urban,Female,0,None,C1,Completed high School,Roman Catholic,Self employed,C1,"K 5,365  -  K 6,102",Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
22:00  -  22:14,60608390,Copperbelt,Ndola,Urban,Female,0,None,C1,Completed high School,Roman Catholic,Self employed,C1,"K 5,365  -  K 6,102",Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
22:30  -  22:44,60608390,Copperbelt,Ndola,Urban,Female,0,None,C1,Completed high School,Roman Catholic,Self employed,C1,"K 5,365  -  K 6,102",Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
21:15  -  21:29,60608390,Copperbelt,Ndola,Urban,Female,0,None,C1,Completed high School,Roman Catholic,Self employed,C1,"K 5,365  -  K 6,102",Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
6:00  -  6:14,60633132,Copperbelt,Kalulushi,Urban,Female,1,None,C1,Don’t know (DON’T READ),Other Christian,Self employed,C2,"K 6,103   -  K 7,892",Yes,35 – 44,6:00  -  6:14
6:15  -  6:29,60650160,Copperbelt,Chilililabombwe,Urban,Female,1,One,AB,University completed,Other Christian,Student,Do not know,No Income,Yes,19 – 24,"6:15  -  6:29,7:15  -  7:29"
7:15  -  7:29,60650160,Copperbelt,Chilililabombwe,Urban,Female,1,One,AB,University completed,Other Christian,Student,Do not know,No Income,Yes,19 – 24,"6:15  -  6:29,7:15  -  7:29"
19:00  -  19:14,60669406,Copperbelt,Kalulushi,Urban,Female,1,None,C2,Don’t know (DON’T READ),Other Christian,Self employed,C2,"K 2,500   -  K 3,154",Yes,35 – 44,19:00  -  19:14
21:00  -  21:14,60677791,Copperbelt,Luanshya,Rural,Female,0,None,C2,Some high school,Orthodox,Self employed,D,"K 1675- K2,499",Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
21:30  -  21:44,60677791,Copperbelt,Luanshya,Rural,Female,0,None,C2,Some high school,Orthodox,Self employed,D,"K 1675- K2,499",Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
21:45  -  21:59,60677791,Copperbelt,Luanshya,Rural,Female,0,None,C2,Some high school,Orthodox,Self employed,D,"K 1675- K2,499",Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
22:15  -  22:29,60677791,Copperbelt,Luanshya,Rural,Female,0,None,C2,Some high school,Orthodox,Self employed,D,"K 1675- K2,499",Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
22:00  -  22:14,60677791,Copperbelt,Luanshya,Rural,Female,0,None,C2,Some high school,Orthodox,Self employed,D,"K 1675- K2,499",Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
21:15  -  21:29,60677791,Copperbelt,Luanshya,Rural,Female,0,None,C2,Some high school,Orthodox,Self employed,D,"K 1675- K2,499",Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29"
18:30  -  18:44,60703098,Copperbelt,Kalulushi,Rural,Female,1,None,C2,Don’t know (DON’T READ),Other Christian,Housewife,D,Under K 849,Yes,35 – 44,18:30  -  18:44
21:00  -  21:14,60713030,Copperbelt,Kitwe,Urban,Female,2,None,C1,Completed high School,Roman Catholic,Student,C2,K 850-K 1674,Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
19:45  -  19:59,60713030,Copperbelt,Kitwe,Urban,Female,2,None,C1,Completed high School,Roman Catholic,Student,C2,K 850-K 1674,Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
19:00  -  19:14,60713030,Copperbelt,Kitwe,Urban,Female,2,None,C1,Completed high School,Roman Catholic,Student,C2,K 850-K 1674,Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
20:30  -  20:44,60713030,Copperbelt,Kitwe,Urban,Female,2,None,C1,Completed high School,Roman Catholic,Student,C2,K 850-K 1674,Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
21:30  -  21:44,60713030,Copperbelt,Kitwe,Urban,Female,2,None,C1,Completed high School,Roman Catholic,Student,C2,K 850-K 1674,Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
21:45  -  21:59,60713030,Copperbelt,Kitwe,Urban,Female,2,None,C1,Completed high School,Roman Catholic,Student,C2,K 850-K 1674,Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
20:45  -  20:59,60713030,Copperbelt,Kitwe,Urban,Female,2,None,C1,Completed high School,Roman Catholic,Student,C2,K 850-K 1674,Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
19:15  -  19:29,60713030,Copperbelt,Kitwe,Urban,Female,2,None,C1,Completed high School,Roman Catholic,Student,C2,K 850-K 1674,Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
