Hot analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Hot
14:45  -  14:59,60492139,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Housewife,D,Under K 849,Yes,19 – 24,",,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,,,,,"
15:45  -  15:59,60492139,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Housewife,D,Under K 849,Yes,19 – 24,",,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,,,,,"
16:30  -  16:44,60492139,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Housewife,D,Under K 849,Yes,19 – 24,",,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,,,,,"
20:15  -  20:29,60492140,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,",,,,,,,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
19:30  -  19:44,60492140,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,",,,,,,,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
20:00  -  20:14,60492140,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,",,,,,,,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
18:30  -  18:44,60492140,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,",,,,,,,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
18:15  -  18:29,60492140,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,",,,,,,,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
18:45  -  18:59,60492140,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,",,,,,,,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
19:45  -  19:59,60492140,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,",,,,,,,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
20:30  -  20:44,60492140,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,",,,,,,,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
19:00  -  19:14,60492140,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,",,,,,,,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
18:00  -  18:14,60492140,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,",,,,,,,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
19:15  -  19:29,60492140,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,",,,,,,,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
8:45  -  8:59,60492141,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,25 – 34,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,,,,,,"
7:15  -  7:29,60492141,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,25 – 34,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,,,,,,"
7:45  -  7:59,60492141,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,25 – 34,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,,,,,,"
8:15  -  8:29,60492141,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,25 – 34,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,,,,,,"
7:30  -  7:44,60492141,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,25 – 34,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,,,,,,"
7:00  -  7:14,60492141,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,25 – 34,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,,,,,,"
8:00  -  8:14,60492141,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,25 – 34,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,,,,,,"
8:30  -  8:44,60492141,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,25 – 34,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,,,,,,"
21:00  -  21:14,60492142,Lusaka,Lusaka,Urban,Male,1,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,",,,,,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,"
9:30  -  9:44,60492142,Lusaka,Lusaka,Urban,Male,1,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,",,,,,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,"
20:15  -  20:29,60492142,Lusaka,Lusaka,Urban,Male,1,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,",,,,,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,"
9:45  -  9:59,60492142,Lusaka,Lusaka,Urban,Male,1,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,",,,,,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,"
20:00  -  20:14,60492142,Lusaka,Lusaka,Urban,Male,1,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,",,,,,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,"
10:00  -  10:14,60492142,Lusaka,Lusaka,Urban,Male,1,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,",,,,,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,"
20:45  -  20:59,60492142,Lusaka,Lusaka,Urban,Male,1,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,",,,,,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,"
20:30  -  20:44,60492142,Lusaka,Lusaka,Urban,Male,1,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,",,,,,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,"
9:15  -  9:29,60492142,Lusaka,Lusaka,Urban,Male,1,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,",,,,,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,"
9:00  -  9:14,60492142,Lusaka,Lusaka,Urban,Male,1,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,",,,,,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,"
6:30  -  6:44,60492143,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,,,,,,,"
6:45  -  6:59,60492143,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,,,,,,,"
7:00  -  7:14,60492143,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,,,,,,,"
6:15  -  6:29,60492143,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,,,,,,,"
6:00  -  6:14,60492143,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,,,,,,,"
6:00  -  6:14,60515348,Lusaka,Lusaka,Urban,Female,1,None,C1,Some university,Seventh Day Adventists,Student,C2,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,,,,,,,"
6:30  -  6:44,60515348,Lusaka,Lusaka,Urban,Female,1,None,C1,Some university,Seventh Day Adventists,Student,C2,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,,,,,,,"
6:15  -  6:29,60515348,Lusaka,Lusaka,Urban,Female,1,None,C1,Some university,Seventh Day Adventists,Student,C2,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,,,,,,,"
7:15  -  7:29,60516534,Lusaka,Lusaka,Urban,Male,1,None,AB,University completed,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,",,,,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,,,"
7:45  -  7:59,60516534,Lusaka,Lusaka,Urban,Male,1,None,AB,University completed,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,",,,,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,,,"
7:30  -  7:44,60516534,Lusaka,Lusaka,Urban,Male,1,None,AB,University completed,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,",,,,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,,,"
7:00  -  7:14,60516534,Lusaka,Lusaka,Urban,Male,1,None,AB,University completed,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,",,,,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,,,"
8:00  -  8:14,60516534,Lusaka,Lusaka,Urban,Male,1,None,AB,University completed,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,",,,,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,,,"
7:15  -  7:29,60516537,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Do not know,Yes,19 – 24,",,,,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,,,"
7:45  -  7:59,60516537,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Do not know,Yes,19 – 24,",,,,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,,,"
7:30  -  7:44,60516537,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Do not know,Yes,19 – 24,",,,,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,,,"
6:45  -  6:59,60516537,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Do not know,Yes,19 – 24,",,,,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,,,"
7:00  -  7:14,60516537,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Do not know,Yes,19 – 24,",,,,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,,,"
12:30  -  12:44,60538019,Lusaka,Kafue,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,25 – 34,"10:00  -  10:14,12:30  -  12:44,,,,,,,"
10:00  -  10:14,60538019,Lusaka,Kafue,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,25 – 34,"10:00  -  10:14,12:30  -  12:44,,,,,,,"
13:30  -  13:44,60541600,Lusaka,Lusaka,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
13:45  -  13:59,60541600,Lusaka,Lusaka,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
13:15  -  13:29,60541600,Lusaka,Lusaka,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
13:00  -  13:14,60541600,Lusaka,Lusaka,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
20:15  -  20:29,60543023,Lusaka,Lusaka,Urban,Female,1,One,C1,Completed high School,Other Christian,Self employed,Do not know,Do not know,Yes,19 – 24,",,,,,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,"
19:30  -  19:44,60543023,Lusaka,Lusaka,Urban,Female,1,One,C1,Completed high School,Other Christian,Self employed,Do not know,Do not know,Yes,19 – 24,",,,,,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,"
20:00  -  20:14,60543023,Lusaka,Lusaka,Urban,Female,1,One,C1,Completed high School,Other Christian,Self employed,Do not know,Do not know,Yes,19 – 24,",,,,,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,"
20:45  -  20:59,60543023,Lusaka,Lusaka,Urban,Female,1,One,C1,Completed high School,Other Christian,Self employed,Do not know,Do not know,Yes,19 – 24,",,,,,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,"
19:45  -  19:59,60543023,Lusaka,Lusaka,Urban,Female,1,One,C1,Completed high School,Other Christian,Self employed,Do not know,Do not know,Yes,19 – 24,",,,,,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,"
20:30  -  20:44,60543023,Lusaka,Lusaka,Urban,Female,1,One,C1,Completed high School,Other Christian,Self employed,Do not know,Do not know,Yes,19 – 24,",,,,,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,"
19:15  -  19:29,60543023,Lusaka,Lusaka,Urban,Female,1,One,C1,Completed high School,Other Christian,Self employed,Do not know,Do not know,Yes,19 – 24,",,,,,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,,"
21:00  -  21:14,60549601,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Other Christian,Student,D,Under K 849,Yes,19 – 24,",,,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,,,"
20:15  -  20:29,60549601,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Other Christian,Student,D,Under K 849,Yes,19 – 24,",,,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,,,"
6:30  -  6:44,60549601,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Other Christian,Student,D,Under K 849,Yes,19 – 24,",,,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,,,"
7:15  -  7:29,60549601,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Other Christian,Student,D,Under K 849,Yes,19 – 24,",,,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,,,"
20:00  -  20:14,60549601,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Other Christian,Student,D,Under K 849,Yes,19 – 24,",,,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,,,"
6:45  -  6:59,60549601,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Other Christian,Student,D,Under K 849,Yes,19 – 24,",,,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,,,"
20:45  -  20:59,60549601,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Other Christian,Student,D,Under K 849,Yes,19 – 24,",,,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,,,"
20:30  -  20:44,60549601,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Other Christian,Student,D,Under K 849,Yes,19 – 24,",,,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,,,"
