Petauke Explorers  Friday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Petauke Explorers  Friday
7:45  -  7:59,60688037,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,No Income,No,25 – 34,",7:00  -  7:14,7:45  -  7:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
7:00  -  7:14,60688037,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,No Income,No,25 – 34,",7:00  -  7:14,7:45  -  7:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
20:30  -  20:44,60700170,Eastern,Petauke,Urban,Female,0,None,C1,Some university,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,",20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:00  -  20:14,60700170,Eastern,Petauke,Urban,Female,0,None,C1,Some university,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,",20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:15  -  20:29,60700170,Eastern,Petauke,Urban,Female,0,None,C1,Some university,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,",20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20:45  -  20:59,60700170,Eastern,Petauke,Urban,Female,0,None,C1,Some university,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,",20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
19:15  -  19:29,60832104,Eastern,Petauke,Rural,Female,0,None,C2,Some high school,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,",15:00  -  15:14,15:45  -  15:59,18:00  -  18:14,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
15:45  -  15:59,60832104,Eastern,Petauke,Rural,Female,0,None,C2,Some high school,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,",15:00  -  15:14,15:45  -  15:59,18:00  -  18:14,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
18:00  -  18:14,60832104,Eastern,Petauke,Rural,Female,0,None,C2,Some high school,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,",15:00  -  15:14,15:45  -  15:59,18:00  -  18:14,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
19:45  -  19:59,60832104,Eastern,Petauke,Rural,Female,0,None,C2,Some high school,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,",15:00  -  15:14,15:45  -  15:59,18:00  -  18:14,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
15:00  -  15:14,60832104,Eastern,Petauke,Rural,Female,0,None,C2,Some high school,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,",15:00  -  15:14,15:45  -  15:59,18:00  -  18:14,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
19:30  -  19:44,60832104,Eastern,Petauke,Rural,Female,0,None,C2,Some high school,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,",15:00  -  15:14,15:45  -  15:59,18:00  -  18:14,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
19:00  -  19:14,60832104,Eastern,Petauke,Rural,Female,0,None,C2,Some high school,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,",15:00  -  15:14,15:45  -  15:59,18:00  -  18:14,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
8:00  -  8:14,60832107,Eastern,Petauke,Rural,Female,0,None,C2,Primary school completed,Other Christian,Self employed,D,Under K 849,Yes,45+,",8:00  -  8:14"
23:30  -  23:44,60832109,Eastern,Petauke,Rural,Female,1,None,D,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,",20:00  -  20:14,20:15  -  20:29,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
23:15  -  23:29,60832109,Eastern,Petauke,Rural,Female,1,None,D,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,",20:00  -  20:14,20:15  -  20:29,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
23:00  -  23:14,60832109,Eastern,Petauke,Rural,Female,1,None,D,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,",20:00  -  20:14,20:15  -  20:29,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
20:00  -  20:14,60832109,Eastern,Petauke,Rural,Female,1,None,D,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,",20:00  -  20:14,20:15  -  20:29,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
20:15  -  20:29,60832109,Eastern,Petauke,Rural,Female,1,None,D,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,",20:00  -  20:14,20:15  -  20:29,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
23:45  -  23:59,60832109,Eastern,Petauke,Rural,Female,1,None,D,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,",20:00  -  20:14,20:15  -  20:29,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
12:00  -  12:14,60886274,Eastern,Petauke,Rural,Female,1,None,C2,Primary school completed,Roman Catholic,Self employed,D,Under K 849,Yes,25 – 34,",12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
12:45  -  12:59,60886274,Eastern,Petauke,Rural,Female,1,None,C2,Primary school completed,Roman Catholic,Self employed,D,Under K 849,Yes,25 – 34,",12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
12:30  -  12:44,60886274,Eastern,Petauke,Rural,Female,1,None,C2,Primary school completed,Roman Catholic,Self employed,D,Under K 849,Yes,25 – 34,",12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
12:15  -  12:29,60886274,Eastern,Petauke,Rural,Female,1,None,C2,Primary school completed,Roman Catholic,Self employed,D,Under K 849,Yes,25 – 34,",12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
7:45  -  7:59,60886276,Eastern,Petauke,Rural,Female,1,None,C2,Some high school,Roman Catholic,Self employed,D,K 850-K 1674,Yes,45+,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
7:15  -  7:29,60886276,Eastern,Petauke,Rural,Female,1,None,C2,Some high school,Roman Catholic,Self employed,D,K 850-K 1674,Yes,45+,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
7:30  -  7:44,60886276,Eastern,Petauke,Rural,Female,1,None,C2,Some high school,Roman Catholic,Self employed,D,K 850-K 1674,Yes,45+,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
7:00  -  7:14,60886276,Eastern,Petauke,Rural,Female,1,None,C2,Some high school,Roman Catholic,Self employed,D,K 850-K 1674,Yes,45+,",7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
