Komboni  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Komboni  Yesterday
21:00  -  21:14,60515349,Lusaka,Lusaka,Urban,Male,2,None,C1,Some high school,Other Christian,Unemployed [SEEKING A JOB],Do not know,Under K 849,Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
22:00  -  22:14,60515349,Lusaka,Lusaka,Urban,Male,2,None,C1,Some high school,Other Christian,Unemployed [SEEKING A JOB],Do not know,Under K 849,Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
21:15  -  21:29,60515349,Lusaka,Lusaka,Urban,Male,2,None,C1,Some high school,Other Christian,Unemployed [SEEKING A JOB],Do not know,Under K 849,Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
21:30  -  21:44,60515349,Lusaka,Lusaka,Urban,Male,2,None,C1,Some high school,Other Christian,Unemployed [SEEKING A JOB],Do not know,Under K 849,Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
21:45  -  21:59,60515349,Lusaka,Lusaka,Urban,Male,2,None,C1,Some high school,Other Christian,Unemployed [SEEKING A JOB],Do not know,Under K 849,Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
8:00  -  8:14,60516535,Lusaka,Lusaka,Urban,Male,1,None,C2,No formal education,Roman Catholic,Unemployed [NOT SEEKING A JOB],D,Under K 849,No,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:45  -  16:59,17:00  -  17:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
6:45  -  6:59,60516535,Lusaka,Lusaka,Urban,Male,1,None,C2,No formal education,Roman Catholic,Unemployed [NOT SEEKING A JOB],D,Under K 849,No,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:45  -  16:59,17:00  -  17:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
7:45  -  7:59,60516535,Lusaka,Lusaka,Urban,Male,1,None,C2,No formal education,Roman Catholic,Unemployed [NOT SEEKING A JOB],D,Under K 849,No,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:45  -  16:59,17:00  -  17:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
12:45  -  12:59,60516535,Lusaka,Lusaka,Urban,Male,1,None,C2,No formal education,Roman Catholic,Unemployed [NOT SEEKING A JOB],D,Under K 849,No,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:45  -  16:59,17:00  -  17:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
6:15  -  6:29,60516535,Lusaka,Lusaka,Urban,Male,1,None,C2,No formal education,Roman Catholic,Unemployed [NOT SEEKING A JOB],D,Under K 849,No,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:45  -  16:59,17:00  -  17:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
16:15  -  16:29,60516535,Lusaka,Lusaka,Urban,Male,1,None,C2,No formal education,Roman Catholic,Unemployed [NOT SEEKING A JOB],D,Under K 849,No,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:45  -  16:59,17:00  -  17:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
9:15  -  9:29,60516535,Lusaka,Lusaka,Urban,Male,1,None,C2,No formal education,Roman Catholic,Unemployed [NOT SEEKING A JOB],D,Under K 849,No,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:45  -  16:59,17:00  -  17:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
15:45  -  15:59,60516535,Lusaka,Lusaka,Urban,Male,1,None,C2,No formal education,Roman Catholic,Unemployed [NOT SEEKING A JOB],D,Under K 849,No,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:45  -  16:59,17:00  -  17:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
15:30  -  15:44,60516535,Lusaka,Lusaka,Urban,Male,1,None,C2,No formal education,Roman Catholic,Unemployed [NOT SEEKING A JOB],D,Under K 849,No,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:45  -  16:59,17:00  -  17:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
13:45  -  13:59,60516535,Lusaka,Lusaka,Urban,Male,1,None,C2,No formal education,Roman Catholic,Unemployed [NOT SEEKING A JOB],D,Under K 849,No,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:45  -  16:59,17:00  -  17:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
8:45  -  8:59,60516535,Lusaka,Lusaka,Urban,Male,1,None,C2,No formal education,Roman Catholic,Unemployed [NOT SEEKING A JOB],D,Under K 849,No,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:45  -  16:59,17:00  -  17:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
10:00  -  10:14,60516535,Lusaka,Lusaka,Urban,Male,1,None,C2,No formal education,Roman Catholic,Unemployed [NOT SEEKING A JOB],D,Under K 849,No,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:45  -  16:59,17:00  -  17:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
16:00  -  16:14,60516535,Lusaka,Lusaka,Urban,Male,1,None,C2,No formal education,Roman Catholic,Unemployed [NOT SEEKING A JOB],D,Under K 849,No,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:45  -  16:59,17:00  -  17:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
21:15  -  21:29,60516535,Lusaka,Lusaka,Urban,Male,1,None,C2,No formal education,Roman Catholic,Unemployed [NOT SEEKING A JOB],D,Under K 849,No,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:45  -  16:59,17:00  -  17:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
21:30  -  21:44,60516535,Lusaka,Lusaka,Urban,Male,1,None,C2,No formal education,Roman Catholic,Unemployed [NOT SEEKING A JOB],D,Under K 849,No,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:45  -  16:59,17:00  -  17:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
14:30  -  14:44,60516535,Lusaka,Lusaka,Urban,Male,1,None,C2,No formal education,Roman Catholic,Unemployed [NOT SEEKING A JOB],D,Under K 849,No,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:45  -  16:59,17:00  -  17:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
13:00  -  13:14,60516535,Lusaka,Lusaka,Urban,Male,1,None,C2,No formal education,Roman Catholic,Unemployed [NOT SEEKING A JOB],D,Under K 849,No,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:45  -  16:59,17:00  -  17:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
9:00  -  9:14,60516535,Lusaka,Lusaka,Urban,Male,1,None,C2,No formal education,Roman Catholic,Unemployed [NOT SEEKING A JOB],D,Under K 849,No,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:45  -  16:59,17:00  -  17:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
21:45  -  21:59,60516535,Lusaka,Lusaka,Urban,Male,1,None,C2,No formal education,Roman Catholic,Unemployed [NOT SEEKING A JOB],D,Under K 849,No,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:45  -  16:59,17:00  -  17:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
7:30  -  7:44,60516535,Lusaka,Lusaka,Urban,Male,1,None,C2,No formal education,Roman Catholic,Unemployed [NOT SEEKING A JOB],D,Under K 849,No,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:45  -  16:59,17:00  -  17:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
14:15  -  14:29,60516535,Lusaka,Lusaka,Urban,Male,1,None,C2,No formal education,Roman Catholic,Unemployed [NOT SEEKING A JOB],D,Under K 849,No,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:45  -  16:59,17:00  -  17:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
14:45  -  14:59,60516535,Lusaka,Lusaka,Urban,Male,1,None,C2,No formal education,Roman Catholic,Unemployed [NOT SEEKING A JOB],D,Under K 849,No,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:45  -  16:59,17:00  -  17:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
17:00  -  17:14,60516535,Lusaka,Lusaka,Urban,Male,1,None,C2,No formal education,Roman Catholic,Unemployed [NOT SEEKING A JOB],D,Under K 849,No,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:45  -  16:59,17:00  -  17:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
