Kwithu FM  Tuesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Kwithu FM  Tuesday
6:45  -  6:59,60601399,Northern,Kasama,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:45  -  17:59,60601399,Northern,Kasama,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
6:30  -  6:44,60601399,Northern,Kasama,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
6:00  -  6:14,60601399,Northern,Kasama,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
15:15  -  15:29,60755122,Northern,Kasama,Rural,Female,1,None,C2,Some high school,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"12:00  -  12:14,12:15  -  12:29,15:15  -  15:29,15:30  -  15:44"
15:30  -  15:44,60755122,Northern,Kasama,Rural,Female,1,None,C2,Some high school,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"12:00  -  12:14,12:15  -  12:29,15:15  -  15:29,15:30  -  15:44"
12:15  -  12:29,60755122,Northern,Kasama,Rural,Female,1,None,C2,Some high school,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"12:00  -  12:14,12:15  -  12:29,15:15  -  15:29,15:30  -  15:44"
12:00  -  12:14,60755122,Northern,Kasama,Rural,Female,1,None,C2,Some high school,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"12:00  -  12:14,12:15  -  12:29,15:15  -  15:29,15:30  -  15:44"
8:15  -  8:29,60774041,Northern,Kasama,Rural,Female,0,None,C2,Some primary school,Other Christian,Housewife,Do not know,No Income,Yes,25 – 34,"7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44"
8:00  -  8:14,60774041,Northern,Kasama,Rural,Female,0,None,C2,Some primary school,Other Christian,Housewife,Do not know,No Income,Yes,25 – 34,"7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44"
8:30  -  8:44,60774041,Northern,Kasama,Rural,Female,0,None,C2,Some primary school,Other Christian,Housewife,Do not know,No Income,Yes,25 – 34,"7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44"
7:45  -  7:59,60774041,Northern,Kasama,Rural,Female,0,None,C2,Some primary school,Other Christian,Housewife,Do not know,No Income,Yes,25 – 34,"7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44"
13:00  -  13:14,60861541,Northern,Kasama,Urban,Female,1,One,C1,Any other post-high school qualification,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"12:45  -  12:59,13:00  -  13:14"
12:45  -  12:59,60861541,Northern,Kasama,Urban,Female,1,One,C1,Any other post-high school qualification,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,25 – 34,"12:45  -  12:59,13:00  -  13:14"
