United Voice  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,United Voice  Yesterday
18:00  -  18:14,60549602,Lusaka,Lusaka,Urban,Female,1,None,C2,No formal education,Other Christian,Housewife,D,Under K 849,Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
9:00  -  9:14,60549602,Lusaka,Lusaka,Urban,Female,1,None,C2,No formal education,Other Christian,Housewife,D,Under K 849,Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
19:00  -  19:14,60549602,Lusaka,Lusaka,Urban,Female,1,None,C2,No formal education,Other Christian,Housewife,D,Under K 849,Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
14:15  -  14:29,60549602,Lusaka,Lusaka,Urban,Female,1,None,C2,No formal education,Other Christian,Housewife,D,Under K 849,Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
18:15  -  18:29,60549602,Lusaka,Lusaka,Urban,Female,1,None,C2,No formal education,Other Christian,Housewife,D,Under K 849,Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29"
12:00  -  12:14,60688914,Lusaka,Lusaka,Urban,Female,1,One,C1,University completed,Other Christian,Housewife,C1,K 850-K 1674,Yes,35 – 44,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
11:30  -  11:44,60688914,Lusaka,Lusaka,Urban,Female,1,One,C1,University completed,Other Christian,Housewife,C1,K 850-K 1674,Yes,35 – 44,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
11:15  -  11:29,60688914,Lusaka,Lusaka,Urban,Female,1,One,C1,University completed,Other Christian,Housewife,C1,K 850-K 1674,Yes,35 – 44,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
11:45  -  11:59,60688914,Lusaka,Lusaka,Urban,Female,1,One,C1,University completed,Other Christian,Housewife,C1,K 850-K 1674,Yes,35 – 44,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
11:00  -  11:14,60688914,Lusaka,Lusaka,Urban,Female,1,One,C1,University completed,Other Christian,Housewife,C1,K 850-K 1674,Yes,35 – 44,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
