Kwithu FM  Monday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Kwithu FM  Monday
6:30  -  6:44,60601399,Northern,Kasama,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
6:00  -  6:14,60601399,Northern,Kasama,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
9:00  -  9:14,60774041,Northern,Kasama,Rural,Female,0,None,C2,Some primary school,Other Christian,Housewife,Do not know,No Income,Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
9:30  -  9:44,60774041,Northern,Kasama,Rural,Female,0,None,C2,Some primary school,Other Christian,Housewife,Do not know,No Income,Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
9:45  -  9:59,60774041,Northern,Kasama,Rural,Female,0,None,C2,Some primary school,Other Christian,Housewife,Do not know,No Income,Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
9:15  -  9:29,60774041,Northern,Kasama,Rural,Female,0,None,C2,Some primary school,Other Christian,Housewife,Do not know,No Income,Yes,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
14:45  -  14:59,60863463,Northern,Kasama,Rural,Female,0,None,C2,Primary school completed,Anglican/Protestant,Housewife,Do not know,Do not know,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,14:30  -  14:44,14:45  -  14:59,18:45  -  18:59,19:00  -  19:14"
6:15  -  6:29,60863463,Northern,Kasama,Rural,Female,0,None,C2,Primary school completed,Anglican/Protestant,Housewife,Do not know,Do not know,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,14:30  -  14:44,14:45  -  14:59,18:45  -  18:59,19:00  -  19:14"
19:00  -  19:14,60863463,Northern,Kasama,Rural,Female,0,None,C2,Primary school completed,Anglican/Protestant,Housewife,Do not know,Do not know,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,14:30  -  14:44,14:45  -  14:59,18:45  -  18:59,19:00  -  19:14"
14:30  -  14:44,60863463,Northern,Kasama,Rural,Female,0,None,C2,Primary school completed,Anglican/Protestant,Housewife,Do not know,Do not know,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,14:30  -  14:44,14:45  -  14:59,18:45  -  18:59,19:00  -  19:14"
18:45  -  18:59,60863463,Northern,Kasama,Rural,Female,0,None,C2,Primary school completed,Anglican/Protestant,Housewife,Do not know,Do not know,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,14:30  -  14:44,14:45  -  14:59,18:45  -  18:59,19:00  -  19:14"
6:00  -  6:14,60863463,Northern,Kasama,Rural,Female,0,None,C2,Primary school completed,Anglican/Protestant,Housewife,Do not know,Do not know,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,14:30  -  14:44,14:45  -  14:59,18:45  -  18:59,19:00  -  19:14"
