Money FM  Wednesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Money FM  Wednesday
6:00  -  6:14,60515241,Central,Mkushi,Urban,Male,1,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
20:30  -  20:44,60515244,Central,Mkushi,Urban,Male,0,None,AB,Some high school,Anglican/Protestant,Student,C2,"K 4,628   -  K 5,364",Yes,15 – 18,"20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
21:00  -  21:14,60515244,Central,Mkushi,Urban,Male,0,None,AB,Some high school,Anglican/Protestant,Student,C2,"K 4,628   -  K 5,364",Yes,15 – 18,"20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
20:45  -  20:59,60515244,Central,Mkushi,Urban,Male,0,None,AB,Some high school,Anglican/Protestant,Student,C2,"K 4,628   -  K 5,364",Yes,15 – 18,"20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
7:00  -  7:14,60567071,Central,Mkushi,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,"K 3,155   -  K 3,890",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
6:15  -  6:29,60567071,Central,Mkushi,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,"K 3,155   -  K 3,890",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
6:45  -  6:59,60567071,Central,Mkushi,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,"K 3,155   -  K 3,890",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
6:30  -  6:44,60567071,Central,Mkushi,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,"K 3,155   -  K 3,890",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
6:00  -  6:14,60567071,Central,Mkushi,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,"K 3,155   -  K 3,890",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14"
20:30  -  20:44,60567080,Central,Mkushi,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Self employed,C1,"K 2,500   -  K 3,154",Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
20:00  -  20:14,60567080,Central,Mkushi,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Self employed,C1,"K 2,500   -  K 3,154",Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
20:15  -  20:29,60567080,Central,Mkushi,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Self employed,C1,"K 2,500   -  K 3,154",Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
6:30  -  6:44,60567103,Central,Mkushi,Urban,Female,1,None,AB,Completed high School,Other Christian,Self employed,C2,"K 1675- K2,499",No,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44"
6:15  -  6:29,60567103,Central,Mkushi,Urban,Female,1,None,AB,Completed high School,Other Christian,Self employed,C2,"K 1675- K2,499",No,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44"
6:00  -  6:14,60567103,Central,Mkushi,Urban,Female,1,None,AB,Completed high School,Other Christian,Self employed,C2,"K 1675- K2,499",No,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44"
14:30  -  14:44,60567105,Central,Mkushi,Urban,Female,1,None,C1,Some university,Roman Catholic,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
14:00  -  14:14,60567105,Central,Mkushi,Urban,Female,1,None,C1,Some university,Roman Catholic,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
14:15  -  14:29,60567105,Central,Mkushi,Urban,Female,1,None,C1,Some university,Roman Catholic,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
20:30  -  20:44,60617260,Central,Mkushi,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],No Income,Do not know,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
20:00  -  20:14,60617260,Central,Mkushi,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],No Income,Do not know,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
20:15  -  20:29,60617260,Central,Mkushi,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],No Income,Do not know,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44"
