Zambezi analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Zambezi
21:00  -  21:14,82113727,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Student,C1,Under K 849,No,19 – 24,"10:00  -  10:14,12:00  -  12:14,19:00  -  19:14,21:00  -  21:14,10:00  -  10:14,12:00  -  12:14,19:00  -  19:14,21:00  -  21:14,10:00  -  10:14,12:00  -  12:14,19:00  -  19:14,21:00  -  21:14,10:00  -  10:14,12:00  -  12:14,19:00  -  19:14,21:00  -  21:14,10:00  -  10:14,12:00  -  12:14,19:00  -  19:14,21:00  -  21:14,10:00  -  10:14,12:00  -  12:14,19:00  -  19:14,21:00  -  21:14,,10:00  -  10:14,12:00  -  12:14,19:00  -  19:14,21:00  -  21:14,10:00  -  10:14,12:00  -  12:14,19:00  -  19:14,21:00  -  21:14"
12:00  -  12:14,82113727,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Student,C1,Under K 849,No,19 – 24,"10:00  -  10:14,12:00  -  12:14,19:00  -  19:14,21:00  -  21:14,10:00  -  10:14,12:00  -  12:14,19:00  -  19:14,21:00  -  21:14,10:00  -  10:14,12:00  -  12:14,19:00  -  19:14,21:00  -  21:14,10:00  -  10:14,12:00  -  12:14,19:00  -  19:14,21:00  -  21:14,10:00  -  10:14,12:00  -  12:14,19:00  -  19:14,21:00  -  21:14,10:00  -  10:14,12:00  -  12:14,19:00  -  19:14,21:00  -  21:14,,10:00  -  10:14,12:00  -  12:14,19:00  -  19:14,21:00  -  21:14,10:00  -  10:14,12:00  -  12:14,19:00  -  19:14,21:00  -  21:14"
19:00  -  19:14,82113727,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Student,C1,Under K 849,No,19 – 24,"10:00  -  10:14,12:00  -  12:14,19:00  -  19:14,21:00  -  21:14,10:00  -  10:14,12:00  -  12:14,19:00  -  19:14,21:00  -  21:14,10:00  -  10:14,12:00  -  12:14,19:00  -  19:14,21:00  -  21:14,10:00  -  10:14,12:00  -  12:14,19:00  -  19:14,21:00  -  21:14,10:00  -  10:14,12:00  -  12:14,19:00  -  19:14,21:00  -  21:14,10:00  -  10:14,12:00  -  12:14,19:00  -  19:14,21:00  -  21:14,,10:00  -  10:14,12:00  -  12:14,19:00  -  19:14,21:00  -  21:14,10:00  -  10:14,12:00  -  12:14,19:00  -  19:14,21:00  -  21:14"
10:00  -  10:14,82113727,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Student,C1,Under K 849,No,19 – 24,"10:00  -  10:14,12:00  -  12:14,19:00  -  19:14,21:00  -  21:14,10:00  -  10:14,12:00  -  12:14,19:00  -  19:14,21:00  -  21:14,10:00  -  10:14,12:00  -  12:14,19:00  -  19:14,21:00  -  21:14,10:00  -  10:14,12:00  -  12:14,19:00  -  19:14,21:00  -  21:14,10:00  -  10:14,12:00  -  12:14,19:00  -  19:14,21:00  -  21:14,10:00  -  10:14,12:00  -  12:14,19:00  -  19:14,21:00  -  21:14,,10:00  -  10:14,12:00  -  12:14,19:00  -  19:14,21:00  -  21:14,10:00  -  10:14,12:00  -  12:14,19:00  -  19:14,21:00  -  21:14"
11:30  -  11:44,82192494,Southern,Livingstone,Urban,Female,1,None,C2,Some university,Other Christian,A business owner,C2,K 850-K 1674,Yes,19 – 24,"7:00  -  7:14,8:00  -  8:14,11:30  -  11:44,12:15  -  12:29,7:00  -  7:14,8:00  -  8:14,11:30  -  11:44,12:15  -  12:29,7:00  -  7:14,8:00  -  8:14,11:30  -  11:44,12:15  -  12:29,7:00  -  7:14,8:00  -  8:14,11:30  -  11:44,12:15  -  12:29,7:00  -  7:14,8:00  -  8:14,11:30  -  11:44,12:15  -  12:29,7:00  -  7:14,8:00  -  8:14,11:30  -  11:44,12:15  -  12:29,,7:00  -  7:14,8:00  -  8:14,11:30  -  11:44,12:15  -  12:29,7:00  -  7:14,8:00  -  8:14,11:30  -  11:44,12:15  -  12:29"
7:00  -  7:14,82192494,Southern,Livingstone,Urban,Female,1,None,C2,Some university,Other Christian,A business owner,C2,K 850-K 1674,Yes,19 – 24,"7:00  -  7:14,8:00  -  8:14,11:30  -  11:44,12:15  -  12:29,7:00  -  7:14,8:00  -  8:14,11:30  -  11:44,12:15  -  12:29,7:00  -  7:14,8:00  -  8:14,11:30  -  11:44,12:15  -  12:29,7:00  -  7:14,8:00  -  8:14,11:30  -  11:44,12:15  -  12:29,7:00  -  7:14,8:00  -  8:14,11:30  -  11:44,12:15  -  12:29,7:00  -  7:14,8:00  -  8:14,11:30  -  11:44,12:15  -  12:29,,7:00  -  7:14,8:00  -  8:14,11:30  -  11:44,12:15  -  12:29,7:00  -  7:14,8:00  -  8:14,11:30  -  11:44,12:15  -  12:29"
12:15  -  12:29,82192494,Southern,Livingstone,Urban,Female,1,None,C2,Some university,Other Christian,A business owner,C2,K 850-K 1674,Yes,19 – 24,"7:00  -  7:14,8:00  -  8:14,11:30  -  11:44,12:15  -  12:29,7:00  -  7:14,8:00  -  8:14,11:30  -  11:44,12:15  -  12:29,7:00  -  7:14,8:00  -  8:14,11:30  -  11:44,12:15  -  12:29,7:00  -  7:14,8:00  -  8:14,11:30  -  11:44,12:15  -  12:29,7:00  -  7:14,8:00  -  8:14,11:30  -  11:44,12:15  -  12:29,7:00  -  7:14,8:00  -  8:14,11:30  -  11:44,12:15  -  12:29,,7:00  -  7:14,8:00  -  8:14,11:30  -  11:44,12:15  -  12:29,7:00  -  7:14,8:00  -  8:14,11:30  -  11:44,12:15  -  12:29"
8:00  -  8:14,82192494,Southern,Livingstone,Urban,Female,1,None,C2,Some university,Other Christian,A business owner,C2,K 850-K 1674,Yes,19 – 24,"7:00  -  7:14,8:00  -  8:14,11:30  -  11:44,12:15  -  12:29,7:00  -  7:14,8:00  -  8:14,11:30  -  11:44,12:15  -  12:29,7:00  -  7:14,8:00  -  8:14,11:30  -  11:44,12:15  -  12:29,7:00  -  7:14,8:00  -  8:14,11:30  -  11:44,12:15  -  12:29,7:00  -  7:14,8:00  -  8:14,11:30  -  11:44,12:15  -  12:29,7:00  -  7:14,8:00  -  8:14,11:30  -  11:44,12:15  -  12:29,,7:00  -  7:14,8:00  -  8:14,11:30  -  11:44,12:15  -  12:29,7:00  -  7:14,8:00  -  8:14,11:30  -  11:44,12:15  -  12:29"
21:00  -  21:14,82192495,Southern,Livingstone,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C1,Under K 849,No,25 – 34,"20:00  -  20:14,21:00  -  21:14,20:00  -  20:14,21:00  -  21:14,20:00  -  20:14,21:00  -  21:14,20:00  -  20:14,21:00  -  21:14,20:00  -  20:14,21:00  -  21:14,20:00  -  20:14,21:00  -  21:14,,20:00  -  20:14,21:00  -  21:14,20:00  -  20:14,21:00  -  21:14"
20:00  -  20:14,82192495,Southern,Livingstone,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C1,Under K 849,No,25 – 34,"20:00  -  20:14,21:00  -  21:14,20:00  -  20:14,21:00  -  21:14,20:00  -  20:14,21:00  -  21:14,20:00  -  20:14,21:00  -  21:14,20:00  -  20:14,21:00  -  21:14,20:00  -  20:14,21:00  -  21:14,,20:00  -  20:14,21:00  -  21:14,20:00  -  20:14,21:00  -  21:14"
10:00  -  10:14,82192496,Southern,Livingstone,Urban,Male,0,None,C1,Some high school,Other Christian,A business owner,C1,"K 5,365  -  K 6,102",Yes,35 – 44,"8:30  -  8:44,10:00  -  10:14,8:30  -  8:44,10:00  -  10:14,8:30  -  8:44,10:00  -  10:14,8:30  -  8:44,10:00  -  10:14,8:30  -  8:44,10:00  -  10:14,8:30  -  8:44,10:00  -  10:14,,8:30  -  8:44,10:00  -  10:14,8:30  -  8:44,10:00  -  10:14"
8:30  -  8:44,82192496,Southern,Livingstone,Urban,Male,0,None,C1,Some high school,Other Christian,A business owner,C1,"K 5,365  -  K 6,102",Yes,35 – 44,"8:30  -  8:44,10:00  -  10:14,8:30  -  8:44,10:00  -  10:14,8:30  -  8:44,10:00  -  10:14,8:30  -  8:44,10:00  -  10:14,8:30  -  8:44,10:00  -  10:14,8:30  -  8:44,10:00  -  10:14,,8:30  -  8:44,10:00  -  10:14,8:30  -  8:44,10:00  -  10:14"
14:15  -  14:29,82270055,Southern,Livingstone,Urban,Female,0,None,D,Completed high School,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
14:30  -  14:44,82270055,Southern,Livingstone,Urban,Female,0,None,D,Completed high School,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
14:00  -  14:14,82270055,Southern,Livingstone,Urban,Female,0,None,D,Completed high School,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
14:45  -  14:59,82270055,Southern,Livingstone,Urban,Female,0,None,D,Completed high School,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
15:00  -  15:14,82270055,Southern,Livingstone,Urban,Female,0,None,D,Completed high School,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
15:45  -  15:59,82270055,Southern,Livingstone,Urban,Female,0,None,D,Completed high School,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
15:15  -  15:29,82270055,Southern,Livingstone,Urban,Female,0,None,D,Completed high School,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
