Mazabuka  Tuesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Mazabuka  Tuesday
8:00  -  8:14,60665279,Southern,Mazabuka,Urban,Male,0,None,C2,Some high school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
8:15  -  8:29,60665279,Southern,Mazabuka,Urban,Male,0,None,C2,Some high school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
6:45  -  6:59,60665279,Southern,Mazabuka,Urban,Male,0,None,C2,Some high school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
8:30  -  8:44,60665279,Southern,Mazabuka,Urban,Male,0,None,C2,Some high school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
7:30  -  7:44,60665279,Southern,Mazabuka,Urban,Male,0,None,C2,Some high school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
8:45  -  8:59,60665279,Southern,Mazabuka,Urban,Male,0,None,C2,Some high school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
7:45  -  7:59,60665279,Southern,Mazabuka,Urban,Male,0,None,C2,Some high school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
7:00  -  7:14,60748705,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"6:30  -  6:44,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
15:45  -  15:59,60748705,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"6:30  -  6:44,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
7:15  -  7:29,60748705,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"6:30  -  6:44,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
16:00  -  16:14,60748705,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"6:30  -  6:44,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
16:30  -  16:44,60748705,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"6:30  -  6:44,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
7:45  -  7:59,60748705,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"6:30  -  6:44,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
7:30  -  7:44,60748705,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"6:30  -  6:44,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
6:30  -  6:44,60748705,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"6:30  -  6:44,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
16:15  -  16:29,60748705,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,"6:30  -  6:44,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
