Komboni  Saturday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Komboni  Saturday
9:00  -  9:14,60516535,Lusaka,Lusaka,Urban,Male,1,None,C2,No formal education,Roman Catholic,Unemployed [NOT SEEKING A JOB],D,Under K 849,No,45+,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29"
11:00  -  11:14,60516535,Lusaka,Lusaka,Urban,Male,1,None,C2,No formal education,Roman Catholic,Unemployed [NOT SEEKING A JOB],D,Under K 849,No,45+,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29"
10:45  -  10:59,60516535,Lusaka,Lusaka,Urban,Male,1,None,C2,No formal education,Roman Catholic,Unemployed [NOT SEEKING A JOB],D,Under K 849,No,45+,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29"
10:30  -  10:44,60516535,Lusaka,Lusaka,Urban,Male,1,None,C2,No formal education,Roman Catholic,Unemployed [NOT SEEKING A JOB],D,Under K 849,No,45+,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29"
8:00  -  8:14,60516536,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
7:00  -  7:14,60516536,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
6:30  -  6:44,60516536,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
6:00  -  6:14,60516536,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
6:45  -  6:59,60516536,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
7:15  -  7:29,60516536,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
7:30  -  7:44,60516536,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
7:45  -  7:59,60516536,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
8:15  -  8:29,60516536,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
8:30  -  8:44,60516536,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
8:45  -  8:59,60516536,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
9:00  -  9:14,60516536,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
6:15  -  6:29,60516536,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
13:00  -  13:14,60536771,Lusaka,Kafue,Urban,Female,3,One,AB,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,"7:15  -  7:29,13:00  -  13:14"
7:15  -  7:29,60536771,Lusaka,Kafue,Urban,Female,3,One,AB,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,"7:15  -  7:29,13:00  -  13:14"
8:00  -  8:14,60541904,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],Do not know,Do not know,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
7:00  -  7:14,60541904,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],Do not know,Do not know,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
7:15  -  7:29,60541904,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],Do not know,Do not know,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
8:45  -  8:59,60541904,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],Do not know,Do not know,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
8:15  -  8:29,60541904,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],Do not know,Do not know,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
7:45  -  7:59,60541904,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],Do not know,Do not know,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
8:30  -  8:44,60541904,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],Do not know,Do not know,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
7:30  -  7:44,60541904,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],Do not know,Do not know,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59"
5:15  -  5:29,60542679,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Self employed,Do not know,Do not know,No,35 – 44,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
5:45  -  5:59,60542679,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Self employed,Do not know,Do not know,No,35 – 44,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
19:45  -  19:59,60542679,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Self employed,Do not know,Do not know,No,35 – 44,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
5:00  -  5:14,60542679,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Self employed,Do not know,Do not know,No,35 – 44,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
19:30  -  19:44,60542679,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Self employed,Do not know,Do not know,No,35 – 44,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
19:15  -  19:29,60542679,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Self employed,Do not know,Do not know,No,35 – 44,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
19:00  -  19:14,60542679,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Self employed,Do not know,Do not know,No,35 – 44,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
5:30  -  5:44,60542679,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Self employed,Do not know,Do not know,No,35 – 44,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
9:15  -  9:29,60543024,Lusaka,Lusaka,Urban,Male,1,None,C2,Primary school completed,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
8:00  -  8:14,60543024,Lusaka,Lusaka,Urban,Male,1,None,C2,Primary school completed,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
9:45  -  9:59,60543024,Lusaka,Lusaka,Urban,Male,1,None,C2,Primary school completed,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
10:15  -  10:29,60543024,Lusaka,Lusaka,Urban,Male,1,None,C2,Primary school completed,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
7:00  -  7:14,60543024,Lusaka,Lusaka,Urban,Male,1,None,C2,Primary school completed,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
6:30  -  6:44,60543024,Lusaka,Lusaka,Urban,Male,1,None,C2,Primary school completed,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
