Iwave  Friday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Iwave  Friday
8:15  -  8:29,60635490,Copperbelt,Chingola,Urban,Female,2,One,C1,Some high school,Other Christian,Housewife,C2,Under K 849,Yes,35 – 44,",5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
7:00  -  7:14,60635490,Copperbelt,Chingola,Urban,Female,2,One,C1,Some high school,Other Christian,Housewife,C2,Under K 849,Yes,35 – 44,",5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
9:00  -  9:14,60635490,Copperbelt,Chingola,Urban,Female,2,One,C1,Some high school,Other Christian,Housewife,C2,Under K 849,Yes,35 – 44,",5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
9:15  -  9:29,60635490,Copperbelt,Chingola,Urban,Female,2,One,C1,Some high school,Other Christian,Housewife,C2,Under K 849,Yes,35 – 44,",5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
6:00  -  6:14,60635490,Copperbelt,Chingola,Urban,Female,2,One,C1,Some high school,Other Christian,Housewife,C2,Under K 849,Yes,35 – 44,",5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
6:30  -  6:44,60635490,Copperbelt,Chingola,Urban,Female,2,One,C1,Some high school,Other Christian,Housewife,C2,Under K 849,Yes,35 – 44,",5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
7:30  -  7:44,60635490,Copperbelt,Chingola,Urban,Female,2,One,C1,Some high school,Other Christian,Housewife,C2,Under K 849,Yes,35 – 44,",5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
21:00  -  21:14,60848524,Copperbelt,Chingola,Urban,Female,2,None,C2,Some primary school,Other Christian,Self employed,C2,"K 2,500   -  K 3,154",Yes,35 – 44,",20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
20:30  -  20:44,60848524,Copperbelt,Chingola,Urban,Female,2,None,C2,Some primary school,Other Christian,Self employed,C2,"K 2,500   -  K 3,154",Yes,35 – 44,",20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
20:45  -  20:59,60848524,Copperbelt,Chingola,Urban,Female,2,None,C2,Some primary school,Other Christian,Self employed,C2,"K 2,500   -  K 3,154",Yes,35 – 44,",20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
20:15  -  20:29,60848524,Copperbelt,Chingola,Urban,Female,2,None,C2,Some primary school,Other Christian,Self employed,C2,"K 2,500   -  K 3,154",Yes,35 – 44,",20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
20:00  -  20:14,60848524,Copperbelt,Chingola,Urban,Female,2,None,C2,Some primary school,Other Christian,Self employed,C2,"K 2,500   -  K 3,154",Yes,35 – 44,",20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
21:15  -  21:29,60848524,Copperbelt,Chingola,Urban,Female,2,None,C2,Some primary school,Other Christian,Self employed,C2,"K 2,500   -  K 3,154",Yes,35 – 44,",20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
