Komboni analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Komboni
8:45  -  8:59,60492139,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Housewife,D,Under K 849,Yes,19 – 24,",,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,"
9:45  -  9:59,60492139,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Housewife,D,Under K 849,Yes,19 – 24,",,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,"
12:00  -  12:14,60492139,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Housewife,D,Under K 849,Yes,19 – 24,",,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,"
8:15  -  8:29,60492139,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Housewife,D,Under K 849,Yes,19 – 24,",,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,"
10:00  -  10:14,60492139,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Housewife,D,Under K 849,Yes,19 – 24,",,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,"
11:15  -  11:29,60492139,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Housewife,D,Under K 849,Yes,19 – 24,",,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,"
11:30  -  11:44,60492139,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Housewife,D,Under K 849,Yes,19 – 24,",,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,"
9:15  -  9:29,60492139,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Housewife,D,Under K 849,Yes,19 – 24,",,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,"
10:15  -  10:29,60492139,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Housewife,D,Under K 849,Yes,19 – 24,",,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,"
8:00  -  8:14,60492139,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Housewife,D,Under K 849,Yes,19 – 24,",,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,"
10:30  -  10:44,60492139,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Housewife,D,Under K 849,Yes,19 – 24,",,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,"
10:45  -  10:59,60492139,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Housewife,D,Under K 849,Yes,19 – 24,",,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,"
11:45  -  11:59,60492139,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Housewife,D,Under K 849,Yes,19 – 24,",,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,"
9:00  -  9:14,60492139,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Housewife,D,Under K 849,Yes,19 – 24,",,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,"
8:30  -  8:44,60492139,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Housewife,D,Under K 849,Yes,19 – 24,",,,,,,,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,"
5:15  -  5:29,60492140,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,,,,,,,"
5:30  -  5:44,60492140,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,,,,,,,"
5:00  -  5:14,60492140,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,,,,,,,"
4:00  -  4:14,60492140,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,,,,,,,"
4:15  -  4:29,60492140,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,,,,,,,"
4:45  -  4:59,60492140,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,,,,,,,"
6:15  -  6:29,60492140,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,,,,,,,"
4:30  -  4:44,60492140,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,,,,,,,"
5:45  -  5:59,60492140,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,,,,,,,"
6:00  -  6:14,60492140,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,,,,,,,"
14:15  -  14:29,60492141,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,25 – 34,",,,,,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
14:30  -  14:44,60492141,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,25 – 34,",,,,,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
14:00  -  14:14,60492141,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,25 – 34,",,,,,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
14:45  -  14:59,60492141,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,25 – 34,",,,,,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
15:00  -  15:14,60492141,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,25 – 34,",,,,,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
15:45  -  15:59,60492141,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,25 – 34,",,,,,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
15:15  -  15:29,60492141,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,25 – 34,",,,,,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
15:30  -  15:44,60492141,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,25 – 34,",,,,,,,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
9:30  -  9:44,60492142,Lusaka,Lusaka,Urban,Male,1,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,",,,,,,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
9:45  -  9:59,60492142,Lusaka,Lusaka,Urban,Male,1,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,",,,,,,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
18:15  -  18:29,60492142,Lusaka,Lusaka,Urban,Male,1,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,",,,,,,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
18:30  -  18:44,60492142,Lusaka,Lusaka,Urban,Male,1,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,",,,,,,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
18:45  -  18:59,60492142,Lusaka,Lusaka,Urban,Male,1,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,",,,,,,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
9:15  -  9:29,60492142,Lusaka,Lusaka,Urban,Male,1,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,",,,,,,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
19:00  -  19:14,60492142,Lusaka,Lusaka,Urban,Male,1,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,",,,,,,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
18:00  -  18:14,60492142,Lusaka,Lusaka,Urban,Male,1,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,",,,,,,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
9:00  -  9:14,60492142,Lusaka,Lusaka,Urban,Male,1,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,",,,,,,,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14"
6:30  -  6:44,60492143,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,",4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,,,,,,"
7:15  -  7:29,60492143,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,",4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,,,,,,"
5:15  -  5:29,60492143,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,",4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,,,,,,"
7:30  -  7:44,60492143,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,",4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,,,,,,"
5:30  -  5:44,60492143,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,",4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,,,,,,"
5:00  -  5:14,60492143,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,",4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,,,,,,"
6:45  -  6:59,60492143,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,",4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,,,,,,"
7:00  -  7:14,60492143,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,",4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,,,,,,"
4:45  -  4:59,60492143,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,",4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,,,,,,"
6:15  -  6:29,60492143,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,",4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,,,,,,"
6:00  -  6:14,60492143,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,",4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,,,,,,"
5:45  -  5:59,60492143,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,",4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,,,,,,"
16:00  -  16:14,60505620,Lusaka,Kafue,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,45+,",16:00  -  16:14,18:00  -  18:14,,,,,,16:00  -  16:14,18:00  -  18:14"
18:00  -  18:14,60505620,Lusaka,Kafue,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,45+,",16:00  -  16:14,18:00  -  18:14,,,,,,16:00  -  16:14,18:00  -  18:14"
21:00  -  21:14,60515349,Lusaka,Lusaka,Urban,Male,2,None,C1,Some high school,Other Christian,Unemployed [SEEKING A JOB],Do not know,Under K 849,Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,,,,,,,"
22:00  -  22:14,60515349,Lusaka,Lusaka,Urban,Male,2,None,C1,Some high school,Other Christian,Unemployed [SEEKING A JOB],Do not know,Under K 849,Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,,,,,,,"
