,Emmanuel TV  Thursday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Emmanuel TV  Thursday
36,8:15  -  8:29,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
37,12:15  -  12:29,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
38,15:15  -  15:29,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
39,20:30  -  20:44,60555767,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Orthodox,Working Part-Time,D,K 850-K 1674,No,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
40,19:00  -  19:14,60555767,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Orthodox,Working Part-Time,D,K 850-K 1674,No,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
41,18:00  -  18:14,60555767,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Orthodox,Working Part-Time,D,K 850-K 1674,No,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
42,19:15  -  19:29,60555767,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Orthodox,Working Part-Time,D,K 850-K 1674,No,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
43,19:30  -  19:44,60555767,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Orthodox,Working Part-Time,D,K 850-K 1674,No,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
44,18:45  -  18:59,60555767,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Orthodox,Working Part-Time,D,K 850-K 1674,No,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
45,18:15  -  18:29,60555767,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Orthodox,Working Part-Time,D,K 850-K 1674,No,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
46,20:00  -  20:14,60555767,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Orthodox,Working Part-Time,D,K 850-K 1674,No,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
47,20:45  -  20:59,60555767,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Orthodox,Working Part-Time,D,K 850-K 1674,No,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
48,18:30  -  18:44,60555767,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Orthodox,Working Part-Time,D,K 850-K 1674,No,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
49,19:45  -  19:59,60555767,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Orthodox,Working Part-Time,D,K 850-K 1674,No,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
50,20:15  -  20:29,60555767,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Orthodox,Working Part-Time,D,K 850-K 1674,No,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
51,13:45  -  13:59,60560019,Copperbelt,Kitwe,Urban,Female,0,None,C1,Some university,Orthodox,Working Full-Time,C2,"K 21,371   -  K 26,319",Yes,15 – 18,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
52,12:00  -  12:14,60560019,Copperbelt,Kitwe,Urban,Female,0,None,C1,Some university,Orthodox,Working Full-Time,C2,"K 21,371   -  K 26,319",Yes,15 – 18,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
53,15:45  -  15:59,60560019,Copperbelt,Kitwe,Urban,Female,0,None,C1,Some university,Orthodox,Working Full-Time,C2,"K 21,371   -  K 26,319",Yes,15 – 18,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
54,13:00  -  13:14,60560019,Copperbelt,Kitwe,Urban,Female,0,None,C1,Some university,Orthodox,Working Full-Time,C2,"K 21,371   -  K 26,319",Yes,15 – 18,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
55,12:30  -  12:44,60560019,Copperbelt,Kitwe,Urban,Female,0,None,C1,Some university,Orthodox,Working Full-Time,C2,"K 21,371   -  K 26,319",Yes,15 – 18,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
56,16:00  -  16:14,60560019,Copperbelt,Kitwe,Urban,Female,0,None,C1,Some university,Orthodox,Working Full-Time,C2,"K 21,371   -  K 26,319",Yes,15 – 18,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
57,14:45  -  14:59,60560019,Copperbelt,Kitwe,Urban,Female,0,None,C1,Some university,Orthodox,Working Full-Time,C2,"K 21,371   -  K 26,319",Yes,15 – 18,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
58,12:15  -  12:29,60560019,Copperbelt,Kitwe,Urban,Female,0,None,C1,Some university,Orthodox,Working Full-Time,C2,"K 21,371   -  K 26,319",Yes,15 – 18,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
