,African magic  Thursday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,African magic  Thursday
32,20:45  -  20:59,60724809,Lusaka,Lusaka district,Urban,Female,1,One,AB,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,19 – 24,"19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
33,22:00  -  22:14,60724809,Lusaka,Lusaka district,Urban,Female,1,One,AB,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,19 – 24,"19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
34,21:30  -  21:44,60724809,Lusaka,Lusaka district,Urban,Female,1,One,AB,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,19 – 24,"19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
35,20:15  -  20:29,60724809,Lusaka,Lusaka district,Urban,Female,1,One,AB,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,19 – 24,"19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
36,19:15  -  19:29,60724809,Lusaka,Lusaka district,Urban,Female,1,One,AB,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,19 – 24,"19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
37,21:15  -  21:29,60724809,Lusaka,Lusaka district,Urban,Female,1,One,AB,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,19 – 24,"19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
38,20:30  -  20:44,60724809,Lusaka,Lusaka district,Urban,Female,1,One,AB,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,19 – 24,"19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
39,21:45  -  21:59,60724809,Lusaka,Lusaka district,Urban,Female,1,One,AB,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,19 – 24,"19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
40,20:00  -  20:14,60724809,Lusaka,Lusaka district,Urban,Female,1,One,AB,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,19 – 24,"19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
41,19:30  -  19:44,60724809,Lusaka,Lusaka district,Urban,Female,1,One,AB,Some high school,Roman Catholic,Student,Do not know,No Income,Yes,19 – 24,"19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
42,9:45  -  9:59,60746449,Copperbelt,Mufulira,Rural,Male,1,None,AB,Any other post-high school qualification,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
43,9:15  -  9:29,60746449,Copperbelt,Mufulira,Rural,Male,1,None,AB,Any other post-high school qualification,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
44,9:00  -  9:14,60746449,Copperbelt,Mufulira,Rural,Male,1,None,AB,Any other post-high school qualification,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
45,9:30  -  9:44,60746449,Copperbelt,Mufulira,Rural,Male,1,None,AB,Any other post-high school qualification,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
46,13:45  -  13:59,82005311,Southern,Livingstone,Urban,Female,1,One,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,"K 1675- K2,499",Yes,25 – 34,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29"
47,14:00  -  14:14,82005311,Southern,Livingstone,Urban,Female,1,One,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,"K 1675- K2,499",Yes,25 – 34,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29"
48,14:30  -  14:44,82005311,Southern,Livingstone,Urban,Female,1,One,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,"K 1675- K2,499",Yes,25 – 34,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29"
49,14:15  -  14:29,82005311,Southern,Livingstone,Urban,Female,1,One,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,"K 1675- K2,499",Yes,25 – 34,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29"
50,13:00  -  13:14,82005311,Southern,Livingstone,Urban,Female,1,One,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,"K 1675- K2,499",Yes,25 – 34,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29"
51,15:00  -  15:14,82005311,Southern,Livingstone,Urban,Female,1,One,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,"K 1675- K2,499",Yes,25 – 34,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29"
52,15:15  -  15:29,82005311,Southern,Livingstone,Urban,Female,1,One,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,"K 1675- K2,499",Yes,25 – 34,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29"
53,13:15  -  13:29,82005311,Southern,Livingstone,Urban,Female,1,One,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,"K 1675- K2,499",Yes,25 – 34,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29"
54,13:30  -  13:44,82005311,Southern,Livingstone,Urban,Female,1,One,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,"K 1675- K2,499",Yes,25 – 34,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29"
55,14:45  -  14:59,82005311,Southern,Livingstone,Urban,Female,1,One,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,"K 1675- K2,499",Yes,25 – 34,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29"
56,12:45  -  12:59,82020882,Southern,Livingstone,Urban,Male,0,Two or More,AB,University completed,Other Christian,Working Full-Time,AB,"K 7,893 -  K 11,261",Yes,35 – 44,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
57,12:00  -  12:14,82020882,Southern,Livingstone,Urban,Male,0,Two or More,AB,University completed,Other Christian,Working Full-Time,AB,"K 7,893 -  K 11,261",Yes,35 – 44,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
58,12:30  -  12:44,82020882,Southern,Livingstone,Urban,Male,0,Two or More,AB,University completed,Other Christian,Working Full-Time,AB,"K 7,893 -  K 11,261",Yes,35 – 44,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
59,12:15  -  12:29,82020882,Southern,Livingstone,Urban,Male,0,Two or More,AB,University completed,Other Christian,Working Full-Time,AB,"K 7,893 -  K 11,261",Yes,35 – 44,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
60,11:15  -  11:29,82033089,Eastern,Chipata,Rural,Female,2,One,AB,Some primary school,Other Christian,A housewife/househusband,AB,Do not know,Yes,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
61,10:30  -  10:44,82033089,Eastern,Chipata,Rural,Female,2,One,AB,Some primary school,Other Christian,A housewife/househusband,AB,Do not know,Yes,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
62,11:30  -  11:44,82033089,Eastern,Chipata,Rural,Female,2,One,AB,Some primary school,Other Christian,A housewife/househusband,AB,Do not know,Yes,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
63,11:45  -  11:59,82033089,Eastern,Chipata,Rural,Female,2,One,AB,Some primary school,Other Christian,A housewife/househusband,AB,Do not know,Yes,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
64,11:00  -  11:14,82033089,Eastern,Chipata,Rural,Female,2,One,AB,Some primary school,Other Christian,A housewife/househusband,AB,Do not know,Yes,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
65,10:45  -  10:59,82033089,Eastern,Chipata,Rural,Female,2,One,AB,Some primary school,Other Christian,A housewife/househusband,AB,Do not know,Yes,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
66,12:00  -  12:14,82033089,Eastern,Chipata,Rural,Female,2,One,AB,Some primary school,Other Christian,A housewife/househusband,AB,Do not know,Yes,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
67,10:00  -  10:14,82033089,Eastern,Chipata,Rural,Female,2,One,AB,Some primary school,Other Christian,A housewife/househusband,AB,Do not know,Yes,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
68,10:15  -  10:29,82033089,Eastern,Chipata,Rural,Female,2,One,AB,Some primary school,Other Christian,A housewife/househusband,AB,Do not know,Yes,35 – 44,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
69,11:15  -  11:29,82033090,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Under K 849,No,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
70,9:30  -  9:44,82033090,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Under K 849,No,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
71,10:30  -  10:44,82033090,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Under K 849,No,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
72,9:45  -  9:59,82033090,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Under K 849,No,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
73,11:30  -  11:44,82033090,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Under K 849,No,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
74,11:45  -  11:59,82033090,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Under K 849,No,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
75,11:00  -  11:14,82033090,Eastern,Chipata,Rural,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,Under K 849,No,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
