,African Movie Channel AMC  Monday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,African Movie Channel AMC  Monday
10,20:15  -  20:29,82378694,Copperbelt,Kitwe,Urban,Male,3,One,AB,Some university,Other Christian,A business owner,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
11,19:15  -  19:29,82378694,Copperbelt,Kitwe,Urban,Male,3,One,AB,Some university,Other Christian,A business owner,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
12,20:30  -  20:44,82378694,Copperbelt,Kitwe,Urban,Male,3,One,AB,Some university,Other Christian,A business owner,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
13,18:30  -  18:44,82378694,Copperbelt,Kitwe,Urban,Male,3,One,AB,Some university,Other Christian,A business owner,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
14,20:00  -  20:14,82378694,Copperbelt,Kitwe,Urban,Male,3,One,AB,Some university,Other Christian,A business owner,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
15,19:30  -  19:44,82378694,Copperbelt,Kitwe,Urban,Male,3,One,AB,Some university,Other Christian,A business owner,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
16,13:00  -  13:14,82105046,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Retired - voluntary scholarspensioners,C1,"K 1675- K2,499",Yes,35 – 44,"9:00  -  9:14,10:15  -  10:29,13:00  -  13:14,15:45  -  15:59"
17,15:45  -  15:59,82105046,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Retired - voluntary scholarspensioners,C1,"K 1675- K2,499",Yes,35 – 44,"9:00  -  9:14,10:15  -  10:29,13:00  -  13:14,15:45  -  15:59"
18,9:00  -  9:14,82105046,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Retired - voluntary scholarspensioners,C1,"K 1675- K2,499",Yes,35 – 44,"9:00  -  9:14,10:15  -  10:29,13:00  -  13:14,15:45  -  15:59"
19,10:15  -  10:29,82105046,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Retired - voluntary scholarspensioners,C1,"K 1675- K2,499",Yes,35 – 44,"9:00  -  9:14,10:15  -  10:29,13:00  -  13:14,15:45  -  15:59"
20,21:45  -  21:59,82105099,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some high school,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,35 – 44,21:45  -  21:59
21,19:15  -  19:29,82105101,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some primary school,Other Christian,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,25 – 34,19:15  -  19:29
22,15:15  -  15:29,82184233,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some primary school,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,35 – 44,15:15  -  15:29
23,7:30  -  7:44,82188309,Copperbelt,Kitwe,Urban,Female,2,One,C1,Some primary school,Other Christian,A business owner,C1,"K 3,155   -  K 3,890",Yes,35 – 44,7:30  -  7:44
24,14:45  -  14:59,82191573,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some primary school,Other Christian,A business owner,C1,"K 3,891  -  K 4,627",Yes,35 – 44,14:45  -  14:59
25,14:15  -  14:29,82195184,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some primary school,Other Christian,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,19 – 24,14:15  -  14:29
26,11:45  -  11:59,82203700,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some university,Other Christian,A housewife/househusband,C1,"K 1675- K2,499",Yes,25 – 34,11:45  -  11:59
27,13:45  -  13:59,82267635,Copperbelt,Ndola,Urban,Male,2,Two or More,C1,Completed high School,Other Christian,A housewife/househusband,C1,Refusal [Do not show],Yes,25 – 34,13:45  -  13:59
28,16:15  -  16:29,82278491,Copperbelt,Kitwe,Urban,Female,2,None,C1,Completed high School,Other Christian,Retired - voluntary scholarspensioners,C1,"K 2,500   -  K 3,154",Yes,35 – 44,16:15  -  16:29
29,13:15  -  13:29,82286032,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some university,Other Christian,A business owner,C1,"K 2,500   -  K 3,154",Yes,25 – 34,13:15  -  13:29
30,13:45  -  13:59,82291925,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Other Christian,Student,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
31,14:00  -  14:14,82291925,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Other Christian,Student,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
32,13:00  -  13:14,82291925,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Other Christian,Student,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
33,13:15  -  13:29,82291925,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Other Christian,Student,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
34,13:30  -  13:44,82291925,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Other Christian,Student,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
35,9:00  -  9:14,82366370,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some university,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,35 – 44,9:00  -  9:14
36,8:15  -  8:29,82369702,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
37,8:00  -  8:14,82369702,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
38,8:30  -  8:44,82369702,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
39,9:30  -  9:44,82369702,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
40,9:45  -  9:59,82369702,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
41,9:15  -  9:29,82369702,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
42,9:00  -  9:14,82369702,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
43,8:45  -  8:59,82369702,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
44,11:45  -  11:59,82372511,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some university,Other Christian,A housewife/househusband,C1,"K 1675- K2,499",Yes,25 – 34,11:45  -  11:59
45,22:15  -  22:29,82378692,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Other Christian,Working Full-Time,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
46,19:00  -  19:14,82378692,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Other Christian,Working Full-Time,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
47,19:45  -  19:59,82378692,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Other Christian,Working Full-Time,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
48,18:15  -  18:29,82378692,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Other Christian,Working Full-Time,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
49,22:00  -  22:14,82378692,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Other Christian,Working Full-Time,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
50,20:15  -  20:29,82378692,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Other Christian,Working Full-Time,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
51,20:30  -  20:44,82378692,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Other Christian,Working Full-Time,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
52,18:30  -  18:44,82378692,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Other Christian,Working Full-Time,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
53,18:45  -  18:59,82378692,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Other Christian,Working Full-Time,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
54,18:00  -  18:14,82378692,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Other Christian,Working Full-Time,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
55,19:15  -  19:29,82378692,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Other Christian,Working Full-Time,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
56,22:30  -  22:44,82378692,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Other Christian,Working Full-Time,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
57,21:45  -  21:59,82378692,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Other Christian,Working Full-Time,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
58,22:45  -  22:59,82378692,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Other Christian,Working Full-Time,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
59,21:00  -  21:14,82378692,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Other Christian,Working Full-Time,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
60,20:45  -  20:59,82378692,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Other Christian,Working Full-Time,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
61,21:30  -  21:44,82378692,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Other Christian,Working Full-Time,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
62,21:15  -  21:29,82378692,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Other Christian,Working Full-Time,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
63,20:00  -  20:14,82378692,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Other Christian,Working Full-Time,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
64,19:30  -  19:44,82378692,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Other Christian,Working Full-Time,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
65,14:00  -  14:14,82382796,Copperbelt,Kitwe,Urban,Female,1,None,C1,Completed high School,Other Christian,A housewife/househusband,C1,"K 1675- K2,499",Yes,25 – 34,14:00  -  14:14
66,19:00  -  19:14,82383570,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some university,Other Christian,A business owner,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
67,19:45  -  19:59,82383570,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some university,Other Christian,A business owner,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
68,22:15  -  22:29,82383570,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some university,Other Christian,A business owner,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
