,Emmanuel TV  Saturday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Emmanuel TV  Saturday
15,9:00  -  9:14,60607299,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
16,8:15  -  8:29,60607299,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
17,8:00  -  8:14,60607299,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
18,6:15  -  6:29,60607299,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
19,6:30  -  6:44,60607299,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
20,7:45  -  7:59,60607299,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
21,6:45  -  6:59,60607299,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
22,7:00  -  7:14,60607299,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
23,7:15  -  7:29,60607299,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
24,8:30  -  8:44,60607299,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
25,16:00  -  16:14,60612540,Central,Chibombo,Rural,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59"
26,16:15  -  16:29,60612540,Central,Chibombo,Rural,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59"
27,15:00  -  15:14,60612540,Central,Chibombo,Rural,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59"
28,15:45  -  15:59,60612540,Central,Chibombo,Rural,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59"
29,16:45  -  16:59,60612540,Central,Chibombo,Rural,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59"
30,15:30  -  15:44,60612540,Central,Chibombo,Rural,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59"
31,16:30  -  16:44,60612540,Central,Chibombo,Rural,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59"
32,15:15  -  15:29,60612540,Central,Chibombo,Rural,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59"
33,22:30  -  22:44,60683147,Eastern,Chipata,Urban,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,45+,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
34,23:00  -  23:14,60683147,Eastern,Chipata,Urban,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,45+,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
35,22:00  -  22:14,60683147,Eastern,Chipata,Urban,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,45+,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
36,22:15  -  22:29,60683147,Eastern,Chipata,Urban,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,45+,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
37,22:45  -  22:59,60683147,Eastern,Chipata,Urban,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,45+,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
38,6:00  -  6:14,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"6:00  -  6:14,9:00  -  9:14"
39,9:00  -  9:14,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"6:00  -  6:14,9:00  -  9:14"
40,13:45  -  13:59,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
41,18:45  -  18:59,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
42,10:15  -  10:29,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
43,12:30  -  12:44,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
44,10:30  -  10:44,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
45,14:45  -  14:59,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
46,12:45  -  12:59,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
47,15:00  -  15:14,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
48,13:30  -  13:44,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
49,8:00  -  8:14,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
50,11:45  -  11:59,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
51,15:30  -  15:44,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
52,8:45  -  8:59,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
53,8:30  -  8:44,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
54,10:45  -  10:59,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
55,9:00  -  9:14,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
56,8:15  -  8:29,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
57,12:15  -  12:29,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
58,15:15  -  15:29,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
59,21:15  -  21:29,60541879,Central,Chibombo,Urban,Male,0,One,C1,Completed high School,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
60,22:00  -  22:14,60541879,Central,Chibombo,Urban,Male,0,One,C1,Completed high School,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
61,20:15  -  20:29,60541879,Central,Chibombo,Urban,Male,0,One,C1,Completed high School,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
62,21:45  -  21:59,60541879,Central,Chibombo,Urban,Male,0,One,C1,Completed high School,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
63,21:00  -  21:14,60541879,Central,Chibombo,Urban,Male,0,One,C1,Completed high School,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
64,21:30  -  21:44,60541879,Central,Chibombo,Urban,Male,0,One,C1,Completed high School,Other Christian,Student,C1,Under K 849,Yes,19 – 24,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
