,Zambezi Magic  Monday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Zambezi Magic  Monday
16,22:45  -  22:59,60553775,Muchinga,Nakonde,Urban,Male,2,Two or More,AB,Completed high School,Seventh Day Adventists,Self employed,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
17,21:45  -  21:59,60553775,Muchinga,Nakonde,Urban,Male,2,Two or More,AB,Completed high School,Seventh Day Adventists,Self employed,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
18,22:00  -  22:14,60553775,Muchinga,Nakonde,Urban,Male,2,Two or More,AB,Completed high School,Seventh Day Adventists,Self employed,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
19,21:15  -  21:29,60553775,Muchinga,Nakonde,Urban,Male,2,Two or More,AB,Completed high School,Seventh Day Adventists,Self employed,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
20,22:30  -  22:44,60553775,Muchinga,Nakonde,Urban,Male,2,Two or More,AB,Completed high School,Seventh Day Adventists,Self employed,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
21,21:00  -  21:14,60553775,Muchinga,Nakonde,Urban,Male,2,Two or More,AB,Completed high School,Seventh Day Adventists,Self employed,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
22,21:30  -  21:44,60553775,Muchinga,Nakonde,Urban,Male,2,Two or More,AB,Completed high School,Seventh Day Adventists,Self employed,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
23,19:45  -  19:59,60555110,Copperbelt,Mufulira,Urban,Female,0,One,AB,Any other post-high school qualification,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,21:15  -  21:29,21:30  -  21:44,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:30  -  23:44,23:45  -  23:59"
24,23:45  -  23:59,60555110,Copperbelt,Mufulira,Urban,Female,0,One,AB,Any other post-high school qualification,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,21:15  -  21:29,21:30  -  21:44,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:30  -  23:44,23:45  -  23:59"
25,23:00  -  23:14,60555110,Copperbelt,Mufulira,Urban,Female,0,One,AB,Any other post-high school qualification,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,21:15  -  21:29,21:30  -  21:44,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:30  -  23:44,23:45  -  23:59"
26,20:00  -  20:14,60555110,Copperbelt,Mufulira,Urban,Female,0,One,AB,Any other post-high school qualification,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,21:15  -  21:29,21:30  -  21:44,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:30  -  23:44,23:45  -  23:59"
27,17:15  -  17:29,60555110,Copperbelt,Mufulira,Urban,Female,0,One,AB,Any other post-high school qualification,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,21:15  -  21:29,21:30  -  21:44,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:30  -  23:44,23:45  -  23:59"
28,21:30  -  21:44,60555110,Copperbelt,Mufulira,Urban,Female,0,One,AB,Any other post-high school qualification,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,21:15  -  21:29,21:30  -  21:44,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:30  -  23:44,23:45  -  23:59"
29,18:45  -  18:59,60555110,Copperbelt,Mufulira,Urban,Female,0,One,AB,Any other post-high school qualification,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,21:15  -  21:29,21:30  -  21:44,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:30  -  23:44,23:45  -  23:59"
30,17:45  -  17:59,60555110,Copperbelt,Mufulira,Urban,Female,0,One,AB,Any other post-high school qualification,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,21:15  -  21:29,21:30  -  21:44,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:30  -  23:44,23:45  -  23:59"
31,23:30  -  23:44,60555110,Copperbelt,Mufulira,Urban,Female,0,One,AB,Any other post-high school qualification,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,21:15  -  21:29,21:30  -  21:44,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:30  -  23:44,23:45  -  23:59"
32,19:00  -  19:14,60555110,Copperbelt,Mufulira,Urban,Female,0,One,AB,Any other post-high school qualification,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,21:15  -  21:29,21:30  -  21:44,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:30  -  23:44,23:45  -  23:59"
33,17:30  -  17:44,60555110,Copperbelt,Mufulira,Urban,Female,0,One,AB,Any other post-high school qualification,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,21:15  -  21:29,21:30  -  21:44,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:30  -  23:44,23:45  -  23:59"
34,18:00  -  18:14,60555110,Copperbelt,Mufulira,Urban,Female,0,One,AB,Any other post-high school qualification,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,21:15  -  21:29,21:30  -  21:44,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:30  -  23:44,23:45  -  23:59"
35,17:00  -  17:14,60555110,Copperbelt,Mufulira,Urban,Female,0,One,AB,Any other post-high school qualification,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,21:15  -  21:29,21:30  -  21:44,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:30  -  23:44,23:45  -  23:59"
36,19:15  -  19:29,60555110,Copperbelt,Mufulira,Urban,Female,0,One,AB,Any other post-high school qualification,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,21:15  -  21:29,21:30  -  21:44,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:30  -  23:44,23:45  -  23:59"
37,18:30  -  18:44,60555110,Copperbelt,Mufulira,Urban,Female,0,One,AB,Any other post-high school qualification,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,21:15  -  21:29,21:30  -  21:44,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:30  -  23:44,23:45  -  23:59"
38,19:30  -  19:44,60555110,Copperbelt,Mufulira,Urban,Female,0,One,AB,Any other post-high school qualification,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,21:15  -  21:29,21:30  -  21:44,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:30  -  23:44,23:45  -  23:59"
39,22:45  -  22:59,60555110,Copperbelt,Mufulira,Urban,Female,0,One,AB,Any other post-high school qualification,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,21:15  -  21:29,21:30  -  21:44,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:30  -  23:44,23:45  -  23:59"
40,18:15  -  18:29,60555110,Copperbelt,Mufulira,Urban,Female,0,One,AB,Any other post-high school qualification,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,21:15  -  21:29,21:30  -  21:44,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:30  -  23:44,23:45  -  23:59"
41,21:15  -  21:29,60555110,Copperbelt,Mufulira,Urban,Female,0,One,AB,Any other post-high school qualification,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,21:15  -  21:29,21:30  -  21:44,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:30  -  23:44,23:45  -  23:59"
42,22:30  -  22:44,60555110,Copperbelt,Mufulira,Urban,Female,0,One,AB,Any other post-high school qualification,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,35 – 44,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,21:15  -  21:29,21:30  -  21:44,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:30  -  23:44,23:45  -  23:59"
43,16:15  -  16:29,60556109,Copperbelt,Kitwe,Urban,Female,1,None,AB,Completed high School,Others,Working Full-Time,D,"K 1675- K2,499",Yes,45+,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
44,15:30  -  15:44,60556109,Copperbelt,Kitwe,Urban,Female,1,None,AB,Completed high School,Others,Working Full-Time,D,"K 1675- K2,499",Yes,45+,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
45,15:00  -  15:14,60556109,Copperbelt,Kitwe,Urban,Female,1,None,AB,Completed high School,Others,Working Full-Time,D,"K 1675- K2,499",Yes,45+,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
46,13:00  -  13:14,60556109,Copperbelt,Kitwe,Urban,Female,1,None,AB,Completed high School,Others,Working Full-Time,D,"K 1675- K2,499",Yes,45+,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
47,13:15  -  13:29,60556109,Copperbelt,Kitwe,Urban,Female,1,None,AB,Completed high School,Others,Working Full-Time,D,"K 1675- K2,499",Yes,45+,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
48,16:45  -  16:59,60556109,Copperbelt,Kitwe,Urban,Female,1,None,AB,Completed high School,Others,Working Full-Time,D,"K 1675- K2,499",Yes,45+,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
49,17:15  -  17:29,60556109,Copperbelt,Kitwe,Urban,Female,1,None,AB,Completed high School,Others,Working Full-Time,D,"K 1675- K2,499",Yes,45+,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
50,15:15  -  15:29,60556109,Copperbelt,Kitwe,Urban,Female,1,None,AB,Completed high School,Others,Working Full-Time,D,"K 1675- K2,499",Yes,45+,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
51,15:45  -  15:59,60556109,Copperbelt,Kitwe,Urban,Female,1,None,AB,Completed high School,Others,Working Full-Time,D,"K 1675- K2,499",Yes,45+,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
52,16:30  -  16:44,60556109,Copperbelt,Kitwe,Urban,Female,1,None,AB,Completed high School,Others,Working Full-Time,D,"K 1675- K2,499",Yes,45+,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44"
