,African Movie Channel AMC  Saturday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,African Movie Channel AMC  Saturday
15,19:00  -  19:14,82378694,Copperbelt,Kitwe,Urban,Male,3,One,AB,Some university,Other Christian,A business owner,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
16,18:45  -  18:59,82378694,Copperbelt,Kitwe,Urban,Male,3,One,AB,Some university,Other Christian,A business owner,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
17,19:45  -  19:59,82378694,Copperbelt,Kitwe,Urban,Male,3,One,AB,Some university,Other Christian,A business owner,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
18,21:00  -  21:14,82378694,Copperbelt,Kitwe,Urban,Male,3,One,AB,Some university,Other Christian,A business owner,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
19,20:45  -  20:59,82378694,Copperbelt,Kitwe,Urban,Male,3,One,AB,Some university,Other Christian,A business owner,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
20,18:15  -  18:29,82378694,Copperbelt,Kitwe,Urban,Male,3,One,AB,Some university,Other Christian,A business owner,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
21,18:00  -  18:14,82378694,Copperbelt,Kitwe,Urban,Male,3,One,AB,Some university,Other Christian,A business owner,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
22,20:15  -  20:29,82378694,Copperbelt,Kitwe,Urban,Male,3,One,AB,Some university,Other Christian,A business owner,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
23,19:15  -  19:29,82378694,Copperbelt,Kitwe,Urban,Male,3,One,AB,Some university,Other Christian,A business owner,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
24,20:30  -  20:44,82378694,Copperbelt,Kitwe,Urban,Male,3,One,AB,Some university,Other Christian,A business owner,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
25,18:30  -  18:44,82378694,Copperbelt,Kitwe,Urban,Male,3,One,AB,Some university,Other Christian,A business owner,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
26,20:00  -  20:14,82378694,Copperbelt,Kitwe,Urban,Male,3,One,AB,Some university,Other Christian,A business owner,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
27,19:30  -  19:44,82378694,Copperbelt,Kitwe,Urban,Male,3,One,AB,Some university,Other Christian,A business owner,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
28,12:45  -  12:59,60583134,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some university,Seventh Day Adventists,Student,C1,"K 6,103   -  K 7,892",Yes,19 – 24,"10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
29,11:15  -  11:29,60583134,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some university,Seventh Day Adventists,Student,C1,"K 6,103   -  K 7,892",Yes,19 – 24,"10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
30,12:30  -  12:44,60583134,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some university,Seventh Day Adventists,Student,C1,"K 6,103   -  K 7,892",Yes,19 – 24,"10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
31,11:30  -  11:44,60583134,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some university,Seventh Day Adventists,Student,C1,"K 6,103   -  K 7,892",Yes,19 – 24,"10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
32,10:30  -  10:44,60583134,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some university,Seventh Day Adventists,Student,C1,"K 6,103   -  K 7,892",Yes,19 – 24,"10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
33,11:45  -  11:59,60583134,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some university,Seventh Day Adventists,Student,C1,"K 6,103   -  K 7,892",Yes,19 – 24,"10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
34,13:00  -  13:14,60583134,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some university,Seventh Day Adventists,Student,C1,"K 6,103   -  K 7,892",Yes,19 – 24,"10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
35,11:00  -  11:14,60583134,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some university,Seventh Day Adventists,Student,C1,"K 6,103   -  K 7,892",Yes,19 – 24,"10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
36,10:45  -  10:59,60583134,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some university,Seventh Day Adventists,Student,C1,"K 6,103   -  K 7,892",Yes,19 – 24,"10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
37,12:00  -  12:14,60583134,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some university,Seventh Day Adventists,Student,C1,"K 6,103   -  K 7,892",Yes,19 – 24,"10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
38,12:15  -  12:29,60583134,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some university,Seventh Day Adventists,Student,C1,"K 6,103   -  K 7,892",Yes,19 – 24,"10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14"
39,19:00  -  19:14,60706991,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
40,19:45  -  19:59,60706991,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
41,20:15  -  20:29,60706991,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
42,19:15  -  19:29,60706991,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
43,20:00  -  20:14,60706991,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
44,19:30  -  19:44,60706991,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
45,13:00  -  13:14,82105046,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Retired - voluntary scholarspensioners,C1,"K 1675- K2,499",Yes,35 – 44,"9:00  -  9:14,10:15  -  10:29,13:00  -  13:14,15:45  -  15:59"
46,15:45  -  15:59,82105046,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Retired - voluntary scholarspensioners,C1,"K 1675- K2,499",Yes,35 – 44,"9:00  -  9:14,10:15  -  10:29,13:00  -  13:14,15:45  -  15:59"
47,9:00  -  9:14,82105046,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Retired - voluntary scholarspensioners,C1,"K 1675- K2,499",Yes,35 – 44,"9:00  -  9:14,10:15  -  10:29,13:00  -  13:14,15:45  -  15:59"
48,10:15  -  10:29,82105046,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Other Christian,Retired - voluntary scholarspensioners,C1,"K 1675- K2,499",Yes,35 – 44,"9:00  -  9:14,10:15  -  10:29,13:00  -  13:14,15:45  -  15:59"
49,21:45  -  21:59,82105099,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some high school,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,35 – 44,21:45  -  21:59
50,19:15  -  19:29,82105101,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some primary school,Other Christian,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,25 – 34,19:15  -  19:29
51,15:15  -  15:29,82184233,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some primary school,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,35 – 44,15:15  -  15:29
52,7:30  -  7:44,82188309,Copperbelt,Kitwe,Urban,Female,2,One,C1,Some primary school,Other Christian,A business owner,C1,"K 3,155   -  K 3,890",Yes,35 – 44,7:30  -  7:44
53,14:45  -  14:59,82191573,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some primary school,Other Christian,A business owner,C1,"K 3,891  -  K 4,627",Yes,35 – 44,14:45  -  14:59
54,14:15  -  14:29,82195184,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some primary school,Other Christian,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,19 – 24,14:15  -  14:29
55,11:45  -  11:59,82203700,Copperbelt,Kitwe,Urban,Female,2,None,C1,Some university,Other Christian,A housewife/househusband,C1,"K 1675- K2,499",Yes,25 – 34,11:45  -  11:59
56,13:45  -  13:59,82267635,Copperbelt,Ndola,Urban,Male,2,Two or More,C1,Completed high School,Other Christian,A housewife/househusband,C1,Refusal [Do not show],Yes,25 – 34,13:45  -  13:59
57,16:15  -  16:29,82278491,Copperbelt,Kitwe,Urban,Female,2,None,C1,Completed high School,Other Christian,Retired - voluntary scholarspensioners,C1,"K 2,500   -  K 3,154",Yes,35 – 44,16:15  -  16:29
58,13:15  -  13:29,82286032,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some university,Other Christian,A business owner,C1,"K 2,500   -  K 3,154",Yes,25 – 34,13:15  -  13:29
59,13:45  -  13:59,82291925,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Other Christian,Student,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
60,14:00  -  14:14,82291925,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Other Christian,Student,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
61,13:00  -  13:14,82291925,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Other Christian,Student,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
62,13:15  -  13:29,82291925,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Other Christian,Student,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
63,13:30  -  13:44,82291925,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Other Christian,Student,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
64,9:00  -  9:14,82366370,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some university,Other Christian,A business owner,C1,"K 1675- K2,499",Yes,35 – 44,9:00  -  9:14
65,8:15  -  8:29,82369702,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
66,8:00  -  8:14,82369702,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
67,8:30  -  8:44,82369702,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
68,9:30  -  9:44,82369702,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
69,9:45  -  9:59,82369702,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
70,9:15  -  9:29,82369702,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
71,9:00  -  9:14,82369702,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
72,8:45  -  8:59,82369702,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Other Christian,Student,C1,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
73,11:45  -  11:59,82372511,Copperbelt,Kitwe,Urban,Female,1,None,C1,Some university,Other Christian,A housewife/househusband,C1,"K 1675- K2,499",Yes,25 – 34,11:45  -  11:59
74,22:15  -  22:29,82378692,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Other Christian,Working Full-Time,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
75,19:00  -  19:14,82378692,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Other Christian,Working Full-Time,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
76,19:45  -  19:59,82378692,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Other Christian,Working Full-Time,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
77,18:15  -  18:29,82378692,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Other Christian,Working Full-Time,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
78,22:00  -  22:14,82378692,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Other Christian,Working Full-Time,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
79,20:15  -  20:29,82378692,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Other Christian,Working Full-Time,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59"
