,BBC World News  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,BBC World News  Yesterday
10,22:45  -  22:59,60524231,Southern,Mazabuka,Urban,Male,2,None,AB,Some university,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,45+,"20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14"
11,22:15  -  22:29,60541600,Lusaka,Lusaka district,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
12,23:00  -  23:14,60541600,Lusaka,Lusaka district,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
13,23:45  -  23:59,60541600,Lusaka,Lusaka district,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
14,22:00  -  22:14,60541600,Lusaka,Lusaka district,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
15,23:15  -  23:29,60541600,Lusaka,Lusaka district,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
16,22:30  -  22:44,60541600,Lusaka,Lusaka district,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
17,22:45  -  22:59,60541600,Lusaka,Lusaka district,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
18,23:30  -  23:44,60541600,Lusaka,Lusaka district,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
19,7:00  -  7:14,60564875,North-Western,Solwezi,Urban,Male,1,Two or More,AB,Completed high School,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 6,103   -  K 7,892",Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
20,6:15  -  6:29,60564875,North-Western,Solwezi,Urban,Male,1,Two or More,AB,Completed high School,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 6,103   -  K 7,892",Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
21,6:30  -  6:44,60564875,North-Western,Solwezi,Urban,Male,1,Two or More,AB,Completed high School,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 6,103   -  K 7,892",Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
22,7:15  -  7:29,60564875,North-Western,Solwezi,Urban,Male,1,Two or More,AB,Completed high School,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 6,103   -  K 7,892",Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
23,7:30  -  7:44,60564875,North-Western,Solwezi,Urban,Male,1,Two or More,AB,Completed high School,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 6,103   -  K 7,892",Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
24,6:00  -  6:14,60564875,North-Western,Solwezi,Urban,Male,1,Two or More,AB,Completed high School,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 6,103   -  K 7,892",Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
25,6:45  -  6:59,60564875,North-Western,Solwezi,Urban,Male,1,Two or More,AB,Completed high School,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 6,103   -  K 7,892",Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
26,7:45  -  7:59,60564875,North-Western,Solwezi,Urban,Male,1,Two or More,AB,Completed high School,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 6,103   -  K 7,892",Yes,45+,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
27,8:00  -  8:14,60595425,Lusaka,Lusaka district,Urban,Male,1,None,AB,Some university,Roman Catholic,Unemployed [NOT SEEKING A JOB],C2,"K 1675- K2,499",Yes,25 – 34,8:00  -  8:14
28,19:00  -  19:14,60606294,Copperbelt,Mufulira,Urban,Male,0,None,AB,Any other post-high school qualification,Roman Catholic,Working Part-Time,Do not know,Do not know,Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:30  -  19:44,19:45  -  19:59"
29,18:45  -  18:59,60606294,Copperbelt,Mufulira,Urban,Male,0,None,AB,Any other post-high school qualification,Roman Catholic,Working Part-Time,Do not know,Do not know,Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:30  -  19:44,19:45  -  19:59"
30,19:45  -  19:59,60606294,Copperbelt,Mufulira,Urban,Male,0,None,AB,Any other post-high school qualification,Roman Catholic,Working Part-Time,Do not know,Do not know,Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:30  -  19:44,19:45  -  19:59"
31,18:15  -  18:29,60606294,Copperbelt,Mufulira,Urban,Male,0,None,AB,Any other post-high school qualification,Roman Catholic,Working Part-Time,Do not know,Do not know,Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:30  -  19:44,19:45  -  19:59"
32,18:00  -  18:14,60606294,Copperbelt,Mufulira,Urban,Male,0,None,AB,Any other post-high school qualification,Roman Catholic,Working Part-Time,Do not know,Do not know,Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:30  -  19:44,19:45  -  19:59"
33,18:30  -  18:44,60606294,Copperbelt,Mufulira,Urban,Male,0,None,AB,Any other post-high school qualification,Roman Catholic,Working Part-Time,Do not know,Do not know,Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:30  -  19:44,19:45  -  19:59"
34,19:30  -  19:44,60606294,Copperbelt,Mufulira,Urban,Male,0,None,AB,Any other post-high school qualification,Roman Catholic,Working Part-Time,Do not know,Do not know,Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:30  -  19:44,19:45  -  19:59"
35,6:00  -  6:14,60667449,Eastern,Chipata,Urban,Female,1,One,AB,University completed,Other Christian,Working Full-Time,C1,"K 14,632 -  K 17,499",Yes,25 – 34,"5:30  -  5:44,6:00  -  6:14"
36,5:30  -  5:44,60667449,Eastern,Chipata,Urban,Female,1,One,AB,University completed,Other Christian,Working Full-Time,C1,"K 14,632 -  K 17,499",Yes,25 – 34,"5:30  -  5:44,6:00  -  6:14"
37,8:30  -  8:44,60673485,Eastern,Chipata,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:15  -  7:29,8:30  -  8:44,9:00  -  9:14,9:15  -  9:29,10:00  -  10:14,10:15  -  10:29,10:45  -  10:59,11:30  -  11:44,12:30  -  12:44,16:30  -  16:44,17:30  -  17:44,18:15  -  18:29,18:30  -  18:44,19:00  -  19:14,19:15  -  19:29,20:00  -  20:14"
38,6:15  -  6:29,60673485,Eastern,Chipata,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:15  -  7:29,8:30  -  8:44,9:00  -  9:14,9:15  -  9:29,10:00  -  10:14,10:15  -  10:29,10:45  -  10:59,11:30  -  11:44,12:30  -  12:44,16:30  -  16:44,17:30  -  17:44,18:15  -  18:29,18:30  -  18:44,19:00  -  19:14,19:15  -  19:29,20:00  -  20:14"
39,12:30  -  12:44,60673485,Eastern,Chipata,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:15  -  7:29,8:30  -  8:44,9:00  -  9:14,9:15  -  9:29,10:00  -  10:14,10:15  -  10:29,10:45  -  10:59,11:30  -  11:44,12:30  -  12:44,16:30  -  16:44,17:30  -  17:44,18:15  -  18:29,18:30  -  18:44,19:00  -  19:14,19:15  -  19:29,20:00  -  20:14"
40,7:15  -  7:29,60673485,Eastern,Chipata,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:15  -  7:29,8:30  -  8:44,9:00  -  9:14,9:15  -  9:29,10:00  -  10:14,10:15  -  10:29,10:45  -  10:59,11:30  -  11:44,12:30  -  12:44,16:30  -  16:44,17:30  -  17:44,18:15  -  18:29,18:30  -  18:44,19:00  -  19:14,19:15  -  19:29,20:00  -  20:14"
41,10:45  -  10:59,60673485,Eastern,Chipata,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:15  -  7:29,8:30  -  8:44,9:00  -  9:14,9:15  -  9:29,10:00  -  10:14,10:15  -  10:29,10:45  -  10:59,11:30  -  11:44,12:30  -  12:44,16:30  -  16:44,17:30  -  17:44,18:15  -  18:29,18:30  -  18:44,19:00  -  19:14,19:15  -  19:29,20:00  -  20:14"
42,9:00  -  9:14,60673485,Eastern,Chipata,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:15  -  7:29,8:30  -  8:44,9:00  -  9:14,9:15  -  9:29,10:00  -  10:14,10:15  -  10:29,10:45  -  10:59,11:30  -  11:44,12:30  -  12:44,16:30  -  16:44,17:30  -  17:44,18:15  -  18:29,18:30  -  18:44,19:00  -  19:14,19:15  -  19:29,20:00  -  20:14"
43,19:00  -  19:14,60673485,Eastern,Chipata,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:15  -  7:29,8:30  -  8:44,9:00  -  9:14,9:15  -  9:29,10:00  -  10:14,10:15  -  10:29,10:45  -  10:59,11:30  -  11:44,12:30  -  12:44,16:30  -  16:44,17:30  -  17:44,18:15  -  18:29,18:30  -  18:44,19:00  -  19:14,19:15  -  19:29,20:00  -  20:14"
44,18:15  -  18:29,60673485,Eastern,Chipata,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:15  -  7:29,8:30  -  8:44,9:00  -  9:14,9:15  -  9:29,10:00  -  10:14,10:15  -  10:29,10:45  -  10:59,11:30  -  11:44,12:30  -  12:44,16:30  -  16:44,17:30  -  17:44,18:15  -  18:29,18:30  -  18:44,19:00  -  19:14,19:15  -  19:29,20:00  -  20:14"
45,6:30  -  6:44,60673485,Eastern,Chipata,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:15  -  7:29,8:30  -  8:44,9:00  -  9:14,9:15  -  9:29,10:00  -  10:14,10:15  -  10:29,10:45  -  10:59,11:30  -  11:44,12:30  -  12:44,16:30  -  16:44,17:30  -  17:44,18:15  -  18:29,18:30  -  18:44,19:00  -  19:14,19:15  -  19:29,20:00  -  20:14"
46,18:30  -  18:44,60673485,Eastern,Chipata,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:15  -  7:29,8:30  -  8:44,9:00  -  9:14,9:15  -  9:29,10:00  -  10:14,10:15  -  10:29,10:45  -  10:59,11:30  -  11:44,12:30  -  12:44,16:30  -  16:44,17:30  -  17:44,18:15  -  18:29,18:30  -  18:44,19:00  -  19:14,19:15  -  19:29,20:00  -  20:14"
47,6:00  -  6:14,60673485,Eastern,Chipata,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:15  -  7:29,8:30  -  8:44,9:00  -  9:14,9:15  -  9:29,10:00  -  10:14,10:15  -  10:29,10:45  -  10:59,11:30  -  11:44,12:30  -  12:44,16:30  -  16:44,17:30  -  17:44,18:15  -  18:29,18:30  -  18:44,19:00  -  19:14,19:15  -  19:29,20:00  -  20:14"
48,6:45  -  6:59,60673485,Eastern,Chipata,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:15  -  7:29,8:30  -  8:44,9:00  -  9:14,9:15  -  9:29,10:00  -  10:14,10:15  -  10:29,10:45  -  10:59,11:30  -  11:44,12:30  -  12:44,16:30  -  16:44,17:30  -  17:44,18:15  -  18:29,18:30  -  18:44,19:00  -  19:14,19:15  -  19:29,20:00  -  20:14"
49,10:15  -  10:29,60673485,Eastern,Chipata,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:15  -  7:29,8:30  -  8:44,9:00  -  9:14,9:15  -  9:29,10:00  -  10:14,10:15  -  10:29,10:45  -  10:59,11:30  -  11:44,12:30  -  12:44,16:30  -  16:44,17:30  -  17:44,18:15  -  18:29,18:30  -  18:44,19:00  -  19:14,19:15  -  19:29,20:00  -  20:14"
50,19:15  -  19:29,60673485,Eastern,Chipata,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:15  -  7:29,8:30  -  8:44,9:00  -  9:14,9:15  -  9:29,10:00  -  10:14,10:15  -  10:29,10:45  -  10:59,11:30  -  11:44,12:30  -  12:44,16:30  -  16:44,17:30  -  17:44,18:15  -  18:29,18:30  -  18:44,19:00  -  19:14,19:15  -  19:29,20:00  -  20:14"
51,9:15  -  9:29,60673485,Eastern,Chipata,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:15  -  7:29,8:30  -  8:44,9:00  -  9:14,9:15  -  9:29,10:00  -  10:14,10:15  -  10:29,10:45  -  10:59,11:30  -  11:44,12:30  -  12:44,16:30  -  16:44,17:30  -  17:44,18:15  -  18:29,18:30  -  18:44,19:00  -  19:14,19:15  -  19:29,20:00  -  20:14"
52,10:00  -  10:14,60673485,Eastern,Chipata,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:15  -  7:29,8:30  -  8:44,9:00  -  9:14,9:15  -  9:29,10:00  -  10:14,10:15  -  10:29,10:45  -  10:59,11:30  -  11:44,12:30  -  12:44,16:30  -  16:44,17:30  -  17:44,18:15  -  18:29,18:30  -  18:44,19:00  -  19:14,19:15  -  19:29,20:00  -  20:14"
53,11:30  -  11:44,60673485,Eastern,Chipata,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:15  -  7:29,8:30  -  8:44,9:00  -  9:14,9:15  -  9:29,10:00  -  10:14,10:15  -  10:29,10:45  -  10:59,11:30  -  11:44,12:30  -  12:44,16:30  -  16:44,17:30  -  17:44,18:15  -  18:29,18:30  -  18:44,19:00  -  19:14,19:15  -  19:29,20:00  -  20:14"
54,17:30  -  17:44,60673485,Eastern,Chipata,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:15  -  7:29,8:30  -  8:44,9:00  -  9:14,9:15  -  9:29,10:00  -  10:14,10:15  -  10:29,10:45  -  10:59,11:30  -  11:44,12:30  -  12:44,16:30  -  16:44,17:30  -  17:44,18:15  -  18:29,18:30  -  18:44,19:00  -  19:14,19:15  -  19:29,20:00  -  20:14"
55,16:30  -  16:44,60673485,Eastern,Chipata,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:15  -  7:29,8:30  -  8:44,9:00  -  9:14,9:15  -  9:29,10:00  -  10:14,10:15  -  10:29,10:45  -  10:59,11:30  -  11:44,12:30  -  12:44,16:30  -  16:44,17:30  -  17:44,18:15  -  18:29,18:30  -  18:44,19:00  -  19:14,19:15  -  19:29,20:00  -  20:14"
56,20:00  -  20:14,60673485,Eastern,Chipata,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:15  -  7:29,8:30  -  8:44,9:00  -  9:14,9:15  -  9:29,10:00  -  10:14,10:15  -  10:29,10:45  -  10:59,11:30  -  11:44,12:30  -  12:44,16:30  -  16:44,17:30  -  17:44,18:15  -  18:29,18:30  -  18:44,19:00  -  19:14,19:15  -  19:29,20:00  -  20:14"
57,23:00  -  23:14,60755602,Central,Kabwe,Urban,Male,1,None,AB,Completed high School,Roman Catholic,Self employed,C2,"K 4,628   -  K 5,364",Yes,35 – 44,"23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
58,23:45  -  23:59,60755602,Central,Kabwe,Urban,Male,1,None,AB,Completed high School,Roman Catholic,Self employed,C2,"K 4,628   -  K 5,364",Yes,35 – 44,"23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
59,23:30  -  23:44,60755602,Central,Kabwe,Urban,Male,1,None,AB,Completed high School,Roman Catholic,Self employed,C2,"K 4,628   -  K 5,364",Yes,35 – 44,"23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
60,23:15  -  23:29,60755602,Central,Kabwe,Urban,Male,1,None,AB,Completed high School,Roman Catholic,Self employed,C2,"K 4,628   -  K 5,364",Yes,35 – 44,"23:00  -  23:14,23:15  -  23:29,23:30  -  23:44,23:45  -  23:59"
61,18:45  -  18:59,60757629,North-Western,Solwezi,Urban,Male,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
62,17:15  -  17:29,60757629,North-Western,Solwezi,Urban,Male,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
63,17:00  -  17:14,60757629,North-Western,Solwezi,Urban,Male,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
64,18:15  -  18:29,60757629,North-Western,Solwezi,Urban,Male,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
65,18:00  -  18:14,60757629,North-Western,Solwezi,Urban,Male,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
