,Discovery Channel  Tueday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Discovery Channel  Tueday
10,11:45  -  11:59,82179280,Copperbelt,Ndola,Urban,Male,3,One,C2,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Refusal [Do not show],Yes,25 – 34,11:45  -  11:59
11,20:30  -  20:44,82372898,Eastern,Chipata,Rural,Female,1,None,C2,Some primary school,Other Christian,Do odd jobs or piece work,C2,Under K 849,Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
12,19:00  -  19:14,82372898,Eastern,Chipata,Rural,Female,1,None,C2,Some primary school,Other Christian,Do odd jobs or piece work,C2,Under K 849,Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
13,18:00  -  18:14,82372898,Eastern,Chipata,Rural,Female,1,None,C2,Some primary school,Other Christian,Do odd jobs or piece work,C2,Under K 849,Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
14,19:15  -  19:29,82372898,Eastern,Chipata,Rural,Female,1,None,C2,Some primary school,Other Christian,Do odd jobs or piece work,C2,Under K 849,Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
15,19:30  -  19:44,82372898,Eastern,Chipata,Rural,Female,1,None,C2,Some primary school,Other Christian,Do odd jobs or piece work,C2,Under K 849,Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
16,18:45  -  18:59,82372898,Eastern,Chipata,Rural,Female,1,None,C2,Some primary school,Other Christian,Do odd jobs or piece work,C2,Under K 849,Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
17,21:00  -  21:14,82372898,Eastern,Chipata,Rural,Female,1,None,C2,Some primary school,Other Christian,Do odd jobs or piece work,C2,Under K 849,Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
18,18:15  -  18:29,82372898,Eastern,Chipata,Rural,Female,1,None,C2,Some primary school,Other Christian,Do odd jobs or piece work,C2,Under K 849,Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
19,20:00  -  20:14,82372898,Eastern,Chipata,Rural,Female,1,None,C2,Some primary school,Other Christian,Do odd jobs or piece work,C2,Under K 849,Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
20,20:45  -  20:59,82372898,Eastern,Chipata,Rural,Female,1,None,C2,Some primary school,Other Christian,Do odd jobs or piece work,C2,Under K 849,Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
21,18:30  -  18:44,82372898,Eastern,Chipata,Rural,Female,1,None,C2,Some primary school,Other Christian,Do odd jobs or piece work,C2,Under K 849,Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
22,19:45  -  19:59,82372898,Eastern,Chipata,Rural,Female,1,None,C2,Some primary school,Other Christian,Do odd jobs or piece work,C2,Under K 849,Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
23,20:15  -  20:29,82372898,Eastern,Chipata,Rural,Female,1,None,C2,Some primary school,Other Christian,Do odd jobs or piece work,C2,Under K 849,Yes,35 – 44,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
