,Al Jazeera  Monday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Al Jazeera  Monday
16,20:30  -  20:44,60536770,Lusaka,Kafue,Urban,Male,1,None,AB,Some high school,Anglican/Protestant,Student,D,K 850-K 1674,Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
17,18:30  -  18:44,60536770,Lusaka,Kafue,Urban,Male,1,None,AB,Some high school,Anglican/Protestant,Student,D,K 850-K 1674,Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
18,18:45  -  18:59,60536770,Lusaka,Kafue,Urban,Male,1,None,AB,Some high school,Anglican/Protestant,Student,D,K 850-K 1674,Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
19,17:00  -  17:14,60536770,Lusaka,Kafue,Urban,Male,1,None,AB,Some high school,Anglican/Protestant,Student,D,K 850-K 1674,Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
20,18:00  -  18:14,60536770,Lusaka,Kafue,Urban,Male,1,None,AB,Some high school,Anglican/Protestant,Student,D,K 850-K 1674,Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
21,19:15  -  19:29,60536770,Lusaka,Kafue,Urban,Male,1,None,AB,Some high school,Anglican/Protestant,Student,D,K 850-K 1674,Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
22,17:45  -  17:59,60536770,Lusaka,Kafue,Urban,Male,1,None,AB,Some high school,Anglican/Protestant,Student,D,K 850-K 1674,Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
23,21:45  -  21:59,60536770,Lusaka,Kafue,Urban,Male,1,None,AB,Some high school,Anglican/Protestant,Student,D,K 850-K 1674,Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
24,21:00  -  21:14,60536770,Lusaka,Kafue,Urban,Male,1,None,AB,Some high school,Anglican/Protestant,Student,D,K 850-K 1674,Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
25,20:45  -  20:59,60536770,Lusaka,Kafue,Urban,Male,1,None,AB,Some high school,Anglican/Protestant,Student,D,K 850-K 1674,Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
26,21:30  -  21:44,60536770,Lusaka,Kafue,Urban,Male,1,None,AB,Some high school,Anglican/Protestant,Student,D,K 850-K 1674,Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
27,21:15  -  21:29,60536770,Lusaka,Kafue,Urban,Male,1,None,AB,Some high school,Anglican/Protestant,Student,D,K 850-K 1674,Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
28,17:30  -  17:44,60536770,Lusaka,Kafue,Urban,Male,1,None,AB,Some high school,Anglican/Protestant,Student,D,K 850-K 1674,Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
29,20:00  -  20:14,60536770,Lusaka,Kafue,Urban,Male,1,None,AB,Some high school,Anglican/Protestant,Student,D,K 850-K 1674,Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
30,19:30  -  19:44,60536770,Lusaka,Kafue,Urban,Male,1,None,AB,Some high school,Anglican/Protestant,Student,D,K 850-K 1674,Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
31,7:00  -  7:14,60564879,North-Western,Solwezi,Urban,Male,1,None,AB,University completed,Roman Catholic,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
32,6:15  -  6:29,60564879,North-Western,Solwezi,Urban,Male,1,None,AB,University completed,Roman Catholic,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
33,6:30  -  6:44,60564879,North-Western,Solwezi,Urban,Male,1,None,AB,University completed,Roman Catholic,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
34,7:15  -  7:29,60564879,North-Western,Solwezi,Urban,Male,1,None,AB,University completed,Roman Catholic,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
35,7:30  -  7:44,60564879,North-Western,Solwezi,Urban,Male,1,None,AB,University completed,Roman Catholic,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
36,6:00  -  6:14,60564879,North-Western,Solwezi,Urban,Male,1,None,AB,University completed,Roman Catholic,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
37,6:45  -  6:59,60564879,North-Western,Solwezi,Urban,Male,1,None,AB,University completed,Roman Catholic,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
38,7:45  -  7:59,60564879,North-Western,Solwezi,Urban,Male,1,None,AB,University completed,Roman Catholic,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
39,6:00  -  6:14,60583348,Lusaka,Kafue,Urban,Female,0,None,AB,Some university,Other Christian,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,"6:00  -  6:14,8:00  -  8:14,10:00  -  10:14"
40,8:00  -  8:14,60583348,Lusaka,Kafue,Urban,Female,0,None,AB,Some university,Other Christian,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,"6:00  -  6:14,8:00  -  8:14,10:00  -  10:14"
41,10:00  -  10:14,60583348,Lusaka,Kafue,Urban,Female,0,None,AB,Some university,Other Christian,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,"6:00  -  6:14,8:00  -  8:14,10:00  -  10:14"
42,13:00  -  13:14,60583352,Lusaka,Kafue,Urban,Male,1,None,AB,University completed,Other Christian,Working Full-Time,C2,"K 3,891  -  K 4,627",Yes,35 – 44,"13:00  -  13:14,14:00  -  14:14,15:00  -  15:14"
43,15:00  -  15:14,60583352,Lusaka,Kafue,Urban,Male,1,None,AB,University completed,Other Christian,Working Full-Time,C2,"K 3,891  -  K 4,627",Yes,35 – 44,"13:00  -  13:14,14:00  -  14:14,15:00  -  15:14"
44,14:00  -  14:14,60583352,Lusaka,Kafue,Urban,Male,1,None,AB,University completed,Other Christian,Working Full-Time,C2,"K 3,891  -  K 4,627",Yes,35 – 44,"13:00  -  13:14,14:00  -  14:14,15:00  -  15:14"
45,19:00  -  19:14,60588153,Southern,Livingstone,Urban,Male,1,None,AB,Some university,Roman Catholic,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
46,18:45  -  18:59,60588153,Southern,Livingstone,Urban,Male,1,None,AB,Some university,Roman Catholic,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
47,19:45  -  19:59,60588153,Southern,Livingstone,Urban,Male,1,None,AB,Some university,Roman Catholic,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
48,21:00  -  21:14,60588153,Southern,Livingstone,Urban,Male,1,None,AB,Some university,Roman Catholic,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
49,20:45  -  20:59,60588153,Southern,Livingstone,Urban,Male,1,None,AB,Some university,Roman Catholic,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
50,18:15  -  18:29,60588153,Southern,Livingstone,Urban,Male,1,None,AB,Some university,Roman Catholic,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
51,18:00  -  18:14,60588153,Southern,Livingstone,Urban,Male,1,None,AB,Some university,Roman Catholic,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
52,20:15  -  20:29,60588153,Southern,Livingstone,Urban,Male,1,None,AB,Some university,Roman Catholic,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
53,19:15  -  19:29,60588153,Southern,Livingstone,Urban,Male,1,None,AB,Some university,Roman Catholic,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
54,21:15  -  21:29,60588153,Southern,Livingstone,Urban,Male,1,None,AB,Some university,Roman Catholic,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
55,20:30  -  20:44,60588153,Southern,Livingstone,Urban,Male,1,None,AB,Some university,Roman Catholic,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
56,18:30  -  18:44,60588153,Southern,Livingstone,Urban,Male,1,None,AB,Some university,Roman Catholic,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
57,20:00  -  20:14,60588153,Southern,Livingstone,Urban,Male,1,None,AB,Some university,Roman Catholic,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
58,19:30  -  19:44,60588153,Southern,Livingstone,Urban,Male,1,None,AB,Some university,Roman Catholic,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
59,7:00  -  7:14,60600483,Eastern,Chipata,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
60,6:15  -  6:29,60600483,Eastern,Chipata,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
61,6:30  -  6:44,60600483,Eastern,Chipata,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
