SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range
60540727,Central,Kapiri Mposhi,Urban,Male,1,None,AB,Any other post-high school qualification,Other Christian,Working Full-Time,C2,"K 3,891  -  K 4,627",Yes,35 – 44
60541600,Lusaka,Lusaka district,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44
60543874,Copperbelt,Ndola,Urban,Female,1,None,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 6,103   -  K 7,892",No,25 – 34
60548541,Copperbelt,Kitwe,Urban,Male,3,One,AB,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,19 – 24
60549183,Copperbelt,Kitwe,Urban,Male,2,One,AB,University completed,Roman Catholic,Working Part-Time,C1,"K 3,155   -  K 3,890",Yes,19 – 24
60549710,Central,Kabwe,Urban,Male,2,One,AB,Completed high School,Roman Catholic,Unemployed [NOT SEEKING A JOB],C1,"K 5,365  -  K 6,102",Yes,19 – 24
60550362,Lusaka,Lusaka district,Urban,Female,0,Two or More,AB,Some university,Roman Catholic,Student,C1,Under K 849,Yes,19 – 24
60553130,Copperbelt,Chingola,Urban,Male,1,None,AB,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C1,Under K 849,Yes,19 – 24
60553131,Copperbelt,Chingola,Urban,Female,1,One,AB,Completed high School,Others,Unemployed [SEEKING A JOB],C1,Under K 849,Yes,19 – 24
60553775,Muchinga,Nakonde,Urban,Male,2,Two or More,AB,Completed high School,Seventh Day Adventists,Self employed,C1,"K 2,500   -  K 3,154",Yes,25 – 34
60554675,Copperbelt,Kitwe,Urban,Male,3,One,AB,University completed,Roman Catholic,Unemployed [SEEKING A JOB],C1,"K 1675- K2,499",Yes,25 – 34
60554815,Copperbelt,Chilililabombwe,Urban,Female,3,None,AB,Completed high School,Others,Unemployed [NOT SEEKING A JOB],No Income,No Income,Yes,25 – 34
60555110,Copperbelt,Mufulira,Urban,Female,0,One,AB,Any other post-high school qualification,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,35 – 44
60555743,Copperbelt,Kitwe,Urban,Male,3,One,AB,Some university,Anglican/Protestant,Unemployed [SEEKING A JOB],C1,No Income,Yes,19 – 24
60556109,Copperbelt,Kitwe,Urban,Female,1,None,AB,Completed high School,Others,Working Full-Time,D,"K 1675- K2,499",Yes,45+
60556558,Copperbelt,Chilililabombwe,Urban,Female,1,One,AB,University completed,Roman Catholic,Working Full-Time,Do not know,Do not know,Yes,35 – 44
60558639,Lusaka,Lusaka district,Urban,Male,2,One,AB,Completed high School,Others,Retired - voluntary scholarspensioners,C2,"K 3,891  -  K 4,627",Yes,45+
60558982,Copperbelt,Chilililabombwe,Urban,Female,2,One,AB,Completed high School,Seventh Day Adventists,Housewife,AB,"K 17,500   - K  21,370",Yes,19 – 24
60559161,Copperbelt,Ndola,Urban,Female,0,Two or More,AB,Primary school completed,Anglican/Protestant,Working Full-Time,D,"K 1675- K2,499",No,35 – 44
60559165,Copperbelt,Ndola,Urban,Female,2,None,AB,Some high school,Other Christian,Self employed,D,Under K 849,Yes,35 – 44
60559241,Copperbelt,Mufulira,Urban,Female,0,One,AB,Any other post-high school qualification,Anglican/Protestant,Working Full-Time,Do not know,Do not know,No,35 – 44
60560263,Copperbelt,Luanshya,Urban,Female,1,One,AB,Some high school,Anglican/Protestant,Student,C1,"K 3,891  -  K 4,627",Yes,19 – 24
60560266,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,19 – 24
60560267,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some high school,Anglican/Protestant,Self employed,C1,"K 3,891  -  K 4,627",Yes,35 – 44
60561650,Copperbelt,Mufulira,Urban,Female,0,None,AB,Some university,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,25 – 34
60562094,Lusaka,Kafue,Urban,Female,0,None,AB,Some high school,Others,Refused/ don’t know (DON’T READ),No Income,No Income,Yes,19 – 24
60562100,Lusaka,Kafue,Urban,Male,0,None,AB,Completed high School,Other Christian,Refused/ don’t know (DON’T READ),No Income,No Income,Yes,19 – 24
60563529,Lusaka,Lusaka district,Urban,Male,1,None,AB,Completed high School,Others,Self employed,D,K 850-K 1674,Yes,19 – 24
60564875,North-Western,Solwezi,Urban,Male,1,Two or More,AB,Completed high School,Roman Catholic,Retired - voluntary scholarspensioners,C1,"K 6,103   -  K 7,892",Yes,45+
60564877,North-Western,Solwezi,Urban,Female,1,Two or More,AB,Any other post-high school qualification,Seventh Day Adventists,Retired - voluntary scholarspensioners,C2,"K 4,628   -  K 5,364",Yes,45+
60564879,North-Western,Solwezi,Urban,Male,1,None,AB,University completed,Roman Catholic,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34
60565711,Copperbelt,Mufulira,Urban,Male,1,One,AB,Any other post-high school qualification,Other Christian,Unemployed [SEEKING A JOB],Do not know,Do not know,Yes,19 – 24
60566479,Lusaka,Lusaka district,Urban,Female,1,Two or More,AB,University completed,Other Christian,Retired - voluntary scholarspensioners,C1,"K 5,365  -  K 6,102",Yes,45+
60566481,Lusaka,Lusaka district,Urban,Female,0,One,AB,Some university,Other Christian,Student,C1,K 850-K 1674,Yes,25 – 34
60567058,Lusaka,Lusaka district,Urban,Female,1,None,AB,Some high school,Roman Catholic,Working Full-Time,C1,K 850-K 1674,Yes,25 – 34
60567070,Central,Mkushi,Urban,Female,0,One,AB,Some university,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,19 – 24
60567074,Central,Mkushi,Urban,Female,1,None,AB,Completed high School,Anglican/Protestant,Self employed,C2,"K 3,891  -  K 4,627",Yes,19 – 24
60567075,Central,Mkushi,Urban,Male,1,None,AB,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34
60567101,Central,Mkushi,Urban,Female,1,None,AB,Completed high School,Roman Catholic,Unemployed [NOT SEEKING A JOB],C1,No Income,Yes,19 – 24
60567102,Central,Mkushi,Urban,Male,1,None,AB,Completed high School,Roman Catholic,Retired - voluntary scholarspensioners,C2,No Income,Yes,45+
60567103,Central,Mkushi,Urban,Female,1,None,AB,Completed high School,Other Christian,Self employed,C2,"K 1675- K2,499",No,25 – 34
60567106,Central,Mkushi,Urban,Male,0,One,AB,Completed high School,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],No Income,No Income,Yes,15 – 18
60567108,Central,Mkushi,Urban,Male,1,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,25 – 34
60567438,Central,Chibombo,Urban,Male,1,Two or More,AB,Any other post-high school qualification,Anglican/Protestant,Retired - voluntary scholarspensioners,C1,"K 1675- K2,499",Yes,45+
60567441,Central,Chibombo,Urban,Male,3,Two or More,AB,Completed high School,Muslim,Student,AB,Under K 849,Yes,19 – 24
60567443,Central,Chibombo,Urban,Female,1,One,AB,University completed,Other Christian,Unemployed [NOT SEEKING A JOB],C1,Under K 849,Yes,19 – 24
60567549,Lusaka,Lusaka district,Urban,Female,1,None,AB,Some high school,Anglican/Protestant,Student,D,Under K 849,Yes,15 – 18
60573811,Central,Kabwe,Urban,Female,1,Two or More,AB,Some university,Roman Catholic,Student,C1,K 850-K 1674,Yes,25 – 34
60573812,Central,Kabwe,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C1,"K 1675- K2,499",Yes,19 – 24
60574364,Copperbelt,Chilililabombwe,Urban,Male,2,Two or More,AB,University completed,Others,Working Full-Time,Do not know,Do not know,Yes,25 – 34
60575252,Copperbelt,Chilililabombwe,Urban,Male,3,Two or More,AB,Some university,Other Christian,Student,C1,"K 7,893 -  K 11,261",Yes,19 – 24
60576732,Copperbelt,Kitwe,Urban,Male,0,Two or More,AB,University completed,Other Christian,Working Full-Time,AB,"K 17,500   - K  21,370",Yes,35 – 44
60578278,Copperbelt,Chilililabombwe,Urban,Male,2,Two or More,AB,Some university,Other Christian,Student,No Income,No Income,Yes,19 – 24
60578701,Lusaka,Lusaka district,Urban,Male,0,Two or More,AB,Completed high School,Other Christian,Student,C1,"K 11,262  -  K 14,631",Yes,19 – 24
60578819,Copperbelt,Chilililabombwe,Urban,Male,2,One,AB,Completed high School,Other Christian,Self employed,AB,"K 26,320   -  K 29,689",Yes,25 – 34
60580920,Copperbelt,Luanshya,Urban,Male,1,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44
60581019,Copperbelt,Ndola,Urban,Female,2,None,AB,Completed high School,Others,Self employed,C2,"K 3,155   -  K 3,890",Yes,19 – 24
60581148,Copperbelt,Mufulira,Urban,Male,2,None,AB,Any other post-high school qualification,Other Christian,Working Full-Time,Do not know,Do not know,Yes,19 – 24
60582629,Copperbelt,Mufulira,Urban,Male,2,Two or More,AB,Completed high School,Anglican/Protestant,Self employed,Do not know,Do not know,Yes,35 – 44
60583047,Copperbelt,Kitwe,Urban,Male,3,None,AB,Completed high School,Roman Catholic,Working Full-Time,C2,"K 35,000    -  K 36,428",Yes,25 – 34
60583348,Lusaka,Kafue,Urban,Female,0,None,AB,Some university,Other Christian,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34
60583351,Lusaka,Kafue,Urban,Male,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,25 – 34
60583352,Lusaka,Kafue,Urban,Male,1,None,AB,University completed,Other Christian,Working Full-Time,C2,"K 3,891  -  K 4,627",Yes,35 – 44
60583353,Lusaka,Kafue,Urban,Male,1,One,AB,Completed high School,Other Christian,Working Full-Time,C1,"K 3,891  -  K 4,627",Yes,35 – 44
60585282,North-Western,Solwezi,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,25 – 34
60585283,North-Western,Solwezi,Urban,Female,1,None,AB,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,19 – 24
60585286,North-Western,Solwezi,Urban,Male,1,None,AB,Any other post-high school qualification,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34
60585748,Lusaka,Lusaka district,Urban,Male,1,One,AB,Completed high School,Roman Catholic,Self employed,D,"K 1675- K2,499",Yes,35 – 44
60587930,Copperbelt,Kitwe,Urban,Female,2,One,AB,Completed high School,Roman Catholic,Self employed,C1,"K 3,155   -  K 3,890",Yes,35 – 44
60588153,Southern,Livingstone,Urban,Male,1,None,AB,Some university,Roman Catholic,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24
60588157,Southern,Livingstone,Urban,Male,0,None,AB,Some high school,Seventh Day Adventists,Student,C2,Under K 849,Yes,19 – 24
60588158,Southern,Livingstone,Urban,Male,0,None,AB,University completed,Roman Catholic,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,35 – 44
60588167,Southern,Livingstone,Urban,Male,0,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44
60588168,Southern,Livingstone,Urban,Female,1,Two or More,AB,Some university,Seventh Day Adventists,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,19 – 24
60595421,Lusaka,Lusaka district,Urban,Male,1,None,AB,Some university,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34
60595425,Lusaka,Lusaka district,Urban,Male,1,None,AB,Some university,Roman Catholic,Unemployed [NOT SEEKING A JOB],C2,"K 1675- K2,499",Yes,25 – 34
60595426,Lusaka,Lusaka district,Urban,Male,1,One,AB,Completed high School,Roman Catholic,Unemployed [NOT SEEKING A JOB],C2,"K 3,155   -  K 3,890",Yes,25 – 34
60595928,Central,Kabwe,Urban,Female,0,One,AB,University completed,Other Christian,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,35 – 44
60595930,Central,Kabwe,Urban,Male,1,Two or More,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,45+
60596171,Southern,Mazabuka,Urban,Male,1,One,AB,Completed high School,Roman Catholic,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,45+
60596986,Copperbelt,Kitwe,Urban,Male,2,None,AB,Completed high School,Roman Catholic,Working Full-Time,D,K 850-K 1674,Yes,19 – 24
60597809,Copperbelt,Chilililabombwe,Urban,Female,2,Two or More,AB,University completed,Other Christian,Housewife,AB,"K 14,632 -  K 17,499",Yes,35 – 44
60598338,Copperbelt,Kalulushi,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C2,"K 6,103   -  K 7,892",Yes,25 – 34
60598428,Copperbelt,Kitwe,Urban,Female,1,Two or More,AB,Completed high School,Seventh Day Adventists,Self employed,C1,"K 14,632 -  K 17,499",Yes,19 – 24
60600483,Eastern,Chipata,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34
60601395,Northern,Kasama,Urban,Male,1,None,AB,Some university,Other Christian,Working Full-Time,Do not know,"K 3,155   -  K 3,890",Yes,25 – 34
60601857,Copperbelt,Kitwe,Urban,Male,1,None,AB,Some university,Roman Catholic,Student,C1,"K 11,262  -  K 14,631",Yes,19 – 24
60603893,Copperbelt,Chilililabombwe,Urban,Male,1,One,AB,Some university,Other Christian,Working Full-Time,No Income,No Income,Yes,45+
60604174,Copperbelt,Mufulira,Urban,Female,1,None,AB,Any other post-high school qualification,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,19 – 24
60606204,Copperbelt,Kitwe,Urban,Male,1,None,AB,Completed high School,Other Christian,Student,Do not know,Under K 849,Yes,19 – 24
60606294,Copperbelt,Mufulira,Urban,Male,0,None,AB,Any other post-high school qualification,Roman Catholic,Working Part-Time,Do not know,Do not know,Yes,25 – 34
60606892,Lusaka,Kafue,Urban,Female,1,None,AB,Some high school,Seventh Day Adventists,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34
60606893,Lusaka,Kafue,Urban,Male,0,None,AB,Completed high School,Other Christian,Self employed,C2,"K 6,103   -  K 7,892",Yes,45+
60606896,Lusaka,Kafue,Urban,Male,1,None,AB,University completed,Other Christian,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34
60607299,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24
60607365,Southern,Mazabuka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Student,C1,"K 7,893 -  K 11,261",Yes,19 – 24
60608386,Copperbelt,Ndola,Urban,Female,1,None,AB,Completed high School,Other Christian,Self employed,C1,Under K 849,Yes,35 – 44
60608392,Copperbelt,Ndola,Urban,Female,1,None,AB,University completed,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24
60608393,Copperbelt,Ndola,Urban,Male,0,None,AB,University completed,Other Christian,Self employed,Do not know,Do not know,No,35 – 44
60608394,Copperbelt,Ndola,Urban,Female,0,None,AB,University completed,Other Christian,Unemployed [SEEKING A JOB],C2,No Income,Yes,19 – 24
60608434,Copperbelt,Kitwe,Urban,Male,1,None,AB,University completed,Other Christian,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34
60610456,Copperbelt,Mufulira,Urban,Male,3,None,AB,Any other post-high school qualification,Seventh Day Adventists,Working Part-Time,Do not know,Do not know,Yes,25 – 34
60611355,Central,Kabwe,Urban,Female,2,One,AB,Completed high School,Anglican/Protestant,Working Full-Time,C1,"K 1675- K2,499",Yes,25 – 34
60611357,Central,Kabwe,Urban,Male,0,Two or More,AB,Some university,Anglican/Protestant,Self employed,C1,"K 5,365  -  K 6,102",Yes,35 – 44
60612540,Central,Chibombo,Rural,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44
60612542,Central,Chibombo,Rural,Male,1,None,AB,Any other post-high school qualification,Seventh Day Adventists,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,45+
60612959,Lusaka,Lusaka district,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+
60612960,Lusaka,Lusaka district,Urban,Male,1,None,AB,Completed high School,Roman Catholic,Self employed,Do not know,Do not know,Yes,25 – 34
60613043,North-Western,Solwezi,Urban,Male,1,One,AB,Any other post-high school qualification,Other Christian,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,35 – 44
60613045,North-Western,Solwezi,Urban,Male,1,Two or More,AB,University completed,Other Christian,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,35 – 44
60616149,Lusaka,Lusaka district,Urban,Female,1,None,AB,Some university,Other Christian,Student,Do not know,No Income,Yes,19 – 24
60617259,Central,Mkushi,Urban,Male,1,One,AB,Some university,Roman Catholic,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,25 – 34
60617264,Central,Mkushi,Rural,Female,0,Two or More,AB,Some high school,Anglican/Protestant,Student,No Income,No Income,Yes,19 – 24
60618441,Southern,Livingstone,Urban,Male,1,Two or More,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,35 – 44
60618445,Southern,Livingstone,Urban,Male,0,None,AB,Some university,Seventh Day Adventists,Working Full-Time,C1,"K 3,155   -  K 3,890",Yes,45+
60618446,Southern,Livingstone,Urban,Female,1,One,AB,Some university,Anglican/Protestant,Working Part-Time,C2,"K 3,891  -  K 4,627",Yes,25 – 34
60618448,Southern,Livingstone,Urban,Female,1,One,AB,Some university,Other Christian,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34
60630663,Copperbelt,Mufulira,Urban,Male,2,None,AB,Completed high School,Roman Catholic,Working Part-Time,Do not know,Do not know,Yes,15 – 18
60632056,Copperbelt,Mufulira,Urban,Female,2,Two or More,AB,Don’t know (DON’T READ),Anglican/Protestant,Student,Do not know,No Income,Yes,35 – 44
60635719,Copperbelt,Kitwe,Urban,Male,3,One,AB,Completed high School,Orthodox,Working Full-Time,C1,"K 35,000    -  K 36,428",Yes,19 – 24
60642331,Copperbelt,Kitwe,Urban,Male,3,None,AB,Completed high School,Seventh Day Adventists,Working Full-Time,C2,"K 7,893 -  K 11,261",Yes,25 – 34
60650160,Copperbelt,Chilililabombwe,Urban,Female,1,One,AB,University completed,Other Christian,Student,Do not know,No Income,Yes,19 – 24
60650162,Copperbelt,Chilililabombwe,Urban,Male,1,None,AB,Completed high School,Others,Working Full-Time,Do not know,Do not know,Yes,25 – 34
60650164,Copperbelt,Chilililabombwe,Urban,Male,1,One,AB,Completed high School,Others,Unemployed [SEEKING A JOB],Do not know,K 850-K 1674,Yes,19 – 24
60650165,Copperbelt,Chilililabombwe,Urban,Female,1,None,AB,University completed,Roman Catholic,Working Part-Time,C1,K 850-K 1674,Yes,25 – 34
60650484,North-Western,Solwezi,Urban,Male,1,None,AB,Completed high School,Seventh Day Adventists,Working Full-Time,C2,"K 3,891  -  K 4,627",Yes,25 – 34
60650486,North-Western,Solwezi,Urban,Male,1,None,AB,Completed high School,Others,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,25 – 34
60654806,Southern,Livingstone,Urban,Male,1,None,AB,Some university,Anglican/Protestant,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,35 – 44
60654809,Southern,Livingstone,Urban,Male,0,One,AB,Some university,Other Christian,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34
60666033,Copperbelt,Ndola,Urban,Female,2,None,AB,Some primary school,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34
60667449,Eastern,Chipata,Urban,Female,1,One,AB,University completed,Other Christian,Working Full-Time,C1,"K 14,632 -  K 17,499",Yes,25 – 34
60668564,Muchinga,Nakonde,Urban,Female,2,Two or More,AB,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24
60670295,Southern,Mazabuka,Urban,Male,1,None,AB,Completed high School,Other Christian,Working Part-Time,D,K 850-K 1674,Yes,25 – 34
60670616,Copperbelt,Mufulira,Rural,Female,0,None,AB,Some high school,Other Christian,Student,Do not know,No Income,Yes,25 – 34
60672648,Copperbelt,Kalulushi,Urban,Male,1,None,AB,University completed,Other Christian,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,19 – 24
60673485,Eastern,Chipata,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34
60678724,Copperbelt,Ndola,Rural,Female,1,None,AB,Some primary school,Other Christian,Self employed,D,"K 1675- K2,499",Yes,45+
60679467,Muchinga,Nakonde,Urban,Female,2,Two or More,AB,Some primary school,Anglican/Protestant,Housewife,C1,No Income,Yes,25 – 34
60683147,Eastern,Chipata,Urban,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,45+
60683883,Central,Kabwe,Rural,Female,1,None,AB,Some university,Anglican/Protestant,Working Full-Time,Do not know,"K 2,500   -  K 3,154",Yes,25 – 34
60683884,Central,Kabwe,Urban,Male,1,One,AB,University completed,Other Christian,Working Part-Time,Do not know,"K 3,891  -  K 4,627",Yes,25 – 34
