SbjNum,TOM - Radio Spontaneous Awareness,Other Mentions - Radio Spontaneous Awareness,Radio Prompted Awareness,Ever Listened to Radio,Radio Listeners (Yesterday),Radio Listeners (P7D - Past 7 Days),Radio Listeners (P4W) - Past 4 Weeks,Radio Listeners (P12M) - Past 12 Months
60679465,"Radio 1,Radio 2,", ,"BBC,Isoka,Mpika,","Radio 1,Radio 2,",Radio 1,"Radio 1,Radio 1","Radio 1,Radio 1","Radio 1,Radio 2"
60679466,"Isoka,Radio 1,Radio 2,", ,"BBC,Mpika,Muchinga,Parliament,Radio Christian Voice,","BBC,Isoka,Radio 1,Radio 2,Radio Christian Voice",None,Radio 2,Radio 2,"Isoka,Radio 1,Radio 2"
60679467,"Radio 2,", ,"BBC,Isoka,Muchinga,Radio 1,Radio 4,Radio Christian Voice,","BBC,Isoka,Muchinga,Radio 1,Radio 2,Radio 4,Radio Christian Voice",None,Radio 2,Radio 2,Radio 2
60680735,"Chikuni,Mazabuka,Radio 1,Radio 2,Radio 4,Other Specify,",komboni,"BBC,Choma Maano,Q FM,SKY,","Mazabuka,Radio 1,Radio 2,Radio 4,{0}","Mazabuka,Radio 1","Mazabuka,Radio 1","Mazabuka,Radio 1,{0}","Mazabuka,Radio 1,Radio 2,Radio 4,{0}"
60680736,"Mazabuka,Radio 1,Radio 2,Radio 4,", ,"Chikuni,Kariba,","Chikuni,Kariba,Mazabuka,Radio 1,Radio 2,Radio 4,",Mazabuka,"Chikuni,Mazabuka","Chikuni,Mazabuka,Radio 1,Radio 2,Radio 3","Chikuni,Kariba,Mazabuka,Radio 1,Radio 2,Radio 4"
60681500,"FCC Solwezi,Kabangabanga,New Generation,Radio 2,", ,"Beats,Radio 1,Radio Christian Voice,","Beats,FCC Solwezi,Kabangabanga,New Generation,Radio 2","Kabangabanga,Radio 1","Kabangabanga,Radio 1","Kabangabanga,New Generation,Radio 1","Kabangabanga,New Generation,Radio 2"
60681501,"Kabangabanga,Radio 1,Radio 2,", ,"FCC Solwezi,New Generation,Radio 4,Radio Christian Voice,","FCC Solwezi,Kabangabanga,New Generation,Radio 1,Radio 2,Radio 4,Radio Christian Voice",Kabangabanga,"Kabangabanga,Radio 1,Radio 1","Kabangabanga,Radio 1,Radio 2,Radio Christian Voice","FCC Solwezi,Kabangabanga,New Generation,Radio 1,Radio 2,Radio 4,Radio Christian Voice"
60681502,"Beats,FCC Solwezi,Kabangabanga,New Generation,", ,"BBC,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice,","BBC,Beats,FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 2,Radio 4,Radio Christian Voice",Radio Christian Voice,"Radio 2,Radio Christian Voice","Parliament,Radio 2,Radio Christian Voice","Beats,FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 2,Radio 4,Radio Christian Voice"
60681503,"FCC Solwezi,Kabangabanga,Radio 1,Radio 2,Radio 4,Radio Christian Voice,", ,"Beats,New Generation,Parliament,","Beats,FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice",Radio 1,"Kabangabanga,Radio 1","FCC Solwezi,Kabangabanga,New Generation,Radio 1,Radio 2,Radio 4,Radio Christian Voice","Beats,FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice"
60681504,"FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice,", ,"Beats,","FCC Solwezi,Kabangabanga,New Generation,Radio 2,Radio Christian Voice","Kabangabanga,Radio Christian Voice","Kabangabanga,Radio 2,Radio Christian Voice","FCC Solwezi,Kabangabanga,New Generation,Radio 2,Radio Christian Voice","FCC Solwezi,Kabangabanga,New Generation,Radio 2,Radio Christian Voice"
60683147,"Breeze,Maria,Radio 1,Radio 1,", ,"BBC,Feel Free,Mphangwe,Parliament,Q FM,Radio 2,Radio 4,Radio 2,","Breeze,Feel Free,Maria,Mphangwe,Parliament,Q FM,Radio 1,Radio 2,Radio 4,Radio 1,Radio 2","Feel Free,Maria,Radio 1,Radio 1","Maria,Q FM,Radio 1,ZNBC 0","Breeze,Feel Free,Maria,Q FM,Radio 1,ZNBC 0","Breeze,Feel Free,Maria,Mphangwe,Parliament,Q FM,Radio 1,Radio 2,Radio 4,Radio 1,Radio 2"
60683877,"Radio 1,Radio 2,", ,"BBC,Isoka,Mpika,Muchinga,Radio 4,Radio Christian Voice,","Isoka,Mpika,Radio 1,Radio 2,",None,None,None,"Isoka,Mpika,Radio 1,Radio 2"
60683880,"KNC,Maranatha,Power,Radio 4,Other Specify,",Cloud fm,"Phoenix,Q FM,Radio 1,Radio 2,","KNC,Maranatha,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,{0}",KNC,"KNC,Power,Q FM",{0},"KNC,Maranatha,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,{0}"
60683881,"KNC,Maranatha,Power,", ,"Radio 1,Radio 2,Radio 4,","KNC,Maranatha,Power,Radio 1,","KNC,Maranatha,Power","KNC,Maranatha,Power","KNC,Maranatha,Power","KNC,Maranatha,Power,Radio 1"
60683882,"KNC,Maranatha,", ,"Radio 1,Radio 2,Radio 4,","KNC,Maranatha,Radio 1,Radio 2,Radio 4","KNC,Maranatha","KNC,Maranatha","KNC,Maranatha","KNC,Maranatha,Radio 1,Radio 2,Radio 4"
60683883,"KNC,Maranatha,Phoenix,Q FM,Other Specify,",Cloud Fm,"Power,Radio 1,Radio 2,Radio 4,","KNC,Maranatha,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,{0}","KNC,Power,{0}","Maranatha,Radio 2,{0}","KNC,Maranatha,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,{0}","KNC,Maranatha,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,{0}"
60683884,"KNC,Maranatha,Phoenix,Power,Q FM,Radio Christian Voice,", ,"Radio 1,Radio 2,Radio 4,","KNC,Maranatha,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice",None,"KNC,Maranatha",Q FM,"KNC,Maranatha,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice"
60685300,"Komboni,Radio 1,Radio 2,", ,"Radio 4,",Komboni,Komboni,Komboni,Komboni,Komboni
60685301,"Komboni,Radio 1,Radio 2,", ,"Millennium,Phoenix,","Komboni,Radio 2,",Radio 1,"Komboni,Radio 1","Komboni,Radio 1","Komboni,Radio 2"
60685302,"Komboni,Yatsani, Yangeni FM,", ,"Radio 1,Radio 2,Radio 4,","Komboni,Yatsani, Yangeni FM,",Komboni,"Komboni,Yatsani, Yangeni FM","Komboni,Yatsani, Yangeni FM","Komboni,Yatsani, Yangeni FM"
60685303,"Komboni,Millennium,Radio 1,Radio 2,", ,"One Love,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,United Voice,Yatsani, Yangeni FM,","One Love,Radio 4,",Radio 3,"One Love,Radio 3","One Love,Radio 3","One Love,Radio 4"
60685304,"Radio Christian Voice,Komboni,Yatsani, Yangeni FM,", ,"Radio 1,Radio 2,Radio 4,","Komboni,Yatsani, Yangeni FM,","Komboni,Yatsani, Yangeni FM","Komboni,Yatsani, Yangeni FM","Komboni,Yatsani, Yangeni FM","Komboni,Yatsani, Yangeni FM"
60685305,"Komboni,Radio 1,Radio 2,Radio 4,", ,"Yatsani, Yangeni FM,","Komboni,Radio 1,","Komboni,Radio 1","Komboni,Radio 1","Komboni,Radio 1","Komboni,Radio 1"
60685306,"Komboni,Millennium,United Voice,Radio 1,Radio 4,", ,"Radio 2,","Komboni,Radio 4,","Komboni,ZNBC 3","Komboni,Radio 4","Komboni,ZNBC 3","Komboni,Radio 4"
60685307,"Komboni,Q FM,Radio 1,", ,"Radio Christian Voice,","Komboni,Q FM,Radio 1",ZNBC 0,"Komboni,Radio 1","Komboni,Q FM,ZNBC 0","Komboni,Q FM,Radio 1"
60685545,"Breeze,Feel Free,Maria,Radio 1,", ,"Mphangwe,Parliament,Petauke Explorers,Q FM,Radio 2,Radio Christian Voice,Radio 1,","Breeze,Feel Free,Maria,Mphangwe,Parliament,Petauke Explorers,Q FM,Radio 1,Radio 2,Radio Christian Voice,Radio 1","Breeze,Feel Free,Maria,Radio 1,ZNBC 0","Breeze,Feel Free,Maria,Radio 1","Breeze,Feel Free,Maria,Q FM,Radio 1,Radio Christian Voice,ZNBC 0","Breeze,Feel Free,Maria,Mphangwe,Petauke Explorers,Q FM,Radio 1,Radio 2,Radio Christian Voice,Radio 1"
60685719,"5FM,Radio Christian Voice,Hot FM,Joy,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,Radio 2,", ,"Kafue,Komboni,Metro FM,Millennium,Pan African,Phoenix,Q FM,Radio 1,","5FM,Radio Christian Voice,Hot FM,Joy,Kafue,Komboni,Metro FM,Millennium,Pan African,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,Radio 1,Radio 2,",Christian Voice,Christian Voice,"5FM,Radio Christian Voice,Joy,Komboni,Phoenix,Q FM,Radio 1","5FM,Radio Christian Voice,Hot FM,Joy,Kafue,Komboni,Metro FM,Millennium,Pan African,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,Radio 1,Radio 2"
60685720,"BBC,Comet 10,Komboni,Millennium,One Love,Pan African,Radio 1,Radio 2,Radio 4,Rock FM,Radio 1,Radio 2,Radio 4,", ,"Ama,Joy,Power,Q FM,","Ama,Komboni,Millennium,Radio 1,Radio 2",Komboni,Komboni,Komboni,"Ama,Komboni,Millennium,Radio 1,Radio 2"
60685721,"Komboni,Pan African,Radio 1,Radio 2,UNZA Radio,", ,"5FM,Ama,BBC,Radio Christian Voice,Hot FM,Joy,Millennium,One Love,Q FM,Radio 4,Roots,Radio 1,Radio 2,","5FM,Ama,BBC,Radio Christian Voice,Hot FM,Joy,Komboni,Millennium,One Love,Pan African,Q FM,Radio 1,Radio 2,Radio 4,Roots,UNZA Radio,Radio 1,Radio 2,",None,None,"Radio Christian Voice,Radio 1,Radio 2,ZNBC 0","5FM,Ama,BBC,Radio Christian Voice,Hot FM,Joy,Komboni,Millennium,One Love,Pan African,Q FM,Radio 1,Radio 2,Radio 4,Roots,UNZA Radio,Radio 1,Radio 2"
60685722,"5FM,BBC,Radio Christian Voice,Hot FM,Joy,Komboni,", ,"Ama,Millennium,Modern voice,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,UNZA Radio,Radio 1,Radio 2,","5FM,BBC,Radio Christian Voice,Hot FM,Komboni,Millennium,Q FM,Radio 1,Radio 2,Radio Christian Voice,Rock FM,UNZA Radio,",None,Komboni,Komboni,"5FM,BBC,Radio Christian Voice,Hot FM,Komboni,Millennium,Q FM,Radio 1,Radio 2,Radio Christian Voice,Rock FM,UNZA Radio"
60685770,"BBC,Radio Christian Voice,Hot FM,Joy,Komboni,Radio 2,Rock FM,Radio 1,Radio 2,", ,"Ama,Millennium,Phoenix,Radio 1,","BBC,Radio Christian Voice,Komboni,Radio 1,Radio 2,Rock FM,",BBC,BBC,"BBC,Komboni,Radio 1","BBC,Radio Christian Voice,Komboni,Radio 1,Radio 2,Rock FM"
60685771,"5FM,BBC,Radio Christian Voice,Joy,Komboni,Metro FM,Millennium,Power,Q FM,Radio 1,Radio 2,Radio 4,", ,"Ama,Hot FM,Phoenix,Rise,Rock FM,United Voice,UNZA Radio,Radio 1,Radio 2,","5FM,Ama,BBC,Radio Christian Voice,Hot FM,Joy,Komboni,Metro FM,Millennium,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Rise,Rock FM,United Voice,UNZA Radio",Komboni,Komboni,"Komboni,Millennium,Radio 1,Radio 2,UNZA Radio","5FM,Ama,BBC,Radio Christian Voice,Hot FM,Joy,Komboni,Metro FM,Millennium,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Rise,Rock FM,United Voice,UNZA Radio,Radio 1,Radio 2,Radio 1,Radio 2"
60685772,"5FM,Radio Christian Voice,Joy,Komboni,", ,"Hot FM,Metro FM,Millennium,One Love,Q FM,Radio 1,Radio 2,Radio Christian Voice,Rock FM,UNZA Radio,Radio 1,Radio 2,","5FM,Radio Christian Voice,Hot FM,Joy,Komboni,Metro FM,Millennium,One Love,Q FM,Radio 1,Radio 2,Radio Christian Voice,Rock FM,UNZA Radio,Radio 1,Radio 2,",None,None,"5FM,Radio Christian Voice,Hot FM,Joy,Komboni,Q FM,Radio 1,Radio 2,UNZA Radio,Radio 1,Radio 1","5FM,Radio Christian Voice,Hot FM,Joy,Komboni,Metro FM,Millennium,One Love,Q FM,Radio 1,Radio 2,Radio Christian Voice,Rock FM,UNZA Radio,Radio 1,Radio 2"
60687020,"Feel Free,Maria,Radio 1,", ,"Breeze,Q FM,Radio 2,Radio 4,Radio Christian Voice,Radio 1,","Breeze,Feel Free,Maria,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio 1","Breeze,Maria,Radio 1","Breeze,Feel Free,Maria,Q FM,Radio 1","Breeze,Feel Free,Maria,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,ZNBC 0","Breeze,Feel Free,Maria,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio 1"
60688035,"Maria,PASME,Petauke Explorers,Radio 1,Radio 2,Radio 4,", ,"BBC,Breeze,Chikaya,Feel Free,Mphangwe,Parliament,Q FM,Radio Christian Voice,","BBC,Breeze,Maria,Mphangwe,Parliament,PASME,Petauke Explorers,Q FM,Radio 1,Radio 2,Radio 4","Petauke Explorers,Radio 1","PASME,Petauke Explorers,Radio 1","Maria,PASME,Petauke Explorers,Radio 1","Breeze,Maria,Parliament,PASME,Petauke Explorers,Q FM,Radio 1,Radio 2,Radio 4"
60688036,"PASME,Petauke Explorers,", ,"BBC,Breeze,Maria,Mphangwe,Parliament,Q FM,Radio 1,Radio 2,Radio 4,","BBC,Breeze,Maria,Parliament,PASME,Petauke Explorers,Q FM,Radio 1,Radio 2,Radio 4,",None,"Petauke Explorers,Radio 1","PASME,Petauke Explorers,Radio 1","Breeze,Maria,PASME,Petauke Explorers,Radio 1"
60688037,"Mphangwe,PASME,Petauke Explorers,Radio 1,Radio 2,", ,"Breeze,Maria,Parliament,Q FM,Radio 4,Radio Christian Voice,","Breeze,Maria,Mphangwe,Parliament,PASME,Petauke Explorers,Radio 1,Radio 2,Radio 4,Radio Christian Voice,",None,"PASME,Petauke Explorers,Radio 1","Breeze,Maria,Mphangwe,PASME,Petauke Explorers,Radio 1","Breeze,Maria,Mphangwe,Parliament,PASME,Petauke Explorers,Radio 1,Radio 2,Radio 4"
60688038,"Maria,PASME,Petauke Explorers,Radio 1,Radio 2,Radio 4,", ,"BBC,Breeze,Feel Free,Mphangwe,Parliament,Q FM,Radio Christian Voice,","BBC,Breeze,Feel Free,Maria,Mphangwe,Parliament,PASME,Petauke Explorers,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice","PASME,Petauke Explorers","PASME,Petauke Explorers,Radio 1","Breeze,Maria,PASME,Petauke Explorers,Radio 1,Radio 2,Radio 3","BBC,Breeze,Maria,Mphangwe,PASME,Petauke Explorers,Radio 1,Radio 2,Radio 4,Radio Christian Voice"
60688039,"PASME,Petauke Explorers,Radio 1,Radio 2,Radio 4,", ,"BBC,Breeze,Feel Free,Maria,Mphangwe,Parliament,","Breeze,Maria,Mphangwe,Parliament,PASME,Petauke Explorers,Radio 1,Radio 2,Radio 4","PASME,Petauke Explorers,Radio 1","Maria,PASME,Petauke Explorers,Radio 1,Radio 1","Breeze,Maria,Mphangwe,Parliament,PASME,Petauke Explorers,Radio 1,Radio 2,Radio 3","Breeze,Maria,Mphangwe,Parliament,PASME,Petauke Explorers,Radio 1,Radio 2,Radio 4"
60688040,"BBC,Maria,PASME,Petauke Explorers,Radio 1,Radio 2,Radio 4,", ,"Breeze,Feel Free,Mphangwe,Parliament,Parliament,Radio Christian Voice,Valley,","BBC,Breeze,Maria,Mphangwe,Parliament,PASME,Petauke Explorers,Radio 1,Radio 2,Radio 4,",None,None,"BBC,Breeze,Maria,Mphangwe,Parliament,PASME,Petauke Explorers,Radio 1,Radio 2,Radio 3","BBC,Breeze,Maria,Mphangwe,Parliament,PASME,Petauke Explorers,Radio 1,Radio 2,Radio 4"
60688170,"Breeze,Feel Free,Maria,", ,"Q FM,Radio 1,Radio 2,Radio 4,","Breeze,Feel Free,Radio 1","Breeze,Feel Free,Radio 1","Breeze,Feel Free,Radio 1","Breeze,Feel Free,Radio 1","Breeze,Feel Free,Radio 1"
60688783,"KNC,Phoenix,Radio 1,Radio 2,Radio Christian Voice,", ,"Mkushi FM, Money FM,Radio 4,",Radio 1,Radio 1,Radio 1,Radio 1,Radio 1
60688784,"Radio 1,Radio 2,", ,"Phoenix,Radio Christian Voice,","Radio 1,Radio 2,Radio Christian Voice",None,Radio 1,"Radio 1,Radio 2,Radio Christian Voice","Radio 1,Radio 2,Radio Christian Voice"
60688785,"KNC,Radio 1,Radio 2,", ,"Phoenix,Radio Christian Voice,","KNC,Radio 1,Radio 2",None,None,KNC,"KNC,Radio 1,Radio 2"
60688786,"Phoenix,Radio 1,Radio 2,Radio Christian Voice,", ,"None,",Radio 1,None,None,None,Radio 1
60688787,"KNC,Phoenix,Radio 1,Radio 2,Radio Christian Voice,", ,"don’t know,","KNC,Radio 1,Radio 2","KNC,Radio 1","KNC,Radio 1,Radio 1","KNC,Radio 1,Radio 1","Radio 1,Radio 2"
60688913,"EvelynHone,Komboni,Millennium,Radio 4,", ,"Phoenix,Power,Q FM,Radio 1,Radio Christian Voice,","EvelynHone,Komboni,Millennium,Radio 4,",None,None,"EvelynHone,Komboni,Millennium,Radio 3","EvelynHone,Komboni,Millennium,Radio 4"
60688914,"Hot FM,Phoenix,Radio 1,Radio 2,Radio 4,Yatsani, Yangeni FM,", ,"EvelynHone,Komboni,Millennium,Power,Q FM,Radio Christian Voice,United Voice,","Hot FM,Phoenix,Radio 1,Radio 2,Radio 4,United Voice,Yatsani, Yangeni FM",United Voice,"United Voice,Yatsani, Yangeni FM","Hot FM,Phoenix,Radio 1,Radio 2,Radio 4,United Voice,Yatsani, Yangeni FM","Hot FM,Phoenix,Radio 1,Radio 2,Radio 4,United Voice,Yatsani, Yangeni FM"
60689747,"Phoenix,Q FM,Radio 4,Rock FM,UNZA Radio,", ,"Hot FM,Millennium,Radio Christian Voice,","Hot FM,Q FM,Rock FM",Rock FM,"Hot FM,Q FM,Rock FM","Hot FM,Q FM,Rock FM","Hot FM,Q FM,Rock FM"
60689748,"EvelynHone,Hot FM,Millennium,Phoenix,Power,Q FM,Radio 2,", ,"Komboni,Radio 1,Radio Christian Voice,Rock FM,United Voice,","Hot FM,Komboni,Phoenix,Q FM,",Hot FM,Hot FM,"Hot FM,Komboni,Phoenix,Q FM","Hot FM,Komboni,Phoenix,Q FM"
60689990,"5FM,Radio Christian Voice,EvelynHone,Hot FM,Joy,Komboni,One Love,Pan African,Phoenix,Power,Radio Christian Voice,Rock FM,", ,"Metro FM,Millennium,Parliament,Q FM,Radio 1,United Voice,Yatsani, Yangeni FM,Radio 1,Radio 2,Radio 4,","5FM,Hot FM,Komboni,Millennium,One Love,Pan African,",Komboni,"5FM,Hot FM,Komboni,Millennium,One Love,Pan African","5FM,Hot FM,Komboni,Millennium,One Love,Pan African","5FM,Hot FM,Komboni,Millennium,One Love,Pan African"
60689991,"5FM,Radio Christian Voice,EvelynHone,Hot FM,Komboni,Power,Q FM,Rise,Roots,", ,"BBC,Chongwe,Millennium,One Love,Pan African,Parliament,Phoenix,Radio 1,Radio Christian Voice,Rock FM,UNZA Radio,Yatsani, Yangeni FM,Radio 1,Radio 2,Radio 4,","5FM,Hot FM,Komboni,One Love,Radio 1,Radio Christian Voice,",Radio 1,"Komboni,Radio 1,Radio Christian Voice","5FM,Hot FM,Komboni,One Love,Radio 1,Radio Christian Voice","5FM,Hot FM,Komboni,One Love,Radio 1,Radio Christian Voice"
60689992,"5FM,Radio Christian Voice,Hot FM,Komboni,Millennium,Phoenix,Power,Radio Christian Voice,Rock FM,", ,"BBC,Joy,One Love,Pan African,Q FM,Radio 1,","5FM,Radio Christian Voice,Hot FM,Komboni,Radio 1",Christian Voice,"5FM,Radio Christian Voice,Hot FM,Komboni,Radio 1","5FM,Radio Christian Voice,Hot FM,Komboni,Radio 1","5FM,Radio Christian Voice,Hot FM,Komboni,Radio 1"
60689993,"Radio Christian Voice,Hot FM,Komboni,Millennium,One Love,Pan African,Phoenix,Power,", ,"5FM,BBC,EvelynHone,Joy,Parliament,Radio 1,Radio Christian Voice,Rock FM,Radio 1,Radio 2,Radio 4,","5FM,Radio Christian Voice,Hot FM,Komboni,One Love,Power,Radio 1,Radio 1,Radio 2",Komboni,"Radio Christian Voice,Komboni,Power","5FM,Radio Christian Voice,Komboni,Radio 1","5FM,Radio Christian Voice,Hot FM,Komboni,One Love,Power,Radio 1,Radio 1,Radio 2"
60689994,"Radio Christian Voice,EvelynHone,Hot FM,Komboni,Millennium,One Love,Phoenix,Radio 1,Radio Christian Voice,", ,"5FM,Joy,Metro FM,Pan African,Power,Q FM,Rock FM,Radio 1,Radio 2,Radio 4,","5FM,Radio Christian Voice,Hot FM,Komboni,Millennium,Pan African,Phoenix,Radio Christian Voice,Rock FM",Radio Christian Voice,"Radio Christian Voice,Komboni,Millennium,Radio Christian Voice","5FM,Radio Christian Voice,Hot FM,Komboni,Millennium,Pan African,Phoenix,Radio Christian Voice,Rock FM","5FM,Radio Christian Voice,Hot FM,Komboni,Millennium,Pan African,Phoenix,Radio Christian Voice,Rock FM"
60689995,"5FM,Radio Christian Voice,EvelynHone,Hot FM,Komboni,One Love,Pan African,Phoenix,Power,", ,"Joy,Millennium,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,UNZA Radio,Yatsani, Yangeni FM,Radio 1,Radio 2,Radio 4,","Radio Christian Voice,Hot FM,Komboni,Radio Christian Voice,",Komboni,"Hot FM,Komboni,Radio Christian Voice","Radio Christian Voice,Hot FM,Komboni,Radio Christian Voice","Radio Christian Voice,Hot FM,Komboni,Radio Christian Voice"
60690699,"BBC,Radio Christian Voice,Hot FM,Joy,Komboni,Millennium,Phoenix,Q FM,Radio 1,Radio 2,Radio Christian Voice,Rock FM,Roots,United Voice,UNZA Radio,Radio 1,Radio 2,", ,"5FM,Ama,Modern voice,One Love,Radio 4,","5FM,Ama,BBC,Radio Christian Voice,Hot FM,Joy,Komboni,Millennium,Modern voice,One Love,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,Roots,United Voice,UNZA Radio,Radio 1,Radio 2,",Q FM,Q FM,"Ama,Hot FM,Komboni,One Love,Q FM,Radio 1,Radio 2,Rock FM,United Voice,ZNBC 0","5FM,Ama,BBC,Radio Christian Voice,Hot FM,Joy,Komboni,Millennium,Modern voice,One Love,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,Roots,United Voice,UNZA Radio,Radio 1,Radio 2,UNZA Radio,Radio 1,Radio 2"
60700170,"Breeze,Mphangwe,PASME,Petauke Explorers,", ,"BBC,Chikaya,Maria,Parliament,Radio 1,Radio 2,Radio Christian Voice,Valley,","Breeze,PASME,Petauke Explorers,Radio 1,",None,Petauke Explorers,"PASME,Petauke Explorers","Breeze,PASME,Petauke Explorers,Radio 1"
60701172,"Breeze,Feel Free,Maria,", ,"Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio 1,","Breeze,Feel Free,Maria,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio 1","Breeze,Maria,Radio 1,Radio 1","Breeze,Maria,Q FM,Radio 1,Radio 3","Breeze,Feel Free,Maria,Q FM,Radio 1,Radio 2,Radio 4","Breeze,Feel Free,Maria,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio 1"
60701173,"Breeze,Isoka,Maria,", ,"Feel Free,Q FM,Radio 1,Radio 2,Radio 4,Radio 1,","Breeze,Feel Free,Maria,Q FM,Radio 1,Radio 2,Radio 4","Breeze,Maria,Radio 1","Breeze,Feel Free,Q FM,Radio 1,Radio 3","Breeze,Feel Free,Maria,Q FM,Radio 1,Radio 2,Radio 4","Breeze,Feel Free,Maria,Radio 1,Radio 2,Radio 4"
60701174,"Breeze,Maria,Radio 1,", ,"Feel Free,Radio 2,Radio 4,Radio 1,","Breeze,Feel Free,Maria,Radio 1,Radio 2,Radio 4,Radio 1","Breeze,Maria,Radio 1","Breeze,Maria,Radio 1","Breeze,Feel Free,Maria,Radio 1,Radio 2,Radio 3","Breeze,Feel Free,Maria,Radio 1,Radio 2,Radio 4,Radio 1"
60701698,"Breeze,Feel Free,Maria,Radio 1,", ,"Q FM,Radio 2,Radio 4,","Breeze,Feel Free,Maria,Q FM,Radio 1,Radio 2,Radio 4","Breeze,Feel Free,Maria,Radio 1","Breeze,Feel Free,Maria,Radio 1","Breeze,Feel Free,Maria,Radio 1,Radio 3","Breeze,Feel Free,Maria,Q FM,Radio 1,Radio 2,Radio 4"
60703098,"Flava FM,Icengelo,Sun,", ,"BBC,Radio 1,Yar,","BBC,Icengelo,Radio 1,Sun,",Sat,"BBC,Icengelo,Radio 1","Icengelo,Radio 1,Sun","BBC,Icengelo,Radio 1,Sun"
60704336,"Radio 1,Radio 2,Radio 4,", ,"Chimwemwe,Flava FM,Icengelo,Radio Christian Voice,Yar,","Chimwemwe,Flava FM,Icengelo,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Yar,",None,Radio 1,Radio 1,"Flava FM,Radio 1"
60704660,"don’t know,", ,"BBC,Chimwemwe,Flava FM,Icengelo,Jive,Kokoliko,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Mpongwe,Sun,Yar,Radio 1,Radio 2,Radio 4,ZNBC MUSIC,","Icengelo,Parliament,Radio 1,Radio 2,Radio 4",None,None,Icengelo,Icengelo
60704849,"5FM,BBC,Radio Christian Voice,EvelynHone,Hot FM,Joy,Komboni,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,UNZA Radio,", ,"Power,Rock FM,","5FM,BBC,Radio Christian Voice,EvelynHone,Hot FM,Komboni,Parliament,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,UNZA Radio,",Komboni,Komboni,Komboni,"5FM,Radio Christian Voice,Komboni,Q FM"
60704850,"Radio Christian Voice,Hot FM,Komboni,Q FM,", ,"5FM,BBC,Joy,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,UNZA Radio,Yatsani, Yangeni FM,Radio 1,Radio 2,Radio 4,ZNBC MUSIC,","5FM,BBC,Radio Christian Voice,Hot FM,Joy,Komboni,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,UNZA Radio,Yatsani, Yangeni FM,Radio 1,Radio 2,Radio 4,ZNBC MUSIC,","Komboni,Q FM,Radio Christian Voice","Komboni,Q FM,UNZA Radio","Komboni,Q FM,Radio 1,Radio 2,Radio 4,UNZA Radio","5FM,BBC,Radio Christian Voice,Hot FM,Joy,Komboni,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,UNZA Radio,Yatsani, Yangeni FM,Radio 1,Radio 2,Radio 4,ZNBC MUSIC"
