SbjNum,Where Radio was Accessed P7D,Usuall Access to Radio,6 am to 9 am,9 am to 12 pm,12 pm to 3 pm,3 pm to 6 pm,6 pm to 9 pm,9 pm to 1 am,1 am to 6 am,Favourite Radio Station,Reasons for Favourite Radio Station,Preferred Day of the Week for Favourite Station,Type of Radio Programmes Liked,Other Types of Radio Programmes Liked,Preferred time for Music on radio,Other Preferred time for Music on radio,Stations Availability in your Area
60506418,At homeOther (specify),On a mobile phone,3 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,1 day per week,Do not listen at this time,Less than that,Radio 1,There encouraging programs that comes e.g Kabusha takolelwe bowa,"Wednesday,Friday","News/current affairs,Social/community programs e.g. people with special needs,", ,Late evening, ,don’t know
60508564,At home,On a radio,7 days per week,6 days per week,6 days per week,5 days per week,4 days per week,4 days per week,4 days per week,Radio 1,because programs that they bring and stories they are very educative  hence we learn more things,"Monday,Wednesday,Thursday","News/current affairs,Social/community programs e.g. people with special needs,Health issues e.g. HIV / AIDS,", ,Early morning, ,"5FM,BBC,Christian Voice,ZNBC 1,ZNBC 2,ZNBC 4"
60508779,At home,On a radioOn a mobile phone,Less than that,1 day per week,Less than that,Less than that,2 days per week,Less than that,Do not listen at this time,Radio 1,traditional programs,"Monday,Wednesday","News/current affairs,Religious,Politics,Developmental issues e.g. building of roads,Health issues e.g. HIV / AIDS,Agricultural issues,", ,Early morning, ,"Maranatha,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice"
60510231,At home,On a radio,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,2 days per week,Do not listen at this time,Do not listen at this time,Radio 2,To know what's happening,"Wednesday,Friday","Radio drama,", ,Early evening, ,"Isoka,Radio 1,Radio 2"
60513115,At home,On a mobile phone,7 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,7 days per week,Do not listen at this time,Do not listen at this time,Q FM,because of developmental issues,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Environmental issues,Music shows,Developmental issues e.g. building of roads,News/current affairs,", ,Early evening, ,"5FM,BBC,Christian Voice,Comet 10,Evelyn,Hot,Komboni,Millennium,Pan African,Parliament,Phoenix,Q FM,Radio 4,Unza"
60514495,At home,On a radio,7 days per week,Less than that,Less than that,Less than that,7 days per week,Do not listen at this time,Do not listen at this time,Radio 2,I've trust their content and I've been a listener since my early days.,"Monday,Wednesday","Religious,News/current affairs,", ,Early morning, ,"BBC,Beats,FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice"
60514496,At home,On a radio,Less than that,Less than that,Less than that,3 days per week,Less than that,Less than that,Do not listen at this time,Radio Christian Voice,Good radio content,Sunday,"Religious,", ,Late morning, ,"FCC Solwezi,New Generation,Parliament,Radio Christian Voice"
60514497,Another household (friends relatives house)At work (office field etc),On a radio,Less than that,Less than that,Less than that,3 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,FCC Solwezi,Good radio content,Wednesday,"Music shows,Religious,", ,Early morning, ,"Beats,FCC Solwezi,Radio 1,Radio 2,Radio 4"
60514498,At homeAt work (office field etc),On a radio,Less than that,Less than that,Less than that,Less than that,1 day per week,Less than that,Do not listen at this time,Radio 1,It hosts my favorite program,Wednesday,"News/current affairs,", ,Early morning, ,"Beats,FCC Solwezi,Kabangabanga,Radio 1,Radio 2"
60514499,At home,On a radioOn a mobile phone,Less than that,Less than that,Do not listen at this time,Less than that,Less than that,Do not listen at this time,Do not listen at this time,New Generation,Good content and youthful,"Saturday,Sunday","Music shows,", ,Early morning, ,"Beats,FCC Solwezi,New Generation,Radio 1,Radio 2"
60514730,At home,On a radio,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,1 day per week,Do not listen at this time,Do not listen at this time,Phoenix,it's fun,Wednesday,"Environmental issues,", ,Early evening, ,"KNC,Phoenix,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice"
60514731,Other (specify),On a radio,2 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Radio Chrsitian Voice,it's good,Sunday,"Religious,", ,Early morning, ,"KNC,Phoenix,Power,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice"
60514732,At home,On a radio,Do not listen at this time,Do not listen at this time,Do not listen at this time,1 day per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,KNC,good programs,Saturday,"Radio drama,", ,Late afternoon, ,"KNC,Phoenix,QFM,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice"
60514733,At home,On a radio,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,1 day per week,Do not listen at this time,Do not listen at this time,Radio 1,nice programs,Wednesday,"Radio drama,", ,Late evening, ,"KNC,5FM,BBC,Phoenix,Power,QFM,Radio 1,Radio 2,Radio Chrsitian Voice"
60514734,At home,On a radio,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,1 day per week,Do not listen at this time,Do not listen at this time,Phoenix,it's ok,"Monday,Tuesday,Wednesday,Thursday,Friday","Environmental issues,", ,Early evening, ,"KNC,Mkushi,Phoenix,Power,QFM,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice"
60514735,At home,On a radio,Do not listen at this time,1 day per week,Do not listen at this time,Do not listen at this time,1 day per week,Do not listen at this time,Do not listen at this time,Phoenix,it good,Wednesday,"Social/community programs e.g. people with special needs,Music shows,", ,Late morning, ,"KNC,5FM,Phoenix,Power,QFM,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice"
60515239,At home,On a mobile phone,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,2 days per week,Do not listen at this time,Do not listen at this time,KNC,they nice western and traditional music they play,"Wednesday,Sunday","Music shows,", ,Early evening, ,"KNC,Mkushi,Radio 1,Radio 2,Radio 4"
60515240,In a market plac,On a radio,Do not listen at this time,Do not listen at this time,3 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Mkushi,nothing,Tuesday,"News/current affairs,", ,Lunch time, ,"KNC,Mkushi,Radio 1,Radio 2"
60515241,At homeAt school/Colleg,On a radio,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,3 days per week,Do not listen at this time,Do not listen at this time,Mkushi,play nice music and good for  current affairs,"Wednesday,Thursday","Music shows,News/current affairs,", ,Late morning, ,"KNC,Mkushi,Radio 2"
60515242,At home,On a mobile phone,Do not listen at this time,Do not listen at this time,5 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Mkushi,they have discussion programmes where you can call in,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Social/community programs e.g. people with special needs,", ,Late evening, ,"KNC,Joy,Radio 1,Radio 2,Radio 4"
60515243,At home,On a radioOn a mobile phone,Do not listen at this time,Do not listen at this time,5 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Radio Chrsitian Voice,like the religious music they play,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Religious,", ,Early morning, ,"KNC,Mkushi,Radio 2,Radio Chrsitian Voice,Serenje"
60515244,At home,On a mobile phone,Do not listen at this time,Do not listen at this time,2 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,KNC,play better music,"Tuesday,Wednesday","Music shows,Religious,", ,Early afternoon, ,"KNC,Mkushi,Radio 2"
60515245,At home,On a mobile phone,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,1 day per week,Do not listen at this time,Do not listen at this time,KNC,they play latest music,Saturday,"Music shows,Children's programs,Gender issues,Politics,", ,Late evening, ,"KNC,Mkushi,Radio 1,Radio 2,Radio 4"
60515246,At home,On a mobile phone,Do not listen at this time,1 day per week,Do not listen at this time,Do not listen at this time,2 days per week,Do not listen at this time,Do not listen at this time,KNC,they have the best news,Sunday,"News/current affairs,Music shows,", ,Late afternoon, ,"KNC,Mkushi,Radio 1,Radio 2"
60515247,At home,On a radio,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,3 days per week,Do not listen at this time,Do not listen at this time,KNC,they have best news and current affairs,"Monday,Wednesday,Saturday","News/current affairs,", ,Early evening, ,"KNC,Mkushi,Radio 1,Radio 2"
60515248,At homeIn a car-privateAt work (office field etc),On a radioOn a mobile phone,Do not listen at this time,5 days per week,Do not listen at this time,Do not listen at this time,5 days per week,Do not listen at this time,Do not listen at this time,Mkushi,best news and current affairs,Monday,"News/current affairs,Politics,", ,Early morning, ,"KNC,Mkushi,Radio 1,Radio 2"
60515348,BusPublic van,On a mobile phone,4 days per week,4 days per week,3 days per week,Less than that,Less than that,4 days per week,Less than that,Hot,Nice music,Wednesday,"Developmental issues e.g. building of roads,Politics,Music shows,", ,Late evening, ,"5FM,Ama,BBC,Christian Voice,Comet 10,Evelyn,Hot,Joy,Komboni,Metro,Millennium,Pan African,Parliament,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,Roots,Unza,Yatsani,ZNBC 1,ZNBC 2,ZNBC 4"
60515349,At homeAnother household (friends relatives house)In a market placBus,On a radioOn a mobile phone,Less than that,Less than that,Less than that,Less than that,4 days per week,4 days per week,Do not listen at this time,Komboni,Because of good and friendly DJ's,Wednesday,"Radio drama,News/current affairs,Music shows,", ,Late evening, ,"5FM,BBC,Christian Voice,Evelyn,Hot,Joy,Kafue,Komboni,Metro,Millennium,One Love,Pan African,Parliament,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rise,Rock FM,Roots,United Voice,Unza,Yatsani,ZNBC 1,ZNBC 2,ZNBC 4"
60515652,At homeAnother household (friends relatives house)In a market placAt school/Colleg,On a radio,5 days per week,Less than that,Less than that,2 days per week,1 day per week,Less than that,Do not listen at this time,Phoenix,music,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Health issues e.g. HIV / AIDS,Developmental issues e.g. building of roads,Radio drama,Sports Commentaries,Music shows,", ,Early morning, ,"BBC,Phoenix,Radio 1,Radio 2"
60515653,At homeIn a market placBus,On a radioOn a mobile phone,7 days per week,Less than that,Do not listen at this time,Do not listen at this time,7 days per week,1 day per week,Do not listen at this time,Phoenix,multi lingual content,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Religious,Children's programs,News/current affairs,Social/community programs e.g. people with special needs,Politics,Radio drama,Developmental issues e.g. building of roads,Health issues e.g. HIV / AIDS,Agricultural issues,", ,Early evening, ,"Phoenix,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice,ZNBC 1,ZNBC 2,ZNBC 4"
60515654,At homeIn a car-privateAt work (office field etc)Bus,On a radioOn a mobile phone,1 day per week,Less than that,Less than that,1 day per week,Less than that,Less than that,Less than that,Radio Chrsitian Voice,gospel content,"Saturday,Sunday","Agricultural issues,Religious,Politics,Music shows,", ,Late afternoon, ,"BBC,Joy,Power,QFM,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice"
60515655,At homeAnother household (friends relatives house),On a radio,Less than that,Less than that,Less than that,Less than that,1 day per week,Less than that,Less than that,Radio 1,news.,Wednesday,"News/current affairs,Radio drama,", ,Lunch time, ,"KNC,Radio 1,Radio 2,Radio 4"
60515656,At home,On a radio,Do not listen at this time,Do not listen at this time,Less than that,Less than that,7 days per week,Less than that,Less than that,Maranatha,religious content,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Radio drama,Music shows,Religious,Agricultural issues,Politics,News/current affairs,", ,Late evening, ,"Maranatha,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice"
60515728,At homeAnother household (friends relatives house)Bus,On a radioOn a mobile phone,Less than that,Less than that,Less than that,Less than that,3 days per week,Less than that,Less than that,BBC,international news content,"Saturday,Sunday","Gender issues,Music shows,News/current affairs,Developmental issues e.g. building of roads,Religious,Sports Commentaries,", ,Late evening, ,"BBC,Blue Sky FM,Maranatha,Phoenix,Radio 1,Radio 2,Radio 4,Radio Chrsitian Voice"
60516534,At home,On a radio,7 days per week,7 days per week,3 days per week,3 days per week,7 days per week,Less than that,Do not listen at this time,Christian Voice,because I'm a christiani have to be listening to gospel and build my faith,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Health issues e.g. HIV / AIDS,Sports Commentaries,Environmental issues,Music shows,Social/community programs e.g. people with special needs,Politics,Religious,", ,Early morning, ,"5FM,Christian Voice,Evelyn,Hot,Joy,Komboni,Millennium,One Love,Parliament,Phoenix,Q FM,Rock FM,Roots,United Voice,Unza"
60516535,At home,On a radio,7 days per week,7 days per week,4 days per week,3 days per week,2 days per week,Do not listen at this time,Do not listen at this time,Komboni,they play upcoming artiststhey advertise local things like charcoalvegetables,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Music shows,", ,Late morning, ,"Christian Voice,Komboni,Phoenix"
60516536,At home,On a radio,7 days per week,7 days per week,4 days per week,3 days per week,7 days per week,Do not listen at this time,Do not listen at this time,Komboni,i enjoy many programmes,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","News/current affairs,Politics,Social/community programs e.g. people with special needs,Other (specify),Religious,Radio drama,Environmental issues,Sports Commentaries,Music shows,Health issues e.g. HIV / AIDS,Agricultural issues,",most of the programmes,Other (specify),most of the times i listen to the radio,"BBC,Christian Voice,Komboni,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Unza"
60516537,At homeOther (specify),On a radio,Do not listen at this time,3 days per week,3 days per week,Do not listen at this time,Less than that,6 days per week,Do not listen at this time,Rock FM,there music makes sense and I'm an upcoming artists,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Other (specify),Music shows,Radio drama,Religious,",throw back Tuesday on rock FM and gossipjosh early in the morning,Late evening, ,"Hot,Komboni,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Roots"
60516538,At home,On a radio,7 days per week,3 days per week,1 day per week,Less than that,Do not listen at this time,Do not listen at this time,Do not listen at this time,Komboni,local music,"Friday,Saturday,Sunday","Music shows,Religious,", ,Early morning, ,"Christian Voice,Hot,Joy,Komboni"
60516539,At homeAt work (office field etc),On a mobile phone,7 days per week,7 days per week,7 days per week,7 days per week,7 days per week,2 days per week,Do not listen at this time,Millennium,because of politics. i like to know what's happening in current affairs,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Music shows,Politics,", ,Other (specify),anytime i listen to the radio ( late morning),"Ama,Christian Voice,Comet 10,Evelyn,Hot,Joy,Kafue,Metro,Parliament,Phoenix,Radio 1,Radio 2,Radio Christian Voice,Rock FM,Roots,Unza,{0}"
60519020,At home,On a radio,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,1 day per week,Do not listen at this time,Do not listen at this time,Radio 1,it the best local station that entertain us with local stories e.g. local News,Wednesday,"Health issues e.g. HIV / AIDS,Radio drama,Religious,Politics,Gender issues,Social/community programs e.g. people with special needs,News/current affairs,", ,Early evening, ,"Christian Voice,Hot,Phoenix,Radio 1,Radio 2,Rock FM,Unza"
60519021,At homeIn a car-private,On a radio,5 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,1 day per week,Do not listen at this time,Do not listen at this time,BBC,it  provide updates on what happening in both international and local news,Wednesday,"News/current affairs,Sports Commentaries,", ,Early morning, ,"BBC,Christian Voice,Evelyn,Hot,Metro,Radio 1,Radio 2"
60519022,Another household (friends relatives house)Bus,On a radioOn a mobile phone,5 days per week,Do not listen at this time,Do not listen at this time,2 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,Komboni,it the only station that brings local music,Friday,"Music shows,", ,Late afternoon, ,"Hot,Komboni,Power,Radio 1,Unza"
60519023,At homeIn a market plac,On a radio,Do not listen at this time,2 days per week,Do not listen at this time,Do not listen at this time,3 days per week,Do not listen at this time,Do not listen at this time,Radio 1,it brings the best local stories,Wednesday,"Religious,Social/community programs e.g. people with special needs,Health issues e.g. HIV / AIDS,News/current affairs,", ,Early afternoon, ,"Christian Voice,Evelyn,Hot,Komboni,Phoenix,Radio 1,Radio 2,Unza,ZNBC 1,ZNBC 2"
60519024,At homeAnother household (friends relatives house)In a car-privateBus,On a radioOn a mobile phone,6 days per week,Do not listen at this time,Do not listen at this time,6 days per week,1 day per week,Do not listen at this time,Do not listen at this time,Komboni,it the best leading entertaining station,Friday,"Music shows,", ,Late afternoon, ,"5FM,Christian Voice,Evelyn,Hot,Kafue,Komboni,Q FM,Radio 1,Radio 2,Rock FM,United Voice,Unza"
60524230,At home,On a radioOn a mobile phone,4 days per week,Do not listen at this time,Less than that,Do not listen at this time,4 days per week,Do not listen at this time,Less than that,Radio 2,best for current affairs because most of the programs r in English,"Monday,Sunday","Agricultural issues,Health issues e.g. HIV / AIDS,Sports Commentaries,Environmental issues,Religious,Politics,News/current affairs,Developmental issues e.g. building of roads,Gender issues,Music shows,", ,Early morning, ,"BBC,Chikuni,Choma Maano,Mazabuka,Mosi-0-Tunya,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice"
60524231,At homeIn a car-privatePrivate taxi,On a radioPay TV eg. DSTV,Do not listen at this time,Less than that,Less than that,Less than that,5 days per week,Do not listen at this time,Do not listen at this time,BBC,because of current affairs,"Saturday,Sunday","Developmental issues e.g. building of roads,Sports Commentaries,Politics,News/current affairs,", ,Late evening, ,"BBC,Chikuni,Mazabuka,Radio 1,Radio 2,Radio 4,SKY"
60524419,At home,On a mobile phone,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,2 days per week,3 days per week,Do not listen at this time,Radio Christian Voice,I find encouraging messages there,Sunday,"Religious,", ,Late evening, ,"5FM,Hot,Joy,Komboni,Phoenix,Q FM,Radio Christian Voice,ZNBC 1,ZNBC 2"
60524420,Other (specify),On a radio,1 day per week,1 day per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Hot,I used to follow a certain program that used to play rnb music that I liked,Saturday,"Music shows,", ,Late morning, ,"5FM,Hot,Joy,Pan African,Power,Q FM"
60524421,At home,On a radio,7 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Rock FM,I love the music they play,"Saturday,Sunday","Music shows,Politics,", ,Late morning, ,"Komboni,Millennium,Power,Radio Christian Voice,Rock FM,Unza"
60524422,At home,On a radio,1 day per week,1 day per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Komboni,I like the music they play and news,Tuesday,"Music shows,", ,Late morning, ,"Joy,Komboni,Millennium"
60524423,At home,On a radio,7 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,4 days per week,Do not listen at this time,Do not listen at this time,Komboni,i love the Music they play,"Monday,Tuesday,Wednesday","Music shows,", ,Late morning, ,"Komboni,Phoenix"
60525354,At homeIn a car-private,On a radio,7 days per week,Less than that,Less than that,Less than that,7 days per week,Less than that,Less than that,Power,Because they play nice music and less programs,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Music shows,", ,Early morning, ,"KNC,Maranatha,Power"
60525355,At home,On a radio,7 days per week,3 days per week,7 days per week,4 days per week,7 days per week,Less than that,Less than that,Maranatha,Because of gospel,"Tuesday,Friday,Sunday","Radio drama,", ,Early morning, ,"KNC,Maranatha,Radio 1,ZNBC 1"
60525356,At home,On a radioOn a mobile phone,4 days per week,4 days per week,Less than that,Less than that,7 days per week,Less than that,Less than that,KNC,Because they play music I like,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Music shows,Religious,News/current affairs,", ,Late evening, ,"KNC,Maranatha,Power"
60525357,At home,On a radio,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,3 days per week,5 days per week,Do not listen at this time,KNC,I like the Dj's and they play nice music,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Religious,Music shows,", ,Early evening, ,"KNC,Maranatha,Power,{0}"
60526753,At homeIn a car-private,On a radioOn a mobile phone,2 days per week,Do not listen at this time,6 days per week,1 day per week,3 days per week,3 days per week,1 day per week,Phoenix,There are good programs,Monday,"Sports Commentaries,Religious,", ,Early morning, ,"Icengelo,Kokoliko,Phoenix,Radio 1,Radio 2,Radio 4,Yar,ZNBC 1,ZNBC 2,ZNBC 4"
60528190,At homeAt work (office field etc),On a mobile phone,6 days per week,Less than that,Less than that,3 days per week,3 days per week,Less than that,Less than that,Petauke Explorers,it airs traditional and religious programs,"Monday,Wednesday,Friday,Saturday","Agricultural issues,Social/community programs e.g. people with special needs,Developmental issues e.g. building of roads,Music shows,Religious,News/current affairs,", ,Early morning, ,"Breeze,Maria,Mphangwe,Parliament,PASME,Petauke Explorers,Radio 1,Radio 2"
60528191,At homeIn a market placAt school/Colleg,On a radioOn a mobile phone,3 days per week,Less than that,Less than that,1 day per week,4 days per week,Less than that,3 days per week,Petauke Explorers,they always play good music,"Friday,Saturday,Sunday","News/current affairs,Social/community programs e.g. people with special needs,Agricultural issues,Music shows,Religious,Radio drama,", ,Early evening, ,"Breeze,Maria,Mphangwe,PASME,Petauke Explorers,Radio 1,Radio 2"
