,Jim Jam  Friday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Jim Jam  Friday
10,5:30  -  5:44,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59"
11,5:00  -  5:14,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59"
12,19:45  -  19:59,82203329,Southern,Livingstone,Urban,Female,0,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,K 850-K 1674,Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
13,19:15  -  19:29,82203329,Southern,Livingstone,Urban,Female,0,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,K 850-K 1674,Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
14,19:00  -  19:14,82203329,Southern,Livingstone,Urban,Female,0,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,K 850-K 1674,Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
15,19:30  -  19:44,82203329,Southern,Livingstone,Urban,Female,0,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,K 850-K 1674,Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
16,3:45  -  3:59,135085249,Central,Kapiri Mposhi,Rural,Female,0,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59                                                                                              19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                "
17,5:45  -  5:59                                                                                              19:00  -  19:14,135085249,Central,Kapiri Mposhi,Rural,Female,0,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59                                                                                              19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                "
18,4:15  -  4:29,135085249,Central,Kapiri Mposhi,Rural,Female,0,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59                                                                                              19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                "
19,3:30  -  3:44,135085249,Central,Kapiri Mposhi,Rural,Female,0,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59                                                                                              19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                "
20,4:45  -  4:59,135085249,Central,Kapiri Mposhi,Rural,Female,0,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59                                                                                              19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                "
21,19:15  -  19:29,135085249,Central,Kapiri Mposhi,Rural,Female,0,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59                                                                                              19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                "
22,19:30  -  19:44,135085249,Central,Kapiri Mposhi,Rural,Female,0,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59                                                                                              19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                "
23,19:45  -  19:59,135085249,Central,Kapiri Mposhi,Rural,Female,0,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59                                                                                              19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                "
24,3:15  -  3:29,135085249,Central,Kapiri Mposhi,Rural,Female,0,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59                                                                                              19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                "
25,4:30  -  4:44,135085249,Central,Kapiri Mposhi,Rural,Female,0,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59                                                                                              19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                "
26,4:00  -  4:14,135085249,Central,Kapiri Mposhi,Rural,Female,0,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59                                                                                              19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                "
27,3:00  -  3:14,135085249,Central,Kapiri Mposhi,Rural,Female,0,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59                                                                                              19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                "
28,5:15  -  5:29,135085249,Central,Kapiri Mposhi,Rural,Female,0,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59                                                                                              19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                "
29,5:30  -  5:44,135085249,Central,Kapiri Mposhi,Rural,Female,0,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59                                                                                              19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                "
30,5:00  -  5:14,135085249,Central,Kapiri Mposhi,Rural,Female,0,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59                                                                                              19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                "
