,Jim Jam  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Jim Jam  Yesterday
10,4:30  -  4:44,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59"
11,4:00  -  4:14,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59"
12,3:00  -  3:14,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59"
13,5:15  -  5:29,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59"
14,5:30  -  5:44,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59"
15,5:00  -  5:14,82009407,Southern,Livingstone,Urban,Male,0,None,C1,Some university,Other Christian,Self employed,C1,"K 1675- K2,499",No,35 – 44,"3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59"
16,19:45  -  19:59,82203329,Southern,Livingstone,Urban,Female,0,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,K 850-K 1674,Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
17,19:15  -  19:29,82203329,Southern,Livingstone,Urban,Female,0,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,K 850-K 1674,Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
18,19:00  -  19:14,82203329,Southern,Livingstone,Urban,Female,0,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,K 850-K 1674,Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
19,19:30  -  19:44,82203329,Southern,Livingstone,Urban,Female,0,None,C1,Primary school completed,Other Christian,A housewife/househusband,C1,K 850-K 1674,Yes,35 – 44,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
20,12:00  -  12:14,60578499,Copperbelt,Chingola,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,Under K 849,Yes,19 – 24,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
21,11:15  -  11:29,60578499,Copperbelt,Chingola,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,Under K 849,Yes,19 – 24,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
22,11:00  -  11:14,60578499,Copperbelt,Chingola,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,Under K 849,Yes,19 – 24,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
23,11:30  -  11:44,60578499,Copperbelt,Chingola,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,Under K 849,Yes,19 – 24,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
24,11:45  -  11:59,60578499,Copperbelt,Chingola,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,Under K 849,Yes,19 – 24,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
25,4:15  -  4:29,135085249,Central,Kapiri Mposhi,Rural,Female,0,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                    11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14                                                                                                                                                                                                                                                                                                                                       18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59                                                                                              19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                "
26,18:45  -  18:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           3:00  -  3:14,135085249,Central,Kapiri Mposhi,Rural,Female,0,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                    11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14                                                                                                                                                                                                                                                                                                                                       18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59                                                                                              19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                "
27,19:15  -  19:29,135085249,Central,Kapiri Mposhi,Rural,Female,0,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                    11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14                                                                                                                                                                                                                                                                                                                                       18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59                                                                                              19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                "
28,18:15  -  18:29,135085249,Central,Kapiri Mposhi,Rural,Female,0,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                    11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14                                                                                                                                                                                                                                                                                                                                       18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59                                                                                              19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                "
29,4:00  -  4:14,135085249,Central,Kapiri Mposhi,Rural,Female,0,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                    11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14                                                                                                                                                                                                                                                                                                                                       18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59                                                                                              19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                "
30,19:45  -  19:59,135085249,Central,Kapiri Mposhi,Rural,Female,0,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                    11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14                                                                                                                                                                                                                                                                                                                                       18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59                                                                                              19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                "
31,11:15  -  11:29,135085249,Central,Kapiri Mposhi,Rural,Female,0,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                    11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14                                                                                                                                                                                                                                                                                                                                       18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59                                                                                              19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                "
32,11:30  -  11:44,135085249,Central,Kapiri Mposhi,Rural,Female,0,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                    11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14                                                                                                                                                                                                                                                                                                                                       18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59                                                                                              19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                "
33,12:00  -  12:14                                                                                                                                                                                                                                                                                                                                       18:00  -  18:14,135085249,Central,Kapiri Mposhi,Rural,Female,0,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                    11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14                                                                                                                                                                                                                                                                                                                                       18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59                                                                                              19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                "
34,4:30  -  4:44,135085249,Central,Kapiri Mposhi,Rural,Female,0,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                    11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14                                                                                                                                                                                                                                                                                                                                       18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59                                                                                              19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                "
35,5:15  -  5:29,135085249,Central,Kapiri Mposhi,Rural,Female,0,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                    11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14                                                                                                                                                                                                                                                                                                                                       18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59                                                                                              19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                "
36,3:45  -  3:59,135085249,Central,Kapiri Mposhi,Rural,Female,0,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                    11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14                                                                                                                                                                                                                                                                                                                                       18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59                                                                                              19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                "
37,5:45  -  5:59                                                                                              19:00  -  19:14,135085249,Central,Kapiri Mposhi,Rural,Female,0,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                    11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14                                                                                                                                                                                                                                                                                                                                       18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59                                                                                              19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                "
38,3:30  -  3:44,135085249,Central,Kapiri Mposhi,Rural,Female,0,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                    11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14                                                                                                                                                                                                                                                                                                                                       18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59                                                                                              19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                "
39,19:30  -  19:44,135085249,Central,Kapiri Mposhi,Rural,Female,0,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                    11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14                                                                                                                                                                                                                                                                                                                                       18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59                                                                                              19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                "
40,11:00  -  11:14,135085249,Central,Kapiri Mposhi,Rural,Female,0,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                    11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14                                                                                                                                                                                                                                                                                                                                       18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59                                                                                              19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                "
41,3:15  -  3:29,135085249,Central,Kapiri Mposhi,Rural,Female,0,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                    11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14                                                                                                                                                                                                                                                                                                                                       18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59                                                                                              19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                "
42,11:45  -  11:59,135085249,Central,Kapiri Mposhi,Rural,Female,0,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                    11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14                                                                                                                                                                                                                                                                                                                                       18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59                                                                                              19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                "
43,5:00  -  5:14,135085249,Central,Kapiri Mposhi,Rural,Female,0,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                    11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14                                                                                                                                                                                                                                                                                                                                       18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59                                                                                              19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                "
44,4:45  -  4:59,135085249,Central,Kapiri Mposhi,Rural,Female,0,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                    11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14                                                                                                                                                                                                                                                                                                                                       18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59                                                                                              19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                "
45,18:30  -  18:44,135085249,Central,Kapiri Mposhi,Rural,Female,0,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                    11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14                                                                                                                                                                                                                                                                                                                                       18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59                                                                                              19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                "
46,5:30  -  5:44,135085249,Central,Kapiri Mposhi,Rural,Female,0,,DE,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,"                                                                                                                                                                                                                                                                                                                                                    11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14                                                                                                                                                                                                                                                                                                                                       18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59                                                                                              19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59                                                                                                                                                                                "
